Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","45 to 54 years",112017,"(+/- 4709 )",105039,"(+/- 4784 )",105886,"(+/- 4245 )",102035,"(+/- 3533 )",111504,"(+/- 4246 )",107573,"(+/- 4812 )",90043,"(+/- 5072 )",97277,"(+/- 4902 )",91726,"(+/- 4791 )",82032,"(+/- 5430 )",104829,"(+/- 2941 )",81561,"(+/- 5044 )",101902,"(+/- 5454 )",98999,"(+/- 5390 )",97378,"(+/- 3680 )",104872,"(+/- 5242 )",101389,"(+/- 3183 )",107220,"(+/- 2575 )",99915,"(+/- 2749 )",98103,"(+/- 3265 )",95292,"(+/- 2046 )",93829,"(+/- 1650 )",88621,"(+/- 1668 )",95658,"(+/- 1147 )",93846,"(+/- 1061 )",87257,"(+/- 3207 )",105414,"(+/- 3594 )"
People,"Sex and Age","55 to 59 years",55174,"(+/- 3313 )",50221,"(+/- 3703 )",58099,"(+/- 3509 )",50970,"(+/- 3414 )",58075,"(+/- 4241 )",54867,"(+/- 3808 )",36951,"(+/- 3516 )",48437,"(+/- 3524 )",43846,"(+/- 3461 )",44612,"(+/- 4137 )",49172,"(+/- 2821 )",37798,"(+/- 3763 )",44570,"(+/- 4257 )",42134,"(+/- 3468 )",40328,"(+/- 3022 )",47326,"(+/- 3381 )",51621,"(+/- 3310 )",53633,"(+/- 2989 )",56229,"(+/- 3193 )",47716,"(+/- 2737 )",52710,"(+/- 2627 )",55560,"(+/- 2581 )",51616,"(+/- 2146 )",53151,"(+/- 2273 )",50086,"(+/- 2685 )",52823,"(+/- 2744 )",58822,"(+/- 3524 )"
People,"Sex and Age","60 to 64 years",48242,"(+/- 3255 )",45622,"(+/- 3379 )",54309,"(+/- 3614 )",52320,"(+/- 3425 )",49747,"(+/- 3483 )",50429,"(+/- 2994 )",34670,"(+/- 3439 )",46370,"(+/- 3375 )",44687,"(+/- 3242 )",41889,"(+/- 3903 )",53529,"(+/- 3791 )",31118,"(+/- 2934 )",41663,"(+/- 3961 )",38983,"(+/- 3531 )",35140,"(+/- 3432 )",46150,"(+/- 3259 )",46983,"(+/- 3471 )",47821,"(+/- 2918 )",55684,"(+/- 2984 )",49310,"(+/- 2737 )",48585,"(+/- 2571 )",46073,"(+/- 2535 )",50594,"(+/- 2126 )",49012,"(+/- 2531 )",48589,"(+/- 2635 )",46557,"(+/- 2669 )",53163,"(+/- 3163 )"
People,"Sex and Age","65 to 74 years",72369,"(+/- 3217 )",60465,"(+/- 3358 )",78520,"(+/- 3927 )",65315,"(+/- 3462 )",66772,"(+/- 3240 )",71026,"(+/- 3547 )",46642,"(+/- 3482 )",63098,"(+/- 3500 )",64394,"(+/- 3282 )",67959,"(+/- 3776 )",69319,"(+/- 2095 )",59140,"(+/- 4179 )",55297,"(+/- 3295 )",54383,"(+/- 3295 )",44155,"(+/- 2707 )",70618,"(+/- 3630 )",62861,"(+/- 2245 )",64352,"(+/- 2168 )",82179,"(+/- 1827 )",70137,"(+/- 1852 )",72120,"(+/- 1656 )",71382,"(+/- 1301 )",73857,"(+/- 1246 )",67793,"(+/- 934 )",68897,"(+/- 838 )",66242,"(+/- 2891 )",77108,"(+/- 3043 )"
People,"Sex and Age","75 to 84 years",38099,"(+/- 2668 )",29717,"(+/- 2690 )",40301,"(+/- 3884 )",36514,"(+/- 2478 )",30030,"(+/- 2088 )",42353,"(+/- 3137 )",27408,"(+/- 3101 )",35048,"(+/- 3241 )",35226,"(+/- 2954 )",31780,"(+/- 3031 )",34449,"(+/- 2121 )",33696,"(+/- 3475 )",29712,"(+/- 3205 )",31066,"(+/- 2731 )",22736,"(+/- 2122 )",35208,"(+/- 2992 )",36019,"(+/- 2565 )",31554,"(+/- 1876 )",40097,"(+/- 2081 )",35422,"(+/- 2122 )",36240,"(+/- 1608 )",38215,"(+/- 1826 )",35530,"(+/- 1918 )",33664,"(+/- 1545 )",36026,"(+/- 1867 )",32958,"(+/- 2050 )",40599,"(+/- 2218 )"
People,"Sex and Age","85 years and over",16897,"(+/- 2127 )",14737,"(+/- 1803 )",29109,"(+/- 3586 )",18112,"(+/- 1948 )",13254,"(+/- 1664 )",19858,"(+/- 2193 )",10330,"(+/- 1762 )",13065,"(+/- 1894 )",11833,"(+/- 1651 )",17229,"(+/- 2703 )",16607,"(+/- 1724 )",14352,"(+/- 2196 )",16550,"(+/- 2341 )",14080,"(+/- 1859 )",9701,"(+/- 1551 )",21865,"(+/- 2643 )",18945,"(+/- 2196 )",15317,"(+/- 1718 )",16029,"(+/- 1679 )",17073,"(+/- 1763 )",13055,"(+/- 1377 )",18979,"(+/- 1566 )",18087,"(+/- 1849 )",16870,"(+/- 1560 )",16308,"(+/- 1877 )",19029,"(+/- 1852 )",17711,"(+/- 1824 )"
People,"Sex and Age","Median age (years)",42.7,"(+/- 1.2 )",39.2,"(+/- 0.7 )",45.4,"(+/- 1.1 )",40.6,"(+/- 0.7 )",37.5,"(+/- 0.8 )",40.9,"(+/- 0.7 )",33.5,"(+/- 0.5 )",36.1,"(+/- 0.7 )",36.8,"(+/- 0.7 )",37.0,"(+/- 0.8 )",40.0,"(+/- 0.6 )",35.7,"(+/- 0.6 )",34.9,"(+/- 0.6 )",38.8,"(+/- 0.5 )",31.4,"(+/- 0.5 )",40.5,"(+/- 0.7 )",38.8,"(+/- 0.6 )",39.5,"(+/- 0.6 )",44.9,"(+/- 0.5 )",39.3,"(+/- 0.5 )",40.6,"(+/- 0.5 )",41.1,"(+/- 0.5 )",40.5,"(+/- 0.3 )",40.0,"(+/- 0.3 )",38.9,"(+/- 0.4 )",38.2,"(+/- 0.7 )",44.2,"(+/- 0.8 )"
People,"Sex and Age","18 years and over",574227,"(+/- 5313 )",560895,"(+/- 9262 )",567735,"(+/- 12677 )",574302,"(+/- 7774 )",621220,"(+/- 13768 )",617910,"(+/- 13561 )",584902,"(+/- 16307 )",619203,"(+/- 12942 )",586800,"(+/- 13342 )",590503,"(+/- 14930 )",586922,"(+/- 8712 )",629899,"(+/- 15528 )",637144,"(+/- 16973 )",558072,"(+/- 14467 )",569036,"(+/- 10582 )",583936,"(+/- 9915 )",561823,"(+/- 5634 )",565243,"(+/- 5651 )",570024,"(+/- 5106 )",588881,"(+/- 3971 )",560697,"(+/- 3709 )",556292,"(+/- 2926 )",562005,"(+/- 3040 )",557048,"(+/- 2340 )",570247,"(+/- 2112 )",569573,"(+/- 4929 )",571363,"(+/- 5202 )"
People,"Sex and Age","65 years and over",127365,"(+/- 4449 )",104919,"(+/- 4773 )",147930,"(+/- 7480 )",119941,"(+/- 4755 )",110056,"(+/- 4092 )",133237,"(+/- 4791 )",84380,"(+/- 5160 )",111211,"(+/- 5692 )",111453,"(+/- 4802 )",116968,"(+/- 5782 )",120375,"(+/- 3299 )",107188,"(+/- 5231 )",101559,"(+/- 5036 )",99529,"(+/- 4815 )",76592,"(+/- 3643 )",127691,"(+/- 4847 )",117825,"(+/- 3620 )",111223,"(+/- 2672 )",138305,"(+/- 2503 )",122632,"(+/- 2373 )",121415,"(+/- 1916 )",128576,"(+/- 1613 )",127474,"(+/- 1465 )",118327,"(+/- 1126 )",121231,"(+/- 992 )",118229,"(+/- 3860 )",135418,"(+/- 4132 )"
People,Race,"Total population",718652,"(+/- 3672 )",721373,"(+/- 9198 )",725627,"(+/- 14277 )",728807,"(+/- 10230 )",798555,"(+/- 17108 )",761797,"(+/- 18042 )",755717,"(+/- 20767 )",793532,"(+/- 16988 )",750170,"(+/- 17743 )",733275,"(+/- 21186 )",755204,"(+/- 12472 )",714279,"(+/- 19880 )",802800,"(+/- 23638 )",691813,"(+/- 17987 )",781143,"(+/- 14839 )",742552,"(+/- 12724 )",746412,"(+/- 5554 )",730114,"(+/- 6715 )",700975,"(+/- 5707 )",732130,"(+/- 5337 )",705669,"(+/- 4288 )",696819,"(+/- 3805 )",702026,"(+/- 3929 )",707889,"(+/- 3055 )",719033,"(+/- 3499 )",714521,"(+/- 4881 )",718515,"(+/- 6160 )"
People,Race,"One race",706973,"(+/- 3915 )",702097,"(+/- 10025 )",710098,"(+/- 14187 )",700708,"(+/- 12284 )",767059,"(+/- 17461 )",740662,"(+/- 18463 )",728876,"(+/- 21146 )",770502,"(+/- 16573 )",728458,"(+/- 18588 )",711146,"(+/- 19689 )",735569,"(+/- 12113 )",693760,"(+/- 19526 )",748587,"(+/- 25957 )",670601,"(+/- 17944 )",754075,"(+/- 14815 )",720557,"(+/- 12250 )",726287,"(+/- 7010 )",706023,"(+/- 6521 )",682380,"(+/- 6179 )",705800,"(+/- 5946 )",690786,"(+/- 5087 )",682523,"(+/- 4308 )",685635,"(+/- 4717 )",684078,"(+/- 4071 )",695787,"(+/- 4855 )",690390,"(+/- 5965 )",707911,"(+/- 6579 )"
People,Race,White,627374,"(+/- 7875 )",538998,"(+/- 12816 )",528071,"(+/- 13308 )",465917,"(+/- 11939 )",139306,"(+/- 9239 )",330217,"(+/- 11514 )",364752,"(+/- 16696 )",244335,"(+/- 12566 )",279027,"(+/- 10946 )",499476,"(+/- 14428 )",517368,"(+/- 11364 )",518707,"(+/- 15024 )",210492,"(+/- 13658 )",298249,"(+/- 10926 )",133669,"(+/- 11903 )",337798,"(+/- 11338 )",518483,"(+/- 10380 )",562858,"(+/- 8203 )",615592,"(+/- 7016 )",580145,"(+/- 7250 )",646146,"(+/- 4712 )",624453,"(+/- 4682 )",634383,"(+/- 4329 )",594560,"(+/- 3490 )",536566,"(+/- 5038 )",505151,"(+/- 6293 )",671264,"(+/- 7037 )"
People,Race,"Black or African American",37140,"(+/- 4821 )",79729,"(+/- 6273 )",30856,"(+/- 6189 )",107046,"(+/- 5857 )",383985,"(+/- 9718 )",27818,"(+/- 4043 )",78038,"(+/- 9118 )",416704,"(+/- 14529 )",351773,"(+/- 11818 )",34118,"(+/- 6844 )",62492,"(+/- 4221 )",36774,"(+/- 5551 )",228167,"(+/- 10790 )",76703,"(+/- 6744 )",282080,"(+/- 11526 )",250943,"(+/- 11608 )",78346,"(+/- 4791 )",71673,"(+/- 5485 )",33744,"(+/- 2728 )",71078,"(+/- 3693 )",24939,"(+/- 1862 )",28308,"(+/- 1492 )",20147,"(+/- 1663 )",60423,"(+/- 2481 )",113925,"(+/- 3528 )",130629,"(+/- 4596 )",19406,"(+/- 2943 )"
People,Race,"American Indian and Alaska Native",1672,"(+/- 692 )",1220,"(+/- 611 )",1468,"(+/- 814 )",2789,"(+/- 1805 )",3577,"(+/- 1645 )",3001,"(+/- 1448 )",3726,"(+/- 1781 )",2056,"(+/- 1073 )",991,"(+/- 573 )",627,"(+/- 426 )",2265,"(+/- 1276 )",1097,"(+/- 691 )",6396,"(+/- 2683 )",2782,"(+/- 1313 )",6834,"(+/- 3153 )",4648,"(+/- 2289 )",2014,"(+/- 931 )",2278,"(+/- 1056 )",1534,"(+/- 581 )",1274,"(+/- 575 )",4698,"(+/- 1162 )",1896,"(+/- 669 )",3383,"(+/- 500 )",2151,"(+/- 782 )",3537,"(+/- 1815 )",2834,"(+/- 1043 )",5321,"(+/- 1628 )"
People,Race,Asian,27503,"(+/- 3010 )",25931,"(+/- 4846 )",119008,"(+/- 8287 )",51604,"(+/- 5905 )",121603,"(+/- 9593 )",310295,"(+/- 11537 )",146620,"(+/- 9728 )",41844,"(+/- 4539 )",60562,"(+/- 6541 )",137750,"(+/- 9467 )",115692,"(+/- 5948 )",101278,"(+/- 7021 )",42681,"(+/- 6272 )",124330,"(+/- 9888 )",13947,"(+/- 2421 )",39495,"(+/- 4841 )",44676,"(+/- 3947 )",23637,"(+/- 2656 )",13031,"(+/- 1270 )",39334,"(+/- 2083 )",6393,"(+/- 1188 )",21107,"(+/- 1203 )",18761,"(+/- 1192 )",21103,"(+/- 1100 )",29021,"(+/- 1444 )",32031,"(+/- 2267 )",5426,"(+/- 1818 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 200 )",0,"(+/- 200 )",511,"(+/- 409 )",51,"(+/- 89 )",562,"(+/- 397 )",63,"(+/- 128 )",327,"(+/- 288 )",178,"(+/- 176 )",137,"(+/- 181 )",75,"(+/- 129 )",138,"(+/- 170 )",476,"(+/- 457 )",608,"(+/- 578 )",632,"(+/- 520 )",920,"(+/- 907 )",376,"(+/- 359 )",179,"(+/- 204 )",440,"(+/- 493 )",64,"(+/- 82 )",112,"(+/- 161 )",882,"(+/- 632 )",130,"(+/- 119 )",119,"(+/- 176 )",114,"(+/- 180 )",69,"(+/- 113 )",100,"(+/- 154 )",134,"(+/- 138 )"
People,Race,"Some other race",13284,"(+/- 4269 )",56219,"(+/- 10317 )",30184,"(+/- 5572 )",73301,"(+/- 8262 )",118026,"(+/- 11480 )",69268,"(+/- 9947 )",135413,"(+/- 12160 )",65385,"(+/- 9101 )",35968,"(+/- 5981 )",39100,"(+/- 7194 )",37614,"(+/- 5807 )",35428,"(+/- 8977 )",260243,"(+/- 17474 )",167905,"(+/- 15641 )",316625,"(+/- 15812 )",87297,"(+/- 9022 )",82589,"(+/- 8993 )",45137,"(+/- 5918 )",18415,"(+/- 3419 )",13857,"(+/- 3206 )",7728,"(+/- 1287 )",6629,"(+/- 2052 )",8842,"(+/- 1845 )",5727,"(+/- 1414 )",12669,"(+/- 2444 )",19645,"(+/- 3032 )",6360,"(+/- 1327 )"
People,Race,"Two or more races",11679,"(+/- 2307 )",19276,"(+/- 3528 )",15529,"(+/- 2960 )",28099,"(+/- 5281 )",31496,"(+/- 4690 )",21135,"(+/- 4819 )",26841,"(+/- 3614 )",23030,"(+/- 3921 )",21712,"(+/- 3441 )",22129,"(+/- 4213 )",19635,"(+/- 3830 )",20519,"(+/- 3056 )",54213,"(+/- 8482 )",21212,"(+/- 3709 )",27068,"(+/- 4412 )",21995,"(+/- 4243 )",20125,"(+/- 3784 )",24091,"(+/- 3727 )",18595,"(+/- 3255 )",26330,"(+/- 3784 )",14883,"(+/- 2170 )",14296,"(+/- 2355 )",16391,"(+/- 2360 )",23811,"(+/- 2794 )",23246,"(+/- 3091 )",24131,"(+/- 3559 )",10604,"(+/- 2408 )"
People,"Hispanic or Latino and Race","Total population",718652,"(+/- 3672 )",721373,"(+/- 9198 )",725627,"(+/- 14277 )",728807,"(+/- 10230 )",798555,"(+/- 17108 )",761797,"(+/- 18042 )",755717,"(+/- 20767 )",793532,"(+/- 16988 )",750170,"(+/- 17743 )",733275,"(+/- 21186 )",755204,"(+/- 12472 )",714279,"(+/- 19880 )",802800,"(+/- 23638 )",691813,"(+/- 17987 )",781143,"(+/- 14839 )",742552,"(+/- 12724 )",746412,"(+/- 5554 )",730114,"(+/- 6715 )",700975,"(+/- 5707 )",732130,"(+/- 5337 )",705669,"(+/- 4288 )",696819,"(+/- 3805 )",702026,"(+/- 3929 )",707889,"(+/- 3055 )",719033,"(+/- 3499 )",714521,"(+/- 4881 )",718515,"(+/- 6160 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",106619,"(+/- 10195 )",180587,"(+/- 11070 )",77012,"(+/- 8985 )",155489,"(+/- 7006 )",156099,"(+/- 12535 )",155453,"(+/- 12014 )",305777,"(+/- 14651 )",151559,"(+/- 11410 )",76927,"(+/- 7536 )",93784,"(+/- 10861 )",125833,"(+/- 6652 )",105148,"(+/- 10932 )",440230,"(+/- 17686 )",330175,"(+/- 14689 )",520380,"(+/- 13438 )",187238,"(+/- 9295 )",171975,"(+/- 6464 )",125515,"(+/- 3267 )",54222,"(+/- 2978 )",47888,"(+/- 1198 )",24885,"(+/- 1078 )",26838,"(+/- 405 )",28849,"(+/- 823 )",31965,"(+/- 250 )",65183,"(+/- 572 )",46089,"(+/- 2302 )",19935,"(+/- 2558 )"
People,"Hispanic or Latino and Race",Mexican,3859,"(+/- 1478 )",6857,"(+/- 2959 )",6073,"(+/- 2571 )",4663,"(+/- 2187 )",9465,"(+/- 3395 )",13469,"(+/- 3952 )",62133,"(+/- 10387 )",17265,"(+/- 4356 )",13629,"(+/- 4325 )",19980,"(+/- 4559 )",31000,"(+/- 7510 )",20972,"(+/- 7324 )",47293,"(+/- 9658 )",51062,"(+/- 8758 )",47178,"(+/- 8908 )",28592,"(+/- 5547 )",16324,"(+/- 3549 )",20804,"(+/- 3681 )",11891,"(+/- 2928 )",6283,"(+/- 2180 )",5624,"(+/- 1486 )",3657,"(+/- 1275 )",5398,"(+/- 1163 )",3703,"(+/- 1123 )",4677,"(+/- 1334 )",3247,"(+/- 1244 )",5393,"(+/- 1784 )"
People,"Hispanic or Latino and Race","Puerto Rican",25506,"(+/- 5183 )",43769,"(+/- 6641 )",13176,"(+/- 3405 )",23015,"(+/- 3944 )",36952,"(+/- 5718 )",32665,"(+/- 5632 )",98672,"(+/- 8913 )",56876,"(+/- 6960 )",22497,"(+/- 3743 )",29921,"(+/- 7405 )",52568,"(+/- 5646 )",28111,"(+/- 4493 )",97430,"(+/- 11559 )",62190,"(+/- 6218 )",158871,"(+/- 10283 )",58905,"(+/- 6978 )",31091,"(+/- 4735 )",52662,"(+/- 5067 )",18673,"(+/- 3095 )",24311,"(+/- 3000 )",9939,"(+/- 1666 )",15266,"(+/- 1569 )",15162,"(+/- 1499 )",15307,"(+/- 2238 )",45037,"(+/- 3041 )",35744,"(+/- 2837 )",8807,"(+/- 2119 )"
People,"Hispanic or Latino and Race",Cuban,4952,"(+/- 2605 )",2467,"(+/- 1037 )",3041,"(+/- 1089 )",4718,"(+/- 1635 )",2280,"(+/- 1051 )",2322,"(+/- 847 )",2428,"(+/- 816 )",3538,"(+/- 1655 )",1723,"(+/- 681 )",3066,"(+/- 1159 )",1145,"(+/- 560 )",4250,"(+/- 1352 )",6893,"(+/- 2116 )",3556,"(+/- 1308 )",4133,"(+/- 1445 )",2512,"(+/- 1011 )",5753,"(+/- 1936 )",4049,"(+/- 1995 )",2682,"(+/- 1097 )",2043,"(+/- 949 )",441,"(+/- 298 )",949,"(+/- 543 )",548,"(+/- 311 )",2881,"(+/- 1368 )",4769,"(+/- 2138 )",889,"(+/- 717 )",450,"(+/- 286 )"
