Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Hispanic or Latino and Race",Mexican,29905,"(+/- 2395 )",33632,"(+/- 2821 )",18652,"(+/- 3973 )",31067,"(+/- 2690 )",44836,"(+/- 4806 )",16076,"(+/- 2405 )",21413,"(+/- 1617 )",8367,"(+/- 621 )"
People,"Hispanic or Latino and Race","Puerto Rican",1370,"(+/- 858 )",3783,"(+/- 1410 )",1407,"(+/- 756 )",2214,"(+/- 1421 )",3275,"(+/- 1340 )",1390,"(+/- 699 )",692,"(+/- 566 )",1213,"(+/- 586 )"
People,"Hispanic or Latino and Race",Cuban,455,"(+/- 379 )",84,"(+/- 107 )",414,"(+/- 394 )",1096,"(+/- 750 )",1994,"(+/- 1010 )",136,"(+/- 146 )",102,"(+/- 119 )",460,"(+/- 295 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",10824,"(+/- 2057 )",7249,"(+/- 1982 )",6272,"(+/- 2137 )",14285,"(+/- 2729 )",21303,"(+/- 3493 )",4405,"(+/- 1208 )",6295,"(+/- 1571 )",2000,"(+/- 642 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",633201,"(+/- 2532 )",660326,"(+/- 2433 )",687554,"(+/- 7024 )",665413,"(+/- 3995 )",649981,"(+/- 7302 )",694002,"(+/- 6056 )",634193,"(+/- 3238 )",655270,"(+/- 1639 )"
People,"Place of Birth","Total population",675755,"(+/- 2875 )",705074,"(+/- 2496 )",714299,"(+/- 5441 )",714075,"(+/- 3806 )",721389,"(+/- 5788 )",716009,"(+/- 5430 )",662695,"(+/- 3304 )",667310,"(+/- 1650 )"
People,"Place of Birth",Native,629424,"(+/- 3910 )",641896,"(+/- 4807 )",631062,"(+/- 7905 )",608677,"(+/- 6718 )",604638,"(+/- 9259 )",679540,"(+/- 6822 )",640589,"(+/- 3515 )",654537,"(+/- 2312 )"
People,"Place of Birth","Born in United States",626123,"(+/- 4042 )",636089,"(+/- 5022 )",625766,"(+/- 7961 )",603075,"(+/- 6866 )",595839,"(+/- 9340 )",675025,"(+/- 6899 )",637811,"(+/- 3477 )",649659,"(+/- 2382 )"
People,"Place of Birth","State of residence",460969,"(+/- 6124 )",470675,"(+/- 6611 )",445813,"(+/- 9213 )",437082,"(+/- 7652 )",389495,"(+/- 8447 )",555056,"(+/- 7225 )",473192,"(+/- 5586 )",526774,"(+/- 4423 )"
People,"Place of Birth","Different state",165154,"(+/- 5415 )",165414,"(+/- 6807 )",179953,"(+/- 6679 )",165993,"(+/- 6955 )",206344,"(+/- 7505 )",119969,"(+/- 5789 )",164619,"(+/- 5152 )",122885,"(+/- 4142 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3301,"(+/- 870 )",5807,"(+/- 1241 )",5296,"(+/- 1329 )",5602,"(+/- 1407 )",8799,"(+/- 1951 )",4515,"(+/- 1254 )",2778,"(+/- 621 )",4878,"(+/- 1098 )"
People,"Place of Birth","Foreign born",46331,"(+/- 3100 )",63178,"(+/- 4167 )",83237,"(+/- 5750 )",105398,"(+/- 5517 )",116751,"(+/- 7081 )",36469,"(+/- 3785 )",22106,"(+/- 2032 )",12773,"(+/- 1766 )"
People,Ancestry,"Total population",675755,"(+/- 2875 )",705074,"(+/- 2496 )",714299,"(+/- 5441 )",714075,"(+/- 3806 )",721389,"(+/- 5788 )",716009,"(+/- 5430 )",662695,"(+/- 3304 )",667310,"(+/- 1650 )"
People,Ancestry,American,24519,"(+/- 2869 )",17950,"(+/- 2708 )",21498,"(+/- 3460 )",19222,"(+/- 3315 )",14880,"(+/- 2268 )",31622,"(+/- 4947 )",16184,"(+/- 1847 )",25828,"(+/- 3269 )"
People,Ancestry,Arab,1564,"(+/- 977 )",4966,"(+/- 1951 )",2619,"(+/- 1040 )",3298,"(+/- 1280 )",3720,"(+/- 1587 )",3421,"(+/- 2108 )",1729,"(+/- 1167 )",1161,"(+/- 718 )"
People,Ancestry,Czech,17557,"(+/- 2470 )",16222,"(+/- 3103 )",8633,"(+/- 2099 )",9098,"(+/- 1761 )",8695,"(+/- 1639 )",9691,"(+/- 2319 )",10432,"(+/- 1058 )",9486,"(+/- 1905 )"
People,Ancestry,Danish,12003,"(+/- 1603 )",10466,"(+/- 2196 )",10593,"(+/- 1490 )",7759,"(+/- 1487 )",7112,"(+/- 1295 )",7949,"(+/- 1710 )",9836,"(+/- 1456 )",9004,"(+/- 1388 )"
People,Ancestry,Dutch,15455,"(+/- 1869 )",10470,"(+/- 2245 )",12674,"(+/- 2391 )",9031,"(+/- 1845 )",10290,"(+/- 1664 )",13615,"(+/- 2611 )",17654,"(+/- 2077 )",10911,"(+/- 1572 )"
People,Ancestry,English,33239,"(+/- 3013 )",40065,"(+/- 3443 )",48438,"(+/- 4410 )",35898,"(+/- 3335 )",37962,"(+/- 3350 )",29419,"(+/- 3319 )",26774,"(+/- 2913 )",36321,"(+/- 2729 )"
People,Ancestry,"French (except Basque)",17556,"(+/- 2038 )",18493,"(+/- 3184 )",26470,"(+/- 3178 )",24127,"(+/- 2365 )",18534,"(+/- 1981 )",29337,"(+/- 3341 )",19647,"(+/- 1954 )",25190,"(+/- 2070 )"
People,Ancestry,"French Canadian",3248,"(+/- 818 )",6829,"(+/- 1803 )",5416,"(+/- 1538 )",8545,"(+/- 2235 )",4860,"(+/- 827 )",10226,"(+/- 1785 )",4784,"(+/- 945 )",12117,"(+/- 1744 )"
People,Ancestry,German,265161,"(+/- 7350 )",240010,"(+/- 8767 )",203999,"(+/- 7740 )",175954,"(+/- 7139 )",159284,"(+/- 6068 )",284210,"(+/- 9034 )",255296,"(+/- 6043 )",204950,"(+/- 5585 )"
People,Ancestry,Greek,1050,"(+/- 587 )",1222,"(+/- 602 )",1995,"(+/- 900 )",1174,"(+/- 807 )",2653,"(+/- 862 )",1138,"(+/- 907 )",524,"(+/- 290 )",1448,"(+/- 652 )"
People,Ancestry,Hungarian,878,"(+/- 571 )",1678,"(+/- 610 )",2178,"(+/- 1017 )",2236,"(+/- 803 )",2489,"(+/- 841 )",972,"(+/- 455 )",834,"(+/- 383 )",1406,"(+/- 468 )"
People,Ancestry,Irish,64881,"(+/- 3208 )",91129,"(+/- 5716 )",79339,"(+/- 5360 )",80115,"(+/- 4504 )",70025,"(+/- 3632 )",72452,"(+/- 6159 )",45579,"(+/- 2889 )",64413,"(+/- 4367 )"
People,Ancestry,Italian,8073,"(+/- 1446 )",18444,"(+/- 2401 )",16912,"(+/- 2470 )",22803,"(+/- 2642 )",18275,"(+/- 2192 )",14456,"(+/- 2702 )",7077,"(+/- 1349 )",19674,"(+/- 2117 )"
People,Ancestry,Lithuanian,213,"(+/- 123 )",921,"(+/- 356 )",2000,"(+/- 1005 )",725,"(+/- 317 )",917,"(+/- 381 )",1325,"(+/- 909 )",285,"(+/- 189 )",381,"(+/- 201 )"
People,Ancestry,Norwegian,118943,"(+/- 5409 )",92584,"(+/- 5894 )",92775,"(+/- 5900 )",61191,"(+/- 4053 )",68193,"(+/- 3680 )",98907,"(+/- 7806 )",157516,"(+/- 5917 )",96189,"(+/- 4236 )"
People,Ancestry,Polish,25424,"(+/- 2679 )",24738,"(+/- 3058 )",28430,"(+/- 2701 )",29310,"(+/- 2833 )",28667,"(+/- 2849 )",50415,"(+/- 5196 )",22048,"(+/- 2136 )",38913,"(+/- 3302 )"
People,Ancestry,Portuguese,325,"(+/- 241 )",526,"(+/- 400 )",475,"(+/- 482 )",899,"(+/- 895 )",577,"(+/- 407 )",923,"(+/- 981 )",74,"(+/- 63 )",109,"(+/- 80 )"
People,Ancestry,Russian,2595,"(+/- 861 )",6440,"(+/- 1762 )",7350,"(+/- 1785 )",3704,"(+/- 1091 )",8090,"(+/- 1524 )",2189,"(+/- 898 )",1948,"(+/- 520 )",2535,"(+/- 730 )"
People,Ancestry,Scotch-Irish,2529,"(+/- 638 )",3684,"(+/- 1082 )",4075,"(+/- 1300 )",4291,"(+/- 1109 )",4217,"(+/- 915 )",1685,"(+/- 503 )",3297,"(+/- 767 )",3623,"(+/- 715 )"
People,Ancestry,Scottish,6588,"(+/- 1173 )",9283,"(+/- 1554 )",10943,"(+/- 1548 )",10387,"(+/- 1491 )",9706,"(+/- 1349 )",7271,"(+/- 1743 )",4464,"(+/- 769 )",8977,"(+/- 1326 )"
People,Ancestry,Slovak,491,"(+/- 358 )",851,"(+/- 384 )",863,"(+/- 484 )",753,"(+/- 442 )",1528,"(+/- 652 )",961,"(+/- 644 )",594,"(+/- 309 )",1092,"(+/- 547 )"
People,Ancestry,"Subsaharan African",13275,"(+/- 1926 )",20329,"(+/- 3350 )",30203,"(+/- 5185 )",28886,"(+/- 5450 )",58225,"(+/- 6910 )",20111,"(+/- 3530 )",6399,"(+/- 1202 )",1943,"(+/- 906 )"
People,Ancestry,Swedish,28523,"(+/- 2312 )",43149,"(+/- 2858 )",64607,"(+/- 5496 )",49490,"(+/- 3963 )",49816,"(+/- 3227 )",64329,"(+/- 4681 )",48173,"(+/- 2645 )",75144,"(+/- 4076 )"
People,Ancestry,Swiss,3127,"(+/- 786 )",2284,"(+/- 612 )",2214,"(+/- 747 )",3518,"(+/- 1075 )",2383,"(+/- 760 )",2449,"(+/- 1126 )",1629,"(+/- 416 )",1755,"(+/- 587 )"
People,Ancestry,Ukrainian,733,"(+/- 381 )",2314,"(+/- 922 )",4223,"(+/- 1878 )",1705,"(+/- 621 )",2667,"(+/- 683 )",1423,"(+/- 612 )",2209,"(+/- 779 )",1043,"(+/- 361 )"
People,Ancestry,Welsh,2813,"(+/- 584 )",4476,"(+/- 1700 )",4299,"(+/- 1405 )",4227,"(+/- 1143 )",3902,"(+/- 1021 )",3456,"(+/- 1547 )",1993,"(+/- 864 )",1609,"(+/- 495 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",423,"(+/- 290 )",572,"(+/- 369 )",2325,"(+/- 1522 )",1347,"(+/- 758 )",2472,"(+/- 1053 )",420,"(+/- 356 )",444,"(+/- 281 )",191,"(+/- 184 )"
People,"Veteran Status","Civilian population 18 years and over",519637,"(+/- 1841 )",527753,"(+/- 2285 )",544968,"(+/- 5866 )",546030,"(+/- 3151 )",572084,"(+/- 5959 )",533571,"(+/- 4668 )",507336,"(+/- 2330 )",525209,"(+/- 1666 )"
People,"Veteran Status","Civilian veterans",39431,"(+/- 2083 )",35971,"(+/- 2444 )",34500,"(+/- 2791 )",31129,"(+/- 2227 )",27627,"(+/- 2401 )",40578,"(+/- 2621 )",41835,"(+/- 1883 )",52453,"(+/- 2217 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",665889,"(+/- 3132 )",700222,"(+/- 2703 )",711215,"(+/- 5537 )",707196,"(+/- 4216 )",715181,"(+/- 6030 )",709535,"(+/- 5841 )",654345,"(+/- 3280 )",655616,"(+/- 2570 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",78273,"(+/- 3979 )",61102,"(+/- 3270 )",66119,"(+/- 4643 )",77807,"(+/- 4320 )",79103,"(+/- 4180 )",70865,"(+/- 3761 )",85159,"(+/- 3648 )",97418,"(+/- 3628 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",155725,"(+/- 1833 )",176774,"(+/- 2074 )",168870,"(+/- 4423 )",167590,"(+/- 2097 )",148948,"(+/- 4721 )",181727,"(+/- 3210 )",154956,"(+/- 1930 )",140937,"(+/- 1053 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7400,"(+/- 1348 )",5293,"(+/- 1284 )",6052,"(+/- 1765 )",6264,"(+/- 1101 )",7359,"(+/- 1980 )",7082,"(+/- 1453 )",6146,"(+/- 1026 )",6317,"(+/- 1002 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",399300,"(+/- 2399 )",432917,"(+/- 2514 )",433855,"(+/- 6416 )",440139,"(+/- 3206 )",484524,"(+/- 6308 )",439001,"(+/- 4538 )",377478,"(+/- 2340 )",387312,"(+/- 2196 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37849,"(+/- 3084 )",30506,"(+/- 2160 )",29509,"(+/- 3371 )",42513,"(+/- 3090 )",44001,"(+/- 3131 )",34004,"(+/- 3126 )",38628,"(+/- 2574 )",48072,"(+/- 2658 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",110864,"(+/- 1417 )",90531,"(+/- 1818 )",108490,"(+/- 3588 )",99467,"(+/- 1740 )",81709,"(+/- 3193 )",88807,"(+/- 2324 )",121911,"(+/- 1403 )",127367,"(+/- 1078 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33024,"(+/- 2033 )",25303,"(+/- 1942 )",30558,"(+/- 2501 )",29030,"(+/- 2243 )",27743,"(+/- 1937 )",29779,"(+/- 1949 )",40385,"(+/- 1964 )",43029,"(+/- 1747 )"
People,"Residence 1 Year Ago","Population 1 year and over",669097,"(+/- 2900 )",696952,"(+/- 2650 )",705986,"(+/- 5583 )",704454,"(+/- 4182 )",713057,"(+/- 5907 )",706692,"(+/- 5672 )",653682,"(+/- 3382 )",660982,"(+/- 1779 )"
People,"Residence 1 Year Ago","Same house",584790,"(+/- 5023 )",607322,"(+/- 6423 )",624492,"(+/- 9463 )",582865,"(+/- 9334 )",570046,"(+/- 9682 )",624344,"(+/- 8165 )",570398,"(+/- 5366 )",564491,"(+/- 6188 )"
People,"Residence 1 Year Ago","Different house in the U.S.",80601,"(+/- 4415 )",88517,"(+/- 6487 )",79041,"(+/- 7916 )",116760,"(+/- 8563 )",137421,"(+/- 7926 )",79148,"(+/- 6067 )",81544,"(+/- 5079 )",95863,"(+/- 6337 )"
People,"Residence 1 Year Ago","Same county",40305,"(+/- 3612 )",41116,"(+/- 5471 )",47953,"(+/- 6465 )",62914,"(+/- 6975 )",83286,"(+/- 7334 )",33902,"(+/- 5179 )",43207,"(+/- 4281 )",48880,"(+/- 4636 )"
People,"Residence 1 Year Ago","Different county",40296,"(+/- 3396 )",47401,"(+/- 4866 )",31088,"(+/- 4235 )",53846,"(+/- 5297 )",54135,"(+/- 4805 )",45246,"(+/- 4315 )",38337,"(+/- 3053 )",46983,"(+/- 3612 )"
People,"Residence 1 Year Ago","Same state",24034,"(+/- 2628 )",31823,"(+/- 3710 )",17964,"(+/- 2774 )",40152,"(+/- 4377 )",30702,"(+/- 3302 )",36017,"(+/- 3690 )",24586,"(+/- 2425 )",36431,"(+/- 3252 )"
People,"Residence 1 Year Ago","Different state",16262,"(+/- 2397 )",15578,"(+/- 3721 )",13124,"(+/- 2970 )",13694,"(+/- 2592 )",23433,"(+/- 3169 )",9229,"(+/- 2053 )",13751,"(+/- 1975 )",10552,"(+/- 1523 )"
People,"Residence 1 Year Ago",Abroad,3706,"(+/- 1434 )",1113,"(+/- 409 )",2453,"(+/- 962 )",4829,"(+/- 1828 )",5590,"(+/- 1264 )",3200,"(+/- 2487 )",1740,"(+/- 940 )",628,"(+/- 294 )"
Workers,"Employment Status","Population 16 years and over",538293,"(+/- 2174 )",549082,"(+/- 2878 )",566059,"(+/- 6071 )",563932,"(+/- 3512 )",585896,"(+/- 5781 )",554471,"(+/- 5126 )",523808,"(+/- 2743 )",541294,"(+/- 1713 )"
Workers,"Employment Status","In labor force",365419,"(+/- 4413 )",403362,"(+/- 5114 )",403838,"(+/- 7770 )",393753,"(+/- 4900 )",430084,"(+/- 6477 )",406185,"(+/- 5623 )",339345,"(+/- 3856 )",331131,"(+/- 3934 )"
Workers,"Employment Status","Civilian labor force",365277,"(+/- 4431 )",402933,"(+/- 5084 )",403590,"(+/- 7724 )",393452,"(+/- 4904 )",429940,"(+/- 6473 )",405738,"(+/- 5658 )",339280,"(+/- 3862 )",330671,"(+/- 3943 )"
Workers,"Employment Status",Employed,353825,"(+/- 4511 )",387825,"(+/- 5116 )",391518,"(+/- 7626 )",377881,"(+/- 4767 )",411618,"(+/- 6721 )",393102,"(+/- 5789 )",329552,"(+/- 3853 )",314803,"(+/- 4327 )"
Workers,"Employment Status",Unemployed,11452,"(+/- 1546 )",15108,"(+/- 2289 )",12072,"(+/- 1612 )",15571,"(+/- 2108 )",18322,"(+/- 2112 )",12636,"(+/- 1786 )",9728,"(+/- 1275 )",15868,"(+/- 1671 )"
Workers,"Employment Status","Armed Forces",142,"(+/- 142 )",429,"(+/- 267 )",248,"(+/- 217 )",301,"(+/- 221 )",144,"(+/- 228 )",447,"(+/- 401 )",65,"(+/- 44 )",460,"(+/- 267 )"
Workers,"Employment Status","Not in labor force",172874,"(+/- 4077 )",145720,"(+/- 4766 )",162221,"(+/- 5973 )",170179,"(+/- 4385 )",155812,"(+/- 5015 )",148286,"(+/- 4298 )",184463,"(+/- 3348 )",210163,"(+/- 3837 )"
Workers,"Employment Status","Civilian labor force",365277,"(+/- 4431 )",402933,"(+/- 5084 )",403590,"(+/- 7724 )",393452,"(+/- 4904 )",429940,"(+/- 6473 )",405738,"(+/- 5658 )",339280,"(+/- 3862 )",330671,"(+/- 3943 )"
Workers,"Employment Status","Unemployment Rate",3.1,"(+/- 0.4 )",3.7,"(+/- 0.6 )",3.0,"(+/- 0.4 )",4.0,"(+/- 0.5 )",4.3,"(+/- 0.5 )",3.1,"(+/- 0.4 )",2.9,"(+/- 0.4 )",4.8,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",347101,"(+/- 4571 )",381076,"(+/- 5238 )",385092,"(+/- 7650 )",369148,"(+/- 4939 )",403693,"(+/- 6651 )",388664,"(+/- 5816 )",324725,"(+/- 3689 )",309272,"(+/- 4329 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",273642,"(+/- 4874 )",309509,"(+/- 5668 )",311025,"(+/- 7324 )",270507,"(+/- 5955 )",273095,"(+/- 6827 )",325910,"(+/- 6725 )",257893,"(+/- 4253 )",247866,"(+/- 4468 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",29335,"(+/- 2397 )",29062,"(+/- 2822 )",27705,"(+/- 3370 )",40156,"(+/- 3208 )",31116,"(+/- 2900 )",26391,"(+/- 2633 )",27459,"(+/- 1851 )",25844,"(+/- 2143 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6871,"(+/- 1211 )",9834,"(+/- 1598 )",14856,"(+/- 2757 )",22044,"(+/- 2350 )",39386,"(+/- 3309 )",7431,"(+/- 1438 )",2019,"(+/- 738 )",4439,"(+/- 1024 )"
Workers,"Commuting to Work",Walked,12640,"(+/- 1448 )",5216,"(+/- 1006 )",3959,"(+/- 1006 )",8512,"(+/- 1450 )",18411,"(+/- 2237 )",5474,"(+/- 1078 )",11358,"(+/- 1574 )",11017,"(+/- 1198 )"
Workers,"Commuting to Work","Other means",4299,"(+/- 974 )",3545,"(+/- 860 )",4290,"(+/- 1398 )",6869,"(+/- 1019 )",17542,"(+/- 2516 )",3612,"(+/- 1057 )",3701,"(+/- 730 )",3862,"(+/- 766 )"
Workers,"Commuting to Work","Worked at home",20314,"(+/- 2051 )",23910,"(+/- 2441 )",23257,"(+/- 2326 )",21060,"(+/- 2026 )",24143,"(+/- 2559 )",19846,"(+/- 2329 )",22295,"(+/- 1935 )",16244,"(+/- 1405 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.6,"(+/- 0.4 )",25.3,"(+/- 0.5 )",24.6,"(+/- 0.5 )",24.7,"(+/- 0.4 )",23.3,"(+/- 0.4 )",27.4,"(+/- 0.6 )",19.5,"(+/- 0.4 )",24.9,"(+/- 0.6 )"
