Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Hispanic or Latino and Race","Total population",714912,"(+/- 2191 )",747673,"(+/- 2107 )",733082,"(+/- 4245 )",782024,"(+/- 6395 )",774096,"(+/- 1909 )",772984,"(+/- 2855 )",778057,"(+/- 4496 )",716130,"(+/- 6818 )",697026,"(+/- 6888 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",26586,"(+/- 1429 )",31556,"(+/- 923 )",29591,"(+/- 1212 )",52143,"(+/- 1347 )",72718,"(+/- 415 )",34894,"(+/- 296 )",38243,"(+/- 1628 )",24278,"(+/- 2916 )",51194,"(+/- 2628 )"
People,"Hispanic or Latino and Race",Mexican,17406,"(+/- 2343 )",17511,"(+/- 2848 )",17184,"(+/- 3000 )",34424,"(+/- 3098 )",38849,"(+/- 5103 )",20842,"(+/- 2599 )",21761,"(+/- 2743 )",15241,"(+/- 2459 )",36740,"(+/- 4224 )"
People,"Hispanic or Latino and Race","Puerto Rican",2558,"(+/- 1451 )",4144,"(+/- 1898 )",2622,"(+/- 1079 )",3601,"(+/- 1302 )",6557,"(+/- 2404 )",2533,"(+/- 1183 )",6432,"(+/- 2125 )",1649,"(+/- 829 )",1199,"(+/- 651 )"
People,"Hispanic or Latino and Race",Cuban,189,"(+/- 178 )",2075,"(+/- 1308 )",1049,"(+/- 1002 )",569,"(+/- 532 )",3318,"(+/- 1816 )",2259,"(+/- 1518 )",1250,"(+/- 948 )",684,"(+/- 628 )",171,"(+/- 197 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6433,"(+/- 1989 )",7826,"(+/- 2362 )",8736,"(+/- 2623 )",13549,"(+/- 3179 )",23994,"(+/- 4566 )",9260,"(+/- 1994 )",8800,"(+/- 2108 )",6704,"(+/- 2045 )",13084,"(+/- 3630 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",688326,"(+/- 2617 )",716117,"(+/- 2202 )",703491,"(+/- 4570 )",729881,"(+/- 6137 )",701378,"(+/- 1983 )",738090,"(+/- 2860 )",739814,"(+/- 4226 )",691852,"(+/- 7097 )",645832,"(+/- 7201 )"
People,"Place of Birth","Total population",714912,"(+/- 2191 )",747673,"(+/- 2107 )",733082,"(+/- 4245 )",782024,"(+/- 6395 )",774096,"(+/- 1909 )",772984,"(+/- 2855 )",778057,"(+/- 4496 )",716130,"(+/- 6818 )",697026,"(+/- 6888 )"
People,"Place of Birth",Native,692535,"(+/- 3532 )",714662,"(+/- 4030 )",705429,"(+/- 5392 )",735478,"(+/- 7539 )",686164,"(+/- 6564 )",741789,"(+/- 5300 )",750095,"(+/- 5389 )",692002,"(+/- 6903 )",650076,"(+/- 7310 )"
People,"Place of Birth","Born in United States",688925,"(+/- 3660 )",710066,"(+/- 4211 )",700380,"(+/- 5138 )",727216,"(+/- 7913 )",676608,"(+/- 6676 )",735927,"(+/- 5609 )",738662,"(+/- 6191 )",686579,"(+/- 6820 )",647497,"(+/- 7369 )"
People,"Place of Birth","State of residence",426928,"(+/- 8215 )",442149,"(+/- 8717 )",466421,"(+/- 9515 )",473406,"(+/- 10609 )",398642,"(+/- 9209 )",464619,"(+/- 8242 )",401960,"(+/- 8096 )",476511,"(+/- 9137 )",460772,"(+/- 8688 )"
People,"Place of Birth","Different state",261997,"(+/- 8034 )",267917,"(+/- 9191 )",233959,"(+/- 8940 )",253810,"(+/- 9550 )",277966,"(+/- 8625 )",271308,"(+/- 8031 )",336702,"(+/- 9040 )",210068,"(+/- 6997 )",186725,"(+/- 7644 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3610,"(+/- 1190 )",4596,"(+/- 1120 )",5049,"(+/- 1222 )",8262,"(+/- 1764 )",9556,"(+/- 2020 )",5862,"(+/- 1210 )",11433,"(+/- 2135 )",5423,"(+/- 1321 )",2579,"(+/- 733 )"
People,"Place of Birth","Foreign born",22377,"(+/- 2790 )",33011,"(+/- 3243 )",27653,"(+/- 3452 )",46546,"(+/- 3785 )",87932,"(+/- 6702 )",31195,"(+/- 4512 )",27962,"(+/- 2835 )",24128,"(+/- 2665 )",46950,"(+/- 4671 )"
People,Ancestry,"Total population",714912,"(+/- 2191 )",747673,"(+/- 2107 )",733082,"(+/- 4245 )",782024,"(+/- 6395 )",774096,"(+/- 1909 )",772984,"(+/- 2855 )",778057,"(+/- 4496 )",716130,"(+/- 6818 )",697026,"(+/- 6888 )"
People,Ancestry,American,147272,"(+/- 11036 )",88195,"(+/- 6430 )",105455,"(+/- 8761 )",86455,"(+/- 6764 )",81847,"(+/- 6555 )",109033,"(+/- 8010 )",114155,"(+/- 7368 )",104984,"(+/- 7380 )",26290,"(+/- 4075 )"
People,Ancestry,Arab,274,"(+/- 360 )",2855,"(+/- 2216 )",613,"(+/- 433 )",3607,"(+/- 1922 )",21591,"(+/- 5444 )",3010,"(+/- 1646 )",853,"(+/- 719 )",2331,"(+/- 1295 )",4209,"(+/- 1911 )"
People,Ancestry,Czech,873,"(+/- 578 )",1818,"(+/- 1067 )",688,"(+/- 497 )",1020,"(+/- 493 )",2259,"(+/- 1177 )",1434,"(+/- 777 )",1146,"(+/- 744 )",1178,"(+/- 640 )",217,"(+/- 147 )"
People,Ancestry,Danish,188,"(+/- 180 )",979,"(+/- 597 )",1385,"(+/- 982 )",860,"(+/- 481 )",1149,"(+/- 488 )",670,"(+/- 428 )",1385,"(+/- 856 )",830,"(+/- 655 )",277,"(+/- 236 )"
People,Ancestry,Dutch,8974,"(+/- 1989 )",9672,"(+/- 1754 )",6540,"(+/- 1307 )",9606,"(+/- 1714 )",6738,"(+/- 1820 )",10959,"(+/- 2664 )",8179,"(+/- 3187 )",6119,"(+/- 1667 )",1269,"(+/- 507 )"
People,Ancestry,English,77803,"(+/- 5948 )",71894,"(+/- 5090 )",60359,"(+/- 4708 )",57270,"(+/- 4739 )",54329,"(+/- 4069 )",73744,"(+/- 6635 )",68430,"(+/- 5958 )",55860,"(+/- 4877 )",22478,"(+/- 2484 )"
People,Ancestry,"French (except Basque)",10329,"(+/- 2432 )",12400,"(+/- 2349 )",11790,"(+/- 2097 )",12884,"(+/- 2644 )",11865,"(+/- 1902 )",12872,"(+/- 2506 )",17260,"(+/- 2962 )",10467,"(+/- 2147 )",5245,"(+/- 1447 )"
People,Ancestry,"French Canadian",1599,"(+/- 857 )",1951,"(+/- 664 )",1769,"(+/- 864 )",1982,"(+/- 771 )",2036,"(+/- 777 )",3474,"(+/- 1457 )",4030,"(+/- 1784 )",829,"(+/- 453 )",864,"(+/- 483 )"
People,Ancestry,German,76404,"(+/- 6468 )",86676,"(+/- 6181 )",71414,"(+/- 5961 )",74370,"(+/- 6537 )",62981,"(+/- 5024 )",81169,"(+/- 6322 )",87560,"(+/- 8154 )",56531,"(+/- 5982 )",23352,"(+/- 2942 )"
People,Ancestry,Greek,1065,"(+/- 653 )",2965,"(+/- 1535 )",1433,"(+/- 944 )",1586,"(+/- 813 )",2112,"(+/- 1239 )",1083,"(+/- 629 )",1829,"(+/- 856 )",2069,"(+/- 1105 )",405,"(+/- 319 )"
People,Ancestry,Hungarian,1076,"(+/- 838 )",1662,"(+/- 829 )",769,"(+/- 446 )",1292,"(+/- 663 )",773,"(+/- 359 )",2248,"(+/- 1180 )",1663,"(+/- 1086 )",457,"(+/- 292 )",161,"(+/- 153 )"
People,Ancestry,Irish,71721,"(+/- 4764 )",72866,"(+/- 4860 )",66201,"(+/- 5251 )",81081,"(+/- 6776 )",59701,"(+/- 4000 )",84747,"(+/- 8091 )",80396,"(+/- 6701 )",69550,"(+/- 5554 )",25662,"(+/- 3639 )"
People,Ancestry,Italian,12920,"(+/- 2517 )",20898,"(+/- 3356 )",11908,"(+/- 2553 )",20399,"(+/- 3854 )",18382,"(+/- 2397 )",23776,"(+/- 4459 )",19580,"(+/- 3257 )",19153,"(+/- 3138 )",8338,"(+/- 1857 )"
People,Ancestry,Lithuanian,222,"(+/- 244 )",611,"(+/- 446 )",54,"(+/- 90 )",290,"(+/- 238 )",755,"(+/- 355 )",213,"(+/- 208 )",607,"(+/- 428 )",84,"(+/- 112 )",133,"(+/- 165 )"
People,Ancestry,Norwegian,2573,"(+/- 1144 )",4018,"(+/- 1804 )",2920,"(+/- 1037 )",1708,"(+/- 892 )",4891,"(+/- 1226 )",4558,"(+/- 2255 )",3989,"(+/- 1094 )",2558,"(+/- 1407 )",562,"(+/- 271 )"
People,Ancestry,Polish,7468,"(+/- 1983 )",10585,"(+/- 1810 )",7440,"(+/- 1963 )",11291,"(+/- 2705 )",8140,"(+/- 1681 )",10246,"(+/- 2606 )",11604,"(+/- 2977 )",5887,"(+/- 1417 )",3129,"(+/- 1228 )"
People,Ancestry,Portuguese,519,"(+/- 360 )",1865,"(+/- 971 )",346,"(+/- 311 )",168,"(+/- 193 )",863,"(+/- 479 )",1002,"(+/- 826 )",525,"(+/- 503 )",450,"(+/- 303 )",22,"(+/- 38 )"
People,Ancestry,Russian,1867,"(+/- 945 )",2326,"(+/- 1050 )",1830,"(+/- 760 )",3095,"(+/- 1569 )",2849,"(+/- 1014 )",2005,"(+/- 761 )",1807,"(+/- 1111 )",2065,"(+/- 1151 )",316,"(+/- 243 )"
People,Ancestry,Scotch-Irish,22223,"(+/- 3480 )",29878,"(+/- 3726 )",14776,"(+/- 2438 )",13999,"(+/- 2028 )",12426,"(+/- 1733 )",13334,"(+/- 2660 )",14798,"(+/- 2805 )",15804,"(+/- 2687 )",5236,"(+/- 1129 )"
People,Ancestry,Scottish,16494,"(+/- 2609 )",19894,"(+/- 2767 )",18832,"(+/- 2297 )",14199,"(+/- 2420 )",15418,"(+/- 2175 )",16184,"(+/- 2775 )",17844,"(+/- 3395 )",12320,"(+/- 2052 )",6658,"(+/- 1353 )"
People,Ancestry,Slovak,283,"(+/- 294 )",830,"(+/- 468 )",439,"(+/- 321 )",287,"(+/- 387 )",714,"(+/- 517 )",561,"(+/- 404 )",476,"(+/- 440 )",230,"(+/- 273 )",134,"(+/- 169 )"
People,Ancestry,"Subsaharan African",3374,"(+/- 1410 )",3596,"(+/- 2009 )",2179,"(+/- 1056 )",11471,"(+/- 4104 )",24626,"(+/- 4637 )",3616,"(+/- 2591 )",8982,"(+/- 1811 )",5046,"(+/- 1719 )",10444,"(+/- 4078 )"
People,Ancestry,Swedish,2106,"(+/- 908 )",4196,"(+/- 1165 )",2952,"(+/- 1060 )",2551,"(+/- 954 )",3267,"(+/- 895 )",4303,"(+/- 1365 )",3808,"(+/- 1325 )",1926,"(+/- 727 )",610,"(+/- 315 )"
People,Ancestry,Swiss,542,"(+/- 348 )",1840,"(+/- 784 )",1014,"(+/- 655 )",1486,"(+/- 727 )",1923,"(+/- 792 )",1447,"(+/- 524 )",1924,"(+/- 1450 )",555,"(+/- 371 )",161,"(+/- 164 )"
People,Ancestry,Ukrainian,496,"(+/- 420 )",2336,"(+/- 1734 )",1255,"(+/- 1024 )",910,"(+/- 643 )",868,"(+/- 433 )",1504,"(+/- 881 )",695,"(+/- 548 )",348,"(+/- 360 )",367,"(+/- 390 )"
People,Ancestry,Welsh,2829,"(+/- 931 )",4857,"(+/- 1434 )",3613,"(+/- 1159 )",4278,"(+/- 1489 )",4038,"(+/- 1503 )",5566,"(+/- 2045 )",3388,"(+/- 1214 )",2372,"(+/- 761 )",1469,"(+/- 769 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",458,"(+/- 465 )",1432,"(+/- 1152 )",928,"(+/- 567 )",2153,"(+/- 1362 )",1777,"(+/- 770 )",462,"(+/- 309 )",2837,"(+/- 1858 )",446,"(+/- 376 )",3133,"(+/- 1962 )"
People,"Veteran Status","Civilian population 18 years and over",571136,"(+/- 1847 )",591327,"(+/- 1819 )",579216,"(+/- 3691 )",597638,"(+/- 5373 )",608576,"(+/- 1518 )",598500,"(+/- 2778 )",572579,"(+/- 3688 )",550114,"(+/- 5338 )",519980,"(+/- 5159 )"
People,"Veteran Status","Civilian veterans",59136,"(+/- 3360 )",52035,"(+/- 3290 )",45332,"(+/- 3004 )",44170,"(+/- 2879 )",36889,"(+/- 2579 )",54346,"(+/- 2927 )",57053,"(+/- 3448 )",46931,"(+/- 2783 )",33281,"(+/- 2466 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",703985,"(+/- 3047 )",740782,"(+/- 2499 )",722610,"(+/- 4428 )",773701,"(+/- 6742 )",766806,"(+/- 2929 )",764536,"(+/- 3230 )",751675,"(+/- 4610 )",702522,"(+/- 6877 )",685935,"(+/- 6930 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",143952,"(+/- 7183 )",99731,"(+/- 4641 )",129746,"(+/- 5970 )",119307,"(+/- 5510 )",91432,"(+/- 5159 )",121982,"(+/- 5722 )",110903,"(+/- 5485 )",108871,"(+/- 5432 )",93355,"(+/- 5172 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",143021,"(+/- 1320 )",155603,"(+/- 1425 )",153466,"(+/- 2312 )",183155,"(+/- 3413 )",164941,"(+/- 868 )",173457,"(+/- 2143 )",192210,"(+/- 2118 )",164324,"(+/- 4370 )",175132,"(+/- 4198 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10644,"(+/- 2375 )",7391,"(+/- 1562 )",8103,"(+/- 1516 )",10511,"(+/- 1918 )",6481,"(+/- 2074 )",9568,"(+/- 1723 )",6532,"(+/- 1464 )",7315,"(+/- 1474 )",10240,"(+/- 2195 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",421635,"(+/- 2468 )",458567,"(+/- 2028 )",436441,"(+/- 3588 )",482502,"(+/- 5351 )",509153,"(+/- 2553 )",459593,"(+/- 2873 )",449071,"(+/- 3565 )",419521,"(+/- 5678 )",429501,"(+/- 5554 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",75358,"(+/- 4730 )",48397,"(+/- 3182 )",68212,"(+/- 5025 )",64265,"(+/- 3900 )",53420,"(+/- 3881 )",64688,"(+/- 4057 )",58609,"(+/- 4420 )",54961,"(+/- 4127 )",50151,"(+/- 4069 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",139329,"(+/- 1643 )",126612,"(+/- 1575 )",132703,"(+/- 2344 )",108044,"(+/- 2148 )",92712,"(+/- 1178 )",131486,"(+/- 1902 )",110394,"(+/- 2178 )",118677,"(+/- 3317 )",81302,"(+/- 2902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",57950,"(+/- 3066 )",43943,"(+/- 2491 )",53431,"(+/- 3026 )",44531,"(+/- 2661 )",31531,"(+/- 2195 )",47726,"(+/- 3066 )",45762,"(+/- 2327 )",46595,"(+/- 2779 )",32964,"(+/- 2473 )"
People,"Residence 1 Year Ago","Population 1 year and over",709151,"(+/- 2322 )",741245,"(+/- 2203 )",726575,"(+/- 4463 )",773096,"(+/- 6698 )",762483,"(+/- 2710 )",765239,"(+/- 3132 )",766823,"(+/- 4344 )",707703,"(+/- 6761 )",689757,"(+/- 7264 )"
People,"Residence 1 Year Ago","Same house",615407,"(+/- 7820 )",635390,"(+/- 7713 )",628856,"(+/- 8161 )",670175,"(+/- 10533 )",625514,"(+/- 10655 )",659519,"(+/- 7836 )",647407,"(+/- 10804 )",612731,"(+/- 9964 )",580991,"(+/- 11673 )"
People,"Residence 1 Year Ago","Different house in the U.S.",90709,"(+/- 7811 )",103162,"(+/- 7474 )",95736,"(+/- 7303 )",100184,"(+/- 7707 )",132077,"(+/- 9597 )",103196,"(+/- 7048 )",115686,"(+/- 9051 )",93007,"(+/- 7774 )",107064,"(+/- 8611 )"
People,"Residence 1 Year Ago","Same county",50834,"(+/- 6144 )",60360,"(+/- 5568 )",51532,"(+/- 5333 )",50319,"(+/- 5875 )",79805,"(+/- 7674 )",54793,"(+/- 6304 )",50325,"(+/- 5627 )",60356,"(+/- 5864 )",82906,"(+/- 8292 )"
People,"Residence 1 Year Ago","Different county",39875,"(+/- 4892 )",42802,"(+/- 4939 )",44204,"(+/- 6232 )",49865,"(+/- 5766 )",52272,"(+/- 5289 )",48403,"(+/- 4625 )",65361,"(+/- 8700 )",32651,"(+/- 4638 )",24158,"(+/- 3860 )"
People,"Residence 1 Year Ago","Same state",21901,"(+/- 3798 )",20846,"(+/- 2795 )",23945,"(+/- 4256 )",33231,"(+/- 4901 )",20650,"(+/- 3189 )",30719,"(+/- 3870 )",29968,"(+/- 5849 )",18896,"(+/- 2962 )",7526,"(+/- 2160 )"
People,"Residence 1 Year Ago","Different state",17974,"(+/- 3623 )",21956,"(+/- 3502 )",20259,"(+/- 3468 )",16634,"(+/- 3533 )",31622,"(+/- 4138 )",17684,"(+/- 2964 )",35393,"(+/- 5572 )",13755,"(+/- 3379 )",16632,"(+/- 3566 )"
People,"Residence 1 Year Ago",Abroad,3035,"(+/- 1080 )",2693,"(+/- 1028 )",1983,"(+/- 849 )",2737,"(+/- 1407 )",4892,"(+/- 2153 )",2524,"(+/- 1162 )",3730,"(+/- 1483 )",1965,"(+/- 953 )",1702,"(+/- 813 )"
Workers,"Employment Status","Population 16 years and over",589307,"(+/- 2268 )",610611,"(+/- 2547 )",598008,"(+/- 3674 )",620873,"(+/- 5243 )",625976,"(+/- 2066 )",620991,"(+/- 3129 )",608383,"(+/- 3862 )",571692,"(+/- 6133 )",539850,"(+/- 5436 )"
Workers,"Employment Status","In labor force",328821,"(+/- 5028 )",379006,"(+/- 6123 )",341532,"(+/- 5690 )",397578,"(+/- 6340 )",443522,"(+/- 6025 )",373885,"(+/- 7502 )",369418,"(+/- 6492 )",335143,"(+/- 8160 )",342138,"(+/- 7320 )"
Workers,"Employment Status","Civilian labor force",328561,"(+/- 5024 )",378544,"(+/- 6112 )",341391,"(+/- 5725 )",396555,"(+/- 6454 )",443180,"(+/- 6005 )",373004,"(+/- 7499 )",356498,"(+/- 6845 )",334082,"(+/- 8166 )",340562,"(+/- 7440 )"
Workers,"Employment Status",Employed,310403,"(+/- 6192 )",361565,"(+/- 5926 )",325047,"(+/- 6044 )",379706,"(+/- 6801 )",425542,"(+/- 6617 )",357473,"(+/- 7377 )",339302,"(+/- 6909 )",318339,"(+/- 8110 )",312711,"(+/- 7613 )"
Workers,"Employment Status",Unemployed,18158,"(+/- 2925 )",16979,"(+/- 2826 )",16344,"(+/- 2144 )",16849,"(+/- 2495 )",17638,"(+/- 2746 )",15531,"(+/- 2409 )",17196,"(+/- 2293 )",15743,"(+/- 2131 )",27851,"(+/- 2898 )"
Workers,"Employment Status","Armed Forces",260,"(+/- 311 )",462,"(+/- 308 )",141,"(+/- 119 )",1023,"(+/- 709 )",342,"(+/- 220 )",881,"(+/- 557 )",12920,"(+/- 1932 )",1061,"(+/- 490 )",1576,"(+/- 835 )"
Workers,"Employment Status","Not in labor force",260486,"(+/- 5450 )",231605,"(+/- 6289 )",256476,"(+/- 5625 )",223295,"(+/- 5562 )",182454,"(+/- 5912 )",247106,"(+/- 7320 )",238965,"(+/- 6454 )",236549,"(+/- 6292 )",197712,"(+/- 6390 )"
