Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Ancestry,Greek,9576,"(+/- 2305 )",7983,"(+/- 2213 )"
People,Ancestry,Hungarian,2115,"(+/- 926 )",1809,"(+/- 950 )"
People,Ancestry,Irish,153755,"(+/- 8747 )",122751,"(+/- 7080 )"
People,Ancestry,Italian,70896,"(+/- 5531 )",58152,"(+/- 4607 )"
People,Ancestry,Lithuanian,2779,"(+/- 825 )",4668,"(+/- 1529 )"
People,Ancestry,Norwegian,5188,"(+/- 1238 )",7739,"(+/- 1997 )"
People,Ancestry,Polish,26600,"(+/- 3398 )",29211,"(+/- 3556 )"
People,Ancestry,Portuguese,10582,"(+/- 2501 )",9768,"(+/- 2879 )"
People,Ancestry,Russian,4391,"(+/- 1216 )",7871,"(+/- 2296 )"
People,Ancestry,Scotch-Irish,6578,"(+/- 1608 )",7486,"(+/- 1513 )"
People,Ancestry,Scottish,28747,"(+/- 3823 )",25993,"(+/- 2603 )"
People,Ancestry,Slovak,603,"(+/- 405 )",635,"(+/- 329 )"
People,Ancestry,"Subsaharan African",4455,"(+/- 1388 )",2701,"(+/- 1088 )"
People,Ancestry,Swedish,12125,"(+/- 1954 )",12576,"(+/- 2351 )"
People,Ancestry,Swiss,1289,"(+/- 713 )",1180,"(+/- 514 )"
People,Ancestry,Ukrainian,1453,"(+/- 727 )",2828,"(+/- 860 )"
People,Ancestry,Welsh,5207,"(+/- 1312 )",6549,"(+/- 1901 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2635,"(+/- 1356 )",3122,"(+/- 1744 )"
People,"Veteran Status","Civilian population 18 years and over",541558,"(+/- 4997 )",540756,"(+/- 5189 )"
People,"Veteran Status","Civilian veterans",46677,"(+/- 2508 )",46016,"(+/- 2656 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",664842,"(+/- 6021 )",660174,"(+/- 5887 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",85721,"(+/- 5195 )",85883,"(+/- 4744 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",129435,"(+/- 3495 )",128338,"(+/- 3440 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7411,"(+/- 1438 )",6292,"(+/- 1500 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",427479,"(+/- 4732 )",412385,"(+/- 4964 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42134,"(+/- 3556 )",42100,"(+/- 3814 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",107928,"(+/- 2993 )",119451,"(+/- 3152 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36176,"(+/- 2930 )",37491,"(+/- 2563 )"
People,"Residence 1 Year Ago","Population 1 year and over",667003,"(+/- 6305 )",663739,"(+/- 6192 )"
People,"Residence 1 Year Ago","Same house",559904,"(+/- 9687 )",574340,"(+/- 8962 )"
People,"Residence 1 Year Ago","Different house in the U.S.",104281,"(+/- 7631 )",85824,"(+/- 6397 )"
People,"Residence 1 Year Ago","Same county",54765,"(+/- 5488 )",46709,"(+/- 4938 )"
People,"Residence 1 Year Ago","Different county",49516,"(+/- 4991 )",39115,"(+/- 4838 )"
People,"Residence 1 Year Ago","Same state",22308,"(+/- 3688 )",13430,"(+/- 2655 )"
People,"Residence 1 Year Ago","Different state",27208,"(+/- 4060 )",25685,"(+/- 3525 )"
People,"Residence 1 Year Ago",Abroad,2818,"(+/- 1141 )",3575,"(+/- 1499 )"
Workers,"Employment Status","Population 16 years and over",559450,"(+/- 5237 )",559158,"(+/- 5939 )"
Workers,"Employment Status","In labor force",390107,"(+/- 6685 )",369112,"(+/- 5615 )"
Workers,"Employment Status","Civilian labor force",388143,"(+/- 6826 )",368790,"(+/- 5578 )"
Workers,"Employment Status",Employed,372986,"(+/- 6821 )",355059,"(+/- 6006 )"
Workers,"Employment Status",Unemployed,15157,"(+/- 1991 )",13731,"(+/- 1879 )"
Workers,"Employment Status","Armed Forces",1964,"(+/- 912 )",322,"(+/- 315 )"
Workers,"Employment Status","Not in labor force",169343,"(+/- 5453 )",190046,"(+/- 5439 )"
Workers,"Employment Status","Civilian labor force",388143,"(+/- 6826 )",368790,"(+/- 5578 )"
Workers,"Employment Status","Unemployment Rate",3.9,"(+/- 0.5 )",3.7,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",364944,"(+/- 7067 )",347757,"(+/- 6207 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",297286,"(+/- 6453 )",279384,"(+/- 6004 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32004,"(+/- 3418 )",27114,"(+/- 2625 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2735,"(+/- 864 )",2427,"(+/- 767 )"
Workers,"Commuting to Work",Walked,7054,"(+/- 1176 )",9964,"(+/- 1839 )"
Workers,"Commuting to Work","Other means",4740,"(+/- 1250 )",5485,"(+/- 1678 )"
Workers,"Commuting to Work","Worked at home",21125,"(+/- 2807 )",23383,"(+/- 2298 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.8,"(+/- 0.8 )",26.8,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",372986,"(+/- 6821 )",355059,"(+/- 6006 )"
Workers,Occupation,"Management, business, science, and arts occupations",158528,"(+/- 5752 )",144770,"(+/- 5269 )"
Workers,Occupation,"Service occupations",58886,"(+/- 3860 )",56506,"(+/- 3650 )"
Workers,Occupation,"Sales and office occupations",86823,"(+/- 4278 )",79294,"(+/- 4038 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30925,"(+/- 2795 )",32157,"(+/- 2841 )"
Workers,Occupation,"Production, transportation, and material moving occupations",37824,"(+/- 3820 )",42332,"(+/- 3334 )"
Workers,Industry,"Civilian employed population 16 years and over",372986,"(+/- 6821 )",355059,"(+/- 6006 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",2121,"(+/- 788 )",4351,"(+/- 1610 )"
Workers,Industry,Construction,26399,"(+/- 2983 )",25094,"(+/- 2708 )"
Workers,Industry,Manufacturing,43267,"(+/- 3695 )",41949,"(+/- 3179 )"
Workers,Industry,"Wholesale trade",9094,"(+/- 1532 )",10722,"(+/- 1631 )"
Workers,Industry,"Retail trade",46932,"(+/- 3866 )",42844,"(+/- 2974 )"
Workers,Industry,"Transportation and warehousing, and utilities",12960,"(+/- 1673 )",12206,"(+/- 1683 )"
Workers,Industry,Information,8431,"(+/- 1662 )",7023,"(+/- 1523 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",27737,"(+/- 2436 )",21198,"(+/- 2410 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",45925,"(+/- 3480 )",35840,"(+/- 3116 )"
Workers,Industry,"Educational services, and health care and social assistance",86806,"(+/- 4611 )",93009,"(+/- 4128 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",34567,"(+/- 3006 )",27482,"(+/- 2605 )"
Workers,Industry,"Other services, except public administration",15122,"(+/- 1758 )",16850,"(+/- 2075 )"
Workers,Industry,"Public administration",13625,"(+/- 1832 )",16491,"(+/- 2072 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",372986,"(+/- 6821 )",355059,"(+/- 6006 )"
Workers,"Class of Worker","Private wage and salary workers",301869,"(+/- 6535 )",280770,"(+/- 6660 )"
Workers,"Class of Worker","Government workers",46503,"(+/- 2748 )",49993,"(+/- 3928 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",24405,"(+/- 2816 )",23673,"(+/- 2434 )"
Workers,"Class of Worker","Unpaid family workers",209,"(+/- 142 )",623,"(+/- 337 )"
Housing,"Housing Occupancy","Total housing units",322515,"(+/- 2956 )",312174,"(+/- 2978 )"
Housing,"Housing Occupancy","Occupied housing units",269079,"(+/- 3967 )",259621,"(+/- 3647 )"
Housing,"Housing Occupancy","Vacant housing units",53436,"(+/- 3402 )",52553,"(+/- 2832 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.5,"(+/- 0.6 )",1.2,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.1,"(+/- 1.1 )",4.0,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",269079,"(+/- 3967 )",259621,"(+/- 3647 )"
Housing,"Housing Tenure",Owner-occupied,182127,"(+/- 4827 )",186910,"(+/- 3634 )"
Housing,"Housing Tenure",Renter-occupied,86952,"(+/- 3862 )",72711,"(+/- 3224 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.57,"(+/- 0.05 )",2.64,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.13,"(+/- 0.07 )",2.11,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",269079,"(+/- 3967 )",259621,"(+/- 3647 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",73041,"(+/- 4005 )",62421,"(+/- 2851 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",57115,"(+/- 3386 )",53580,"(+/- 2914 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",67156,"(+/- 3673 )",65577,"(+/- 3635 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",36579,"(+/- 2998 )",34506,"(+/- 2457 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",18459,"(+/- 1718 )",21941,"(+/- 2230 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",16729,"(+/- 1822 )",21596,"(+/- 2046 )"
Housing,Value,"Owner-occupied units",182127,"(+/- 4827 )",186910,"(+/- 3634 )"
Housing,Value,"Less than $50,000",7187,"(+/- 1372 )",8199,"(+/- 1225 )"
Housing,Value,"$50,000 to $99,999",5195,"(+/- 969 )",9909,"(+/- 1247 )"
Housing,Value,"$100,000 to $149,999",10239,"(+/- 1601 )",16844,"(+/- 1815 )"
Housing,Value,"$150,000 to $199,999",24518,"(+/- 2392 )",27729,"(+/- 2159 )"
Housing,Value,"$200,000 to $299,999",59099,"(+/- 3111 )",61762,"(+/- 3592 )"
Housing,Value,"$300,000 to $499,999",54926,"(+/- 3050 )",47796,"(+/- 2598 )"
Housing,Value,"$500,000 to $999,999",18460,"(+/- 1914 )",12053,"(+/- 1316 )"
Housing,Value,"$1,000,000 or more",2503,"(+/- 747 )",2618,"(+/- 695 )"
Housing,Value,"Median (dollars)",276400,"(+/- 4294 )",250500,"(+/- 4479 )"
Housing,"Mortgage Status","Owner-occupied units",182127,"(+/- 4827 )",186910,"(+/- 3634 )"
Housing,"Mortgage Status","Housing units with a mortgage",123487,"(+/- 4738 )",119183,"(+/- 3834 )"
Housing,"Mortgage Status","Housing units without a mortgage",58640,"(+/- 3301 )",67727,"(+/- 2941 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",123487,"(+/- 4738 )",119183,"(+/- 3834 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",275,"(+/- 272 )",130,"(+/- 117 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",7290,"(+/- 1358 )",9577,"(+/- 1565 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",23782,"(+/- 2143 )",27123,"(+/- 2342 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",36864,"(+/- 3346 )",32802,"(+/- 2740 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",27723,"(+/- 2287 )",24511,"(+/- 2254 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",14964,"(+/- 1789 )",14343,"(+/- 1716 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",12589,"(+/- 1472 )",10697,"(+/- 1427 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1909,"(+/- 38 )",1830,"(+/- 36 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",58640,"(+/- 3301 )",67727,"(+/- 2941 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1524,"(+/- 588 )",1315,"(+/- 533 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",3403,"(+/- 957 )",4435,"(+/- 971 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",9139,"(+/- 1508 )",11530,"(+/- 1437 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",17604,"(+/- 1944 )",20291,"(+/- 2048 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",12843,"(+/- 1777 )",14464,"(+/- 1650 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",14127,"(+/- 1724 )",15692,"(+/- 1418 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",775,"(+/- 20 )",765,"(+/- 16 )"
Housing,"Gross Rent","Occupied units paying rent",84490,"(+/- 3909 )",69711,"(+/- 3048 )"
Housing,"Gross Rent","Less than $500",6574,"(+/- 1145 )",6153,"(+/- 1178 )"
Housing,"Gross Rent","$500 to $999",27846,"(+/- 3133 )",25822,"(+/- 2155 )"
Housing,"Gross Rent","$1,000 to $1,499",31883,"(+/- 3018 )",27228,"(+/- 2587 )"
Housing,"Gross Rent","$1,500 to $1,999",13352,"(+/- 2169 )",8169,"(+/- 1388 )"
Housing,"Gross Rent","$2,000 to $2,499",3103,"(+/- 1034 )",1485,"(+/- 685 )"
Housing,"Gross Rent","$2,500 to $2,999",882,"(+/- 443 )",789,"(+/- 541 )"
Housing,"Gross Rent","$3,000 or more",850,"(+/- 588 )",65,"(+/- 115 )"
Housing,"Gross Rent","Median (dollars)",1101,"(+/- 30 )",1041,"(+/- 26 )"
Housing,"Gross Rent","No rent paid",2462,"(+/- 845 )",3000,"(+/- 878 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",269079,"(+/- 3967 )",259621,"(+/- 3647 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",13739,"(+/- 2200 )",8361,"(+/- 1274 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",8521,"(+/- 1753 )",7723,"(+/- 1166 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",18000,"(+/- 2280 )",22214,"(+/- 2188 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",21551,"(+/- 2018 )",21462,"(+/- 2670 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",27250,"(+/- 2219 )",27705,"(+/- 2890 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",47951,"(+/- 3151 )",44666,"(+/- 3135 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",37141,"(+/- 2817 )",36933,"(+/- 2536 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",49151,"(+/- 3146 )",48071,"(+/- 2727 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",22872,"(+/- 2031 )",21611,"(+/- 2189 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",22903,"(+/- 2107 )",20875,"(+/- 2199 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",73488,"(+/- 2118 )",73249,"(+/- 2654 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",95334,"(+/- 2660 )",94206,"(+/- 2459 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",664842,"(+/- 6021 )",660174,"(+/- 5887 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",625287,"(+/- 7400 )",622670,"(+/- 7221 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",508131,"(+/- 9063 )",508358,"(+/- 9760 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",211864,"(+/- 7250 )",209042,"(+/- 5802 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",39555,"(+/- 4404 )",37504,"(+/- 3964 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",139450,"(+/- 3755 )",136527,"(+/- 3643 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",3475,"(+/- 1360 )",2863,"(+/- 765 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.8,"(+/- 1.1 )",4.0,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.1,"(+/- 2.2 )",7.1,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.5,"(+/- 4.1 )",8.0,"(+/- 4.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.8,"(+/- 0.8 )",1.5,"(+/- 0.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.1,"(+/- 1.5 )",1.8,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.6,"(+/- 1.7 )",0.9,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",19.2,"(+/- 5.1 )",18.3,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",29.6,"(+/- 7.3 )",25.4,"(+/- 6.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",35.3,"(+/- 18.2 )",26.9,"(+/- 14.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",8.4,"(+/- 0.9 )",7.0,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",11.6,"(+/- 2.6 )",8.9,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.3,"(+/- 2.6 )",8.3,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",12.3,"(+/- 4.1 )",9.7,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.9,"(+/- 2.8 )",7.9,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",7.6,"(+/- 0.7 )",6.5,"(+/- 0.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.4,"(+/- 1.1 )",5.2,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",5.9,"(+/- 1.1 )",4.3,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",17.3,"(+/- 1.5 )",17.8,"(+/- 2.0 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",149690,"(+/- 4717 )",150533,"(+/- 4985 )"
Education,"School Enrollment","Nursery school, preschool",8267,"(+/- 1361 )",8526,"(+/- 1397 )"
Education,"School Enrollment",Kindergarten,5157,"(+/- 1298 )",7303,"(+/- 1386 )"
Education,"School Enrollment","Elementary school (grades 1-8)",58113,"(+/- 2778 )",56817,"(+/- 2945 )"
Education,"School Enrollment","High school (grades 9-12)",32812,"(+/- 2493 )",32632,"(+/- 2313 )"
Education,"School Enrollment","College or graduate school",45341,"(+/- 2943 )",45255,"(+/- 3030 )"
Education,"Educational Attainment","Population 25 years and over",478896,"(+/- 4318 )",479109,"(+/- 4801 )"
Education,"Educational Attainment","Less than 9th grade",8622,"(+/- 1604 )",9542,"(+/- 1459 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",25117,"(+/- 3125 )",23279,"(+/- 2008 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",129387,"(+/- 5637 )",139177,"(+/- 5388 )"
Education,"Educational Attainment","Some college, no degree",87197,"(+/- 4040 )",83814,"(+/- 5136 )"
Education,"Educational Attainment","Associate's degree",47779,"(+/- 3312 )",50199,"(+/- 3859 )"
Education,"Educational Attainment","Bachelor's degree",111604,"(+/- 5292 )",105146,"(+/- 4472 )"
Education,"Educational Attainment","Graduate or professional degree",69190,"(+/- 3988 )",67952,"(+/- 4266 )"
Education,"Educational Attainment","Percent high school graduate or higher",93.0,"(+/- 0.7 )",93.1,"(+/- 0.5 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",37.8,"(+/- 1.3 )",36.1,"(+/- 1.1 )"

"Source: 2017 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",293126,G,269274,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",141,H,492,G
