Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
People,"Sex and Age","45 to 54 years",96277,"(+/- 3137 )",96601,"(+/- 3044 )",90782,"(+/- 3358 )",95417,"(+/- 2718 )",89476,"(+/- 2440 )",93033,"(+/- 2409 )",96297,"(+/- 3562 )",94619,"(+/- 1483 )",92935,"(+/- 3748 )",91130,"(+/- 1022 )",82784,"(+/- 2798 )",108365,"(+/- 3429 )",92265,"(+/- 4214 )",102688,"(+/- 3048 )",102134,"(+/- 3514 )",94858,"(+/- 3933 )"
People,"Sex and Age","55 to 59 years",52452,"(+/- 2886 )",51157,"(+/- 3596 )",46660,"(+/- 2585 )",51621,"(+/- 2326 )",52125,"(+/- 2485 )",54334,"(+/- 2669 )",50905,"(+/- 3037 )",50574,"(+/- 2836 )",51795,"(+/- 3114 )",50783,"(+/- 2478 )",52100,"(+/- 2372 )",50439,"(+/- 2729 )",51016,"(+/- 2964 )",55466,"(+/- 2858 )",53199,"(+/- 2632 )",51995,"(+/- 2876 )"
People,"Sex and Age","60 to 64 years",45469,"(+/- 3209 )",52081,"(+/- 2798 )",40133,"(+/- 2914 )",48723,"(+/- 2867 )",50879,"(+/- 2418 )",52445,"(+/- 2336 )",51485,"(+/- 3067 )",48456,"(+/- 2845 )",46665,"(+/- 2672 )",47506,"(+/- 2665 )",47682,"(+/- 2452 )",48493,"(+/- 2957 )",51433,"(+/- 3103 )",52591,"(+/- 2771 )",48478,"(+/- 2810 )",55041,"(+/- 2827 )"
People,"Sex and Age","65 to 74 years",60071,"(+/- 2401 )",71307,"(+/- 2611 )",50549,"(+/- 2587 )",71704,"(+/- 2051 )",70376,"(+/- 1551 )",78335,"(+/- 2246 )",76999,"(+/- 2991 )",68604,"(+/- 866 )",65963,"(+/- 2910 )",70637,"(+/- 611 )",62345,"(+/- 2191 )",70098,"(+/- 2373 )",72964,"(+/- 2780 )",81737,"(+/- 2674 )",65582,"(+/- 2679 )",81141,"(+/- 3391 )"
People,"Sex and Age","75 to 84 years",30590,"(+/- 2166 )",35435,"(+/- 2161 )",23422,"(+/- 1955 )",36659,"(+/- 1983 )",34913,"(+/- 2018 )",41607,"(+/- 1972 )",41053,"(+/- 2013 )",37526,"(+/- 1688 )",32166,"(+/- 2152 )",38570,"(+/- 1615 )",33732,"(+/- 1923 )",32293,"(+/- 1772 )",40441,"(+/- 1979 )",39347,"(+/- 2008 )",34423,"(+/- 2203 )",40147,"(+/- 2538 )"
People,"Sex and Age","85 years and over",13503,"(+/- 1593 )",15193,"(+/- 1585 )",10037,"(+/- 1565 )",15992,"(+/- 1583 )",16673,"(+/- 1551 )",17464,"(+/- 1658 )",15507,"(+/- 1741 )",13681,"(+/- 1442 )",15689,"(+/- 1610 )",16005,"(+/- 1399 )",17188,"(+/- 1787 )",12746,"(+/- 1881 )",16795,"(+/- 1579 )",19742,"(+/- 1911 )",12519,"(+/- 1505 )",20146,"(+/- 1721 )"
People,"Sex and Age","Median age (years)",36.8,"(+/- 0.5 )",40.1,"(+/- 0.6 )",32.6,"(+/- 0.5 )",40.8,"(+/- 0.5 )",39.5,"(+/- 0.5 )",43.5,"(+/- 0.8 )",41.2,"(+/- 0.9 )",38.7,"(+/- 0.4 )",38.0,"(+/- 0.7 )",39.0,"(+/- 0.4 )",39.0,"(+/- 0.8 )",38.3,"(+/- 0.6 )",40.6,"(+/- 0.9 )",43.7,"(+/- 0.6 )",37.7,"(+/- 0.5 )",43.3,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",560087,"(+/- 6874 )",565624,"(+/- 8071 )",595041,"(+/- 8539 )",551769,"(+/- 4191 )",555100,"(+/- 4487 )",552355,"(+/- 5189 )",558142,"(+/- 6051 )",559497,"(+/- 1192 )",561644,"(+/- 8470 )",563742,"(+/- 1378 )",532217,"(+/- 8181 )",594774,"(+/- 7460 )",573882,"(+/- 7746 )",566282,"(+/- 5917 )",603573,"(+/- 7172 )",562883,"(+/- 8290 )"
People,"Sex and Age","65 years and over",104164,"(+/- 3081 )",121935,"(+/- 3461 )",84008,"(+/- 3520 )",124355,"(+/- 2432 )",121962,"(+/- 2231 )",137406,"(+/- 3072 )",133559,"(+/- 3918 )",119811,"(+/- 852 )",113818,"(+/- 3784 )",125212,"(+/- 738 )",113265,"(+/- 3180 )",115137,"(+/- 3160 )",130200,"(+/- 3367 )",140826,"(+/- 3170 )",112524,"(+/- 3282 )",141434,"(+/- 4611 )"
People,Race,"Total population",740851,"(+/- 8898 )",728153,"(+/- 10356 )",782878,"(+/- 10345 )",710603,"(+/- 5646 )",717547,"(+/- 6025 )",696153,"(+/- 6663 )",725665,"(+/- 7640 )",730445,"(+/- 1618 )",720715,"(+/- 12440 )",721456,"(+/- 1608 )",675475,"(+/- 12916 )",780529,"(+/- 9024 )",715559,"(+/- 10929 )",724790,"(+/- 8151 )",772776,"(+/- 9546 )",715014,"(+/- 9129 )"
People,Race,"One race",720337,"(+/- 8801 )",710706,"(+/- 10190 )",749684,"(+/- 10769 )",688972,"(+/- 6505 )",698671,"(+/- 6543 )",683643,"(+/- 6789 )",707163,"(+/- 7679 )",709576,"(+/- 3812 )",682260,"(+/- 11744 )",696104,"(+/- 3461 )",656838,"(+/- 12750 )",758162,"(+/- 9372 )",688593,"(+/- 10996 )",713575,"(+/- 8495 )",755117,"(+/- 9593 )",698228,"(+/- 9381 )"
People,Race,White,529224,"(+/- 7503 )",629814,"(+/- 8609 )",419577,"(+/- 10763 )",640309,"(+/- 6140 )",656075,"(+/- 6256 )",661763,"(+/- 6992 )",670846,"(+/- 7457 )",644120,"(+/- 2677 )",529396,"(+/- 11335 )",550466,"(+/- 3015 )",266886,"(+/- 9777 )",675727,"(+/- 9749 )",587140,"(+/- 8730 )",652988,"(+/- 8367 )",701488,"(+/- 9060 )",664255,"(+/- 9496 )"
People,Race,"Black or African American",158038,"(+/- 6216 )",64630,"(+/- 6213 )",271328,"(+/- 7922 )",36602,"(+/- 3061 )",20061,"(+/- 3427 )",16897,"(+/- 1847 )",27856,"(+/- 3422 )",43920,"(+/- 2582 )",117332,"(+/- 6974 )",119610,"(+/- 2877 )",360708,"(+/- 8856 )",38427,"(+/- 5369 )",83173,"(+/- 5556 )",37485,"(+/- 4791 )",30907,"(+/- 3707 )",14379,"(+/- 3143 )"
People,Race,"American Indian and Alaska Native",840,"(+/- 600 )",1932,"(+/- 771 )",2187,"(+/- 1603 )",1555,"(+/- 621 )",1748,"(+/- 755 )",1311,"(+/- 687 )",1412,"(+/- 670 )",1395,"(+/- 658 )",2611,"(+/- 979 )",1134,"(+/- 653 )",1346,"(+/- 595 )",1200,"(+/- 549 )",1881,"(+/- 857 )",1163,"(+/- 542 )",1072,"(+/- 624 )",933,"(+/- 486 )"
People,Race,Asian,27394,"(+/- 2339 )",11202,"(+/- 1928 )",36336,"(+/- 4268 )",5444,"(+/- 1226 )",8557,"(+/- 1550 )",2152,"(+/- 930 )",4955,"(+/- 1218 )",15155,"(+/- 1111 )",12008,"(+/- 2091 )",17256,"(+/- 1503 )",17692,"(+/- 2940 )",37847,"(+/- 4108 )",11765,"(+/- 2477 )",17034,"(+/- 2993 )",16514,"(+/- 2514 )",16207,"(+/- 2552 )"
People,Race,"Native Hawaiian and Other Pacific Islander",449,"(+/- 318 )",274,"(+/- 345 )",358,"(+/- 332 )",561,"(+/- 655 )",578,"(+/- 490 )",39,"(+/- 66 )",108,"(+/- 137 )",38,"(+/- 46 )",168,"(+/- 219 )",50,"(+/- 97 )",109,"(+/- 111 )",37,"(+/- 64 )",248,"(+/- 329 )",354,"(+/- 472 )",380,"(+/- 368 )",465,"(+/- 489 )"
People,Race,"Some other race",4392,"(+/- 2280 )",2854,"(+/- 1035 )",19898,"(+/- 4167 )",4501,"(+/- 1404 )",11652,"(+/- 2215 )",1481,"(+/- 626 )",1986,"(+/- 1008 )",4948,"(+/- 1881 )",20745,"(+/- 4133 )",7588,"(+/- 2509 )",10097,"(+/- 2678 )",4924,"(+/- 1563 )",4386,"(+/- 1331 )",4551,"(+/- 1694 )",4756,"(+/- 1592 )",1989,"(+/- 1011 )"
People,Race,"Two or more races",20514,"(+/- 3307 )",17447,"(+/- 3848 )",33194,"(+/- 5344 )",21631,"(+/- 2320 )",18876,"(+/- 2695 )",12510,"(+/- 1769 )",18502,"(+/- 2729 )",20869,"(+/- 3284 )",38455,"(+/- 5596 )",25352,"(+/- 3197 )",18637,"(+/- 2657 )",22367,"(+/- 2588 )",26966,"(+/- 3596 )",11215,"(+/- 1994 )",17659,"(+/- 3057 )",16786,"(+/- 3126 )"
People,"Hispanic or Latino and Race","Total population",740851,"(+/- 8898 )",728153,"(+/- 10356 )",782878,"(+/- 10345 )",710603,"(+/- 5646 )",717547,"(+/- 6025 )",696153,"(+/- 6663 )",725665,"(+/- 7640 )",730445,"(+/- 1618 )",720715,"(+/- 12440 )",721456,"(+/- 1608 )",675475,"(+/- 12916 )",780529,"(+/- 9024 )",715559,"(+/- 10929 )",724790,"(+/- 8151 )",772776,"(+/- 9546 )",715014,"(+/- 9129 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",24512,"(+/- 2361 )",14779,"(+/- 2599 )",54626,"(+/- 3657 )",26798,"(+/- 2129 )",38882,"(+/- 1893 )",7127,"(+/- 1493 )",13668,"(+/- 2541 )",25711,"(+/- 613 )",81891,"(+/- 4561 )",20765,"(+/- 405 )",31217,"(+/- 3429 )",17432,"(+/- 2462 )",23142,"(+/- 1773 )",20893,"(+/- 1925 )",18332,"(+/- 3265 )",16987,"(+/- 2618 )"
People,"Hispanic or Latino and Race",Mexican,10107,"(+/- 2602 )",8053,"(+/- 2325 )",24291,"(+/- 4571 )",13694,"(+/- 1999 )",29225,"(+/- 2538 )",4822,"(+/- 1368 )",6984,"(+/- 2081 )",13630,"(+/- 1724 )",27617,"(+/- 3166 )",11776,"(+/- 1995 )",5780,"(+/- 2009 )",7540,"(+/- 1913 )",5731,"(+/- 1408 )",10582,"(+/- 2003 )",9182,"(+/- 2504 )",6174,"(+/- 1855 )"
People,"Hispanic or Latino and Race","Puerto Rican",2284,"(+/- 1190 )",757,"(+/- 666 )",9210,"(+/- 2446 )",7784,"(+/- 1761 )",2580,"(+/- 899 )",594,"(+/- 498 )",4580,"(+/- 2121 )",4128,"(+/- 1349 )",43336,"(+/- 4499 )",2038,"(+/- 1085 )",17128,"(+/- 3102 )",3917,"(+/- 1774 )",13232,"(+/- 1952 )",5937,"(+/- 1727 )",3747,"(+/- 1445 )",5302,"(+/- 1654 )"
People,"Hispanic or Latino and Race",Cuban,927,"(+/- 1098 )",800,"(+/- 672 )",808,"(+/- 628 )",529,"(+/- 465 )",350,"(+/- 333 )",0,"(+/- 193 )",359,"(+/- 438 )",510,"(+/- 462 )",1115,"(+/- 564 )",423,"(+/- 346 )",416,"(+/- 283 )",467,"(+/- 350 )",29,"(+/- 56 )",316,"(+/- 213 )",362,"(+/- 263 )",617,"(+/- 473 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",11194,"(+/- 3220 )",5169,"(+/- 1779 )",20317,"(+/- 3863 )",4791,"(+/- 1727 )",6727,"(+/- 1878 )",1711,"(+/- 806 )",1745,"(+/- 726 )",7443,"(+/- 1929 )",9823,"(+/- 3280 )",6528,"(+/- 1921 )",7893,"(+/- 2035 )",5508,"(+/- 1507 )",4150,"(+/- 1516 )",4058,"(+/- 1540 )",5041,"(+/- 2283 )",4894,"(+/- 1270 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",716339,"(+/- 8874 )",713374,"(+/- 10293 )",728252,"(+/- 9881 )",683805,"(+/- 5605 )",678665,"(+/- 5947 )",689026,"(+/- 6650 )",711997,"(+/- 8057 )",704734,"(+/- 1735 )",638824,"(+/- 11787 )",700691,"(+/- 1660 )",644258,"(+/- 12691 )",763097,"(+/- 8559 )",692417,"(+/- 10855 )",703897,"(+/- 7863 )",754444,"(+/- 9260 )",698027,"(+/- 9496 )"
People,"Place of Birth","Total population",740851,"(+/- 8898 )",728153,"(+/- 10356 )",782878,"(+/- 10345 )",710603,"(+/- 5646 )",717547,"(+/- 6025 )",696153,"(+/- 6663 )",725665,"(+/- 7640 )",730445,"(+/- 1618 )",720715,"(+/- 12440 )",721456,"(+/- 1608 )",675475,"(+/- 12916 )",780529,"(+/- 9024 )",715559,"(+/- 10929 )",724790,"(+/- 8151 )",772776,"(+/- 9546 )",715014,"(+/- 9129 )"
People,"Place of Birth",Native,693306,"(+/- 8898 )",705345,"(+/- 10015 )",690945,"(+/- 12690 )",696595,"(+/- 5856 )",695888,"(+/- 6552 )",691047,"(+/- 6954 )",713292,"(+/- 8196 )",700476,"(+/- 3587 )",686172,"(+/- 12488 )",686572,"(+/- 3641 )",634442,"(+/- 12515 )",734583,"(+/- 8624 )",689909,"(+/- 10694 )",688660,"(+/- 8721 )",744754,"(+/- 9485 )",678332,"(+/- 9130 )"
People,"Place of Birth","Born in United States",689555,"(+/- 8884 )",702631,"(+/- 10062 )",680386,"(+/- 12589 )",692552,"(+/- 5993 )",692202,"(+/- 6644 )",688290,"(+/- 7078 )",710615,"(+/- 8043 )",694554,"(+/- 3989 )",668972,"(+/- 12721 )",679049,"(+/- 3671 )",623127,"(+/- 12179 )",729345,"(+/- 8717 )",682067,"(+/- 10896 )",683435,"(+/- 8729 )",739861,"(+/- 9444 )",673106,"(+/- 9164 )"
People,"Place of Birth","State of residence",530349,"(+/- 10070 )",546966,"(+/- 10375 )",519778,"(+/- 11931 )",581029,"(+/- 7517 )",566524,"(+/- 8747 )",486180,"(+/- 8173 )",609049,"(+/- 8538 )",538119,"(+/- 7907 )",540383,"(+/- 13099 )",496310,"(+/- 7909 )",493479,"(+/- 11877 )",565346,"(+/- 10955 )",545971,"(+/- 12033 )",553158,"(+/- 9973 )",589472,"(+/- 9105 )",555757,"(+/- 9922 )"
People,"Place of Birth","Different state",159206,"(+/- 6875 )",155665,"(+/- 5627 )",160608,"(+/- 7005 )",111523,"(+/- 4217 )",125678,"(+/- 5821 )",202110,"(+/- 6868 )",101566,"(+/- 5562 )",156435,"(+/- 7223 )",128589,"(+/- 6955 )",182739,"(+/- 7471 )",129648,"(+/- 4863 )",163999,"(+/- 6884 )",136096,"(+/- 5631 )",130277,"(+/- 6312 )",150389,"(+/- 6688 )",117349,"(+/- 5696 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3751,"(+/- 1183 )",2714,"(+/- 690 )",10559,"(+/- 2614 )",4043,"(+/- 1075 )",3686,"(+/- 676 )",2757,"(+/- 1040 )",2677,"(+/- 1185 )",5922,"(+/- 1368 )",17200,"(+/- 2783 )",7523,"(+/- 1500 )",11315,"(+/- 2055 )",5238,"(+/- 1349 )",7842,"(+/- 1586 )",5225,"(+/- 1303 )",4893,"(+/- 1180 )",5226,"(+/- 1283 )"
People,"Place of Birth","Foreign born",47545,"(+/- 4846 )",22808,"(+/- 3033 )",91933,"(+/- 8655 )",14008,"(+/- 2304 )",21659,"(+/- 2843 )",5106,"(+/- 1286 )",12373,"(+/- 2714 )",29969,"(+/- 3215 )",34543,"(+/- 4263 )",34884,"(+/- 3333 )",41033,"(+/- 4413 )",45946,"(+/- 4360 )",25650,"(+/- 3369 )",36130,"(+/- 2974 )",28022,"(+/- 3076 )",36682,"(+/- 3349 )"
People,Ancestry,"Total population",740851,"(+/- 8898 )",728153,"(+/- 10356 )",782878,"(+/- 10345 )",710603,"(+/- 5646 )",717547,"(+/- 6025 )",696153,"(+/- 6663 )",725665,"(+/- 7640 )",730445,"(+/- 1618 )",720715,"(+/- 12440 )",721456,"(+/- 1608 )",675475,"(+/- 12916 )",780529,"(+/- 9024 )",715559,"(+/- 10929 )",724790,"(+/- 8151 )",772776,"(+/- 9546 )",715014,"(+/- 9129 )"
People,Ancestry,American,47302,"(+/- 6406 )",65346,"(+/- 6096 )",34434,"(+/- 4239 )",60283,"(+/- 4533 )",50001,"(+/- 5198 )",56990,"(+/- 5716 )",59146,"(+/- 5152 )",63519,"(+/- 5123 )",26773,"(+/- 3247 )",45014,"(+/- 5221 )",18919,"(+/- 3536 )",45712,"(+/- 4913 )",77050,"(+/- 8255 )",55597,"(+/- 6091 )",60427,"(+/- 4996 )",34673,"(+/- 3308 )"
People,Ancestry,Arab,3396,"(+/- 1780 )",2304,"(+/- 1101 )",5224,"(+/- 1956 )",2476,"(+/- 1284 )",6085,"(+/- 2580 )",2357,"(+/- 1201 )",3683,"(+/- 1440 )",2273,"(+/- 1412 )",9736,"(+/- 2885 )",4203,"(+/- 1991 )",4295,"(+/- 1719 )",4805,"(+/- 1655 )",6142,"(+/- 2267 )",5739,"(+/- 2737 )",5397,"(+/- 2096 )",10738,"(+/- 2908 )"
People,Ancestry,Czech,824,"(+/- 458 )",1331,"(+/- 566 )",3255,"(+/- 2836 )",1320,"(+/- 569 )",3412,"(+/- 1679 )",2496,"(+/- 929 )",3673,"(+/- 1171 )",1227,"(+/- 954 )",7464,"(+/- 1794 )",1716,"(+/- 939 )",5652,"(+/- 1417 )",4536,"(+/- 1255 )",3212,"(+/- 1157 )",8581,"(+/- 1578 )",3592,"(+/- 1403 )",10910,"(+/- 2171 )"
People,Ancestry,Danish,754,"(+/- 575 )",2404,"(+/- 1200 )",586,"(+/- 354 )",668,"(+/- 431 )",1111,"(+/- 680 )",738,"(+/- 607 )",793,"(+/- 428 )",838,"(+/- 492 )",1010,"(+/- 443 )",1390,"(+/- 704 )",945,"(+/- 389 )",1491,"(+/- 636 )",387,"(+/- 231 )",1419,"(+/- 739 )",855,"(+/- 509 )",2308,"(+/- 1145 )"
People,Ancestry,Dutch,8978,"(+/- 1579 )",10842,"(+/- 2938 )",6893,"(+/- 2032 )",12341,"(+/- 2106 )",11285,"(+/- 1844 )",11660,"(+/- 2082 )",11539,"(+/- 2801 )",7708,"(+/- 1927 )",9789,"(+/- 1810 )",8725,"(+/- 1940 )",2936,"(+/- 868 )",10644,"(+/- 2245 )",8415,"(+/- 1687 )",8288,"(+/- 1608 )",10540,"(+/- 2139 )",9013,"(+/- 1479 )"
People,Ancestry,English,49574,"(+/- 4608 )",58742,"(+/- 4677 )",38152,"(+/- 3780 )",57235,"(+/- 4554 )",51596,"(+/- 3729 )",67255,"(+/- 4732 )",63606,"(+/- 5625 )",52680,"(+/- 3873 )",48478,"(+/- 5237 )",57564,"(+/- 4749 )",23823,"(+/- 3088 )",78579,"(+/- 5913 )",49843,"(+/- 4326 )",66653,"(+/- 5293 )",71512,"(+/- 5279 )",62665,"(+/- 3500 )"
People,Ancestry,"French (except Basque)",11455,"(+/- 1850 )",12803,"(+/- 2066 )",10153,"(+/- 2385 )",14992,"(+/- 2221 )",25828,"(+/- 3089 )",11968,"(+/- 2154 )",16933,"(+/- 3093 )",19473,"(+/- 3137 )",16732,"(+/- 2691 )",14915,"(+/- 1886 )",5930,"(+/- 1263 )",16042,"(+/- 2393 )",12452,"(+/- 2016 )",10248,"(+/- 1803 )",16859,"(+/- 2021 )",17106,"(+/- 3089 )"
People,Ancestry,"French Canadian",851,"(+/- 481 )",1342,"(+/- 815 )",1751,"(+/- 650 )",1866,"(+/- 1071 )",2277,"(+/- 754 )",1598,"(+/- 804 )",1127,"(+/- 474 )",1736,"(+/- 672 )",2403,"(+/- 701 )",1724,"(+/- 802 )",1183,"(+/- 572 )",1766,"(+/- 648 )",1704,"(+/- 828 )",1689,"(+/- 676 )",3111,"(+/- 954 )",2253,"(+/- 829 )"
People,Ancestry,German,190453,"(+/- 8976 )",171109,"(+/- 8292 )",114925,"(+/- 7804 )",234308,"(+/- 9108 )",255898,"(+/- 8980 )",145316,"(+/- 8267 )",200686,"(+/- 9006 )",191109,"(+/- 9399 )",157306,"(+/- 7721 )",152274,"(+/- 7956 )",56745,"(+/- 3912 )",202995,"(+/- 8387 )",143556,"(+/- 8622 )",151765,"(+/- 7294 )",191413,"(+/- 8823 )",204178,"(+/- 8353 )"
People,Ancestry,Greek,1923,"(+/- 731 )",2174,"(+/- 1061 )",2512,"(+/- 1227 )",1677,"(+/- 819 )",1976,"(+/- 728 )",3283,"(+/- 1318 )",2908,"(+/- 1066 )",1959,"(+/- 809 )",5308,"(+/- 1756 )",2131,"(+/- 785 )",3083,"(+/- 1036 )",3679,"(+/- 1392 )",5662,"(+/- 1650 )",5585,"(+/- 1791 )",4172,"(+/- 1094 )",6136,"(+/- 1460 )"
People,Ancestry,Hungarian,3390,"(+/- 1151 )",2938,"(+/- 913 )",6928,"(+/- 2362 )",9325,"(+/- 1959 )",10869,"(+/- 1787 )",6457,"(+/- 1553 )",13668,"(+/- 2861 )",2614,"(+/- 957 )",21115,"(+/- 3252 )",5500,"(+/- 1669 )",10871,"(+/- 1710 )",8413,"(+/- 1620 )",22955,"(+/- 3472 )",31116,"(+/- 5189 )",9021,"(+/- 2095 )",26361,"(+/- 3473 )"
People,Ancestry,Irish,91510,"(+/- 6993 )",94638,"(+/- 7678 )",69652,"(+/- 6115 )",87605,"(+/- 5979 )",82130,"(+/- 6182 )",92476,"(+/- 5919 )",97718,"(+/- 6915 )",77193,"(+/- 5664 )",102546,"(+/- 7263 )",78288,"(+/- 4941 )",47770,"(+/- 4166 )",108234,"(+/- 7319 )",94467,"(+/- 6493 )",101778,"(+/- 6106 )",113790,"(+/- 7174 )",113336,"(+/- 7023 )"
People,Ancestry,Italian,34585,"(+/- 5328 )",24804,"(+/- 3230 )",27054,"(+/- 3927 )",31623,"(+/- 3245 )",24549,"(+/- 3368 )",42538,"(+/- 3258 )",48695,"(+/- 4412 )",21992,"(+/- 3057 )",51248,"(+/- 4633 )",22742,"(+/- 3028 )",33456,"(+/- 3002 )",42330,"(+/- 5445 )",90985,"(+/- 5899 )",102314,"(+/- 6311 )",46315,"(+/- 5078 )",65537,"(+/- 4992 )"
