Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Race,"Some other race",9570,"(+/- 2943 )",11906,"(+/- 2971 )"
People,Race,"Two or more races",148935,"(+/- 9172 )",183057,"(+/- 10205 )"
People,"Hispanic or Latino and Race","Total population",714328,"(+/- 9864 )",713210,"(+/- 9864 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",59626,"(+/- 4591 )",90499,"(+/- 4591 )"
People,"Hispanic or Latino and Race",Mexican,17233,"(+/- 3150 )",30606,"(+/- 4018 )"
People,"Hispanic or Latino and Race","Puerto Rican",16858,"(+/- 2739 )",29137,"(+/- 4363 )"
People,"Hispanic or Latino and Race",Cuban,1149,"(+/- 808 )",1204,"(+/- 707 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",24386,"(+/- 3814 )",29552,"(+/- 4576 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",654702,"(+/- 9280 )",622711,"(+/- 9280 )"
People,"Place of Birth","Total population",714328,"(+/- 9864 )",713210,"(+/- 9864 )"
People,"Place of Birth",Native,545060,"(+/- 11506 )",616913,"(+/- 10972 )"
People,"Place of Birth","Born in United States",519196,"(+/- 11657 )",600018,"(+/- 11048 )"
People,"Place of Birth","State of residence",372076,"(+/- 10295 )",385112,"(+/- 11187 )"
People,"Place of Birth","Different state",147120,"(+/- 6111 )",214906,"(+/- 6408 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",25864,"(+/- 2665 )",16895,"(+/- 2631 )"
People,"Place of Birth","Foreign born",169268,"(+/- 8382 )",96297,"(+/- 8134 )"
People,Ancestry,"Total population",714328,"(+/- 9864 )",713210,"(+/- 9864 )"
People,Ancestry,American,7870,"(+/- 1534 )",9408,"(+/- 2244 )"
People,Ancestry,Arab,964,"(+/- 874 )",2384,"(+/- 1067 )"
People,Ancestry,Czech,375,"(+/- 322 )",1369,"(+/- 744 )"
People,Ancestry,Danish,915,"(+/- 592 )",1932,"(+/- 842 )"
People,Ancestry,Dutch,2391,"(+/- 767 )",5116,"(+/- 1468 )"
People,Ancestry,English,16377,"(+/- 2033 )",32070,"(+/- 2779 )"
People,Ancestry,"French (except Basque)",7397,"(+/- 2108 )",10734,"(+/- 2112 )"
People,Ancestry,"French Canadian",1086,"(+/- 547 )",1467,"(+/- 561 )"
People,Ancestry,German,33226,"(+/- 4823 )",49711,"(+/- 4063 )"
People,Ancestry,Greek,632,"(+/- 325 )",1715,"(+/- 867 )"
People,Ancestry,Hungarian,730,"(+/- 544 )",1670,"(+/- 840 )"
People,Ancestry,Irish,25522,"(+/- 2782 )",39451,"(+/- 3695 )"
People,Ancestry,Italian,12918,"(+/- 2025 )",17946,"(+/- 3188 )"
People,Ancestry,Lithuanian,146,"(+/- 186 )",642,"(+/- 502 )"
People,Ancestry,Norwegian,4275,"(+/- 1119 )",5414,"(+/- 1401 )"
People,Ancestry,Polish,5072,"(+/- 1374 )",7401,"(+/- 1603 )"
People,Ancestry,Portuguese,16027,"(+/- 3568 )",37303,"(+/- 5495 )"
People,Ancestry,Russian,1528,"(+/- 566 )",4328,"(+/- 1634 )"
People,Ancestry,Scotch-Irish,1873,"(+/- 599 )",3516,"(+/- 950 )"
People,Ancestry,Scottish,5874,"(+/- 2106 )",12511,"(+/- 2715 )"
People,Ancestry,Slovak,233,"(+/- 183 )",711,"(+/- 500 )"
People,Ancestry,"Subsaharan African",984,"(+/- 523 )",2444,"(+/- 1245 )"
People,Ancestry,Swedish,3402,"(+/- 1252 )",8500,"(+/- 1954 )"
People,Ancestry,Swiss,675,"(+/- 481 )",1702,"(+/- 884 )"
People,Ancestry,Ukrainian,650,"(+/- 466 )",1391,"(+/- 620 )"
People,Ancestry,Welsh,1303,"(+/- 767 )",2405,"(+/- 689 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1151,"(+/- 597 )",532,"(+/- 309 )"
People,"Veteran Status","Civilian population 18 years and over",551524,"(+/- 7326 )",526944,"(+/- 7285 )"
People,"Veteran Status","Civilian veterans",53456,"(+/- 3676 )",52667,"(+/- 3090 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",685204,"(+/- 10139 )",687998,"(+/- 10077 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",75420,"(+/- 5079 )",73439,"(+/- 3235 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",140436,"(+/- 4843 )",165215,"(+/- 4861 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",3986,"(+/- 1132 )",4163,"(+/- 1011 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",415980,"(+/- 6539 )",402144,"(+/- 6528 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",29572,"(+/- 3482 )",29897,"(+/- 2641 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",128788,"(+/- 2582 )",120639,"(+/- 2537 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41862,"(+/- 2483 )",39379,"(+/- 2126 )"
People,"Residence 1 Year Ago","Population 1 year and over",705976,"(+/- 9895 )",704774,"(+/- 9881 )"
People,"Residence 1 Year Ago","Same house",613048,"(+/- 12034 )",618292,"(+/- 12938 )"
People,"Residence 1 Year Ago","Different house in the U.S.",81189,"(+/- 6948 )",80951,"(+/- 8230 )"
People,"Residence 1 Year Ago","Same county",59941,"(+/- 7185 )",48436,"(+/- 6272 )"
People,"Residence 1 Year Ago","Different county",21248,"(+/- 2910 )",32515,"(+/- 4800 )"
People,"Residence 1 Year Ago","Same state",1497,"(+/- 761 )",5809,"(+/- 1471 )"
People,"Residence 1 Year Ago","Different state",19751,"(+/- 2599 )",26706,"(+/- 4523 )"
People,"Residence 1 Year Ago",Abroad,11739,"(+/- 2983 )",5531,"(+/- 1781 )"
Workers,"Employment Status","Population 16 years and over",588019,"(+/- 7208 )",565438,"(+/- 7300 )"
Workers,"Employment Status","In labor force",388672,"(+/- 6977 )",364668,"(+/- 7555 )"
Workers,"Employment Status","Civilian labor force",366453,"(+/- 7304 )",343814,"(+/- 7943 )"
Workers,"Employment Status",Employed,354463,"(+/- 7340 )",326042,"(+/- 8111 )"
Workers,"Employment Status",Unemployed,11990,"(+/- 1694 )",17772,"(+/- 2185 )"
Workers,"Employment Status","Armed Forces",22219,"(+/- 2222 )",20854,"(+/- 1964 )"
Workers,"Employment Status","Not in labor force",199347,"(+/- 5860 )",200770,"(+/- 6024 )"
Workers,"Employment Status","Civilian labor force",366453,"(+/- 7304 )",343814,"(+/- 7943 )"
Workers,"Employment Status","Unemployment Rate",3.3,"(+/- 0.5 )",5.2,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",366782,"(+/- 7222 )",337157,"(+/- 7668 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",235443,"(+/- 6667 )",240195,"(+/- 6150 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",46704,"(+/- 4226 )",46620,"(+/- 4380 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",33229,"(+/- 3392 )",10034,"(+/- 1862 )"
Workers,"Commuting to Work",Walked,23542,"(+/- 2980 )",14846,"(+/- 1957 )"
Workers,"Commuting to Work","Other means",15875,"(+/- 2510 )",6807,"(+/- 1419 )"
Workers,"Commuting to Work","Worked at home",11989,"(+/- 1638 )",18655,"(+/- 2307 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",28.1,"(+/- 0.7 )",25.8,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",354463,"(+/- 7340 )",326042,"(+/- 8111 )"
Workers,Occupation,"Management, business, science, and arts occupations",126975,"(+/- 5625 )",104771,"(+/- 5305 )"
Workers,Occupation,"Service occupations",76208,"(+/- 4558 )",86106,"(+/- 5452 )"
Workers,Occupation,"Sales and office occupations",92938,"(+/- 5682 )",74942,"(+/- 4427 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30266,"(+/- 2965 )",34963,"(+/- 3261 )"
Workers,Occupation,"Production, transportation, and material moving occupations",28076,"(+/- 2274 )",25260,"(+/- 2194 )"
Workers,Industry,"Civilian employed population 16 years and over",354463,"(+/- 7340 )",326042,"(+/- 8111 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1577,"(+/- 722 )",10526,"(+/- 2009 )"
Workers,Industry,Construction,23933,"(+/- 2563 )",25294,"(+/- 2854 )"
Workers,Industry,Manufacturing,12790,"(+/- 1942 )",8126,"(+/- 1659 )"
Workers,Industry,"Wholesale trade",8327,"(+/- 1297 )",7728,"(+/- 2043 )"
Workers,Industry,"Retail trade",40546,"(+/- 3938 )",36243,"(+/- 3110 )"
Workers,Industry,"Transportation and warehousing, and utilities",20885,"(+/- 2107 )",15778,"(+/- 2206 )"
Workers,Industry,Information,5962,"(+/- 1410 )",4380,"(+/- 1154 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26517,"(+/- 2591 )",17419,"(+/- 1939 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",35044,"(+/- 2866 )",33846,"(+/- 2797 )"
Workers,Industry,"Educational services, and health care and social assistance",73201,"(+/- 4810 )",64221,"(+/- 4635 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",54758,"(+/- 4082 )",62805,"(+/- 4686 )"
Workers,Industry,"Other services, except public administration",14843,"(+/- 2035 )",14468,"(+/- 2034 )"
Workers,Industry,"Public administration",36080,"(+/- 3576 )",25208,"(+/- 2473 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",354463,"(+/- 7340 )",326042,"(+/- 8111 )"
Workers,"Class of Worker","Private wage and salary workers",260207,"(+/- 7687 )",237615,"(+/- 7092 )"
Workers,"Class of Worker","Government workers",75842,"(+/- 5002 )",62171,"(+/- 4144 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17696,"(+/- 2553 )",26115,"(+/- 2871 )"
Workers,"Class of Worker","Unpaid family workers",718,"(+/- 479 )",141,"(+/- 83 )"
Housing,"Housing Occupancy","Total housing units",264347,"(+/- 2445 )",278608,"(+/- 2454 )"
Housing,"Housing Occupancy","Occupied housing units",234250,"(+/- 3565 )",223828,"(+/- 4253 )"
Housing,"Housing Occupancy","Vacant housing units",30097,"(+/- 3250 )",54780,"(+/- 3266 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,"(+/- 0.4 )",1.7,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.5,"(+/- 1.2 )",12.2,"(+/- 1.7 )"
Housing,"Housing Tenure","Occupied housing units",234250,"(+/- 3565 )",223828,"(+/- 4253 )"
Housing,"Housing Tenure",Owner-occupied,129273,"(+/- 3280 )",138805,"(+/- 3878 )"
Housing,"Housing Tenure",Renter-occupied,104977,"(+/- 3565 )",85023,"(+/- 3334 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",3.25,"(+/- 0.07 )",3.14,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.59,"(+/- 0.08 )",3.01,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",234250,"(+/- 3565 )",223828,"(+/- 4253 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",64514,"(+/- 3224 )",57214,"(+/- 2837 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",47260,"(+/- 3182 )",46035,"(+/- 2791 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",48418,"(+/- 3016 )",50762,"(+/- 3513 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",27609,"(+/- 2343 )",27078,"(+/- 2005 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",17364,"(+/- 1885 )",21666,"(+/- 2020 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",29085,"(+/- 2005 )",21073,"(+/- 1864 )"
Housing,Value,"Owner-occupied units",129273,"(+/- 3280 )",138805,"(+/- 3878 )"
Housing,Value,"Less than $50,000",777,"(+/- 306 )",1305,"(+/- 607 )"
Housing,Value,"$50,000 to $99,999",1336,"(+/- 670 )",2146,"(+/- 706 )"
Housing,Value,"$100,000 to $149,999",959,"(+/- 403 )",4024,"(+/- 1079 )"
Housing,Value,"$150,000 to $199,999",882,"(+/- 311 )",4521,"(+/- 1026 )"
Housing,Value,"$200,000 to $299,999",7640,"(+/- 1200 )",14142,"(+/- 2080 )"
Housing,Value,"$300,000 to $499,999",25476,"(+/- 2137 )",32167,"(+/- 2523 )"
Housing,Value,"$500,000 to $999,999",68506,"(+/- 3061 )",62415,"(+/- 3362 )"
Housing,Value,"$1,000,000 or more",23697,"(+/- 1876 )",18085,"(+/- 1846 )"
Housing,Value,"Median (dollars)",668900,"(+/- 12697 )",566800,"(+/- 14174 )"
Housing,"Mortgage Status","Owner-occupied units",129273,"(+/- 3280 )",138805,"(+/- 3878 )"
Housing,"Mortgage Status","Housing units with a mortgage",84133,"(+/- 3243 )",88081,"(+/- 3961 )"
Housing,"Mortgage Status","Housing units without a mortgage",45140,"(+/- 2101 )",50724,"(+/- 3179 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",84133,"(+/- 3243 )",88081,"(+/- 3961 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",681,"(+/- 343 )",1131,"(+/- 513 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",2512,"(+/- 649 )",6871,"(+/- 1089 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",8498,"(+/- 1091 )",14620,"(+/- 1741 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",15433,"(+/- 1658 )",16149,"(+/- 2100 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",15547,"(+/- 1744 )",14417,"(+/- 1598 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",14832,"(+/- 1680 )",11107,"(+/- 1635 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",26630,"(+/- 2352 )",23786,"(+/- 2414 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2481,"(+/- 69 )",2183,"(+/- 72 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",45140,"(+/- 2101 )",50724,"(+/- 3179 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3187,"(+/- 647 )",10588,"(+/- 1558 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",6126,"(+/- 858 )",14451,"(+/- 1908 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",13169,"(+/- 1516 )",12277,"(+/- 1623 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",9621,"(+/- 1335 )",6245,"(+/- 1315 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6116,"(+/- 1029 )",2832,"(+/- 656 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",6921,"(+/- 1241 )",4331,"(+/- 933 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",602,"(+/- 23 )",405,"(+/- 22 )"
Housing,"Gross Rent","Occupied units paying rent",100001,"(+/- 3548 )",77511,"(+/- 3212 )"
Housing,"Gross Rent","Less than $500",6938,"(+/- 1117 )",6294,"(+/- 1165 )"
Housing,"Gross Rent","$500 to $999",10987,"(+/- 1656 )",12201,"(+/- 1502 )"
Housing,"Gross Rent","$1,000 to $1,499",26307,"(+/- 2341 )",20620,"(+/- 1921 )"
Housing,"Gross Rent","$1,500 to $1,999",21950,"(+/- 2419 )",15134,"(+/- 1805 )"
Housing,"Gross Rent","$2,000 to $2,499",11843,"(+/- 1747 )",10547,"(+/- 1537 )"
Housing,"Gross Rent","$2,500 to $2,999",9793,"(+/- 1380 )",4980,"(+/- 1048 )"
Housing,"Gross Rent","$3,000 or more",12183,"(+/- 1677 )",7735,"(+/- 1386 )"
Housing,"Gross Rent","Median (dollars)",1631,"(+/- 47 )",1491,"(+/- 55 )"
Housing,"Gross Rent","No rent paid",4976,"(+/- 966 )",7512,"(+/- 1467 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",234250,"(+/- 3565 )",223828,"(+/- 4253 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",12944,"(+/- 1698 )",15473,"(+/- 2062 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",5611,"(+/- 1018 )",7818,"(+/- 1399 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",13188,"(+/- 1529 )",14606,"(+/- 1734 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",14418,"(+/- 1918 )",14418,"(+/- 1710 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",25064,"(+/- 2500 )",23648,"(+/- 2509 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",38051,"(+/- 2993 )",35551,"(+/- 2795 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",34288,"(+/- 2806 )",33301,"(+/- 2940 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",44185,"(+/- 2714 )",41145,"(+/- 2832 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",21923,"(+/- 2242 )",20558,"(+/- 2015 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",24578,"(+/- 1939 )",17310,"(+/- 1791 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",80083,"(+/- 2198 )",75289,"(+/- 2421 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",103233,"(+/- 2715 )",93655,"(+/- 2798 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",685204,"(+/- 10139 )",687998,"(+/- 10077 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",663561,"(+/- 10000 )",656814,"(+/- 11256 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",555592,"(+/- 10640 )",501495,"(+/- 12714 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",221527,"(+/- 7750 )",261271,"(+/- 8761 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",21643,"(+/- 2375 )",31184,"(+/- 3954 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",147256,"(+/- 4983 )",173693,"(+/- 4938 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",2330,"(+/- 753 )",4708,"(+/- 1252 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.1,"(+/- 0.9 )",8.6,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.4,"(+/- 1.6 )",12.5,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",12.6,"(+/- 5.4 )",15.5,"(+/- 4.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.9,"(+/- 0.8 )",3.8,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.2,"(+/- 1.3 )",4.0,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.6,"(+/- 2.8 )",3.8,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",14.7,"(+/- 3.3 )",26.8,"(+/- 4.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",22.1,"(+/- 5.9 )",35.8,"(+/- 5.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",44.6,"(+/- 17.4 )",58.1,"(+/- 12.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",7.9,"(+/- 0.7 )",11.2,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",8.2,"(+/- 1.7 )",14.3,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",7.5,"(+/- 1.8 )",14.0,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",9.9,"(+/- 3.6 )",16.8,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",6.5,"(+/- 2.0 )",12.9,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",7.8,"(+/- 0.6 )",10.3,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.7,"(+/- 1.4 )",8.8,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",5.2,"(+/- 0.8 )",8.2,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",20.2,"(+/- 1.9 )",27.0,"(+/- 2.2 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",164301,"(+/- 5768 )",160307,"(+/- 6234 )"
Education,"School Enrollment","Nursery school, preschool",10481,"(+/- 1669 )",12879,"(+/- 2001 )"
Education,"School Enrollment",Kindergarten,8199,"(+/- 1425 )",8804,"(+/- 1362 )"
Education,"School Enrollment","Elementary school (grades 1-8)",59213,"(+/- 3596 )",70890,"(+/- 3261 )"
Education,"School Enrollment","High school (grades 9-12)",29040,"(+/- 1799 )",32569,"(+/- 2065 )"
Education,"School Enrollment","College or graduate school",57368,"(+/- 3660 )",35165,"(+/- 3903 )"
Education,"Educational Attainment","Population 25 years and over",513117,"(+/- 5828 )",484627,"(+/- 6030 )"
Education,"Educational Attainment","Less than 9th grade",21279,"(+/- 3078 )",13216,"(+/- 1925 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",22710,"(+/- 3081 )",19926,"(+/- 2314 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",130467,"(+/- 5999 )",150027,"(+/- 6231 )"
Education,"Educational Attainment","Some college, no degree",97850,"(+/- 5282 )",106602,"(+/- 5070 )"
Education,"Educational Attainment","Associate's degree",58119,"(+/- 3184 )",48868,"(+/- 3167 )"
Education,"Educational Attainment","Bachelor's degree",120131,"(+/- 5001 )",96862,"(+/- 5050 )"
Education,"Educational Attainment","Graduate or professional degree",62561,"(+/- 3823 )",49126,"(+/- 3539 )"
Education,"Educational Attainment","Percent high school graduate or higher",91.4,"(+/- 0.8 )",93.2,"(+/- 0.6 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",35.6,"(+/- 1.1 )",30.1,"(+/- 1.1 )"

"Source: 2017 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",320441,G,185382,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",21,J,130,G
