Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","45 to 54 years",86980,"(+/- 4114 )",83763,"(+/- 4235 )",93328,"(+/- 1981 )",100043,"(+/- 2207 )",90688,"(+/- 1944 )",104852,"(+/- 3844 )",99733,"(+/- 3489 )",105590,"(+/- 2024 )",93020,"(+/- 2154 )",95545,"(+/- 2621 )",97418,"(+/- 3256 )",91993,"(+/- 3875 )",93510,"(+/- 3862 )",77244,"(+/- 3137 )",96490,"(+/- 3118 )",91583,"(+/- 2693 )",96349,"(+/- 3621 )",101713,"(+/- 3943 )"
People,"Sex and Age","55 to 59 years",42891,"(+/- 3107 )",43232,"(+/- 3601 )",52576,"(+/- 2569 )",52360,"(+/- 2557 )",50120,"(+/- 2427 )",55244,"(+/- 3329 )",56175,"(+/- 3286 )",55743,"(+/- 2726 )",52817,"(+/- 2077 )",54443,"(+/- 2520 )",51699,"(+/- 2994 )",53900,"(+/- 2936 )",48004,"(+/- 3168 )",45339,"(+/- 2460 )",51225,"(+/- 2842 )",51379,"(+/- 3094 )",52032,"(+/- 2932 )",54973,"(+/- 2758 )"
People,"Sex and Age","60 to 64 years",40765,"(+/- 3711 )",43138,"(+/- 3530 )",51632,"(+/- 2710 )",49183,"(+/- 2870 )",50765,"(+/- 2273 )",46660,"(+/- 3376 )",51504,"(+/- 3584 )",53870,"(+/- 2676 )",50087,"(+/- 2254 )",50969,"(+/- 2891 )",49177,"(+/- 2832 )",56628,"(+/- 3396 )",48027,"(+/- 3756 )",51113,"(+/- 3059 )",48702,"(+/- 2760 )",41676,"(+/- 2905 )",51498,"(+/- 2830 )",53968,"(+/- 3187 )"
People,"Sex and Age","65 to 74 years",52680,"(+/- 3305 )",60784,"(+/- 3053 )",75139,"(+/- 1620 )",72558,"(+/- 1865 )",71786,"(+/- 1558 )",70661,"(+/- 3168 )",70684,"(+/- 2727 )",72879,"(+/- 1539 )",75723,"(+/- 1718 )",79738,"(+/- 1880 )",77547,"(+/- 2589 )",81083,"(+/- 2718 )",63552,"(+/- 3230 )",67784,"(+/- 2731 )",69229,"(+/- 2752 )",64890,"(+/- 2145 )",72559,"(+/- 2745 )",79575,"(+/- 2922 )"
People,"Sex and Age","75 to 84 years",23984,"(+/- 2125 )",31694,"(+/- 2657 )",37878,"(+/- 1914 )",36869,"(+/- 1935 )",39843,"(+/- 1647 )",33840,"(+/- 2691 )",39700,"(+/- 2977 )",37948,"(+/- 2307 )",41719,"(+/- 2053 )",40726,"(+/- 1886 )",39027,"(+/- 2254 )",44814,"(+/- 2838 )",32859,"(+/- 2367 )",36002,"(+/- 2630 )",36569,"(+/- 2164 )",34264,"(+/- 2411 )",39277,"(+/- 2479 )",40393,"(+/- 2408 )"
People,"Sex and Age","85 years and over",11200,"(+/- 1857 )",13664,"(+/- 1860 )",19711,"(+/- 1674 )",15813,"(+/- 1806 )",17781,"(+/- 1737 )",17572,"(+/- 1825 )",21006,"(+/- 1753 )",17943,"(+/- 1984 )",19951,"(+/- 1991 )",20115,"(+/- 1646 )",18208,"(+/- 1679 )",21452,"(+/- 2170 )",19201,"(+/- 1961 )",20198,"(+/- 1734 )",18432,"(+/- 1808 )",19096,"(+/- 2244 )",18602,"(+/- 1755 )",20341,"(+/- 2118 )"
People,"Sex and Age","Median age (years)",34.1,"(+/- 0.6 )",34.7,"(+/- 0.7 )",43.0,"(+/- 0.5 )",40.5,"(+/- 0.4 )",41.5,"(+/- 0.5 )",40.7,"(+/- 0.8 )",41.9,"(+/- 0.8 )",43.7,"(+/- 0.4 )",43.8,"(+/- 0.5 )",44.3,"(+/- 0.5 )",42.9,"(+/- 0.7 )",45.6,"(+/- 0.6 )",38.3,"(+/- 0.8 )",38.4,"(+/- 0.6 )",40.0,"(+/- 0.6 )",37.5,"(+/- 0.5 )",43.1,"(+/- 0.6 )",44.4,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",561989,"(+/- 14614 )",581124,"(+/- 14131 )",550675,"(+/- 4101 )",568763,"(+/- 4082 )",566214,"(+/- 4167 )",570274,"(+/- 8384 )",563651,"(+/- 9191 )",567433,"(+/- 4277 )",548930,"(+/- 3904 )",551507,"(+/- 6336 )",563380,"(+/- 6534 )",549835,"(+/- 6452 )",563588,"(+/- 12297 )",572882,"(+/- 6662 )",573324,"(+/- 5829 )",553944,"(+/- 6154 )",561403,"(+/- 7960 )",571650,"(+/- 6235 )"
People,"Sex and Age","65 years and over",87864,"(+/- 3870 )",106142,"(+/- 3776 )",132728,"(+/- 1990 )",125240,"(+/- 2435 )",129410,"(+/- 1985 )",122073,"(+/- 4192 )",131390,"(+/- 4442 )",128770,"(+/- 1839 )",137393,"(+/- 2013 )",140579,"(+/- 2715 )",134782,"(+/- 3230 )",147349,"(+/- 3946 )",115612,"(+/- 4597 )",123984,"(+/- 3251 )",124230,"(+/- 3147 )",118250,"(+/- 2323 )",130438,"(+/- 3853 )",140309,"(+/- 3477 )"
People,Race,"Total population",728366,"(+/- 19204 )",726135,"(+/- 18162 )",691184,"(+/- 5313 )",729945,"(+/- 5227 )",696063,"(+/- 5277 )",728576,"(+/- 12518 )",725762,"(+/- 12957 )",713998,"(+/- 5906 )",687620,"(+/- 5514 )",694398,"(+/- 7523 )",701056,"(+/- 8057 )",689237,"(+/- 8282 )",728475,"(+/- 16023 )",687028,"(+/- 8151 )",734824,"(+/- 8738 )",731802,"(+/- 8387 )",697535,"(+/- 10352 )",713533,"(+/- 8247 )"
People,Race,"One race",705024,"(+/- 18765 )",707692,"(+/- 17689 )",675936,"(+/- 5932 )",709688,"(+/- 5649 )",685711,"(+/- 5292 )",713295,"(+/- 12459 )",707269,"(+/- 12694 )",702107,"(+/- 5972 )",675289,"(+/- 5355 )",682557,"(+/- 7471 )",688451,"(+/- 8252 )",674177,"(+/- 8241 )",711841,"(+/- 16406 )",663095,"(+/- 8102 )",713667,"(+/- 9889 )",698971,"(+/- 8736 )",680273,"(+/- 10425 )",696062,"(+/- 8410 )"
People,Race,White,332193,"(+/- 12667 )",245744,"(+/- 8789 )",631323,"(+/- 5988 )",623934,"(+/- 5685 )",649753,"(+/- 5563 )",618782,"(+/- 11993 )",622048,"(+/- 11932 )",624282,"(+/- 5459 )",648066,"(+/- 5458 )",643550,"(+/- 7426 )",617299,"(+/- 8840 )",634236,"(+/- 9125 )",469565,"(+/- 12935 )",489032,"(+/- 8698 )",616828,"(+/- 8552 )",604697,"(+/- 9977 )",608471,"(+/- 9468 )",659685,"(+/- 9840 )"
People,Race,"Black or African American",267639,"(+/- 14080 )",411207,"(+/- 14712 )",30709,"(+/- 2447 )",57402,"(+/- 3964 )",18967,"(+/- 2022 )",39874,"(+/- 4621 )",41358,"(+/- 4396 )",28907,"(+/- 2143 )",19825,"(+/- 1919 )",25172,"(+/- 2814 )",44144,"(+/- 4809 )",24502,"(+/- 3052 )",127968,"(+/- 10558 )",142364,"(+/- 5061 )",41814,"(+/- 5647 )",52219,"(+/- 5024 )",44208,"(+/- 4236 )",18802,"(+/- 2651 )"
People,Race,"American Indian and Alaska Native",2035,"(+/- 1427 )",1301,"(+/- 723 )",810,"(+/- 356 )",1047,"(+/- 461 )",1715,"(+/- 679 )",709,"(+/- 551 )",553,"(+/- 533 )",926,"(+/- 421 )",585,"(+/- 393 )",1423,"(+/- 668 )",918,"(+/- 518 )",568,"(+/- 369 )",2945,"(+/- 1569 )",1011,"(+/- 623 )",2369,"(+/- 1504 )",2676,"(+/- 1536 )",1277,"(+/- 732 )",655,"(+/- 363 )"
People,Race,Asian,53425,"(+/- 5981 )",36880,"(+/- 4877 )",7619,"(+/- 814 )",18038,"(+/- 1562 )",13477,"(+/- 837 )",36689,"(+/- 2625 )",37425,"(+/- 3671 )",39764,"(+/- 3182 )",3805,"(+/- 754 )",7680,"(+/- 1091 )",15283,"(+/- 2466 )",11752,"(+/- 2433 )",72489,"(+/- 5744 )",26347,"(+/- 3198 )",21147,"(+/- 1990 )",14533,"(+/- 1346 )",12844,"(+/- 2108 )",15391,"(+/- 2813 )"
People,Race,"Native Hawaiian and Other Pacific Islander",649,"(+/- 989 )",406,"(+/- 254 )",246,"(+/- 259 )",302,"(+/- 482 )",43,"(+/- 92 )",105,"(+/- 132 )",16,"(+/- 32 )",0,"(+/- 179 )",191,"(+/- 287 )",48,"(+/- 54 )",158,"(+/- 169 )",352,"(+/- 323 )",52,"(+/- 88 )",250,"(+/- 311 )",161,"(+/- 209 )",173,"(+/- 250 )",189,"(+/- 149 )",84,"(+/- 131 )"
People,Race,"Some other race",49083,"(+/- 7073 )",12154,"(+/- 3353 )",5229,"(+/- 2256 )",8965,"(+/- 2131 )",1756,"(+/- 584 )",17136,"(+/- 4757 )",5869,"(+/- 1919 )",8228,"(+/- 1898 )",2817,"(+/- 1234 )",4684,"(+/- 1470 )",10649,"(+/- 2596 )",2767,"(+/- 1172 )",38822,"(+/- 9709 )",4091,"(+/- 1520 )",31348,"(+/- 5293 )",24673,"(+/- 4702 )",13284,"(+/- 3624 )",1445,"(+/- 667 )"
People,Race,"Two or more races",23342,"(+/- 4371 )",18443,"(+/- 3419 )",15248,"(+/- 2300 )",20257,"(+/- 3183 )",10352,"(+/- 1695 )",15281,"(+/- 2604 )",18493,"(+/- 3422 )",11891,"(+/- 2247 )",12331,"(+/- 1786 )",11841,"(+/- 2258 )",12605,"(+/- 2551 )",15060,"(+/- 2892 )",16634,"(+/- 3496 )",23933,"(+/- 3424 )",21157,"(+/- 4040 )",32831,"(+/- 5064 )",17262,"(+/- 3014 )",17471,"(+/- 3358 )"
People,"Hispanic or Latino and Race","Total population",728366,"(+/- 19204 )",726135,"(+/- 18162 )",691184,"(+/- 5313 )",729945,"(+/- 5227 )",696063,"(+/- 5277 )",728576,"(+/- 12518 )",725762,"(+/- 12957 )",713998,"(+/- 5906 )",687620,"(+/- 5514 )",694398,"(+/- 7523 )",701056,"(+/- 8057 )",689237,"(+/- 8282 )",728475,"(+/- 16023 )",687028,"(+/- 8151 )",734824,"(+/- 8738 )",731802,"(+/- 8387 )",697535,"(+/- 10352 )",713533,"(+/- 8247 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",129911,"(+/- 8324 )",44862,"(+/- 6807 )",15955,"(+/- 1138 )",59444,"(+/- 2532 )",14312,"(+/- 1411 )",45725,"(+/- 5359 )",22007,"(+/- 3445 )",37151,"(+/- 1673 )",15656,"(+/- 853 )",30427,"(+/- 3034 )",43301,"(+/- 4417 )",9920,"(+/- 1091 )",102789,"(+/- 9284 )",17308,"(+/- 1812 )",123665,"(+/- 4063 )",143233,"(+/- 4753 )",71807,"(+/- 4756 )",10955,"(+/- 1772 )"
People,"Hispanic or Latino and Race",Mexican,10568,"(+/- 4129 )",5386,"(+/- 2509 )",3853,"(+/- 968 )",14299,"(+/- 2743 )",3706,"(+/- 770 )",9310,"(+/- 2938 )",6585,"(+/- 1896 )",7296,"(+/- 2287 )",5722,"(+/- 1682 )",5476,"(+/- 2519 )",4815,"(+/- 1783 )",3451,"(+/- 995 )",16824,"(+/- 3877 )",3590,"(+/- 1003 )",9026,"(+/- 2944 )",30260,"(+/- 5534 )",13269,"(+/- 3619 )",3496,"(+/- 1001 )"
People,"Hispanic or Latino and Race","Puerto Rican",80426,"(+/- 8434 )",22183,"(+/- 5678 )",7410,"(+/- 1416 )",29963,"(+/- 3493 )",4321,"(+/- 1208 )",21272,"(+/- 4294 )",7734,"(+/- 2025 )",13108,"(+/- 2222 )",5903,"(+/- 1625 )",15817,"(+/- 2682 )",15910,"(+/- 3757 )",2269,"(+/- 743 )",43040,"(+/- 6629 )",5346,"(+/- 1550 )",68755,"(+/- 5618 )",66058,"(+/- 5833 )",32315,"(+/- 3998 )",3612,"(+/- 1174 )"
People,"Hispanic or Latino and Race",Cuban,4125,"(+/- 1898 )",1344,"(+/- 729 )",208,"(+/- 195 )",3313,"(+/- 2135 )",1513,"(+/- 661 )",724,"(+/- 506 )",848,"(+/- 504 )",1304,"(+/- 599 )",157,"(+/- 160 )",298,"(+/- 274 )",203,"(+/- 172 )",453,"(+/- 336 )",2602,"(+/- 947 )",1006,"(+/- 416 )",3322,"(+/- 2236 )",4122,"(+/- 2054 )",2518,"(+/- 1651 )",269,"(+/- 185 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",34792,"(+/- 6534 )",15949,"(+/- 3780 )",4484,"(+/- 1535 )",11869,"(+/- 2515 )",4772,"(+/- 891 )",14419,"(+/- 4160 )",6840,"(+/- 1724 )",15443,"(+/- 2541 )",3874,"(+/- 1416 )",8836,"(+/- 1724 )",22373,"(+/- 3819 )",3747,"(+/- 890 )",40323,"(+/- 7619 )",7366,"(+/- 1729 )",42562,"(+/- 6534 )",42793,"(+/- 4826 )",23705,"(+/- 4450 )",3578,"(+/- 1071 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",598455,"(+/- 17597 )",681273,"(+/- 16725 )",675229,"(+/- 5086 )",670501,"(+/- 5482 )",681751,"(+/- 5260 )",682851,"(+/- 10799 )",703755,"(+/- 13098 )",676847,"(+/- 5592 )",671964,"(+/- 5369 )",663971,"(+/- 6603 )",657755,"(+/- 8455 )",679317,"(+/- 8268 )",625686,"(+/- 14794 )",669720,"(+/- 8124 )",611159,"(+/- 9102 )",588569,"(+/- 8065 )",625728,"(+/- 9700 )",702578,"(+/- 8532 )"
People,"Place of Birth","Total population",728366,"(+/- 19204 )",726135,"(+/- 18162 )",691184,"(+/- 5313 )",729945,"(+/- 5227 )",696063,"(+/- 5277 )",728576,"(+/- 12518 )",725762,"(+/- 12957 )",713998,"(+/- 5906 )",687620,"(+/- 5514 )",694398,"(+/- 7523 )",701056,"(+/- 8057 )",689237,"(+/- 8282 )",728475,"(+/- 16023 )",687028,"(+/- 8151 )",734824,"(+/- 8738 )",731802,"(+/- 8387 )",697535,"(+/- 10352 )",713533,"(+/- 8247 )"
People,"Place of Birth",Native,622258,"(+/- 17455 )",662254,"(+/- 17140 )",673623,"(+/- 5765 )",690625,"(+/- 5765 )",672663,"(+/- 5769 )",669887,"(+/- 12844 )",672091,"(+/- 12725 )",643969,"(+/- 6785 )",675425,"(+/- 5424 )",670597,"(+/- 7549 )",664923,"(+/- 8617 )",670508,"(+/- 8699 )",591818,"(+/- 14848 )",647177,"(+/- 8756 )",672077,"(+/- 8587 )",669641,"(+/- 10228 )",654119,"(+/- 10296 )",688113,"(+/- 8970 )"
People,"Place of Birth","Born in United States",592036,"(+/- 16852 )",651200,"(+/- 16898 )",669667,"(+/- 5569 )",674072,"(+/- 5575 )",668668,"(+/- 5915 )",655992,"(+/- 12906 )",666180,"(+/- 12640 )",635488,"(+/- 7034 )",670867,"(+/- 5329 )",663430,"(+/- 7674 )",652401,"(+/- 8839 )",666024,"(+/- 8849 )",572834,"(+/- 13753 )",639057,"(+/- 8562 )",643147,"(+/- 8070 )",635868,"(+/- 10555 )",638552,"(+/- 10501 )",683462,"(+/- 8999 )"
People,"Place of Birth","State of residence",477440,"(+/- 17289 )",495360,"(+/- 15155 )",562311,"(+/- 5955 )",461272,"(+/- 9104 )",554587,"(+/- 8105 )",517504,"(+/- 12594 )",528457,"(+/- 12105 )",472748,"(+/- 9353 )",552672,"(+/- 6484 )",473615,"(+/- 7534 )",544389,"(+/- 9027 )",572548,"(+/- 8338 )",478076,"(+/- 13262 )",522952,"(+/- 10245 )",485525,"(+/- 10276 )",497615,"(+/- 9842 )",473504,"(+/- 10795 )",576750,"(+/- 9597 )"
People,"Place of Birth","Different state",114596,"(+/- 7784 )",155840,"(+/- 7324 )",107356,"(+/- 4732 )",212800,"(+/- 7799 )",114081,"(+/- 5549 )",138488,"(+/- 6965 )",137723,"(+/- 6410 )",162740,"(+/- 7815 )",118195,"(+/- 5127 )",189815,"(+/- 5632 )",108012,"(+/- 5575 )",93476,"(+/- 4923 )",94758,"(+/- 5871 )",116105,"(+/- 6486 )",157622,"(+/- 7537 )",138253,"(+/- 6417 )",165048,"(+/- 5990 )",106712,"(+/- 5348 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",30222,"(+/- 4949 )",11054,"(+/- 2712 )",3956,"(+/- 888 )",16553,"(+/- 2368 )",3995,"(+/- 895 )",13895,"(+/- 2451 )",5911,"(+/- 1082 )",8481,"(+/- 1798 )",4558,"(+/- 1220 )",7167,"(+/- 1484 )",12522,"(+/- 2520 )",4484,"(+/- 1044 )",18984,"(+/- 5222 )",8120,"(+/- 2180 )",28930,"(+/- 3534 )",33773,"(+/- 4029 )",15567,"(+/- 2606 )",4651,"(+/- 978 )"
People,"Place of Birth","Foreign born",106108,"(+/- 8991 )",63881,"(+/- 6569 )",17561,"(+/- 1920 )",39320,"(+/- 2961 )",23400,"(+/- 2116 )",58689,"(+/- 5036 )",53671,"(+/- 3889 )",70029,"(+/- 4374 )",12195,"(+/- 1756 )",23801,"(+/- 3124 )",36133,"(+/- 3949 )",18729,"(+/- 2352 )",136657,"(+/- 7809 )",39851,"(+/- 3719 )",62747,"(+/- 5382 )",62161,"(+/- 4952 )",43416,"(+/- 4270 )",25420,"(+/- 3215 )"
People,Ancestry,"Total population",728366,"(+/- 19204 )",726135,"(+/- 18162 )",691184,"(+/- 5313 )",729945,"(+/- 5227 )",696063,"(+/- 5277 )",728576,"(+/- 12518 )",725762,"(+/- 12957 )",713998,"(+/- 5906 )",687620,"(+/- 5514 )",694398,"(+/- 7523 )",701056,"(+/- 8057 )",689237,"(+/- 8282 )",728475,"(+/- 16023 )",687028,"(+/- 8151 )",734824,"(+/- 8738 )",731802,"(+/- 8387 )",697535,"(+/- 10352 )",713533,"(+/- 8247 )"
People,Ancestry,American,42527,"(+/- 7084 )",22977,"(+/- 4659 )",25889,"(+/- 2716 )",57452,"(+/- 6016 )",33800,"(+/- 3276 )",29155,"(+/- 4150 )",36682,"(+/- 5438 )",22851,"(+/- 3304 )",39977,"(+/- 3390 )",49528,"(+/- 4808 )",37020,"(+/- 3842 )",20686,"(+/- 2501 )",26316,"(+/- 4354 )",25976,"(+/- 3822 )",34366,"(+/- 4472 )",32592,"(+/- 4550 )",22704,"(+/- 3232 )",21338,"(+/- 2849 )"
People,Ancestry,Arab,2998,"(+/- 1398 )",3520,"(+/- 1124 )",5098,"(+/- 2360 )",4387,"(+/- 2494 )",1080,"(+/- 613 )",5838,"(+/- 2643 )",2839,"(+/- 1323 )",1839,"(+/- 1089 )",815,"(+/- 391 )",2630,"(+/- 1528 )",3200,"(+/- 1029 )",3231,"(+/- 1528 )",7920,"(+/- 3101 )",5036,"(+/- 1295 )",9249,"(+/- 2633 )",2227,"(+/- 1950 )",4841,"(+/- 1418 )",4962,"(+/- 1650 )"
People,Ancestry,Czech,538,"(+/- 288 )",990,"(+/- 513 )",3571,"(+/- 964 )",1143,"(+/- 506 )",1670,"(+/- 480 )",1962,"(+/- 759 )",2295,"(+/- 835 )",2931,"(+/- 976 )",3007,"(+/- 833 )",2280,"(+/- 969 )",1369,"(+/- 482 )",3954,"(+/- 906 )",815,"(+/- 367 )",2759,"(+/- 844 )",2075,"(+/- 770 )",1581,"(+/- 684 )",2332,"(+/- 1057 )",4023,"(+/- 830 )"
People,Ancestry,Danish,182,"(+/- 173 )",696,"(+/- 534 )",1286,"(+/- 905 )",1239,"(+/- 460 )",1848,"(+/- 638 )",1076,"(+/- 507 )",2180,"(+/- 1565 )",1927,"(+/- 983 )",941,"(+/- 925 )",955,"(+/- 536 )",634,"(+/- 450 )",453,"(+/- 422 )",505,"(+/- 278 )",476,"(+/- 305 )",803,"(+/- 391 )",904,"(+/- 521 )",814,"(+/- 491 )",773,"(+/- 568 )"
People,Ancestry,Dutch,3863,"(+/- 1572 )",2676,"(+/- 740 )",11398,"(+/- 2042 )",9165,"(+/- 2053 )",16467,"(+/- 2265 )",11544,"(+/- 2094 )",8918,"(+/- 1886 )",8754,"(+/- 1655 )",12616,"(+/- 2195 )",13406,"(+/- 1684 )",14946,"(+/- 1730 )",8050,"(+/- 2005 )",3457,"(+/- 1068 )",4554,"(+/- 1169 )",14540,"(+/- 2604 )",8870,"(+/- 2111 )",13640,"(+/- 2409 )",6589,"(+/- 1430 )"
People,Ancestry,English,21287,"(+/- 2687 )",18593,"(+/- 2303 )",51571,"(+/- 3639 )",51819,"(+/- 4012 )",61635,"(+/- 4089 )",61077,"(+/- 5641 )",69820,"(+/- 5832 )",64225,"(+/- 4921 )",46506,"(+/- 3315 )",55876,"(+/- 4108 )",43998,"(+/- 3070 )",58591,"(+/- 4737 )",32333,"(+/- 3278 )",42918,"(+/- 3234 )",36581,"(+/- 3613 )",42303,"(+/- 4120 )",37586,"(+/- 4366 )",63999,"(+/- 4880 )"
