Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","45 to 54 years",98005,"(+/- 1976 )",91115,"(+/- 3452 )",92430,"(+/- 3786 )",110758,"(+/- 3551 )",84395,"(+/- 3447 )",94838,"(+/- 2852 )",101936,"(+/- 3502 )",98095,"(+/- 2057 )",112318,"(+/- 4637 )",111989,"(+/- 4432 )",84593,"(+/- 4138 )",104173,"(+/- 2830 )",102429,"(+/- 2746 )",109682,"(+/- 3522 )",102538,"(+/- 5421 )",97200,"(+/- 4129 )",89525,"(+/- 4756 )",98878,"(+/- 3213 )",92719,"(+/- 3794 )",104524,"(+/- 5813 )",104156,"(+/- 3967 )",107161,"(+/- 4980 )",113962,"(+/- 5109 )",102207,"(+/- 5880 )",119773,"(+/- 6701 )",119587,"(+/- 5358 )",112351,"(+/- 5978 )"
People,"Sex and Age","55 to 59 years",56902,"(+/- 3120 )",54440,"(+/- 3256 )",46644,"(+/- 2450 )",62302,"(+/- 4568 )",44158,"(+/- 3457 )",58533,"(+/- 3883 )",50779,"(+/- 3581 )",68340,"(+/- 3663 )",51511,"(+/- 4128 )",51775,"(+/- 3414 )",51312,"(+/- 3370 )",59627,"(+/- 3332 )",59146,"(+/- 3353 )",47816,"(+/- 2904 )",47112,"(+/- 3562 )",57641,"(+/- 3719 )",52534,"(+/- 3749 )",56803,"(+/- 4105 )",57615,"(+/- 3101 )",43883,"(+/- 3892 )",53392,"(+/- 3799 )",61454,"(+/- 4766 )",52887,"(+/- 3779 )",50354,"(+/- 4463 )",57389,"(+/- 4305 )",49819,"(+/- 3497 )",52379,"(+/- 4400 )"
People,"Sex and Age","60 to 64 years",49975,"(+/- 2975 )",51236,"(+/- 3314 )",46193,"(+/- 2431 )",48134,"(+/- 3089 )",40222,"(+/- 2934 )",61586,"(+/- 3626 )",44867,"(+/- 3539 )",55767,"(+/- 3806 )",45409,"(+/- 3360 )",42108,"(+/- 3443 )",59449,"(+/- 3370 )",53255,"(+/- 2719 )",55728,"(+/- 3310 )",47422,"(+/- 2926 )",48293,"(+/- 2912 )",54783,"(+/- 3319 )",59823,"(+/- 3734 )",58541,"(+/- 4644 )",55781,"(+/- 3381 )",43708,"(+/- 3801 )",45778,"(+/- 3134 )",54154,"(+/- 4570 )",46245,"(+/- 4456 )",42772,"(+/- 3253 )",44747,"(+/- 4560 )",43971,"(+/- 3752 )",43510,"(+/- 3652 )"
People,"Sex and Age","65 to 74 years",75338,"(+/- 1205 )",83362,"(+/- 2560 )",74519,"(+/- 2748 )",81738,"(+/- 2866 )",57547,"(+/- 2889 )",109543,"(+/- 2427 )",61989,"(+/- 2459 )",101707,"(+/- 1341 )",82933,"(+/- 4195 )",59866,"(+/- 2747 )",155072,"(+/- 3400 )",103200,"(+/- 3477 )",91607,"(+/- 3242 )",62277,"(+/- 3360 )",74392,"(+/- 4374 )",116705,"(+/- 3526 )",127914,"(+/- 4118 )",103098,"(+/- 3447 )",137744,"(+/- 3587 )",60406,"(+/- 3419 )",94593,"(+/- 3524 )",85051,"(+/- 4648 )",67642,"(+/- 4257 )",61387,"(+/- 4035 )",77895,"(+/- 5379 )",66044,"(+/- 4544 )",71300,"(+/- 4337 )"
People,"Sex and Age","75 to 84 years",38245,"(+/- 1871 )",43325,"(+/- 2557 )",35808,"(+/- 2569 )",35855,"(+/- 2272 )",25704,"(+/- 1907 )",63263,"(+/- 3204 )",28862,"(+/- 2174 )",57983,"(+/- 2981 )",45502,"(+/- 4012 )",23790,"(+/- 2041 )",93571,"(+/- 4371 )",60128,"(+/- 2851 )",52205,"(+/- 2887 )",28014,"(+/- 1990 )",38025,"(+/- 3871 )",68868,"(+/- 3785 )",83086,"(+/- 3814 )",66201,"(+/- 3723 )",88126,"(+/- 3536 )",30730,"(+/- 3398 )",70410,"(+/- 4293 )",45087,"(+/- 3072 )",41428,"(+/- 3158 )",32019,"(+/- 2781 )",50332,"(+/- 4101 )",36537,"(+/- 3463 )",41747,"(+/- 3140 )"
People,"Sex and Age","85 years and over",12488,"(+/- 1587 )",16129,"(+/- 1860 )",13291,"(+/- 1731 )",12290,"(+/- 1716 )",10627,"(+/- 1366 )",21628,"(+/- 2434 )",15899,"(+/- 2009 )",27840,"(+/- 2855 )",14273,"(+/- 2191 )",10170,"(+/- 1764 )",30535,"(+/- 3344 )",25826,"(+/- 2444 )",22759,"(+/- 2121 )",13079,"(+/- 1690 )",12372,"(+/- 1621 )",32122,"(+/- 2624 )",32586,"(+/- 3292 )",26194,"(+/- 3204 )",31218,"(+/- 3064 )",15864,"(+/- 2356 )",34020,"(+/- 2689 )",26761,"(+/- 2499 )",19217,"(+/- 2522 )",10232,"(+/- 1673 )",18674,"(+/- 2434 )",14327,"(+/- 1835 )",25091,"(+/- 2716 )"
People,"Sex and Age","Median age (years)",38.5,"(+/- 0.3 )",41.9,"(+/- 0.7 )",37.6,"(+/- 0.5 )",39.6,"(+/- 0.9 )",34.0,"(+/- 0.6 )",47.9,"(+/- 0.6 )",36.5,"(+/- 0.4 )",48.5,"(+/- 0.3 )",38.3,"(+/- 0.6 )",35.0,"(+/- 0.5 )",55.5,"(+/- 0.7 )",46.5,"(+/- 0.5 )",46.9,"(+/- 0.5 )",37.1,"(+/- 0.7 )",37.7,"(+/- 0.7 )",47.3,"(+/- 0.8 )",51.5,"(+/- 0.8 )",47.7,"(+/- 0.8 )",51.3,"(+/- 0.6 )",36.6,"(+/- 0.9 )",46.1,"(+/- 0.7 )",45.1,"(+/- 0.9 )",41.0,"(+/- 0.7 )",37.0,"(+/- 0.8 )",42.7,"(+/- 0.9 )",38.7,"(+/- 0.9 )",42.1,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",605123,"(+/- 1352 )",585297,"(+/- 7093 )",588423,"(+/- 5358 )",634601,"(+/- 9131 )",561718,"(+/- 10296 )",630617,"(+/- 6093 )",619683,"(+/- 10015 )",620501,"(+/- 3076 )",665761,"(+/- 13695 )",632300,"(+/- 13155 )",649628,"(+/- 9242 )",629956,"(+/- 7244 )",609511,"(+/- 7036 )",615090,"(+/- 9872 )",612148,"(+/- 14202 )",653716,"(+/- 9904 )",642960,"(+/- 8599 )",627650,"(+/- 8661 )",680251,"(+/- 8501 )",593111,"(+/- 12901 )",639288,"(+/- 9810 )",621876,"(+/- 11288 )",591260,"(+/- 9625 )",593143,"(+/- 14472 )",631326,"(+/- 13832 )",631162,"(+/- 12511 )",617520,"(+/- 14491 )"
People,"Sex and Age","65 years and over",126071,"(+/- 1493 )",142816,"(+/- 3110 )",123618,"(+/- 2557 )",129883,"(+/- 3467 )",93878,"(+/- 3500 )",194434,"(+/- 3575 )",106750,"(+/- 3410 )",187530,"(+/- 1604 )",142708,"(+/- 5884 )",93826,"(+/- 3732 )",279178,"(+/- 4540 )",189154,"(+/- 4193 )",166571,"(+/- 4203 )",103370,"(+/- 4560 )",124789,"(+/- 5789 )",217695,"(+/- 5126 )",243586,"(+/- 5349 )",195493,"(+/- 4528 )",257088,"(+/- 4466 )",107000,"(+/- 4874 )",199023,"(+/- 5428 )",156899,"(+/- 6344 )",128287,"(+/- 5057 )",103638,"(+/- 5250 )",146901,"(+/- 6879 )",116908,"(+/- 6482 )",138138,"(+/- 5699 )"
People,Race,"Total population",770361,"(+/- 1368 )",731845,"(+/- 8922 )",739130,"(+/- 6790 )",800494,"(+/- 12546 )",729175,"(+/- 12994 )",764500,"(+/- 7666 )",772969,"(+/- 13331 )",756993,"(+/- 3668 )",868945,"(+/- 16961 )",830014,"(+/- 17178 )",770114,"(+/- 12787 )",779151,"(+/- 8774 )",730650,"(+/- 8565 )",776940,"(+/- 12821 )",804652,"(+/- 18994 )",814209,"(+/- 12942 )",778091,"(+/- 10689 )",772184,"(+/- 9723 )",814074,"(+/- 10107 )",776092,"(+/- 15636 )",788240,"(+/- 12023 )",757352,"(+/- 9766 )",753950,"(+/- 8787 )",770480,"(+/- 17470 )",780826,"(+/- 16644 )",797160,"(+/- 16602 )",755809,"(+/- 17189 )"
People,Race,"One race",733267,"(+/- 4197 )",711775,"(+/- 8986 )",712277,"(+/- 8124 )",777331,"(+/- 13076 )",710819,"(+/- 13422 )",751442,"(+/- 8387 )",748256,"(+/- 13274 )",735914,"(+/- 4376 )",832483,"(+/- 17267 )",802462,"(+/- 16492 )",757110,"(+/- 12515 )",758743,"(+/- 9058 )",706662,"(+/- 8865 )",749129,"(+/- 12479 )",782308,"(+/- 19176 )",798838,"(+/- 13020 )",763093,"(+/- 10667 )",754952,"(+/- 10772 )",799877,"(+/- 10493 )",756914,"(+/- 15480 )",773613,"(+/- 12543 )",735951,"(+/- 10557 )",724250,"(+/- 9658 )",759046,"(+/- 18034 )",771143,"(+/- 17002 )",783107,"(+/- 16511 )",739752,"(+/- 17017 )"
People,Race,White,588485,"(+/- 3588 )",591584,"(+/- 7382 )",558581,"(+/- 7421 )",650103,"(+/- 12062 )",324724,"(+/- 11123 )",632897,"(+/- 9231 )",592201,"(+/- 11935 )",630082,"(+/- 4820 )",632876,"(+/- 19679 )",448512,"(+/- 17431 )",674987,"(+/- 10223 )",684803,"(+/- 9052 )",570573,"(+/- 9412 )",555232,"(+/- 12194 )",591057,"(+/- 19246 )",685108,"(+/- 14217 )",674376,"(+/- 10011 )",620382,"(+/- 10430 )",696230,"(+/- 10870 )",299551,"(+/- 14402 )",597999,"(+/- 12158 )",579779,"(+/- 13345 )",543715,"(+/- 14232 )",336665,"(+/- 14511 )",705942,"(+/- 17973 )",651995,"(+/- 18239 )",649876,"(+/- 15404 )"
People,Race,"Black or African American",102046,"(+/- 3904 )",99494,"(+/- 5355 )",115769,"(+/- 5148 )",75962,"(+/- 7724 )",347173,"(+/- 9360 )",78757,"(+/- 3186 )",80419,"(+/- 5693 )",71454,"(+/- 3666 )",117943,"(+/- 9848 )",239686,"(+/- 9230 )",55718,"(+/- 5663 )",38440,"(+/- 3318 )",93502,"(+/- 4217 )",140160,"(+/- 8446 )",133833,"(+/- 14162 )",72444,"(+/- 6893 )",58817,"(+/- 6038 )",100662,"(+/- 8012 )",59262,"(+/- 5246 )",417013,"(+/- 12986 )",132577,"(+/- 8663 )",114346,"(+/- 11090 )",117992,"(+/- 11053 )",376755,"(+/- 12512 )",35161,"(+/- 4867 )",77384,"(+/- 8389 )",41739,"(+/- 5983 )"
People,Race,"American Indian and Alaska Native",2949,"(+/- 996 )",2112,"(+/- 860 )",2608,"(+/- 802 )",1279,"(+/- 867 )",1908,"(+/- 1149 )",3479,"(+/- 1197 )",2311,"(+/- 1352 )",3075,"(+/- 896 )",3650,"(+/- 2035 )",1820,"(+/- 783 )",4090,"(+/- 1170 )",2292,"(+/- 884 )",2980,"(+/- 2144 )",3177,"(+/- 1502 )",3144,"(+/- 1024 )",1997,"(+/- 741 )",2284,"(+/- 660 )",3749,"(+/- 2050 )",994,"(+/- 682 )",2027,"(+/- 1054 )",2396,"(+/- 1190 )",546,"(+/- 440 )",1979,"(+/- 1174 )",1547,"(+/- 1096 )",1618,"(+/- 1060 )",1251,"(+/- 1507 )",2373,"(+/- 2702 )"
People,Race,Asian,20049,"(+/- 1746 )",12702,"(+/- 2470 )",23755,"(+/- 1740 )",37706,"(+/- 3617 )",24174,"(+/- 3679 )",14730,"(+/- 2027 )",34825,"(+/- 3560 )",16727,"(+/- 1729 )",24569,"(+/- 3719 )",43979,"(+/- 4298 )",11786,"(+/- 2300 )",21650,"(+/- 2809 )",25522,"(+/- 2486 )",36848,"(+/- 3146 )",25397,"(+/- 3645 )",17474,"(+/- 2473 )",11532,"(+/- 2190 )",17521,"(+/- 3052 )",14916,"(+/- 1580 )",19152,"(+/- 4045 )",21550,"(+/- 3196 )",25729,"(+/- 4743 )",32998,"(+/- 4654 )",8903,"(+/- 2870 )",11691,"(+/- 2681 )",21180,"(+/- 4426 )",11022,"(+/- 2599 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1328,"(+/- 1134 )",499,"(+/- 651 )",587,"(+/- 587 )",173,"(+/- 176 )",83,"(+/- 93 )",83,"(+/- 129 )",208,"(+/- 251 )",1146,"(+/- 1171 )",839,"(+/- 906 )",1427,"(+/- 646 )",22,"(+/- 42 )",821,"(+/- 717 )",343,"(+/- 371 )",263,"(+/- 275 )",901,"(+/- 661 )",1245,"(+/- 1730 )",533,"(+/- 566 )",2051,"(+/- 2355 )",255,"(+/- 243 )",45,"(+/- 123 )",82,"(+/- 139 )",32,"(+/- 68 )",775,"(+/- 825 )",88,"(+/- 131 )",0,"(+/- 226 )",0,"(+/- 226 )",108,"(+/- 137 )"
People,Race,"Some other race",18410,"(+/- 2995 )",5384,"(+/- 1525 )",10977,"(+/- 3015 )",12108,"(+/- 4164 )",12757,"(+/- 3606 )",21496,"(+/- 4744 )",38292,"(+/- 7870 )",13430,"(+/- 3879 )",52606,"(+/- 10017 )",67038,"(+/- 11393 )",10507,"(+/- 2971 )",10737,"(+/- 3587 )",13742,"(+/- 3894 )",13449,"(+/- 3318 )",27976,"(+/- 8477 )",20570,"(+/- 4900 )",15551,"(+/- 4083 )",10587,"(+/- 3364 )",28220,"(+/- 7626 )",19126,"(+/- 6032 )",19009,"(+/- 4084 )",15519,"(+/- 4317 )",26791,"(+/- 6305 )",35088,"(+/- 6686 )",16731,"(+/- 3990 )",31297,"(+/- 6679 )",34634,"(+/- 6779 )"
People,Race,"Two or more races",37094,"(+/- 3965 )",20070,"(+/- 2706 )",26853,"(+/- 4276 )",23163,"(+/- 4364 )",18356,"(+/- 2724 )",13058,"(+/- 3243 )",24713,"(+/- 3962 )",21079,"(+/- 4023 )",36462,"(+/- 6125 )",27552,"(+/- 4382 )",13004,"(+/- 3692 )",20408,"(+/- 3067 )",23988,"(+/- 4108 )",27811,"(+/- 4299 )",22344,"(+/- 3888 )",15371,"(+/- 2959 )",14998,"(+/- 3118 )",17232,"(+/- 4013 )",14197,"(+/- 4046 )",19178,"(+/- 5471 )",14627,"(+/- 3034 )",21401,"(+/- 5060 )",29700,"(+/- 5271 )",11434,"(+/- 2532 )",9683,"(+/- 3085 )",14053,"(+/- 4156 )",16057,"(+/- 3223 )"
People,"Hispanic or Latino and Race","Total population",770361,"(+/- 1368 )",731845,"(+/- 8922 )",739130,"(+/- 6790 )",800494,"(+/- 12546 )",729175,"(+/- 12994 )",764500,"(+/- 7666 )",772969,"(+/- 13331 )",756993,"(+/- 3668 )",868945,"(+/- 16961 )",830014,"(+/- 17178 )",770114,"(+/- 12787 )",779151,"(+/- 8774 )",730650,"(+/- 8565 )",776940,"(+/- 12821 )",804652,"(+/- 18994 )",814209,"(+/- 12942 )",778091,"(+/- 10689 )",772184,"(+/- 9723 )",814074,"(+/- 10107 )",776092,"(+/- 15636 )",788240,"(+/- 12023 )",757352,"(+/- 9766 )",753950,"(+/- 8787 )",770480,"(+/- 17470 )",780826,"(+/- 16644 )",797160,"(+/- 16602 )",755809,"(+/- 17189 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",50493,"(+/- 202 )",50066,"(+/- 4125 )",76277,"(+/- 4455 )",70678,"(+/- 5014 )",57427,"(+/- 5404 )",97548,"(+/- 3441 )",200055,"(+/- 10674 )",81923,"(+/- 901 )",365228,"(+/- 13262 )",231712,"(+/- 13170 )",78710,"(+/- 6303 )",100940,"(+/- 3961 )",74499,"(+/- 3605 )",238125,"(+/- 9138 )",184463,"(+/- 12995 )",142962,"(+/- 8166 )",115711,"(+/- 7361 )",132452,"(+/- 6833 )",167459,"(+/- 7886 )",193459,"(+/- 13541 )",189930,"(+/- 7709 )",166426,"(+/- 12028 )",285845,"(+/- 12066 )",300607,"(+/- 16192 )",587818,"(+/- 14634 )",576688,"(+/- 17903 )",553359,"(+/- 16415 )"
People,"Hispanic or Latino and Race",Mexican,19335,"(+/- 2731 )",13207,"(+/- 2547 )",13444,"(+/- 4060 )",16705,"(+/- 3765 )",14414,"(+/- 2723 )",13559,"(+/- 3468 )",9522,"(+/- 3100 )",22229,"(+/- 5322 )",47689,"(+/- 8945 )",32031,"(+/- 7039 )",18238,"(+/- 5291 )",21686,"(+/- 5129 )",23150,"(+/- 5478 )",21053,"(+/- 4138 )",43796,"(+/- 6715 )",61641,"(+/- 7785 )",55189,"(+/- 6367 )",33547,"(+/- 7566 )",47736,"(+/- 8708 )",22277,"(+/- 4937 )",29292,"(+/- 5776 )",17870,"(+/- 5423 )",11316,"(+/- 3607 )",7006,"(+/- 2206 )",53299,"(+/- 7355 )",41491,"(+/- 7358 )",16732,"(+/- 4020 )"
People,"Hispanic or Latino and Race","Puerto Rican",8655,"(+/- 2378 )",15794,"(+/- 4108 )",30817,"(+/- 4382 )",21992,"(+/- 4908 )",16124,"(+/- 3241 )",48358,"(+/- 5180 )",108674,"(+/- 9750 )",25724,"(+/- 4336 )",188252,"(+/- 16333 )",91653,"(+/- 10913 )",35803,"(+/- 5260 )",37881,"(+/- 4833 )",17538,"(+/- 4110 )",73854,"(+/- 7064 )",76711,"(+/- 12032 )",26625,"(+/- 5066 )",27719,"(+/- 4912 )",27906,"(+/- 4918 )",26665,"(+/- 5336 )",35451,"(+/- 8619 )",26367,"(+/- 4872 )",24684,"(+/- 4085 )",28799,"(+/- 4914 )",25439,"(+/- 4078 )",26044,"(+/- 5776 )",31766,"(+/- 5608 )",22930,"(+/- 5659 )"
People,"Hispanic or Latino and Race",Cuban,3950,"(+/- 1537 )",8629,"(+/- 2240 )",7554,"(+/- 1748 )",10179,"(+/- 2647 )",6990,"(+/- 2506 )",7583,"(+/- 2702 )",24191,"(+/- 5017 )",10043,"(+/- 2962 )",26132,"(+/- 5561 )",17013,"(+/- 4621 )",10486,"(+/- 3058 )",10821,"(+/- 2881 )",8423,"(+/- 2388 )",69982,"(+/- 7127 )",18435,"(+/- 4313 )",12417,"(+/- 3096 )",15334,"(+/- 3895 )",21642,"(+/- 4890 )",38933,"(+/- 6990 )",41773,"(+/- 7136 )",31853,"(+/- 5693 )",23831,"(+/- 4301 )",61884,"(+/- 6552 )",98388,"(+/- 9254 )",338342,"(+/- 14907 )",304798,"(+/- 14922 )",298440,"(+/- 13135 )"
