Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","45 to 54 years",87555,"(+/- 2725 )",104203,"(+/- 3820 )",105094,"(+/- 3137 )",92517,"(+/- 2634 )",95119,"(+/- 2108 )",100686,"(+/- 2538 )",95785,"(+/- 2070 )",92517,"(+/- 1690 )"
People,"Sex and Age","55 to 59 years",50772,"(+/- 3321 )",57893,"(+/- 3308 )",57236,"(+/- 2972 )",51715,"(+/- 2748 )",51548,"(+/- 3275 )",51421,"(+/- 2818 )",49060,"(+/- 2673 )",57649,"(+/- 2785 )"
People,"Sex and Age","60 to 64 years",48123,"(+/- 2842 )",55047,"(+/- 3151 )",51427,"(+/- 3298 )",45830,"(+/- 2391 )",48807,"(+/- 2864 )",49163,"(+/- 2851 )",49823,"(+/- 2792 )",47390,"(+/- 2532 )"
People,"Sex and Age","65 to 74 years",56125,"(+/- 2077 )",83933,"(+/- 3027 )",74144,"(+/- 2951 )",74704,"(+/- 1914 )",67384,"(+/- 1819 )",72336,"(+/- 2006 )",76614,"(+/- 1127 )",78447,"(+/- 1581 )"
People,"Sex and Age","75 to 84 years",26664,"(+/- 1958 )",39515,"(+/- 2425 )",36989,"(+/- 2464 )",39986,"(+/- 2555 )",34879,"(+/- 1670 )",39289,"(+/- 1974 )",40879,"(+/- 2121 )",45283,"(+/- 1942 )"
People,"Sex and Age","85 years and over",15259,"(+/- 1951 )",22941,"(+/- 2001 )",12636,"(+/- 2347 )",13070,"(+/- 1411 )",13689,"(+/- 1425 )",15456,"(+/- 1612 )",16005,"(+/- 1716 )",14042,"(+/- 1610 )"
People,"Sex and Age","Median age (years)",36.0,"(+/- 0.5 )",42.8,"(+/- 0.8 )",38.9,"(+/- 0.5 )",36.9,"(+/- 0.4 )",36.9,"(+/- 0.4 )",38.6,"(+/- 0.4 )",37.9,"(+/- 0.5 )",40.9,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",569588,"(+/- 7915 )",601786,"(+/- 8946 )",604500,"(+/- 5835 )",595667,"(+/- 3848 )",591360,"(+/- 5647 )",591961,"(+/- 6063 )",599597,"(+/- 2194 )",571412,"(+/- 4266 )"
People,"Sex and Age","65 years and over",98048,"(+/- 2645 )",146389,"(+/- 3703 )",123769,"(+/- 3394 )",127760,"(+/- 2687 )",115952,"(+/- 2480 )",127081,"(+/- 2489 )",133498,"(+/- 1343 )",137772,"(+/- 1911 )"
People,Race,"Total population",729026,"(+/- 11240 )",764043,"(+/- 13262 )",792954,"(+/- 8642 )",769533,"(+/- 4588 )",770628,"(+/- 7353 )",773740,"(+/- 8564 )",777380,"(+/- 2540 )",736228,"(+/- 5127 )"
People,Race,"One race",709218,"(+/- 11325 )",745902,"(+/- 12604 )",773847,"(+/- 7997 )",747398,"(+/- 5834 )",746446,"(+/- 8107 )",750168,"(+/- 8140 )",754178,"(+/- 3471 )",725098,"(+/- 5290 )"
People,Race,White,311886,"(+/- 8764 )",674785,"(+/- 11015 )",733418,"(+/- 8486 )",686335,"(+/- 4429 )",525412,"(+/- 8239 )",689918,"(+/- 7646 )",712308,"(+/- 3994 )",679535,"(+/- 5415 )"
People,Race,"Black or African American",360470,"(+/- 6015 )",30467,"(+/- 5632 )",26674,"(+/- 2714 )",34500,"(+/- 3051 )",165680,"(+/- 4847 )",32864,"(+/- 3823 )",14433,"(+/- 1895 )",33292,"(+/- 2059 )"
People,Race,"American Indian and Alaska Native",2464,"(+/- 1099 )",594,"(+/- 436 )",1607,"(+/- 990 )",4869,"(+/- 1204 )",2543,"(+/- 913 )",3832,"(+/- 1163 )",7118,"(+/- 1429 )",2540,"(+/- 1093 )"
People,Race,Asian,25310,"(+/- 2919 )",33686,"(+/- 3009 )",9644,"(+/- 1823 )",11577,"(+/- 1578 )",14628,"(+/- 1879 )",13714,"(+/- 2091 )",9932,"(+/- 1410 )",6027,"(+/- 1517 )"
People,Race,"Native Hawaiian and Other Pacific Islander",178,"(+/- 140 )",39,"(+/- 64 )",80,"(+/- 137 )",2108,"(+/- 2229 )",2321,"(+/- 191 )",1952,"(+/- 1463 )",2090,"(+/- 1379 )",188,"(+/- 203 )"
People,Race,"Some other race",8910,"(+/- 2397 )",6331,"(+/- 3180 )",2424,"(+/- 1065 )",8009,"(+/- 2503 )",35862,"(+/- 4910 )",7888,"(+/- 3030 )",8297,"(+/- 2744 )",3516,"(+/- 1275 )"
People,Race,"Two or more races",19808,"(+/- 3814 )",18141,"(+/- 3190 )",19107,"(+/- 2852 )",22135,"(+/- 3200 )",24182,"(+/- 3324 )",23572,"(+/- 2788 )",23202,"(+/- 2599 )",11130,"(+/- 1713 )"
People,"Hispanic or Latino and Race","Total population",729026,"(+/- 11240 )",764043,"(+/- 13262 )",792954,"(+/- 8642 )",769533,"(+/- 4588 )",770628,"(+/- 7353 )",773740,"(+/- 8564 )",777380,"(+/- 2540 )",736228,"(+/- 5127 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",26444,"(+/- 2479 )",22562,"(+/- 3057 )",16712,"(+/- 2430 )",30181,"(+/- 1044 )",70875,"(+/- 2516 )",31926,"(+/- 2709 )",40904,"(+/- 564 )",16199,"(+/- 1335 )"
People,"Hispanic or Latino and Race",Mexican,15894,"(+/- 2948 )",13896,"(+/- 3008 )",9784,"(+/- 2609 )",20973,"(+/- 2422 )",57267,"(+/- 4235 )",25794,"(+/- 2991 )",27374,"(+/- 2799 )",11384,"(+/- 1214 )"
People,"Hispanic or Latino and Race","Puerto Rican",2222,"(+/- 967 )",1856,"(+/- 1146 )",2324,"(+/- 1722 )",2126,"(+/- 1018 )",1245,"(+/- 713 )",1608,"(+/- 904 )",2322,"(+/- 1356 )",874,"(+/- 575 )"
People,"Hispanic or Latino and Race",Cuban,1143,"(+/- 761 )",954,"(+/- 647 )",512,"(+/- 472 )",1150,"(+/- 974 )",1401,"(+/- 674 )",740,"(+/- 848 )",651,"(+/- 489 )",320,"(+/- 317 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7185,"(+/- 1651 )",5856,"(+/- 1761 )",4092,"(+/- 1402 )",5932,"(+/- 1596 )",10962,"(+/- 3094 )",3784,"(+/- 1619 )",10557,"(+/- 2840 )",3621,"(+/- 1141 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",702582,"(+/- 10907 )",741481,"(+/- 12891 )",776242,"(+/- 8973 )",739352,"(+/- 4544 )",699753,"(+/- 7241 )",741814,"(+/- 8276 )",736476,"(+/- 2538 )",720029,"(+/- 4923 )"
People,"Place of Birth","Total population",729026,"(+/- 11240 )",764043,"(+/- 13262 )",792954,"(+/- 8642 )",769533,"(+/- 4588 )",770628,"(+/- 7353 )",773740,"(+/- 8564 )",777380,"(+/- 2540 )",736228,"(+/- 5127 )"
People,"Place of Birth",Native,678157,"(+/- 10146 )",706217,"(+/- 13115 )",775893,"(+/- 9155 )",749033,"(+/- 5231 )",721739,"(+/- 7752 )",749556,"(+/- 9246 )",752176,"(+/- 3832 )",723659,"(+/- 5730 )"
People,"Place of Birth","Born in United States",673285,"(+/- 10109 )",700314,"(+/- 13364 )",768973,"(+/- 9609 )",741195,"(+/- 5045 )",716229,"(+/- 7879 )",744062,"(+/- 9248 )",745104,"(+/- 4344 )",720472,"(+/- 5805 )"
People,"Place of Birth","State of residence",497866,"(+/- 9984 )",499614,"(+/- 11511 )",594381,"(+/- 11371 )",485012,"(+/- 9432 )",460881,"(+/- 9229 )",501401,"(+/- 10060 )",460167,"(+/- 9097 )",538335,"(+/- 8034 )"
People,"Place of Birth","Different state",175419,"(+/- 6259 )",200700,"(+/- 6870 )",174592,"(+/- 7383 )",256183,"(+/- 9061 )",255348,"(+/- 8895 )",242661,"(+/- 8377 )",284937,"(+/- 8946 )",182137,"(+/- 6695 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4872,"(+/- 1449 )",5903,"(+/- 1771 )",6920,"(+/- 1920 )",7838,"(+/- 1716 )",5510,"(+/- 1211 )",5494,"(+/- 1267 )",7072,"(+/- 1420 )",3187,"(+/- 1014 )"
People,"Place of Birth","Foreign born",50869,"(+/- 5527 )",57826,"(+/- 5503 )",17061,"(+/- 2636 )",20500,"(+/- 2875 )",48889,"(+/- 3459 )",24184,"(+/- 3038 )",25204,"(+/- 2702 )",12569,"(+/- 2095 )"
People,Ancestry,"Total population",729026,"(+/- 11240 )",764043,"(+/- 13262 )",792954,"(+/- 8642 )",769533,"(+/- 4588 )",770628,"(+/- 7353 )",773740,"(+/- 8564 )",777380,"(+/- 2540 )",736228,"(+/- 5127 )"
People,Ancestry,American,22868,"(+/- 4025 )",48797,"(+/- 5145 )",82326,"(+/- 7305 )",71879,"(+/- 6405 )",38442,"(+/- 3499 )",68191,"(+/- 5591 )",64367,"(+/- 5906 )",95519,"(+/- 8057 )"
People,Ancestry,Arab,3831,"(+/- 1481 )",9005,"(+/- 4245 )",932,"(+/- 770 )",2014,"(+/- 1706 )",3454,"(+/- 1898 )",1941,"(+/- 1117 )",912,"(+/- 650 )",1257,"(+/- 576 )"
People,Ancestry,Czech,2709,"(+/- 1230 )",5945,"(+/- 1156 )",1769,"(+/- 1063 )",1693,"(+/- 1133 )",1694,"(+/- 582 )",3606,"(+/- 1109 )",2313,"(+/- 981 )",1351,"(+/- 646 )"
People,Ancestry,Danish,929,"(+/- 401 )",2893,"(+/- 1594 )",1841,"(+/- 680 )",2551,"(+/- 1483 )",3016,"(+/- 778 )",2802,"(+/- 840 )",2762,"(+/- 913 )",1232,"(+/- 468 )"
People,Ancestry,Dutch,4950,"(+/- 1208 )",10021,"(+/- 2035 )",10467,"(+/- 1755 )",10735,"(+/- 2060 )",9408,"(+/- 1525 )",10541,"(+/- 1658 )",12930,"(+/- 2301 )",11268,"(+/- 1838 )"
People,Ancestry,English,33325,"(+/- 3262 )",73750,"(+/- 4130 )",66808,"(+/- 5108 )",67312,"(+/- 4989 )",57646,"(+/- 4692 )",73860,"(+/- 5215 )",73279,"(+/- 4651 )",55560,"(+/- 4960 )"
People,Ancestry,"French (except Basque)",15167,"(+/- 2834 )",33473,"(+/- 5432 )",27513,"(+/- 3621 )",14326,"(+/- 2632 )",16544,"(+/- 2726 )",16392,"(+/- 2733 )",19145,"(+/- 2972 )",27334,"(+/- 3591 )"
People,Ancestry,"French Canadian",1822,"(+/- 714 )",2021,"(+/- 766 )",1529,"(+/- 796 )",1746,"(+/- 693 )",1663,"(+/- 608 )",1764,"(+/- 780 )",2120,"(+/- 1127 )",974,"(+/- 372 )"
People,Ancestry,German,112333,"(+/- 6528 )",246187,"(+/- 10003 )",270826,"(+/- 11644 )",177004,"(+/- 8462 )",122018,"(+/- 7475 )",170080,"(+/- 8169 )",135481,"(+/- 7687 )",142123,"(+/- 6621 )"
People,Ancestry,Greek,2088,"(+/- 700 )",4431,"(+/- 1237 )",928,"(+/- 501 )",999,"(+/- 434 )",632,"(+/- 398 )",1995,"(+/- 848 )",1748,"(+/- 898 )",932,"(+/- 1020 )"
People,Ancestry,Hungarian,2168,"(+/- 1219 )",3148,"(+/- 806 )",1812,"(+/- 750 )",1442,"(+/- 945 )",870,"(+/- 657 )",605,"(+/- 358 )",1801,"(+/- 684 )",730,"(+/- 451 )"
People,Ancestry,Irish,70573,"(+/- 5507 )",131658,"(+/- 7175 )",107584,"(+/- 7142 )",89251,"(+/- 6249 )",74306,"(+/- 4707 )",98540,"(+/- 6109 )",86685,"(+/- 5312 )",95200,"(+/- 5238 )"
People,Ancestry,Italian,21582,"(+/- 2820 )",56384,"(+/- 5032 )",39169,"(+/- 4216 )",17930,"(+/- 2502 )",23783,"(+/- 3198 )",19359,"(+/- 2930 )",18163,"(+/- 3366 )",14264,"(+/- 2932 )"
People,Ancestry,Lithuanian,1198,"(+/- 715 )",1210,"(+/- 555 )",1108,"(+/- 1055 )",397,"(+/- 271 )",264,"(+/- 219 )",254,"(+/- 214 )",86,"(+/- 83 )",91,"(+/- 101 )"
People,Ancestry,Norwegian,1999,"(+/- 703 )",5152,"(+/- 1234 )",3743,"(+/- 1041 )",7275,"(+/- 1710 )",6407,"(+/- 1598 )",7572,"(+/- 1426 )",6608,"(+/- 1707 )",3309,"(+/- 996 )"
People,Ancestry,Polish,11251,"(+/- 2313 )",21485,"(+/- 2977 )",14594,"(+/- 2581 )",9664,"(+/- 2014 )",9378,"(+/- 1722 )",10656,"(+/- 1848 )",8892,"(+/- 1927 )",7532,"(+/- 2216 )"
People,Ancestry,Portuguese,702,"(+/- 525 )",281,"(+/- 218 )",614,"(+/- 492 )",1226,"(+/- 789 )",726,"(+/- 449 )",318,"(+/- 269 )",1028,"(+/- 822 )",403,"(+/- 508 )"
People,Ancestry,Russian,5512,"(+/- 1752 )",8196,"(+/- 1820 )",2640,"(+/- 1005 )",2866,"(+/- 1114 )",3181,"(+/- 1498 )",2295,"(+/- 1160 )",2621,"(+/- 1581 )",1376,"(+/- 680 )"
People,Ancestry,Scotch-Irish,5024,"(+/- 1408 )",7856,"(+/- 1731 )",8567,"(+/- 1839 )",11850,"(+/- 2317 )",7380,"(+/- 1267 )",9039,"(+/- 1549 )",13420,"(+/- 2303 )",8371,"(+/- 1856 )"
People,Ancestry,Scottish,7782,"(+/- 1530 )",13567,"(+/- 1839 )",13690,"(+/- 2253 )",15909,"(+/- 2509 )",10011,"(+/- 1522 )",15702,"(+/- 2420 )",15588,"(+/- 2305 )",11073,"(+/- 1590 )"
People,Ancestry,Slovak,405,"(+/- 271 )",1127,"(+/- 679 )",198,"(+/- 161 )",245,"(+/- 175 )",709,"(+/- 481 )",542,"(+/- 377 )",589,"(+/- 470 )",6,"(+/- 13 )"
People,Ancestry,"Subsaharan African",17612,"(+/- 4314 )",3302,"(+/- 1380 )",2921,"(+/- 1410 )",2949,"(+/- 1482 )",7632,"(+/- 2076 )",4441,"(+/- 1387 )",2668,"(+/- 2010 )",1279,"(+/- 510 )"
People,Ancestry,Swedish,4097,"(+/- 1082 )",7395,"(+/- 1630 )",7395,"(+/- 1688 )",8645,"(+/- 1884 )",10342,"(+/- 2313 )",8103,"(+/- 1365 )",7926,"(+/- 1562 )",3830,"(+/- 1046 )"
People,Ancestry,Swiss,2237,"(+/- 735 )",4798,"(+/- 1296 )",3739,"(+/- 1073 )",6636,"(+/- 2967 )",2026,"(+/- 846 )",3947,"(+/- 1017 )",2286,"(+/- 999 )",1282,"(+/- 711 )"
People,Ancestry,Ukrainian,1259,"(+/- 623 )",1380,"(+/- 683 )",592,"(+/- 406 )",1405,"(+/- 856 )",289,"(+/- 214 )",277,"(+/- 175 )",960,"(+/- 699 )",165,"(+/- 195 )"
People,Ancestry,Welsh,2568,"(+/- 772 )",4490,"(+/- 1306 )",5471,"(+/- 1735 )",6066,"(+/- 2016 )",3282,"(+/- 744 )",6361,"(+/- 1575 )",4629,"(+/- 1191 )",4292,"(+/- 1190 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2581,"(+/- 1121 )",246,"(+/- 286 )",314,"(+/- 227 )",1711,"(+/- 1173 )",1787,"(+/- 702 )",721,"(+/- 783 )",965,"(+/- 608 )",165,"(+/- 144 )"
People,"Veteran Status","Civilian population 18 years and over",569070,"(+/- 7898 )",601323,"(+/- 8961 )",603702,"(+/- 5924 )",583178,"(+/- 4486 )",590890,"(+/- 5665 )",591008,"(+/- 6043 )",599184,"(+/- 2262 )",570951,"(+/- 4250 )"
People,"Veteran Status","Civilian veterans",38795,"(+/- 2760 )",46150,"(+/- 3349 )",52411,"(+/- 3293 )",64447,"(+/- 4012 )",45673,"(+/- 3047 )",51356,"(+/- 3337 )",54549,"(+/- 2859 )",55287,"(+/- 4011 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",720865,"(+/- 11448 )",754325,"(+/- 13103 )",781280,"(+/- 8842 )",741992,"(+/- 4991 )",762833,"(+/- 7552 )",753313,"(+/- 8934 )",769380,"(+/- 2930 )",716338,"(+/- 5787 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",107460,"(+/- 5610 )",79855,"(+/- 4828 )",102713,"(+/- 5516 )",122097,"(+/- 7233 )",107915,"(+/- 5610 )",98053,"(+/- 4636 )",122424,"(+/- 5605 )",153561,"(+/- 6046 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",158599,"(+/- 5172 )",162059,"(+/- 5988 )",187928,"(+/- 4867 )",172275,"(+/- 3217 )",178446,"(+/- 3686 )",181358,"(+/- 4454 )",177154,"(+/- 1822 )",164110,"(+/- 2272 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9281,"(+/- 2140 )",6133,"(+/- 1557 )",11164,"(+/- 2447 )",8350,"(+/- 1890 )",7559,"(+/- 1637 )",7017,"(+/- 1440 )",8095,"(+/- 1545 )",10707,"(+/- 1953 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",467961,"(+/- 7839 )",452001,"(+/- 8585 )",472924,"(+/- 6147 )",446550,"(+/- 3826 )",472160,"(+/- 5491 )",450569,"(+/- 5905 )",462886,"(+/- 2521 )",419311,"(+/- 4528 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",63387,"(+/- 4439 )",31743,"(+/- 2999 )",48661,"(+/- 3965 )",68405,"(+/- 5086 )",56398,"(+/- 4185 )",49695,"(+/- 3411 )",65549,"(+/- 4122 )",80126,"(+/- 4265 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",94305,"(+/- 2346 )",140265,"(+/- 3632 )",120428,"(+/- 3477 )",123167,"(+/- 2673 )",112227,"(+/- 2636 )",121386,"(+/- 2736 )",129340,"(+/- 1457 )",132917,"(+/- 1964 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",34792,"(+/- 2416 )",41979,"(+/- 2915 )",42888,"(+/- 3024 )",45342,"(+/- 3172 )",43958,"(+/- 2715 )",41341,"(+/- 2382 )",48780,"(+/- 2706 )",62728,"(+/- 2757 )"
People,"Residence 1 Year Ago","Population 1 year and over",718890,"(+/- 11253 )",757487,"(+/- 13027 )",784016,"(+/- 8572 )",761054,"(+/- 4737 )",759724,"(+/- 7483 )",764176,"(+/- 8379 )",767290,"(+/- 2961 )",727240,"(+/- 5090 )"
People,"Residence 1 Year Ago","Same house",586100,"(+/- 11156 )",666198,"(+/- 13889 )",694196,"(+/- 12530 )",622264,"(+/- 8705 )",634809,"(+/- 9768 )",652582,"(+/- 9464 )",638433,"(+/- 8348 )",613656,"(+/- 8722 )"
People,"Residence 1 Year Ago","Different house in the U.S.",126731,"(+/- 9278 )",87092,"(+/- 7218 )",88946,"(+/- 8238 )",135010,"(+/- 7298 )",121979,"(+/- 8441 )",109475,"(+/- 7205 )",126183,"(+/- 8070 )",111746,"(+/- 7374 )"
People,"Residence 1 Year Ago","Same county",69434,"(+/- 7866 )",48697,"(+/- 6231 )",44670,"(+/- 4938 )",64250,"(+/- 5739 )",76718,"(+/- 7225 )",55530,"(+/- 5934 )",67630,"(+/- 6947 )",64448,"(+/- 6312 )"
People,"Residence 1 Year Ago","Different county",57297,"(+/- 6396 )",38395,"(+/- 4438 )",44276,"(+/- 5848 )",70760,"(+/- 5358 )",45261,"(+/- 3987 )",53945,"(+/- 4550 )",58553,"(+/- 5804 )",47298,"(+/- 4306 )"
People,"Residence 1 Year Ago","Same state",31501,"(+/- 5239 )",21907,"(+/- 3279 )",34745,"(+/- 5492 )",37268,"(+/- 3669 )",18888,"(+/- 2783 )",37171,"(+/- 4066 )",35396,"(+/- 4709 )",33952,"(+/- 3262 )"
People,"Residence 1 Year Ago","Different state",25796,"(+/- 3717 )",16488,"(+/- 3065 )",9531,"(+/- 1865 )",33492,"(+/- 4187 )",26373,"(+/- 3964 )",16774,"(+/- 2805 )",23157,"(+/- 4111 )",13346,"(+/- 2869 )"
People,"Residence 1 Year Ago",Abroad,6059,"(+/- 1898 )",4197,"(+/- 2357 )",874,"(+/- 498 )",3780,"(+/- 1346 )",2936,"(+/- 1060 )",2119,"(+/- 693 )",2674,"(+/- 1348 )",1838,"(+/- 752 )"
Workers,"Employment Status","Population 16 years and over",587400,"(+/- 8176 )",621881,"(+/- 9642 )",626517,"(+/- 5958 )",615808,"(+/- 4184 )",610156,"(+/- 6083 )",613754,"(+/- 6328 )",618460,"(+/- 2923 )",591724,"(+/- 4671 )"
Workers,"Employment Status","In labor force",385750,"(+/- 7785 )",412097,"(+/- 8731 )",411276,"(+/- 6310 )",381233,"(+/- 6362 )",402051,"(+/- 7441 )",388313,"(+/- 7206 )",380427,"(+/- 6437 )",317170,"(+/- 6296 )"
Workers,"Employment Status","Civilian labor force",385232,"(+/- 7782 )",411634,"(+/- 8701 )",410478,"(+/- 6363 )",368456,"(+/- 6266 )",401581,"(+/- 7471 )",387360,"(+/- 7249 )",380014,"(+/- 6492 )",316709,"(+/- 6300 )"
Workers,"Employment Status",Employed,355634,"(+/- 6955 )",400209,"(+/- 8721 )",394435,"(+/- 6354 )",349981,"(+/- 6530 )",382862,"(+/- 7538 )",374348,"(+/- 7052 )",364978,"(+/- 6487 )",297854,"(+/- 6731 )"
Workers,"Employment Status",Unemployed,29598,"(+/- 3031 )",11425,"(+/- 1918 )",16043,"(+/- 2188 )",18475,"(+/- 2269 )",18719,"(+/- 2393 )",13012,"(+/- 1616 )",15036,"(+/- 1902 )",18855,"(+/- 2491 )"
Workers,"Employment Status","Armed Forces",518,"(+/- 447 )",463,"(+/- 471 )",798,"(+/- 582 )",12777,"(+/- 1872 )",470,"(+/- 251 )",953,"(+/- 458 )",413,"(+/- 336 )",461,"(+/- 298 )"
Workers,"Employment Status","Not in labor force",201650,"(+/- 6595 )",209784,"(+/- 6186 )",215241,"(+/- 5482 )",234575,"(+/- 6382 )",208105,"(+/- 5708 )",225441,"(+/- 5420 )",238033,"(+/- 6519 )",274554,"(+/- 6220 )"
Workers,"Employment Status","Civilian labor force",385232,"(+/- 7782 )",411634,"(+/- 8701 )",410478,"(+/- 6363 )",368456,"(+/- 6266 )",401581,"(+/- 7471 )",387360,"(+/- 7249 )",380014,"(+/- 6492 )",316709,"(+/- 6300 )"
Workers,"Employment Status","Unemployment Rate",7.7,"(+/- 0.7 )",2.8,"(+/- 0.5 )",3.9,"(+/- 0.5 )",5.0,"(+/- 0.6 )",4.7,"(+/- 0.6 )",3.4,"(+/- 0.4 )",4.0,"(+/- 0.5 )",6.0,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",347867,"(+/- 7114 )",393847,"(+/- 8663 )",388143,"(+/- 6596 )",355582,"(+/- 6872 )",377122,"(+/- 7431 )",368598,"(+/- 6881 )",358017,"(+/- 6510 )",292516,"(+/- 6528 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",265793,"(+/- 7444 )",333034,"(+/- 8802 )",333291,"(+/- 6543 )",280090,"(+/- 6805 )",316619,"(+/- 7312 )",306108,"(+/- 6938 )",293493,"(+/- 6441 )",239083,"(+/- 7630 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",24325,"(+/- 3063 )",26670,"(+/- 3188 )",31244,"(+/- 2959 )",34866,"(+/- 4326 )",27906,"(+/- 2877 )",30314,"(+/- 3372 )",35005,"(+/- 3663 )",32434,"(+/- 2631 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",22844,"(+/- 3542 )",2192,"(+/- 807 )",718,"(+/- 486 )",1507,"(+/- 803 )",5921,"(+/- 1166 )",1681,"(+/- 802 )",1284,"(+/- 543 )",750,"(+/- 376 )"
Workers,"Commuting to Work",Walked,10804,"(+/- 1901 )",3263,"(+/- 1100 )",3486,"(+/- 1133 )",12606,"(+/- 2560 )",6273,"(+/- 1211 )",5721,"(+/- 1246 )",8183,"(+/- 1568 )",5514,"(+/- 1212 )"
Workers,"Commuting to Work","Other means",6235,"(+/- 1400 )",2332,"(+/- 669 )",3900,"(+/- 1058 )",5127,"(+/- 1068 )",5122,"(+/- 1202 )",3616,"(+/- 985 )",3465,"(+/- 1023 )",3316,"(+/- 1109 )"
Workers,"Commuting to Work","Worked at home",17866,"(+/- 2365 )",26356,"(+/- 2480 )",15504,"(+/- 2000 )",21386,"(+/- 2575 )",15281,"(+/- 1916 )",21158,"(+/- 2122 )",16587,"(+/- 2219 )",11419,"(+/- 1656 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.5,"(+/- 0.7 )",24.5,"(+/- 0.5 )",26.9,"(+/- 0.6 )",23.1,"(+/- 0.7 )",23.6,"(+/- 0.5 )",22.2,"(+/- 0.5 )",20.6,"(+/- 0.6 )",24.5,"(+/- 0.9 )"
