Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
Workers,"Employment Status","Population 16 years and over",579907,"(+/- 14119 )",582057,"(+/- 3146 )",647131,"(+/- 13517 )",581093,"(+/- 11854 )"
Workers,"Employment Status","In labor force",378139,"(+/- 12269 )",375304,"(+/- 5537 )",416705,"(+/- 10194 )",352574,"(+/- 8500 )"
Workers,"Employment Status","Civilian labor force",377763,"(+/- 12262 )",374052,"(+/- 5496 )",416102,"(+/- 10220 )",346971,"(+/- 8515 )"
Workers,"Employment Status",Employed,349226,"(+/- 11776 )",354915,"(+/- 5609 )",397734,"(+/- 10623 )",322981,"(+/- 7930 )"
Workers,"Employment Status",Unemployed,28537,"(+/- 3349 )",19137,"(+/- 2367 )",18368,"(+/- 2850 )",23990,"(+/- 2864 )"
Workers,"Employment Status","Armed Forces",376,"(+/- 287 )",1252,"(+/- 534 )",603,"(+/- 381 )",5603,"(+/- 1287 )"
Workers,"Employment Status","Not in labor force",201768,"(+/- 7484 )",206753,"(+/- 5643 )",230426,"(+/- 7759 )",228519,"(+/- 7934 )"
Workers,"Employment Status","Civilian labor force",377763,"(+/- 12262 )",374052,"(+/- 5496 )",416102,"(+/- 10220 )",346971,"(+/- 8515 )"
Workers,"Employment Status","Unemployment Rate",7.6,"(+/- 0.9 )",5.1,"(+/- 0.6 )",4.4,"(+/- 0.7 )",6.9,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",339453,"(+/- 11483 )",349463,"(+/- 5708 )",390223,"(+/- 10216 )",323472,"(+/- 7859 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",249862,"(+/- 9918 )",270541,"(+/- 5836 )",320481,"(+/- 9632 )",260267,"(+/- 7875 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",35712,"(+/- 3777 )",41010,"(+/- 3984 )",27751,"(+/- 3145 )",33014,"(+/- 3134 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",22561,"(+/- 3351 )",9503,"(+/- 1638 )",4670,"(+/- 1501 )",6528,"(+/- 1221 )"
Workers,"Commuting to Work",Walked,8857,"(+/- 1831 )",7635,"(+/- 1733 )",6573,"(+/- 1458 )",4132,"(+/- 1076 )"
Workers,"Commuting to Work","Other means",13739,"(+/- 2582 )",5632,"(+/- 1122 )",7016,"(+/- 1600 )",6843,"(+/- 1594 )"
Workers,"Commuting to Work","Worked at home",8722,"(+/- 1709 )",15142,"(+/- 2164 )",23732,"(+/- 2834 )",12688,"(+/- 1885 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.9,"(+/- 0.6 )",23.7,"(+/- 0.6 )",22.4,"(+/- 0.5 )",26.1,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",349226,"(+/- 11776 )",354915,"(+/- 5609 )",397734,"(+/- 10623 )",322981,"(+/- 7930 )"
Workers,Occupation,"Management, business, science, and arts occupations",63766,"(+/- 4220 )",113666,"(+/- 4843 )",143922,"(+/- 5981 )",90720,"(+/- 4429 )"
Workers,Occupation,"Service occupations",127866,"(+/- 5703 )",72218,"(+/- 4394 )",95850,"(+/- 5897 )",85197,"(+/- 5576 )"
Workers,Occupation,"Sales and office occupations",81754,"(+/- 5506 )",82908,"(+/- 4266 )",108861,"(+/- 6573 )",79081,"(+/- 5527 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",33106,"(+/- 3385 )",40565,"(+/- 3311 )",20927,"(+/- 2736 )",32181,"(+/- 3063 )"
Workers,Occupation,"Production, transportation, and material moving occupations",42734,"(+/- 4107 )",45558,"(+/- 3744 )",28174,"(+/- 3092 )",35802,"(+/- 3213 )"
Workers,Industry,"Civilian employed population 16 years and over",349226,"(+/- 11776 )",354915,"(+/- 5609 )",397734,"(+/- 10623 )",322981,"(+/- 7930 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",352,"(+/- 302 )",15315,"(+/- 2055 )",566,"(+/- 396 )",4543,"(+/- 1125 )"
Workers,Industry,Construction,27814,"(+/- 3437 )",27124,"(+/- 3140 )",18360,"(+/- 2458 )",26360,"(+/- 2803 )"
Workers,Industry,Manufacturing,11995,"(+/- 2033 )",26887,"(+/- 3072 )",15014,"(+/- 2364 )",12017,"(+/- 2326 )"
Workers,Industry,"Wholesale trade",4243,"(+/- 1189 )",11170,"(+/- 1865 )",8086,"(+/- 1482 )",6708,"(+/- 1403 )"
Workers,Industry,"Retail trade",38177,"(+/- 3841 )",42372,"(+/- 3463 )",45944,"(+/- 4392 )",37999,"(+/- 3861 )"
Workers,Industry,"Transportation and warehousing, and utilities",23916,"(+/- 3205 )",19969,"(+/- 2433 )",23798,"(+/- 2943 )",18186,"(+/- 2576 )"
Workers,Industry,Information,4409,"(+/- 1041 )",4649,"(+/- 1307 )",7665,"(+/- 1800 )",3891,"(+/- 903 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15610,"(+/- 1967 )",18270,"(+/- 2483 )",28552,"(+/- 3350 )",16847,"(+/- 2029 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",39153,"(+/- 3847 )",32054,"(+/- 3193 )",47366,"(+/- 3544 )",35226,"(+/- 3211 )"
Workers,Industry,"Educational services, and health care and social assistance",42589,"(+/- 4073 )",67130,"(+/- 4163 )",68298,"(+/- 4337 )",54095,"(+/- 4119 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",116150,"(+/- 5629 )",55509,"(+/- 4593 )",104205,"(+/- 6672 )",72316,"(+/- 5544 )"
Workers,Industry,"Other services, except public administration",19668,"(+/- 3018 )",15160,"(+/- 2431 )",15759,"(+/- 2094 )",15730,"(+/- 2167 )"
Workers,Industry,"Public administration",5150,"(+/- 1073 )",19306,"(+/- 2262 )",14121,"(+/- 1887 )",19063,"(+/- 2662 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",349226,"(+/- 11776 )",354915,"(+/- 5609 )",397734,"(+/- 10623 )",322981,"(+/- 7930 )"
Workers,"Class of Worker","Private wage and salary workers",306297,"(+/- 11372 )",282414,"(+/- 6054 )",332005,"(+/- 10829 )",263125,"(+/- 7775 )"
Workers,"Class of Worker","Government workers",23006,"(+/- 3180 )",53676,"(+/- 3655 )",42355,"(+/- 3327 )",44823,"(+/- 3975 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19627,"(+/- 2732 )",18498,"(+/- 2198 )",22892,"(+/- 2684 )",14576,"(+/- 2286 )"
Workers,"Class of Worker","Unpaid family workers",296,"(+/- 189 )",327,"(+/- 210 )",482,"(+/- 256 )",457,"(+/- 291 )"
Housing,"Housing Occupancy","Total housing units",306905,"(+/- 5957 )",313435,"(+/- 1487 )",343067,"(+/- 5265 )",286326,"(+/- 4623 )"
Housing,"Housing Occupancy","Occupied housing units",259459,"(+/- 5566 )",282126,"(+/- 2747 )",297759,"(+/- 5299 )",255269,"(+/- 4470 )"
Housing,"Housing Occupancy","Vacant housing units",47446,"(+/- 3591 )",31309,"(+/- 2608 )",45308,"(+/- 4403 )",31057,"(+/- 2945 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.6,"(+/- 0.9 )",1.7,"(+/- 0.6 )",3.5,"(+/- 0.9 )",1.6,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",8.1,"(+/- 1.0 )",5.5,"(+/- 1.0 )",8.4,"(+/- 1.6 )",4.7,"(+/- 1.2 )"
Housing,"Housing Tenure","Occupied housing units",259459,"(+/- 5566 )",282126,"(+/- 2747 )",297759,"(+/- 5299 )",255269,"(+/- 4470 )"
Housing,"Housing Tenure",Owner-occupied,107502,"(+/- 3854 )",174800,"(+/- 3983 )",181184,"(+/- 4620 )",155823,"(+/- 4247 )"
Housing,"Housing Tenure",Renter-occupied,151957,"(+/- 4905 )",107326,"(+/- 3614 )",116575,"(+/- 4124 )",99446,"(+/- 4238 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.90,"(+/- 0.09 )",2.56,"(+/- 0.05 )",2.75,"(+/- 0.06 )",2.85,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.62,"(+/- 0.07 )",2.43,"(+/- 0.07 )",2.60,"(+/- 0.08 )",2.97,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",259459,"(+/- 5566 )",282126,"(+/- 2747 )",297759,"(+/- 5299 )",255269,"(+/- 4470 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",109210,"(+/- 4933 )",98879,"(+/- 4384 )",119414,"(+/- 5427 )",93424,"(+/- 4883 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",69161,"(+/- 3642 )",70074,"(+/- 3925 )",79809,"(+/- 3596 )",70337,"(+/- 3373 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",44681,"(+/- 2816 )",63125,"(+/- 3562 )",70986,"(+/- 4003 )",57822,"(+/- 4015 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",22553,"(+/- 2345 )",30450,"(+/- 2303 )",22232,"(+/- 1923 )",27500,"(+/- 2224 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",7652,"(+/- 1184 )",11555,"(+/- 1382 )",4013,"(+/- 913 )",3190,"(+/- 793 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",6202,"(+/- 887 )",8043,"(+/- 1289 )",1305,"(+/- 405 )",2996,"(+/- 699 )"
Housing,Value,"Owner-occupied units",107502,"(+/- 3854 )",174800,"(+/- 3983 )",181184,"(+/- 4620 )",155823,"(+/- 4247 )"
Housing,Value,"Less than $50,000",8234,"(+/- 976 )",7715,"(+/- 1090 )",3305,"(+/- 856 )",7326,"(+/- 1148 )"
Housing,Value,"$50,000 to $99,999",9693,"(+/- 1195 )",7652,"(+/- 1354 )",2846,"(+/- 879 )",8664,"(+/- 1298 )"
Housing,Value,"$100,000 to $149,999",17280,"(+/- 2008 )",11421,"(+/- 1813 )",7530,"(+/- 1323 )",14049,"(+/- 1829 )"
Housing,Value,"$150,000 to $199,999",27556,"(+/- 2700 )",16654,"(+/- 2190 )",14514,"(+/- 1764 )",25596,"(+/- 2602 )"
Housing,Value,"$200,000 to $299,999",29769,"(+/- 2396 )",48169,"(+/- 3314 )",62215,"(+/- 3852 )",57549,"(+/- 3228 )"
Housing,Value,"$300,000 to $499,999",10266,"(+/- 1518 )",56384,"(+/- 2750 )",66777,"(+/- 3496 )",33565,"(+/- 2356 )"
Housing,Value,"$500,000 to $999,999",3546,"(+/- 819 )",21630,"(+/- 1770 )",19916,"(+/- 1794 )",7501,"(+/- 1451 )"
Housing,Value,"$1,000,000 or more",1158,"(+/- 399 )",5175,"(+/- 1052 )",4081,"(+/- 814 )",1573,"(+/- 566 )"
Housing,Value,"Median (dollars)",180900,"(+/- 4878 )",291900,"(+/- 5414 )",300400,"(+/- 6487 )",234600,"(+/- 3785 )"
Housing,"Mortgage Status","Owner-occupied units",107502,"(+/- 3854 )",174800,"(+/- 3983 )",181184,"(+/- 4620 )",155823,"(+/- 4247 )"
Housing,"Mortgage Status","Housing units with a mortgage",66775,"(+/- 3290 )",115110,"(+/- 4134 )",135446,"(+/- 4817 )",110055,"(+/- 3900 )"
Housing,"Mortgage Status","Housing units without a mortgage",40727,"(+/- 2162 )",59690,"(+/- 3278 )",45738,"(+/- 2765 )",45768,"(+/- 3220 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",66775,"(+/- 3290 )",115110,"(+/- 4134 )",135446,"(+/- 4817 )",110055,"(+/- 3900 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",979,"(+/- 357 )",1144,"(+/- 406 )",1163,"(+/- 494 )",1996,"(+/- 752 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",18571,"(+/- 1762 )",19788,"(+/- 1994 )",16366,"(+/- 1997 )",20048,"(+/- 1875 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",30426,"(+/- 2745 )",40434,"(+/- 2988 )",41895,"(+/- 2783 )",42985,"(+/- 2879 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",10330,"(+/- 1142 )",27606,"(+/- 2258 )",35329,"(+/- 2767 )",24515,"(+/- 2364 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",2873,"(+/- 767 )",13066,"(+/- 1608 )",21880,"(+/- 2785 )",12814,"(+/- 1899 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1371,"(+/- 475 )",6513,"(+/- 1290 )",9322,"(+/- 1342 )",3932,"(+/- 1037 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2225,"(+/- 769 )",6559,"(+/- 1048 )",9491,"(+/- 1191 )",3765,"(+/- 791 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1194,"(+/- 22 )",1456,"(+/- 28 )",1602,"(+/- 36 )",1381,"(+/- 27 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",40727,"(+/- 2162 )",59690,"(+/- 3278 )",45738,"(+/- 2765 )",45768,"(+/- 3220 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",7772,"(+/- 1332 )",9879,"(+/- 1295 )",3678,"(+/- 895 )",8179,"(+/- 1317 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",14806,"(+/- 1582 )",19396,"(+/- 1848 )",15128,"(+/- 1934 )",18363,"(+/- 1883 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",10888,"(+/- 1377 )",17567,"(+/- 1896 )",14636,"(+/- 1718 )",13203,"(+/- 1655 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",3530,"(+/- 879 )",7975,"(+/- 1383 )",6612,"(+/- 1122 )",4102,"(+/- 959 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2153,"(+/- 709 )",2334,"(+/- 515 )",2539,"(+/- 745 )",751,"(+/- 390 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1578,"(+/- 496 )",2539,"(+/- 674 )",3145,"(+/- 669 )",1170,"(+/- 400 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",377,"(+/- 15 )",405,"(+/- 14 )",448,"(+/- 16 )",369,"(+/- 14 )"
