Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","60 to 64 years",47440,"(+/- 2022 )",49932,"(+/- 1745 )",46924,"(+/- 2642 )",45945,"(+/- 2147 )",46933,"(+/- 2671 )"
People,"Sex and Age","65 to 74 years",68377,"(+/- 900 )",80980,"(+/- 1190 )",70155,"(+/- 1635 )",65566,"(+/- 1768 )",66417,"(+/- 1076 )"
People,"Sex and Age","75 to 84 years",34190,"(+/- 1457 )",42944,"(+/- 1619 )",38524,"(+/- 1637 )",34496,"(+/- 1766 )",31073,"(+/- 1470 )"
People,"Sex and Age","85 years and over",14520,"(+/- 1480 )",13990,"(+/- 1402 )",12240,"(+/- 1338 )",13748,"(+/- 1546 )",13912,"(+/- 1272 )"
People,"Sex and Age","Median age (years)",36.2,"(+/- 0.2 )",40.3,"(+/- 0.3 )",36.6,"(+/- 0.5 )",35.8,"(+/- 0.3 )",34.8,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",601333,"(+/- 1713 )",570591,"(+/- 1909 )",585105,"(+/- 2775 )",603512,"(+/- 4104 )",608840,"(+/- 3094 )"
People,"Sex and Age","65 years and over",117087,"(+/- 1105 )",137914,"(+/- 1289 )",120919,"(+/- 1701 )",113810,"(+/- 2152 )",111402,"(+/- 1166 )"
People,Race,"Total population",803883,"(+/- 2641 )",744806,"(+/- 2705 )",774066,"(+/- 3389 )",789947,"(+/- 4990 )",818162,"(+/- 3912 )"
People,Race,"One race",745115,"(+/- 4735 )",665493,"(+/- 3972 )",726721,"(+/- 4633 )",726739,"(+/- 5848 )",763914,"(+/- 5058 )"
People,Race,White,573287,"(+/- 3967 )",492087,"(+/- 2960 )",613579,"(+/- 5021 )",595799,"(+/- 5753 )",562740,"(+/- 6421 )"
People,Race,"Black or African American",70264,"(+/- 2195 )",23795,"(+/- 966 )",27561,"(+/- 2371 )",53272,"(+/- 4146 )",111824,"(+/- 3862 )"
People,Race,"American Indian and Alaska Native",50325,"(+/- 2634 )",128732,"(+/- 3336 )",47233,"(+/- 3136 )",42766,"(+/- 3159 )",33344,"(+/- 2804 )"
People,Race,Asian,24600,"(+/- 1464 )",5882,"(+/- 1235 )",9930,"(+/- 1906 )",19033,"(+/- 1962 )",27259,"(+/- 1409 )"
People,Race,"Native Hawaiian and Other Pacific Islander",899,"(+/- 135 )",2288,"(+/- 1120 )",2481,"(+/- 1834 )",948,"(+/- 618 )",547,"(+/- 540 )"
People,Race,"Some other race",25740,"(+/- 3220 )",12709,"(+/- 1690 )",25937,"(+/- 3487 )",14921,"(+/- 3257 )",28200,"(+/- 5206 )"
People,Race,"Two or more races",58768,"(+/- 3767 )",79313,"(+/- 3182 )",47345,"(+/- 3919 )",63208,"(+/- 4594 )",54248,"(+/- 4688 )"
People,"Hispanic or Latino and Race","Total population",803883,"(+/- 2641 )",744806,"(+/- 2705 )",774066,"(+/- 3389 )",789947,"(+/- 4990 )",818162,"(+/- 3912 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",91912,"(+/- 796 )",39219,"(+/- 898 )",77800,"(+/- 1375 )",69426,"(+/- 1840 )",139351,"(+/- 1218 )"
People,"Hispanic or Latino and Race",Mexican,71475,"(+/- 2819 )",32457,"(+/- 1099 )",66155,"(+/- 2160 )",51055,"(+/- 3326 )",115879,"(+/- 4865 )"
People,"Hispanic or Latino and Race","Puerto Rican",2994,"(+/- 888 )",1240,"(+/- 595 )",1285,"(+/- 840 )",3605,"(+/- 1146 )",1480,"(+/- 767 )"
People,"Hispanic or Latino and Race",Cuban,903,"(+/- 465 )",168,"(+/- 182 )",863,"(+/- 696 )",449,"(+/- 337 )",815,"(+/- 702 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",16540,"(+/- 2725 )",5354,"(+/- 1103 )",9497,"(+/- 1791 )",14317,"(+/- 2978 )",21177,"(+/- 4447 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",711971,"(+/- 2552 )",705587,"(+/- 2636 )",696266,"(+/- 3373 )",720521,"(+/- 5085 )",678811,"(+/- 3825 )"
People,"Place of Birth","Total population",803883,"(+/- 2641 )",744806,"(+/- 2705 )",774066,"(+/- 3389 )",789947,"(+/- 4990 )",818162,"(+/- 3912 )"
People,"Place of Birth",Native,741866,"(+/- 3493 )",727957,"(+/- 3535 )",738532,"(+/- 4851 )",754621,"(+/- 5722 )",744005,"(+/- 5925 )"
People,"Place of Birth","Born in United States",733337,"(+/- 3905 )",724636,"(+/- 3376 )",732749,"(+/- 4828 )",745345,"(+/- 5892 )",733460,"(+/- 6114 )"
People,"Place of Birth","State of residence",473502,"(+/- 6036 )",456103,"(+/- 6307 )",499768,"(+/- 7723 )",478929,"(+/- 8634 )",498607,"(+/- 9149 )"
People,"Place of Birth","Different state",259835,"(+/- 5870 )",268533,"(+/- 6271 )",232981,"(+/- 7224 )",266416,"(+/- 7437 )",234853,"(+/- 8978 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8529,"(+/- 1465 )",3321,"(+/- 682 )",5783,"(+/- 1195 )",9276,"(+/- 1285 )",10545,"(+/- 2316 )"
People,"Place of Birth","Foreign born",62017,"(+/- 2997 )",16849,"(+/- 1970 )",35534,"(+/- 3210 )",35326,"(+/- 3670 )",74157,"(+/- 4394 )"
People,Ancestry,"Total population",803883,"(+/- 2641 )",744806,"(+/- 2705 )",774066,"(+/- 3389 )",789947,"(+/- 4990 )",818162,"(+/- 3912 )"
People,Ancestry,American,46551,"(+/- 3776 )",56705,"(+/- 3603 )",59855,"(+/- 4317 )",84146,"(+/- 5397 )",52821,"(+/- 5336 )"
People,Ancestry,Arab,2319,"(+/- 951 )",209,"(+/- 213 )",1414,"(+/- 716 )",1326,"(+/- 1148 )",2622,"(+/- 1326 )"
People,Ancestry,Czech,2109,"(+/- 700 )",943,"(+/- 428 )",5716,"(+/- 1301 )",3500,"(+/- 1421 )",2869,"(+/- 766 )"
People,Ancestry,Danish,1537,"(+/- 666 )",1353,"(+/- 472 )",1747,"(+/- 688 )",1164,"(+/- 692 )",1330,"(+/- 541 )"
People,Ancestry,Dutch,9949,"(+/- 1499 )",9264,"(+/- 1179 )",10348,"(+/- 1520 )",10746,"(+/- 2142 )",9071,"(+/- 1755 )"
People,Ancestry,English,60768,"(+/- 3768 )",51335,"(+/- 4091 )",51689,"(+/- 4089 )",49827,"(+/- 4148 )",53936,"(+/- 4608 )"
People,Ancestry,"French (except Basque)",18939,"(+/- 2756 )",12795,"(+/- 1776 )",14916,"(+/- 2876 )",13163,"(+/- 2226 )",12930,"(+/- 2140 )"
People,Ancestry,"French Canadian",1204,"(+/- 500 )",1229,"(+/- 746 )",477,"(+/- 239 )",2424,"(+/- 855 )",1574,"(+/- 605 )"
People,Ancestry,German,111075,"(+/- 4974 )",75131,"(+/- 4046 )",125727,"(+/- 6703 )",89299,"(+/- 5623 )",87701,"(+/- 5488 )"
People,Ancestry,Greek,1001,"(+/- 454 )",655,"(+/- 299 )",790,"(+/- 630 )",1336,"(+/- 919 )",1164,"(+/- 677 )"
People,Ancestry,Hungarian,697,"(+/- 382 )",424,"(+/- 232 )",843,"(+/- 400 )",277,"(+/- 213 )",1068,"(+/- 706 )"
People,Ancestry,Irish,78754,"(+/- 5365 )",81387,"(+/- 4344 )",81235,"(+/- 6241 )",92090,"(+/- 6301 )",64276,"(+/- 5060 )"
People,Ancestry,Italian,16355,"(+/- 2288 )",11576,"(+/- 1705 )",11197,"(+/- 2204 )",13177,"(+/- 2453 )",13679,"(+/- 2632 )"
People,Ancestry,Lithuanian,693,"(+/- 363 )",355,"(+/- 239 )",86,"(+/- 81 )",919,"(+/- 1176 )",716,"(+/- 511 )"
People,Ancestry,Norwegian,6684,"(+/- 1708 )",3601,"(+/- 851 )",5661,"(+/- 1695 )",3939,"(+/- 1568 )",4735,"(+/- 1361 )"
People,Ancestry,Polish,7592,"(+/- 1440 )",3730,"(+/- 1039 )",6489,"(+/- 1899 )",5756,"(+/- 1417 )",5168,"(+/- 1183 )"
People,Ancestry,Portuguese,1393,"(+/- 516 )",614,"(+/- 352 )",623,"(+/- 413 )",1025,"(+/- 519 )",940,"(+/- 526 )"
People,Ancestry,Russian,2342,"(+/- 913 )",1292,"(+/- 530 )",1887,"(+/- 758 )",1733,"(+/- 791 )",1486,"(+/- 798 )"
People,Ancestry,Scotch-Irish,8950,"(+/- 1426 )",6237,"(+/- 1286 )",7756,"(+/- 1405 )",8348,"(+/- 1532 )",6228,"(+/- 1447 )"
People,Ancestry,Scottish,18502,"(+/- 2389 )",8193,"(+/- 1154 )",12552,"(+/- 2051 )",16074,"(+/- 2712 )",14588,"(+/- 2476 )"
People,Ancestry,Slovak,248,"(+/- 190 )",88,"(+/- 103 )",88,"(+/- 123 )",266,"(+/- 333 )",388,"(+/- 291 )"
People,Ancestry,"Subsaharan African",8240,"(+/- 1552 )",870,"(+/- 378 )",2214,"(+/- 1319 )",4645,"(+/- 2026 )",4830,"(+/- 1524 )"
People,Ancestry,Swedish,6455,"(+/- 1148 )",3705,"(+/- 811 )",4518,"(+/- 1353 )",5718,"(+/- 1420 )",5411,"(+/- 1612 )"
People,Ancestry,Swiss,1048,"(+/- 405 )",815,"(+/- 500 )",2485,"(+/- 1355 )",908,"(+/- 649 )",1138,"(+/- 714 )"
People,Ancestry,Ukrainian,1513,"(+/- 771 )",80,"(+/- 78 )",430,"(+/- 327 )",505,"(+/- 334 )",1152,"(+/- 903 )"
People,Ancestry,Welsh,4780,"(+/- 1381 )",2484,"(+/- 718 )",3333,"(+/- 750 )",4655,"(+/- 1311 )",3927,"(+/- 1068 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3524,"(+/- 1152 )",3776,"(+/- 753 )",2472,"(+/- 667 )",4548,"(+/- 1125 )",3070,"(+/- 1182 )"
People,"Veteran Status","Civilian population 18 years and over",600835,"(+/- 1762 )",570125,"(+/- 1891 )",583291,"(+/- 2862 )",591412,"(+/- 3925 )",607484,"(+/- 3219 )"
People,"Veteran Status","Civilian veterans",48798,"(+/- 2573 )",55004,"(+/- 2148 )",46976,"(+/- 2797 )",65477,"(+/- 3659 )",52899,"(+/- 2976 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",798238,"(+/- 2869 )",727978,"(+/- 3461 )",752860,"(+/- 4048 )",764501,"(+/- 5174 )",807725,"(+/- 4523 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",115494,"(+/- 3916 )",156865,"(+/- 4596 )",117246,"(+/- 4669 )",129642,"(+/- 5816 )",115829,"(+/- 4887 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",202352,"(+/- 1374 )",173958,"(+/- 1395 )",188630,"(+/- 2175 )",185654,"(+/- 2449 )",209114,"(+/- 2142 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9106,"(+/- 1224 )",11277,"(+/- 1504 )",8766,"(+/- 1293 )",13643,"(+/- 1930 )",7870,"(+/- 1102 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",481169,"(+/- 1930 )",419842,"(+/- 3098 )",447715,"(+/- 3695 )",468436,"(+/- 4191 )",490151,"(+/- 3725 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",62254,"(+/- 3583 )",81210,"(+/- 3082 )",61739,"(+/- 3931 )",67712,"(+/- 4144 )",66858,"(+/- 4186 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",114717,"(+/- 1231 )",134178,"(+/- 1432 )",116515,"(+/- 1827 )",110411,"(+/- 2181 )",108460,"(+/- 1251 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44134,"(+/- 1893 )",64378,"(+/- 1986 )",46741,"(+/- 2578 )",48287,"(+/- 2275 )",41101,"(+/- 2224 )"
People,"Residence 1 Year Ago","Population 1 year and over",792682,"(+/- 2901 )",735714,"(+/- 2770 )",763691,"(+/- 3543 )",779654,"(+/- 5096 )",804181,"(+/- 4163 )"
People,"Residence 1 Year Ago","Same house",652754,"(+/- 6577 )",635226,"(+/- 6177 )",638844,"(+/- 8334 )",633398,"(+/- 9725 )",656084,"(+/- 9873 )"
People,"Residence 1 Year Ago","Different house in the U.S.",136514,"(+/- 6169 )",99826,"(+/- 5148 )",121296,"(+/- 6982 )",142149,"(+/- 8232 )",144900,"(+/- 9897 )"
People,"Residence 1 Year Ago","Same county",89319,"(+/- 5519 )",54291,"(+/- 4073 )",59897,"(+/- 5879 )",73378,"(+/- 5757 )",100346,"(+/- 8192 )"
People,"Residence 1 Year Ago","Different county",47195,"(+/- 3620 )",45535,"(+/- 3231 )",61399,"(+/- 5467 )",68771,"(+/- 5281 )",44554,"(+/- 4465 )"
People,"Residence 1 Year Ago","Same state",27143,"(+/- 3043 )",31135,"(+/- 2616 )",42055,"(+/- 4789 )",39124,"(+/- 4455 )",26036,"(+/- 3405 )"
People,"Residence 1 Year Ago","Different state",20052,"(+/- 2519 )",14400,"(+/- 1702 )",19344,"(+/- 2513 )",29647,"(+/- 3405 )",18518,"(+/- 2895 )"
People,"Residence 1 Year Ago",Abroad,3414,"(+/- 1211 )",662,"(+/- 398 )",3551,"(+/- 1521 )",4107,"(+/- 1573 )",3197,"(+/- 1477 )"
Workers,"Employment Status","Population 16 years and over",622981,"(+/- 2277 )",591884,"(+/- 2314 )",605480,"(+/- 3195 )",623627,"(+/- 4322 )",631030,"(+/- 3242 )"
Workers,"Employment Status","In labor force",406414,"(+/- 3931 )",307481,"(+/- 3886 )",362079,"(+/- 6013 )",394004,"(+/- 6639 )",404330,"(+/- 5904 )"
Workers,"Employment Status","Civilian labor force",405916,"(+/- 3950 )",307015,"(+/- 3864 )",360265,"(+/- 5968 )",381851,"(+/- 6827 )",402974,"(+/- 5988 )"
Workers,"Employment Status",Employed,382597,"(+/- 3847 )",286527,"(+/- 3936 )",343931,"(+/- 5530 )",363033,"(+/- 7382 )",382314,"(+/- 6430 )"
Workers,"Employment Status",Unemployed,23319,"(+/- 1927 )",20488,"(+/- 1482 )",16334,"(+/- 1973 )",18818,"(+/- 2345 )",20660,"(+/- 2706 )"
Workers,"Employment Status","Armed Forces",498,"(+/- 233 )",466,"(+/- 273 )",1814,"(+/- 599 )",12153,"(+/- 1558 )",1356,"(+/- 600 )"
Workers,"Employment Status","Not in labor force",216567,"(+/- 4318 )",284403,"(+/- 3917 )",243401,"(+/- 5658 )",229623,"(+/- 5972 )",226700,"(+/- 5915 )"
Workers,"Employment Status","Civilian labor force",405916,"(+/- 3950 )",307015,"(+/- 3864 )",360265,"(+/- 5968 )",381851,"(+/- 6827 )",402974,"(+/- 5988 )"
Workers,"Employment Status","Unemployment Rate",5.7,"(+/- 0.5 )",6.7,"(+/- 0.5 )",4.5,"(+/- 0.5 )",4.9,"(+/- 0.6 )",5.1,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",376672,"(+/- 3705 )",281907,"(+/- 4104 )",339057,"(+/- 5524 )",368962,"(+/- 7092 )",378079,"(+/- 6439 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",313152,"(+/- 4009 )",230556,"(+/- 4644 )",278100,"(+/- 5730 )",302564,"(+/- 6688 )",311479,"(+/- 6609 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",36288,"(+/- 2711 )",28853,"(+/- 2007 )",33290,"(+/- 3190 )",34628,"(+/- 3701 )",38379,"(+/- 3534 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",955,"(+/- 369 )",1104,"(+/- 523 )",685,"(+/- 467 )",684,"(+/- 420 )",2309,"(+/- 833 )"
Workers,"Commuting to Work",Walked,4786,"(+/- 852 )",6953,"(+/- 1026 )",6252,"(+/- 1537 )",7766,"(+/- 1648 )",7541,"(+/- 1389 )"
Workers,"Commuting to Work","Other means",6179,"(+/- 1010 )",3799,"(+/- 758 )",4785,"(+/- 1308 )",5099,"(+/- 1378 )",3888,"(+/- 944 )"
Workers,"Commuting to Work","Worked at home",15312,"(+/- 1602 )",10642,"(+/- 1344 )",15945,"(+/- 1859 )",18221,"(+/- 2329 )",14483,"(+/- 1703 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.4,"(+/- 0.4 )",23.8,"(+/- 0.6 )",21.8,"(+/- 0.6 )",22.0,"(+/- 0.5 )",21.8,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",382597,"(+/- 3847 )",286527,"(+/- 3936 )",343931,"(+/- 5530 )",363033,"(+/- 7382 )",382314,"(+/- 6430 )"
Workers,Occupation,"Management, business, science, and arts occupations",145668,"(+/- 3589 )",84448,"(+/- 2886 )",114522,"(+/- 4341 )",130557,"(+/- 5173 )",141905,"(+/- 5344 )"
Workers,Occupation,"Service occupations",64581,"(+/- 2893 )",54797,"(+/- 2570 )",63803,"(+/- 3797 )",64834,"(+/- 3862 )",65657,"(+/- 4143 )"
Workers,Occupation,"Sales and office occupations",89688,"(+/- 3088 )",61403,"(+/- 2546 )",72122,"(+/- 3764 )",87446,"(+/- 4758 )",92606,"(+/- 3981 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36522,"(+/- 2211 )",36949,"(+/- 2084 )",43157,"(+/- 2844 )",37505,"(+/- 2995 )",42768,"(+/- 2757 )"
Workers,Occupation,"Production, transportation, and material moving occupations",46138,"(+/- 2627 )",48930,"(+/- 2341 )",50327,"(+/- 3487 )",42691,"(+/- 3334 )",39378,"(+/- 2942 )"
Workers,Industry,"Civilian employed population 16 years and over",382597,"(+/- 3847 )",286527,"(+/- 3936 )",343931,"(+/- 5530 )",363033,"(+/- 7382 )",382314,"(+/- 6430 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9476,"(+/- 1069 )",12555,"(+/- 1485 )",30497,"(+/- 2752 )",15442,"(+/- 1474 )",14623,"(+/- 1727 )"
Workers,Industry,Construction,27186,"(+/- 2066 )",21634,"(+/- 1746 )",23369,"(+/- 2368 )",23322,"(+/- 2571 )",29013,"(+/- 2812 )"
Workers,Industry,Manufacturing,43473,"(+/- 2287 )",35706,"(+/- 2128 )",30758,"(+/- 2912 )",26575,"(+/- 2571 )",24071,"(+/- 2330 )"
Workers,Industry,"Wholesale trade",11107,"(+/- 1257 )",6688,"(+/- 910 )",7567,"(+/- 1264 )",8416,"(+/- 1452 )",10350,"(+/- 1880 )"
Workers,Industry,"Retail trade",42540,"(+/- 2414 )",30343,"(+/- 2207 )",37510,"(+/- 3131 )",46507,"(+/- 3625 )",46994,"(+/- 3303 )"
Workers,Industry,"Transportation and warehousing, and utilities",21199,"(+/- 1565 )",18283,"(+/- 1450 )",19160,"(+/- 2001 )",16601,"(+/- 1592 )",17438,"(+/- 2256 )"
Workers,Industry,Information,10864,"(+/- 1290 )",2803,"(+/- 594 )",5213,"(+/- 1138 )",6548,"(+/- 1633 )",6754,"(+/- 1686 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24754,"(+/- 1855 )",13108,"(+/- 1255 )",16523,"(+/- 1703 )",18993,"(+/- 2094 )",25614,"(+/- 2432 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",39113,"(+/- 2319 )",17108,"(+/- 1704 )",23515,"(+/- 2435 )",29906,"(+/- 2852 )",41261,"(+/- 3124 )"
Workers,Industry,"Educational services, and health care and social assistance",82374,"(+/- 2884 )",67654,"(+/- 2647 )",76380,"(+/- 3539 )",85241,"(+/- 4427 )",83669,"(+/- 4242 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",37108,"(+/- 2433 )",28011,"(+/- 1935 )",32612,"(+/- 2863 )",34948,"(+/- 2848 )",37758,"(+/- 3233 )"
Workers,Industry,"Other services, except public administration",20525,"(+/- 1965 )",14292,"(+/- 1435 )",18694,"(+/- 2599 )",19812,"(+/- 2201 )",19769,"(+/- 2356 )"
Workers,Industry,"Public administration",12878,"(+/- 1493 )",18342,"(+/- 1615 )",22133,"(+/- 2593 )",30722,"(+/- 3077 )",25000,"(+/- 2611 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",382597,"(+/- 3847 )",286527,"(+/- 3936 )",343931,"(+/- 5530 )",363033,"(+/- 7382 )",382314,"(+/- 6430 )"
Workers,"Class of Worker","Private wage and salary workers",321856,"(+/- 3921 )",208684,"(+/- 3772 )",254155,"(+/- 5138 )",262189,"(+/- 6872 )",301479,"(+/- 6099 )"
Workers,"Class of Worker","Government workers",38231,"(+/- 2496 )",55870,"(+/- 2568 )",65343,"(+/- 3600 )",76921,"(+/- 4246 )",56798,"(+/- 3094 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",21539,"(+/- 2154 )",20943,"(+/- 1849 )",23463,"(+/- 2112 )",22887,"(+/- 2383 )",23560,"(+/- 1940 )"
Workers,"Class of Worker","Unpaid family workers",971,"(+/- 414 )",1030,"(+/- 436 )",970,"(+/- 415 )",1036,"(+/- 480 )",477,"(+/- 274 )"
Housing,"Housing Occupancy","Total housing units",349351,"(+/- 971 )",356906,"(+/- 1360 )",338614,"(+/- 1534 )",336047,"(+/- 2154 )",353156,"(+/- 2073 )"
Housing,"Housing Occupancy","Occupied housing units",309210,"(+/- 2521 )",280114,"(+/- 2554 )",280616,"(+/- 3660 )",292173,"(+/- 3437 )",308251,"(+/- 3910 )"
Housing,"Housing Occupancy","Vacant housing units",40141,"(+/- 2297 )",76792,"(+/- 2412 )",57998,"(+/- 3272 )",43874,"(+/- 2671 )",44905,"(+/- 3566 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.9,"(+/- 0.3 )",2.2,"(+/- 0.3 )",1.9,"(+/- 0.5 )",1.8,"(+/- 0.5 )",2.1,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",9.3,"(+/- 1.1 )",7.8,"(+/- 1.0 )",7.5,"(+/- 1.4 )",8.8,"(+/- 1.5 )",9.0,"(+/- 1.4 )"
Housing,"Housing Tenure","Occupied housing units",309210,"(+/- 2521 )",280114,"(+/- 2554 )",280616,"(+/- 3660 )",292173,"(+/- 3437 )",308251,"(+/- 3910 )"
Housing,"Housing Tenure",Owner-occupied,193147,"(+/- 2986 )",199809,"(+/- 2769 )",193376,"(+/- 3860 )",190668,"(+/- 3782 )",185483,"(+/- 3813 )"
Housing,"Housing Tenure",Renter-occupied,116063,"(+/- 3254 )",80305,"(+/- 2614 )",87240,"(+/- 3875 )",101505,"(+/- 4211 )",122768,"(+/- 3887 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.68,"(+/- 0.03 )",2.57,"(+/- 0.03 )",2.64,"(+/- 0.04 )",2.69,"(+/- 0.04 )",2.68,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.39,"(+/- 0.05 )",2.58,"(+/- 0.06 )",2.66,"(+/- 0.07 )",2.44,"(+/- 0.06 )",2.48,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",309210,"(+/- 2521 )",280114,"(+/- 2554 )",280616,"(+/- 3660 )",292173,"(+/- 3437 )",308251,"(+/- 3910 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",103773,"(+/- 3148 )",71294,"(+/- 2364 )",78385,"(+/- 3756 )",95757,"(+/- 3544 )",111781,"(+/- 4137 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",72074,"(+/- 2788 )",61080,"(+/- 2319 )",62733,"(+/- 2687 )",67162,"(+/- 3217 )",70518,"(+/- 3934 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",69741,"(+/- 2767 )",71392,"(+/- 2574 )",65664,"(+/- 3182 )",66117,"(+/- 3393 )",64145,"(+/- 2699 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",32469,"(+/- 1930 )",37189,"(+/- 2055 )",34528,"(+/- 2003 )",31967,"(+/- 2170 )",28078,"(+/- 2142 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",16352,"(+/- 1341 )",18382,"(+/- 1513 )",17592,"(+/- 1498 )",15954,"(+/- 1540 )",15487,"(+/- 1487 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",14801,"(+/- 1404 )",20777,"(+/- 1503 )",21714,"(+/- 1870 )",15216,"(+/- 1543 )",18242,"(+/- 1481 )"
Housing,Value,"Owner-occupied units",193147,"(+/- 2986 )",199809,"(+/- 2769 )",193376,"(+/- 3860 )",190668,"(+/- 3782 )",185483,"(+/- 3813 )"
Housing,Value,"Less than $50,000",13970,"(+/- 1223 )",37165,"(+/- 1724 )",31765,"(+/- 2029 )",19758,"(+/- 1587 )",17142,"(+/- 1541 )"
Housing,Value,"$50,000 to $99,999",33527,"(+/- 1852 )",58598,"(+/- 2280 )",44494,"(+/- 2234 )",37052,"(+/- 2159 )",39405,"(+/- 2391 )"
Housing,Value,"$100,000 to $149,999",45171,"(+/- 2250 )",33979,"(+/- 1904 )",35653,"(+/- 2381 )",43597,"(+/- 2681 )",36452,"(+/- 2667 )"
Housing,Value,"$150,000 to $199,999",38833,"(+/- 2205 )",27850,"(+/- 1743 )",34048,"(+/- 2360 )",36249,"(+/- 2550 )",31742,"(+/- 2132 )"
