Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,Ancestry,Italian,22708,"(+/- 3540 )",20444,"(+/- 2934 )",24521,"(+/- 3499 )",22508,"(+/- 3583 )"
People,Ancestry,Lithuanian,179,"(+/- 180 )",1226,"(+/- 725 )",407,"(+/- 278 )",92,"(+/- 107 )"
People,Ancestry,Norwegian,16876,"(+/- 2426 )",15834,"(+/- 3512 )",19281,"(+/- 2219 )",16321,"(+/- 2514 )"
People,Ancestry,Polish,7320,"(+/- 2038 )",6519,"(+/- 1556 )",6422,"(+/- 1649 )",6621,"(+/- 1871 )"
People,Ancestry,Portuguese,1090,"(+/- 465 )",1210,"(+/- 852 )",1682,"(+/- 779 )",1823,"(+/- 1023 )"
People,Ancestry,Russian,2093,"(+/- 811 )",3106,"(+/- 955 )",3896,"(+/- 1592 )",1802,"(+/- 661 )"
People,Ancestry,Scotch-Irish,4978,"(+/- 1225 )",5402,"(+/- 1241 )",5497,"(+/- 1242 )",5158,"(+/- 1681 )"
People,Ancestry,Scottish,37550,"(+/- 4707 )",34690,"(+/- 4646 )",34728,"(+/- 3814 )",31891,"(+/- 4334 )"
People,Ancestry,Slovak,543,"(+/- 394 )",163,"(+/- 159 )",433,"(+/- 304 )",263,"(+/- 308 )"
People,Ancestry,"Subsaharan African",1546,"(+/- 614 )",4566,"(+/- 2028 )",1284,"(+/- 749 )",6721,"(+/- 2875 )"
People,Ancestry,Swedish,22350,"(+/- 2782 )",26148,"(+/- 4014 )",32226,"(+/- 3777 )",26036,"(+/- 4114 )"
People,Ancestry,Swiss,9726,"(+/- 2057 )",8849,"(+/- 2266 )",9826,"(+/- 2068 )",6662,"(+/- 1727 )"
People,Ancestry,Ukrainian,967,"(+/- 539 )",412,"(+/- 308 )",1044,"(+/- 580 )",256,"(+/- 191 )"
People,Ancestry,Welsh,14017,"(+/- 2328 )",15996,"(+/- 2759 )",19705,"(+/- 3019 )",15688,"(+/- 3005 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",661,"(+/- 537 )",461,"(+/- 536 )",485,"(+/- 365 )",1622,"(+/- 1046 )"
People,"Veteran Status","Civilian population 18 years and over",527876,"(+/- 3331 )",552971,"(+/- 6586 )",537440,"(+/- 5374 )",554514,"(+/- 7191 )"
People,"Veteran Status","Civilian veterans",36818,"(+/- 2686 )",36842,"(+/- 2824 )",24124,"(+/- 2011 )",27001,"(+/- 2710 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",757043,"(+/- 4530 )",757322,"(+/- 9080 )",763497,"(+/- 6522 )",798456,"(+/- 9839 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",78200,"(+/- 4696 )",79414,"(+/- 4596 )",67311,"(+/- 4120 )",71639,"(+/- 4604 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",233459,"(+/- 3355 )",211563,"(+/- 6552 )",228391,"(+/- 3961 )",249750,"(+/- 6496 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10670,"(+/- 2018 )",7327,"(+/- 2180 )",9214,"(+/- 1587 )",8896,"(+/- 1750 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",444239,"(+/- 3561 )",448111,"(+/- 6966 )",457127,"(+/- 5412 )",473543,"(+/- 6664 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39517,"(+/- 3027 )",39342,"(+/- 3165 )",34037,"(+/- 2743 )",38068,"(+/- 3252 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",79345,"(+/- 2290 )",97648,"(+/- 3419 )",77979,"(+/- 2904 )",75163,"(+/- 3309 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",28013,"(+/- 2136 )",32745,"(+/- 2239 )",24060,"(+/- 2093 )",24675,"(+/- 2474 )"
People,"Residence 1 Year Ago","Population 1 year and over",751883,"(+/- 4663 )",755047,"(+/- 8834 )",756510,"(+/- 6458 )",792753,"(+/- 9765 )"
People,"Residence 1 Year Ago","Same house",628950,"(+/- 9551 )",625789,"(+/- 11144 )",612956,"(+/- 10748 )",665163,"(+/- 14187 )"
People,"Residence 1 Year Ago","Different house in the U.S.",117217,"(+/- 8206 )",124495,"(+/- 7893 )",135842,"(+/- 7434 )",120636,"(+/- 9100 )"
People,"Residence 1 Year Ago","Same county",64614,"(+/- 6594 )",65588,"(+/- 6482 )",82243,"(+/- 6083 )",80408,"(+/- 7949 )"
People,"Residence 1 Year Ago","Different county",52603,"(+/- 5639 )",58907,"(+/- 5023 )",53599,"(+/- 5131 )",40228,"(+/- 5659 )"
People,"Residence 1 Year Ago","Same state",31337,"(+/- 4703 )",32171,"(+/- 4689 )",23637,"(+/- 3465 )",18608,"(+/- 3010 )"
People,"Residence 1 Year Ago","Different state",21266,"(+/- 3535 )",26736,"(+/- 3437 )",29962,"(+/- 3642 )",21620,"(+/- 4532 )"
People,"Residence 1 Year Ago",Abroad,5716,"(+/- 1748 )",4763,"(+/- 1749 )",7712,"(+/- 2075 )",6954,"(+/- 2450 )"
Workers,"Employment Status","Population 16 years and over",556662,"(+/- 3754 )",578327,"(+/- 7317 )",562672,"(+/- 5780 )",581034,"(+/- 7782 )"
Workers,"Employment Status","In labor force",379857,"(+/- 5514 )",384883,"(+/- 7356 )",383918,"(+/- 6262 )",415978,"(+/- 7582 )"
Workers,"Employment Status","Civilian labor force",377898,"(+/- 5446 )",384166,"(+/- 7389 )",383176,"(+/- 6253 )",415458,"(+/- 7631 )"
Workers,"Employment Status",Employed,365869,"(+/- 5447 )",368883,"(+/- 7434 )",369546,"(+/- 6569 )",400705,"(+/- 7479 )"
Workers,"Employment Status",Unemployed,12029,"(+/- 1861 )",15283,"(+/- 1941 )",13630,"(+/- 1667 )",14753,"(+/- 2262 )"
Workers,"Employment Status","Armed Forces",1959,"(+/- 582 )",717,"(+/- 328 )",742,"(+/- 439 )",520,"(+/- 334 )"
Workers,"Employment Status","Not in labor force",176805,"(+/- 4689 )",193444,"(+/- 6179 )",178754,"(+/- 5447 )",165056,"(+/- 6095 )"
Workers,"Employment Status","Civilian labor force",377898,"(+/- 5446 )",384166,"(+/- 7389 )",383176,"(+/- 6253 )",415458,"(+/- 7631 )"
Workers,"Employment Status","Unemployment Rate",3.2,"(+/- 0.5 )",4.0,"(+/- 0.5 )",3.6,"(+/- 0.4 )",3.6,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",362448,"(+/- 5488 )",363346,"(+/- 7690 )",365235,"(+/- 6410 )",395652,"(+/- 7589 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",284817,"(+/- 6345 )",268923,"(+/- 7888 )",273348,"(+/- 6704 )",304159,"(+/- 7649 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",36770,"(+/- 3304 )",40697,"(+/- 4062 )",37293,"(+/- 3350 )",44831,"(+/- 3978 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",5949,"(+/- 1437 )",9647,"(+/- 1461 )",8179,"(+/- 1579 )",10690,"(+/- 2072 )"
Workers,"Commuting to Work",Walked,7048,"(+/- 1444 )",10830,"(+/- 1720 )",12102,"(+/- 1722 )",5036,"(+/- 1311 )"
Workers,"Commuting to Work","Other means",6379,"(+/- 1264 )",8824,"(+/- 1853 )",6184,"(+/- 1280 )",3706,"(+/- 1123 )"
Workers,"Commuting to Work","Worked at home",21485,"(+/- 2573 )",24425,"(+/- 2939 )",28129,"(+/- 3201 )",27230,"(+/- 3164 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.8,"(+/- 0.6 )",21.0,"(+/- 0.6 )",21.1,"(+/- 0.5 )",24.0,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",365869,"(+/- 5447 )",368883,"(+/- 7434 )",369546,"(+/- 6569 )",400705,"(+/- 7479 )"
Workers,Occupation,"Management, business, science, and arts occupations",134867,"(+/- 4670 )",142292,"(+/- 5049 )",155205,"(+/- 5265 )",155820,"(+/- 6149 )"
Workers,Occupation,"Service occupations",52752,"(+/- 3339 )",57883,"(+/- 4040 )",59398,"(+/- 3370 )",59633,"(+/- 4335 )"
Workers,Occupation,"Sales and office occupations",83777,"(+/- 5102 )",84058,"(+/- 4299 )",95539,"(+/- 4565 )",101176,"(+/- 4678 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36368,"(+/- 2945 )",36194,"(+/- 2950 )",28118,"(+/- 2644 )",36353,"(+/- 3086 )"
Workers,Occupation,"Production, transportation, and material moving occupations",58105,"(+/- 3663 )",48456,"(+/- 3721 )",31286,"(+/- 2519 )",47723,"(+/- 4248 )"
Workers,Industry,"Civilian employed population 16 years and over",365869,"(+/- 5447 )",368883,"(+/- 7434 )",369546,"(+/- 6569 )",400705,"(+/- 7479 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9483,"(+/- 1566 )",6398,"(+/- 1199 )",3617,"(+/- 809 )",4629,"(+/- 1235 )"
Workers,Industry,Construction,24668,"(+/- 1969 )",26793,"(+/- 3056 )",25199,"(+/- 2372 )",30774,"(+/- 2737 )"
Workers,Industry,Manufacturing,50162,"(+/- 3116 )",35668,"(+/- 3165 )",27784,"(+/- 2490 )",41600,"(+/- 3888 )"
Workers,Industry,"Wholesale trade",7962,"(+/- 1492 )",9753,"(+/- 1966 )",10792,"(+/- 1540 )",9894,"(+/- 1747 )"
Workers,Industry,"Retail trade",38008,"(+/- 3077 )",42876,"(+/- 3345 )",43022,"(+/- 3318 )",43011,"(+/- 3562 )"
Workers,Industry,"Transportation and warehousing, and utilities",18235,"(+/- 2724 )",22444,"(+/- 2385 )",13629,"(+/- 1912 )",21272,"(+/- 2749 )"
Workers,Industry,Information,6116,"(+/- 1217 )",6035,"(+/- 1340 )",11373,"(+/- 1980 )",10351,"(+/- 1809 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",20527,"(+/- 2417 )",23577,"(+/- 2461 )",24644,"(+/- 2246 )",35740,"(+/- 3269 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",36269,"(+/- 2815 )",41269,"(+/- 3018 )",57235,"(+/- 3568 )",57581,"(+/- 4824 )"
Workers,Industry,"Educational services, and health care and social assistance",82056,"(+/- 4218 )",84043,"(+/- 4430 )",87611,"(+/- 4872 )",82470,"(+/- 4759 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",30251,"(+/- 2856 )",36367,"(+/- 3620 )",37352,"(+/- 3041 )",29034,"(+/- 2739 )"
Workers,Industry,"Other services, except public administration",16487,"(+/- 2228 )",16364,"(+/- 2394 )",16273,"(+/- 2119 )",19632,"(+/- 2984 )"
Workers,Industry,"Public administration",25645,"(+/- 2743 )",17296,"(+/- 2090 )",11015,"(+/- 1250 )",14717,"(+/- 1808 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",365869,"(+/- 5447 )",368883,"(+/- 7434 )",369546,"(+/- 6569 )",400705,"(+/- 7479 )"
Workers,"Class of Worker","Private wage and salary workers",287649,"(+/- 5921 )",292016,"(+/- 7579 )",306402,"(+/- 6879 )",333361,"(+/- 7370 )"
Workers,"Class of Worker","Government workers",64061,"(+/- 3886 )",57328,"(+/- 3813 )",44396,"(+/- 2808 )",48303,"(+/- 3645 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",13635,"(+/- 1623 )",18841,"(+/- 2248 )",18081,"(+/- 2320 )",18573,"(+/- 2633 )"
Workers,"Class of Worker","Unpaid family workers",524,"(+/- 408 )",698,"(+/- 354 )",667,"(+/- 449 )",468,"(+/- 331 )"
Housing,"Housing Occupancy","Total housing units",279567,"(+/- 1699 )",294071,"(+/- 3446 )",251297,"(+/- 3060 )",259750,"(+/- 3489 )"
Housing,"Housing Occupancy","Occupied housing units",240836,"(+/- 3150 )",257113,"(+/- 3890 )",229276,"(+/- 2858 )",248223,"(+/- 3661 )"
Housing,"Housing Occupancy","Vacant housing units",38731,"(+/- 2632 )",36958,"(+/- 2925 )",22021,"(+/- 2392 )",11527,"(+/- 2007 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.8,"(+/- 0.6 )",1.0,"(+/- 0.5 )",1.2,"(+/- 0.5 )",0.4,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.3,"(+/- 1.9 )",4.4,"(+/- 1.1 )",7.3,"(+/- 1.7 )",6.1,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",240836,"(+/- 3150 )",257113,"(+/- 3890 )",229276,"(+/- 2858 )",248223,"(+/- 3661 )"
Housing,"Housing Tenure",Owner-occupied,177697,"(+/- 3844 )",169959,"(+/- 4571 )",157900,"(+/- 3788 )",176007,"(+/- 4347 )"
Housing,"Housing Tenure",Renter-occupied,63139,"(+/- 3190 )",87154,"(+/- 4316 )",71376,"(+/- 3811 )",72216,"(+/- 3528 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",3.24,"(+/- 0.05 )",3.06,"(+/- 0.07 )",3.41,"(+/- 0.05 )",3.37,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.83,"(+/- 0.10 )",2.64,"(+/- 0.11 )",2.98,"(+/- 0.09 )",2.84,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",240836,"(+/- 3150 )",257113,"(+/- 3890 )",229276,"(+/- 2858 )",248223,"(+/- 3661 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",74396,"(+/- 3286 )",86039,"(+/- 4091 )",78533,"(+/- 3358 )",80522,"(+/- 3981 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",55858,"(+/- 3183 )",65314,"(+/- 3834 )",47678,"(+/- 2998 )",58772,"(+/- 3936 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",54226,"(+/- 2766 )",55953,"(+/- 3496 )",50754,"(+/- 2255 )",57259,"(+/- 3279 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",29520,"(+/- 2136 )",25362,"(+/- 2265 )",24948,"(+/- 1724 )",25488,"(+/- 2213 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",12884,"(+/- 1608 )",12286,"(+/- 1548 )",12332,"(+/- 1204 )",10318,"(+/- 1425 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",13952,"(+/- 1340 )",12159,"(+/- 1328 )",15031,"(+/- 1456 )",15864,"(+/- 1469 )"
Housing,Value,"Owner-occupied units",177697,"(+/- 3844 )",169959,"(+/- 4571 )",157900,"(+/- 3788 )",176007,"(+/- 4347 )"
Housing,Value,"Less than $50,000",6968,"(+/- 1325 )",4730,"(+/- 1064 )",6419,"(+/- 1294 )",4499,"(+/- 961 )"
Housing,Value,"$50,000 to $99,999",5250,"(+/- 1054 )",5289,"(+/- 1346 )",3823,"(+/- 889 )",2480,"(+/- 800 )"
Housing,Value,"$100,000 to $149,999",16270,"(+/- 1671 )",15093,"(+/- 1800 )",5797,"(+/- 919 )",7330,"(+/- 1146 )"
Housing,Value,"$150,000 to $199,999",35945,"(+/- 2879 )",24735,"(+/- 2494 )",12439,"(+/- 1292 )",20620,"(+/- 2199 )"
Housing,Value,"$200,000 to $299,999",54294,"(+/- 2751 )",56659,"(+/- 3221 )",41938,"(+/- 2642 )",59240,"(+/- 3475 )"
Housing,Value,"$300,000 to $499,999",42683,"(+/- 2648 )",44359,"(+/- 3272 )",54882,"(+/- 2594 )",66945,"(+/- 3309 )"
Housing,Value,"$500,000 to $999,999",12430,"(+/- 1173 )",16329,"(+/- 1635 )",28063,"(+/- 2269 )",13735,"(+/- 1738 )"
Housing,Value,"$1,000,000 or more",3857,"(+/- 773 )",2765,"(+/- 671 )",4539,"(+/- 930 )",1158,"(+/- 586 )"
Housing,Value,"Median (dollars)",238700,"(+/- 3870 )",257600,"(+/- 6044 )",323400,"(+/- 7481 )",289500,"(+/- 4448 )"
Housing,"Mortgage Status","Owner-occupied units",177697,"(+/- 3844 )",169959,"(+/- 4571 )",157900,"(+/- 3788 )",176007,"(+/- 4347 )"
Housing,"Mortgage Status","Housing units with a mortgage",124367,"(+/- 3482 )",118065,"(+/- 4255 )",108276,"(+/- 3179 )",133622,"(+/- 3835 )"
Housing,"Mortgage Status","Housing units without a mortgage",53330,"(+/- 2384 )",51894,"(+/- 2889 )",49624,"(+/- 2503 )",42385,"(+/- 3148 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",124367,"(+/- 3482 )",118065,"(+/- 4255 )",108276,"(+/- 3179 )",133622,"(+/- 3835 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2191,"(+/- 597 )",1410,"(+/- 467 )",1378,"(+/- 537 )",1322,"(+/- 641 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",22331,"(+/- 2084 )",21703,"(+/- 2021 )",11812,"(+/- 1388 )",15123,"(+/- 1844 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",50289,"(+/- 3278 )",45274,"(+/- 2779 )",33728,"(+/- 2379 )",48149,"(+/- 3286 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",28032,"(+/- 2574 )",27343,"(+/- 2783 )",29058,"(+/- 1859 )",39597,"(+/- 2712 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",12483,"(+/- 1872 )",12213,"(+/- 1694 )",15422,"(+/- 1929 )",17877,"(+/- 1933 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4625,"(+/- 803 )",5083,"(+/- 1006 )",6606,"(+/- 947 )",7239,"(+/- 1346 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4416,"(+/- 652 )",5039,"(+/- 989 )",10272,"(+/- 1466 )",4315,"(+/- 1150 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1369,"(+/- 25 )",1400,"(+/- 23 )",1606,"(+/- 31 )",1524,"(+/- 30 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",53330,"(+/- 2384 )",51894,"(+/- 2889 )",49624,"(+/- 2503 )",42385,"(+/- 3148 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",7750,"(+/- 1193 )",6857,"(+/- 1527 )",5174,"(+/- 986 )",2987,"(+/- 770 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",20684,"(+/- 1562 )",19507,"(+/- 2123 )",15859,"(+/- 1638 )",16675,"(+/- 2025 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",16545,"(+/- 1468 )",17082,"(+/- 1746 )",16138,"(+/- 1632 )",16044,"(+/- 1758 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",5144,"(+/- 1083 )",5058,"(+/- 829 )",6807,"(+/- 1129 )",4300,"(+/- 787 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1413,"(+/- 533 )",1707,"(+/- 660 )",2660,"(+/- 575 )",1585,"(+/- 605 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1794,"(+/- 494 )",1683,"(+/- 688 )",2986,"(+/- 677 )",794,"(+/- 329 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",387,"(+/- 10 )",397,"(+/- 14 )",438,"(+/- 15 )",415,"(+/- 13 )"
