Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","65 to 74 years",72920,"(+/- 1763 )",63240,"(+/- 2357 )",70944,"(+/- 2262 )",72603,"(+/- 2100 )"
People,"Sex and Age","75 to 84 years",36110,"(+/- 1768 )",29541,"(+/- 1704 )",34909,"(+/- 2013 )",36567,"(+/- 2014 )"
People,"Sex and Age","85 years and over",11891,"(+/- 1557 )",11188,"(+/- 1580 )",13471,"(+/- 1890 )",12335,"(+/- 1641 )"
People,"Sex and Age","Median age (years)",38.1,"(+/- 0.5 )",36.7,"(+/- 0.5 )",37.5,"(+/- 0.5 )",37.4,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",583814,"(+/- 3039 )",526139,"(+/- 4370 )",573122,"(+/- 4810 )",586472,"(+/- 1920 )"
People,"Sex and Age","65 years and over",120921,"(+/- 1828 )",103969,"(+/- 2473 )",119324,"(+/- 2440 )",121505,"(+/- 2329 )"
People,Race,"Total population",764896,"(+/- 3565 )",701238,"(+/- 5137 )",749247,"(+/- 5421 )",768719,"(+/- 635 )"
People,Race,"One race",751436,"(+/- 3968 )",695831,"(+/- 5099 )",742047,"(+/- 5327 )",754355,"(+/- 3632 )"
People,Race,White,521584,"(+/- 3786 )",213783,"(+/- 4979 )",451622,"(+/- 5740 )",548898,"(+/- 4138 )"
People,Race,"Black or African American",209781,"(+/- 3121 )",472556,"(+/- 6876 )",266839,"(+/- 6457 )",185157,"(+/- 5149 )"
People,Race,"American Indian and Alaska Native",1101,"(+/- 660 )",2035,"(+/- 366 )",8529,"(+/- 2006 )",2081,"(+/- 857 )"
People,Race,Asian,5673,"(+/- 1097 )",3162,"(+/- 1309 )",7861,"(+/- 1784 )",10998,"(+/- 1464 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 217 )",18,"(+/- 34 )",39,"(+/- 72 )",1038,"(+/- 930 )"
People,Race,"Some other race",13297,"(+/- 2157 )",4277,"(+/- 1350 )",7157,"(+/- 2159 )",6183,"(+/- 2242 )"
People,Race,"Two or more races",13460,"(+/- 2815 )",5407,"(+/- 1634 )",7200,"(+/- 1845 )",14364,"(+/- 3655 )"
People,"Hispanic or Latino and Race","Total population",764896,"(+/- 3565 )",701238,"(+/- 5137 )",749247,"(+/- 5421 )",768719,"(+/- 635 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",24735,"(+/- 1681 )",12020,"(+/- 2745 )",16708,"(+/- 1659 )",32572,"(+/- 340 )"
People,"Hispanic or Latino and Race",Mexican,19992,"(+/- 2041 )",8320,"(+/- 2366 )",10948,"(+/- 1891 )",15384,"(+/- 2436 )"
People,"Hispanic or Latino and Race","Puerto Rican",1006,"(+/- 845 )",1109,"(+/- 1454 )",1320,"(+/- 1369 )",3331,"(+/- 1445 )"
People,"Hispanic or Latino and Race",Cuban,393,"(+/- 368 )",203,"(+/- 219 )",680,"(+/- 891 )",1933,"(+/- 1235 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",3344,"(+/- 1218 )",2388,"(+/- 1226 )",3760,"(+/- 1604 )",11924,"(+/- 2693 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",740161,"(+/- 3724 )",689218,"(+/- 5697 )",732539,"(+/- 5663 )",736147,"(+/- 734 )"
People,"Place of Birth","Total population",764896,"(+/- 3565 )",701238,"(+/- 5137 )",749247,"(+/- 5421 )",768719,"(+/- 635 )"
People,"Place of Birth",Native,748255,"(+/- 3942 )",692367,"(+/- 6378 )",732203,"(+/- 5974 )",745557,"(+/- 2887 )"
People,"Place of Birth","Born in United States",744962,"(+/- 3854 )",690485,"(+/- 6535 )",728636,"(+/- 6141 )",736934,"(+/- 3522 )"
People,"Place of Birth","State of residence",497140,"(+/- 8356 )",595640,"(+/- 7709 )",577228,"(+/- 7756 )",478683,"(+/- 10632 )"
People,"Place of Birth","Different state",247822,"(+/- 7484 )",94845,"(+/- 5047 )",151408,"(+/- 6913 )",258251,"(+/- 10087 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3293,"(+/- 1050 )",1882,"(+/- 1483 )",3567,"(+/- 1471 )",8623,"(+/- 2317 )"
People,"Place of Birth","Foreign born",16641,"(+/- 1983 )",8871,"(+/- 3001 )",17044,"(+/- 2391 )",23162,"(+/- 2916 )"
People,Ancestry,"Total population",764896,"(+/- 3565 )",701238,"(+/- 5137 )",749247,"(+/- 5421 )",768719,"(+/- 635 )"
People,Ancestry,American,95054,"(+/- 6357 )",43874,"(+/- 4456 )",92613,"(+/- 8376 )",98976,"(+/- 9164 )"
People,Ancestry,Arab,2388,"(+/- 1439 )",2216,"(+/- 1223 )",1554,"(+/- 841 )",2712,"(+/- 1448 )"
People,Ancestry,Czech,540,"(+/- 499 )",0,"(+/- 217 )",277,"(+/- 327 )",762,"(+/- 536 )"
People,Ancestry,Danish,822,"(+/- 442 )",509,"(+/- 467 )",670,"(+/- 503 )",659,"(+/- 435 )"
People,Ancestry,Dutch,5632,"(+/- 2038 )",1062,"(+/- 478 )",3386,"(+/- 1293 )",4135,"(+/- 1460 )"
People,Ancestry,English,66323,"(+/- 6120 )",24957,"(+/- 3156 )",51979,"(+/- 5451 )",51069,"(+/- 6375 )"
People,Ancestry,"French (except Basque)",6800,"(+/- 1541 )",4350,"(+/- 1392 )",12318,"(+/- 2151 )",33763,"(+/- 3791 )"
People,Ancestry,"French Canadian",1114,"(+/- 618 )",305,"(+/- 229 )",1915,"(+/- 1131 )",5517,"(+/- 2192 )"
People,Ancestry,German,40618,"(+/- 4864 )",11767,"(+/- 2013 )",29605,"(+/- 3413 )",53422,"(+/- 6241 )"
People,Ancestry,Greek,1737,"(+/- 1076 )",313,"(+/- 256 )",844,"(+/- 428 )",1355,"(+/- 792 )"
People,Ancestry,Hungarian,1533,"(+/- 977 )",0,"(+/- 217 )",478,"(+/- 358 )",366,"(+/- 340 )"
People,Ancestry,Irish,65718,"(+/- 5393 )",21095,"(+/- 3273 )",47174,"(+/- 5297 )",65462,"(+/- 7175 )"
People,Ancestry,Italian,11640,"(+/- 2573 )",5432,"(+/- 2035 )",12416,"(+/- 2398 )",22727,"(+/- 4267 )"
People,Ancestry,Lithuanian,334,"(+/- 266 )",58,"(+/- 114 )",112,"(+/- 183 )",200,"(+/- 294 )"
People,Ancestry,Norwegian,2528,"(+/- 1067 )",531,"(+/- 501 )",919,"(+/- 412 )",5528,"(+/- 2252 )"
People,Ancestry,Polish,2488,"(+/- 860 )",875,"(+/- 655 )",1748,"(+/- 1010 )",4707,"(+/- 1514 )"
People,Ancestry,Portuguese,63,"(+/- 87 )",140,"(+/- 178 )",486,"(+/- 542 )",551,"(+/- 396 )"
People,Ancestry,Russian,515,"(+/- 317 )",244,"(+/- 233 )",981,"(+/- 682 )",1370,"(+/- 706 )"
People,Ancestry,Scotch-Irish,9563,"(+/- 1697 )",5728,"(+/- 1632 )",10244,"(+/- 2016 )",12662,"(+/- 2652 )"
People,Ancestry,Scottish,13780,"(+/- 2884 )",4869,"(+/- 1273 )",14034,"(+/- 2974 )",12324,"(+/- 2533 )"
People,Ancestry,Slovak,0,"(+/- 217 )",17,"(+/- 34 )",119,"(+/- 147 )",93,"(+/- 147 )"
People,Ancestry,"Subsaharan African",2340,"(+/- 1167 )",7783,"(+/- 1926 )",4641,"(+/- 1797 )",2402,"(+/- 1231 )"
People,Ancestry,Swedish,2490,"(+/- 1187 )",1225,"(+/- 1077 )",957,"(+/- 408 )",3859,"(+/- 1593 )"
People,Ancestry,Swiss,887,"(+/- 775 )",112,"(+/- 132 )",1037,"(+/- 555 )",543,"(+/- 455 )"
People,Ancestry,Ukrainian,0,"(+/- 217 )",77,"(+/- 142 )",251,"(+/- 255 )",366,"(+/- 524 )"
People,Ancestry,Welsh,1412,"(+/- 602 )",698,"(+/- 456 )",4252,"(+/- 1457 )",2831,"(+/- 753 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",275,"(+/- 438 )",359,"(+/- 264 )",376,"(+/- 293 )",199,"(+/- 198 )"
People,"Veteran Status","Civilian population 18 years and over",583114,"(+/- 3069 )",525898,"(+/- 4403 )",571544,"(+/- 4767 )",578811,"(+/- 2323 )"
People,"Veteran Status","Civilian veterans",36104,"(+/- 2802 )",31063,"(+/- 2645 )",36764,"(+/- 3038 )",60917,"(+/- 4361 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",755383,"(+/- 4065 )",683570,"(+/- 6828 )",731643,"(+/- 5576 )",750212,"(+/- 2937 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",120932,"(+/- 7002 )",114846,"(+/- 5140 )",114032,"(+/- 6045 )",141786,"(+/- 7719 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",180065,"(+/- 1968 )",174306,"(+/- 2743 )",175172,"(+/- 2918 )",181937,"(+/- 1886 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7750,"(+/- 1667 )",7529,"(+/- 1607 )",7948,"(+/- 1381 )",10890,"(+/- 2507 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",458019,"(+/- 3494 )",408188,"(+/- 5540 )",441507,"(+/- 4415 )",450127,"(+/- 3518 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",64429,"(+/- 4763 )",64102,"(+/- 4579 )",58583,"(+/- 4863 )",78230,"(+/- 6018 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",117299,"(+/- 2025 )",101076,"(+/- 2477 )",114964,"(+/- 2388 )",118148,"(+/- 2379 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48753,"(+/- 3656 )",43215,"(+/- 2396 )",47501,"(+/- 3626 )",52666,"(+/- 3062 )"
People,"Residence 1 Year Ago","Population 1 year and over",753861,"(+/- 3878 )",692873,"(+/- 5383 )",742522,"(+/- 6040 )",757715,"(+/- 2107 )"
People,"Residence 1 Year Ago","Same house",657193,"(+/- 7779 )",601881,"(+/- 10257 )",651038,"(+/- 10478 )",643159,"(+/- 9455 )"
People,"Residence 1 Year Ago","Different house in the U.S.",95459,"(+/- 6918 )",89780,"(+/- 7997 )",88701,"(+/- 8726 )",113282,"(+/- 9594 )"
People,"Residence 1 Year Ago","Same county",47894,"(+/- 5717 )",53953,"(+/- 6234 )",42534,"(+/- 6120 )",56711,"(+/- 6934 )"
People,"Residence 1 Year Ago","Different county",47565,"(+/- 5332 )",35827,"(+/- 4585 )",46167,"(+/- 5410 )",56571,"(+/- 6044 )"
People,"Residence 1 Year Ago","Same state",24266,"(+/- 3265 )",23354,"(+/- 3660 )",32313,"(+/- 4824 )",32648,"(+/- 4930 )"
People,"Residence 1 Year Ago","Different state",23299,"(+/- 4210 )",12473,"(+/- 2392 )",13854,"(+/- 2884 )",23923,"(+/- 3383 )"
People,"Residence 1 Year Ago",Abroad,1209,"(+/- 634 )",1212,"(+/- 1339 )",2783,"(+/- 784 )",1274,"(+/- 582 )"
Workers,"Employment Status","Population 16 years and over",604366,"(+/- 3622 )",544572,"(+/- 4686 )",594934,"(+/- 4884 )",607964,"(+/- 2605 )"
Workers,"Employment Status","In labor force",353781,"(+/- 6474 )",292317,"(+/- 6379 )",330749,"(+/- 8013 )",353052,"(+/- 6257 )"
Workers,"Employment Status","Civilian labor force",353081,"(+/- 6472 )",292076,"(+/- 6367 )",329171,"(+/- 8000 )",345391,"(+/- 6224 )"
Workers,"Employment Status",Employed,333352,"(+/- 7321 )",266011,"(+/- 6849 )",312085,"(+/- 7762 )",315527,"(+/- 6712 )"
Workers,"Employment Status",Unemployed,19729,"(+/- 3030 )",26065,"(+/- 2225 )",17086,"(+/- 2332 )",29864,"(+/- 3585 )"
Workers,"Employment Status","Armed Forces",700,"(+/- 332 )",241,"(+/- 248 )",1578,"(+/- 595 )",7661,"(+/- 1385 )"
Workers,"Employment Status","Not in labor force",250585,"(+/- 7229 )",252255,"(+/- 5790 )",264185,"(+/- 8071 )",254912,"(+/- 6581 )"
Workers,"Employment Status","Civilian labor force",353081,"(+/- 6472 )",292076,"(+/- 6367 )",329171,"(+/- 8000 )",345391,"(+/- 6224 )"
Workers,"Employment Status","Unemployment Rate",5.6,"(+/- 0.9 )",8.9,"(+/- 0.8 )",5.2,"(+/- 0.7 )",8.6,"(+/- 1.0 )"
Workers,"Commuting to Work","Workers 16 years and over",329180,"(+/- 7130 )",260748,"(+/- 6949 )",307777,"(+/- 7646 )",317224,"(+/- 6517 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",284044,"(+/- 7844 )",222150,"(+/- 6189 )",266375,"(+/- 7825 )",265824,"(+/- 6819 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",31215,"(+/- 3424 )",25357,"(+/- 2957 )",26086,"(+/- 3353 )",28066,"(+/- 3269 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",511,"(+/- 342 )",1139,"(+/- 587 )",1276,"(+/- 830 )",792,"(+/- 594 )"
Workers,"Commuting to Work",Walked,2504,"(+/- 786 )",4136,"(+/- 1067 )",3015,"(+/- 998 )",6892,"(+/- 1391 )"
Workers,"Commuting to Work","Other means",2119,"(+/- 737 )",2491,"(+/- 1005 )",4117,"(+/- 1167 )",8985,"(+/- 1870 )"
Workers,"Commuting to Work","Worked at home",8787,"(+/- 1703 )",5475,"(+/- 1256 )",6908,"(+/- 1353 )",6665,"(+/- 2022 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.8,"(+/- 0.8 )",24.4,"(+/- 0.7 )",24.3,"(+/- 0.9 )",26.1,"(+/- 0.9 )"
Workers,Occupation,"Civilian employed population 16 years and over",333352,"(+/- 7321 )",266011,"(+/- 6849 )",312085,"(+/- 7762 )",315527,"(+/- 6712 )"
Workers,Occupation,"Management, business, science, and arts occupations",97955,"(+/- 5576 )",75962,"(+/- 4669 )",122027,"(+/- 5918 )",103398,"(+/- 5066 )"
Workers,Occupation,"Service occupations",54827,"(+/- 3843 )",55318,"(+/- 4157 )",47041,"(+/- 4346 )",60073,"(+/- 4970 )"
Workers,Occupation,"Sales and office occupations",77803,"(+/- 4284 )",60990,"(+/- 4094 )",68453,"(+/- 4261 )",69722,"(+/- 4097 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34683,"(+/- 2959 )",25122,"(+/- 2963 )",33488,"(+/- 3315 )",37331,"(+/- 4356 )"
Workers,Occupation,"Production, transportation, and material moving occupations",68084,"(+/- 5211 )",48619,"(+/- 3647 )",41076,"(+/- 4276 )",45003,"(+/- 4055 )"
Workers,Industry,"Civilian employed population 16 years and over",333352,"(+/- 7321 )",266011,"(+/- 6849 )",312085,"(+/- 7762 )",315527,"(+/- 6712 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4119,"(+/- 1203 )",6705,"(+/- 1172 )",9628,"(+/- 2098 )",8259,"(+/- 1694 )"
Workers,Industry,Construction,20347,"(+/- 2449 )",15631,"(+/- 2354 )",22460,"(+/- 3214 )",24656,"(+/- 3121 )"
Workers,Industry,Manufacturing,62771,"(+/- 4577 )",33094,"(+/- 2989 )",32741,"(+/- 3515 )",33649,"(+/- 3382 )"
Workers,Industry,"Wholesale trade",6577,"(+/- 1517 )",5738,"(+/- 1040 )",7821,"(+/- 1784 )",5760,"(+/- 1630 )"
Workers,Industry,"Retail trade",40010,"(+/- 3828 )",31741,"(+/- 2820 )",30019,"(+/- 3228 )",36432,"(+/- 4004 )"
Workers,Industry,"Transportation and warehousing, and utilities",25542,"(+/- 2947 )",15216,"(+/- 2072 )",16566,"(+/- 2171 )",16087,"(+/- 2665 )"
Workers,Industry,Information,4504,"(+/- 1050 )",3026,"(+/- 878 )",4257,"(+/- 1135 )",3613,"(+/- 1182 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15076,"(+/- 2285 )",8849,"(+/- 1491 )",16583,"(+/- 2317 )",15055,"(+/- 2671 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",21788,"(+/- 3345 )",19386,"(+/- 3099 )",27942,"(+/- 3124 )",23121,"(+/- 3457 )"
Workers,Industry,"Educational services, and health care and social assistance",76491,"(+/- 4741 )",68152,"(+/- 4156 )",87416,"(+/- 5024 )",71338,"(+/- 4560 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",26146,"(+/- 2550 )",26751,"(+/- 2757 )",23752,"(+/- 3276 )",45026,"(+/- 4410 )"
Workers,Industry,"Other services, except public administration",15591,"(+/- 2421 )",13001,"(+/- 1904 )",13665,"(+/- 2274 )",14487,"(+/- 2120 )"
Workers,Industry,"Public administration",14390,"(+/- 2158 )",18721,"(+/- 2310 )",19235,"(+/- 2548 )",18044,"(+/- 2929 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",333352,"(+/- 7321 )",266011,"(+/- 6849 )",312085,"(+/- 7762 )",315527,"(+/- 6712 )"
Workers,"Class of Worker","Private wage and salary workers",267603,"(+/- 6301 )",195234,"(+/- 6299 )",229644,"(+/- 7556 )",243350,"(+/- 6866 )"
Workers,"Class of Worker","Government workers",45858,"(+/- 3828 )",55571,"(+/- 4173 )",65563,"(+/- 4639 )",54488,"(+/- 5156 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19591,"(+/- 2610 )",14898,"(+/- 2407 )",16440,"(+/- 2489 )",16886,"(+/- 2278 )"
Workers,"Class of Worker","Unpaid family workers",300,"(+/- 242 )",308,"(+/- 212 )",438,"(+/- 378 )",803,"(+/- 638 )"
Housing,"Housing Occupancy","Total housing units",333581,"(+/- 1656 )",312799,"(+/- 3174 )",334747,"(+/- 3281 )",342627,"(+/- 2158 )"
Housing,"Housing Occupancy","Occupied housing units",273703,"(+/- 4413 )",255047,"(+/- 5230 )",278052,"(+/- 4810 )",285178,"(+/- 5258 )"
Housing,"Housing Occupancy","Vacant housing units",59878,"(+/- 4033 )",57752,"(+/- 4433 )",56695,"(+/- 4186 )",57449,"(+/- 5143 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.9,"(+/- 0.7 )",2.4,"(+/- 0.7 )",2.0,"(+/- 0.7 )",1.7,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",13.2,"(+/- 2.4 )",9.2,"(+/- 1.7 )",7.8,"(+/- 1.9 )",12.5,"(+/- 2.3 )"
Housing,"Housing Tenure","Occupied housing units",273703,"(+/- 4413 )",255047,"(+/- 5230 )",278052,"(+/- 4810 )",285178,"(+/- 5258 )"
Housing,"Housing Tenure",Owner-occupied,200559,"(+/- 5199 )",154815,"(+/- 4253 )",201096,"(+/- 4871 )",191585,"(+/- 6075 )"
Housing,"Housing Tenure",Renter-occupied,73144,"(+/- 3876 )",100232,"(+/- 4564 )",76956,"(+/- 4355 )",93593,"(+/- 5219 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.70,"(+/- 0.05 )",2.62,"(+/- 0.07 )",2.65,"(+/- 0.05 )",2.64,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.80,"(+/- 0.11 )",2.66,"(+/- 0.09 )",2.48,"(+/- 0.12 )",2.61,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",273703,"(+/- 4413 )",255047,"(+/- 5230 )",278052,"(+/- 4810 )",285178,"(+/- 5258 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",62343,"(+/- 3775 )",59782,"(+/- 3551 )",68636,"(+/- 4449 )",78961,"(+/- 4636 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",53732,"(+/- 3648 )",50056,"(+/- 3380 )",57651,"(+/- 3380 )",60557,"(+/- 4453 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",71638,"(+/- 3907 )",62946,"(+/- 3971 )",67897,"(+/- 3517 )",69727,"(+/- 4574 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",38470,"(+/- 3015 )",36515,"(+/- 2613 )",36523,"(+/- 3262 )",34374,"(+/- 3030 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",21605,"(+/- 1917 )",19010,"(+/- 1698 )",21326,"(+/- 2552 )",17913,"(+/- 2144 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",25915,"(+/- 2381 )",26738,"(+/- 1993 )",26019,"(+/- 2424 )",23646,"(+/- 2441 )"
Housing,Value,"Owner-occupied units",200559,"(+/- 5199 )",154815,"(+/- 4253 )",201096,"(+/- 4871 )",191585,"(+/- 6075 )"
Housing,Value,"Less than $50,000",29348,"(+/- 2384 )",35938,"(+/- 2637 )",36455,"(+/- 3208 )",25051,"(+/- 3052 )"
Housing,Value,"$50,000 to $99,999",50137,"(+/- 3467 )",47905,"(+/- 2811 )",45599,"(+/- 2929 )",43428,"(+/- 3623 )"
Housing,Value,"$100,000 to $149,999",40715,"(+/- 3029 )",28144,"(+/- 2658 )",33353,"(+/- 2569 )",35922,"(+/- 3271 )"
Housing,Value,"$150,000 to $199,999",31354,"(+/- 2751 )",16046,"(+/- 2140 )",30908,"(+/- 3200 )",37933,"(+/- 2959 )"
Housing,Value,"$200,000 to $299,999",30770,"(+/- 2767 )",16109,"(+/- 1841 )",30663,"(+/- 2770 )",30299,"(+/- 3556 )"
Housing,Value,"$300,000 to $499,999",13687,"(+/- 1675 )",7811,"(+/- 1276 )",15521,"(+/- 1762 )",14064,"(+/- 2009 )"
Housing,Value,"$500,000 to $999,999",2727,"(+/- 762 )",2164,"(+/- 793 )",7268,"(+/- 1278 )",3704,"(+/- 1043 )"
Housing,Value,"$1,000,000 or more",1821,"(+/- 764 )",698,"(+/- 362 )",1329,"(+/- 591 )",1184,"(+/- 524 )"
Housing,Value,"Median (dollars)",122700,"(+/- 3410 )",91900,"(+/- 3390 )",125100,"(+/- 5110 )",137900,"(+/- 4800 )"
Housing,"Mortgage Status","Owner-occupied units",200559,"(+/- 5199 )",154815,"(+/- 4253 )",201096,"(+/- 4871 )",191585,"(+/- 6075 )"
Housing,"Mortgage Status","Housing units with a mortgage",102873,"(+/- 4183 )",72967,"(+/- 3494 )",97324,"(+/- 4916 )",94205,"(+/- 4455 )"
Housing,"Mortgage Status","Housing units without a mortgage",97686,"(+/- 3946 )",81848,"(+/- 3539 )",103772,"(+/- 4746 )",97380,"(+/- 4890 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",102873,"(+/- 4183 )",72967,"(+/- 3494 )",97324,"(+/- 4916 )",94205,"(+/- 4455 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",4478,"(+/- 923 )",4979,"(+/- 1116 )",3536,"(+/- 1094 )",3055,"(+/- 1002 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",38961,"(+/- 3370 )",34149,"(+/- 2524 )",36279,"(+/- 3152 )",30604,"(+/- 2884 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",34593,"(+/- 2594 )",21518,"(+/- 2372 )",32544,"(+/- 3661 )",36104,"(+/- 2913 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",16096,"(+/- 1973 )",6991,"(+/- 1356 )",13787,"(+/- 1960 )",15031,"(+/- 2035 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",4578,"(+/- 1138 )",3775,"(+/- 1157 )",5726,"(+/- 1301 )",5701,"(+/- 1396 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2221,"(+/- 746 )",1025,"(+/- 538 )",3279,"(+/- 912 )",2321,"(+/- 872 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1946,"(+/- 570 )",530,"(+/- 398 )",2173,"(+/- 693 )",1389,"(+/- 551 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1092,"(+/- 28 )",969,"(+/- 23 )",1105,"(+/- 28 )",1159,"(+/- 26 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",97686,"(+/- 3946 )",81848,"(+/- 3539 )",103772,"(+/- 4746 )",97380,"(+/- 4890 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",27456,"(+/- 2520 )",25706,"(+/- 2104 )",31419,"(+/- 2876 )",29281,"(+/- 3123 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",37542,"(+/- 2995 )",29652,"(+/- 2422 )",39487,"(+/- 3377 )",33988,"(+/- 3037 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",23726,"(+/- 2854 )",18034,"(+/- 2028 )",22106,"(+/- 2437 )",24366,"(+/- 2455 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",6043,"(+/- 1197 )",5465,"(+/- 1041 )",6503,"(+/- 1591 )",5370,"(+/- 1178 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1542,"(+/- 617 )",2255,"(+/- 776 )",1990,"(+/- 626 )",2606,"(+/- 1151 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1377,"(+/- 653 )",736,"(+/- 383 )",2267,"(+/- 844 )",1769,"(+/- 758 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",333,"(+/- 8 )",326,"(+/- 10 )",320,"(+/- 10 )",331,"(+/- 12 )"
Housing,"Gross Rent","Occupied units paying rent",64318,"(+/- 3676 )",85567,"(+/- 4378 )",66188,"(+/- 3688 )",84188,"(+/- 4700 )"
