Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,Ancestry,Scottish,10833,"(+/- 1756 )",9459,"(+/- 2338 )",9857,"(+/- 2646 )"
People,Ancestry,Slovak,864,"(+/- 569 )",194,"(+/- 201 )",303,"(+/- 210 )"
People,Ancestry,"Subsaharan African",5487,"(+/- 2089 )",1744,"(+/- 733 )",1682,"(+/- 797 )"
People,Ancestry,Swedish,5190,"(+/- 1289 )",3174,"(+/- 1256 )",3875,"(+/- 1166 )"
People,Ancestry,Swiss,1411,"(+/- 550 )",196,"(+/- 176 )",1300,"(+/- 435 )"
People,Ancestry,Ukrainian,1191,"(+/- 614 )",167,"(+/- 178 )",682,"(+/- 330 )"
People,Ancestry,Welsh,5043,"(+/- 1883 )",2035,"(+/- 668 )",2076,"(+/- 897 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",664,"(+/- 450 )",309,"(+/- 225 )",696,"(+/- 488 )"
People,"Veteran Status","Civilian population 18 years and over",544214,"(+/- 5157 )",517033,"(+/- 3321 )",528713,"(+/- 4900 )"
People,"Veteran Status","Civilian veterans",49420,"(+/- 3399 )",52007,"(+/- 3438 )",46883,"(+/- 3408 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",689647,"(+/- 6980 )",677110,"(+/- 4483 )",687544,"(+/- 6317 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",103327,"(+/- 5533 )",120013,"(+/- 6160 )",99016,"(+/- 4570 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",149984,"(+/- 3109 )",174089,"(+/- 2788 )",164729,"(+/- 2830 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5939,"(+/- 1389 )",9949,"(+/- 2050 )",5456,"(+/- 1252 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",428286,"(+/- 4975 )",390055,"(+/- 3835 )",402317,"(+/- 5014 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",60038,"(+/- 4930 )",59545,"(+/- 4849 )",49681,"(+/- 3515 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",111377,"(+/- 1978 )",112966,"(+/- 2117 )",120498,"(+/- 1831 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37350,"(+/- 2399 )",50519,"(+/- 3192 )",43879,"(+/- 2300 )"
People,"Residence 1 Year Ago","Population 1 year and over",687945,"(+/- 6890 )",686266,"(+/- 4437 )",688417,"(+/- 5897 )"
People,"Residence 1 Year Ago","Same house",602486,"(+/- 9642 )",584676,"(+/- 8973 )",614398,"(+/- 8292 )"
People,"Residence 1 Year Ago","Different house in the U.S.",82700,"(+/- 8669 )",95847,"(+/- 8705 )",71933,"(+/- 6674 )"
People,"Residence 1 Year Ago","Same county",55842,"(+/- 7981 )",53778,"(+/- 6434 )",36730,"(+/- 4823 )"
People,"Residence 1 Year Ago","Different county",26858,"(+/- 3588 )",42069,"(+/- 5548 )",35203,"(+/- 4494 )"
People,"Residence 1 Year Ago","Same state",10376,"(+/- 2326 )",20408,"(+/- 3730 )",16091,"(+/- 2819 )"
People,"Residence 1 Year Ago","Different state",16482,"(+/- 2768 )",21661,"(+/- 4625 )",19112,"(+/- 3370 )"
People,"Residence 1 Year Ago",Abroad,2759,"(+/- 1023 )",5743,"(+/- 2202 )",2086,"(+/- 935 )"
Workers,"Employment Status","Population 16 years and over",563805,"(+/- 5655 )",540211,"(+/- 3882 )",550674,"(+/- 5151 )"
Workers,"Employment Status","In labor force",340691,"(+/- 7035 )",293136,"(+/- 7761 )",305718,"(+/- 6204 )"
Workers,"Employment Status","Civilian labor force",338474,"(+/- 7074 )",289852,"(+/- 7739 )",302831,"(+/- 6341 )"
Workers,"Employment Status",Employed,320719,"(+/- 7298 )",268780,"(+/- 7980 )",280593,"(+/- 6001 )"
Workers,"Employment Status",Unemployed,17755,"(+/- 2432 )",21072,"(+/- 2915 )",22238,"(+/- 2765 )"
Workers,"Employment Status","Armed Forces",2217,"(+/- 712 )",3284,"(+/- 800 )",2887,"(+/- 958 )"
Workers,"Employment Status","Not in labor force",223114,"(+/- 7159 )",247075,"(+/- 6988 )",244956,"(+/- 6445 )"
Workers,"Employment Status","Civilian labor force",338474,"(+/- 7074 )",289852,"(+/- 7739 )",302831,"(+/- 6341 )"
Workers,"Employment Status","Unemployment Rate",5.2,"(+/- 0.7 )",7.3,"(+/- 1.0 )",7.3,"(+/- 0.9 )"
Workers,"Commuting to Work","Workers 16 years and over",318944,"(+/- 7398 )",268740,"(+/- 7851 )",278888,"(+/- 6039 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",252521,"(+/- 8111 )",215258,"(+/- 7391 )",220367,"(+/- 6166 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",31330,"(+/- 3351 )",28632,"(+/- 3423 )",32117,"(+/- 3938 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",4932,"(+/- 1529 )",1564,"(+/- 1044 )",2735,"(+/- 1033 )"
Workers,"Commuting to Work",Walked,6245,"(+/- 1717 )",4549,"(+/- 1121 )",6795,"(+/- 1380 )"
Workers,"Commuting to Work","Other means",5313,"(+/- 1506 )",6379,"(+/- 1614 )",3707,"(+/- 969 )"
Workers,"Commuting to Work","Worked at home",18603,"(+/- 2573 )",12358,"(+/- 2150 )",13167,"(+/- 1647 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.0,"(+/- 0.7 )",21.2,"(+/- 0.7 )",22.5,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",320719,"(+/- 7298 )",268780,"(+/- 7980 )",280593,"(+/- 6001 )"
Workers,Occupation,"Management, business, science, and arts occupations",133483,"(+/- 5916 )",82680,"(+/- 5186 )",109454,"(+/- 4538 )"
Workers,Occupation,"Service occupations",62196,"(+/- 4900 )",62168,"(+/- 4721 )",56850,"(+/- 4011 )"
Workers,Occupation,"Sales and office occupations",77395,"(+/- 5273 )",59855,"(+/- 4921 )",63716,"(+/- 3316 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",26811,"(+/- 3709 )",33478,"(+/- 2773 )",29568,"(+/- 3082 )"
Workers,Occupation,"Production, transportation, and material moving occupations",20834,"(+/- 2834 )",30599,"(+/- 2624 )",21005,"(+/- 2503 )"
Workers,Industry,"Civilian employed population 16 years and over",320719,"(+/- 7298 )",268780,"(+/- 7980 )",280593,"(+/- 6001 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",3160,"(+/- 1238 )",15184,"(+/- 2075 )",11685,"(+/- 1780 )"
Workers,Industry,Construction,24838,"(+/- 3662 )",16624,"(+/- 2486 )",16199,"(+/- 2039 )"
Workers,Industry,Manufacturing,11911,"(+/- 1859 )",12430,"(+/- 2071 )",11599,"(+/- 2259 )"
Workers,Industry,"Wholesale trade",5686,"(+/- 1469 )",3870,"(+/- 1193 )",4464,"(+/- 1190 )"
Workers,Industry,"Retail trade",33660,"(+/- 3638 )",30692,"(+/- 3526 )",34233,"(+/- 3401 )"
Workers,Industry,"Transportation and warehousing, and utilities",10776,"(+/- 1673 )",14556,"(+/- 2523 )",10890,"(+/- 1461 )"
Workers,Industry,Information,6325,"(+/- 1608 )",4440,"(+/- 1826 )",3070,"(+/- 850 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",18492,"(+/- 2077 )",8472,"(+/- 1732 )",14697,"(+/- 2157 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",44343,"(+/- 3913 )",22718,"(+/- 2832 )",33638,"(+/- 2779 )"
Workers,Industry,"Educational services, and health care and social assistance",86500,"(+/- 5861 )",70341,"(+/- 5156 )",66095,"(+/- 3986 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36727,"(+/- 3940 )",33723,"(+/- 4138 )",33892,"(+/- 3456 )"
Workers,Industry,"Other services, except public administration",19369,"(+/- 3078 )",14576,"(+/- 2472 )",12542,"(+/- 2042 )"
Workers,Industry,"Public administration",18932,"(+/- 2212 )",21154,"(+/- 2475 )",27589,"(+/- 2591 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",320719,"(+/- 7298 )",268780,"(+/- 7980 )",280593,"(+/- 6001 )"
Workers,"Class of Worker","Private wage and salary workers",238794,"(+/- 7659 )",188545,"(+/- 6880 )",190430,"(+/- 5701 )"
Workers,"Class of Worker","Government workers",61587,"(+/- 4535 )",62074,"(+/- 4139 )",72247,"(+/- 4119 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19870,"(+/- 2479 )",17852,"(+/- 2471 )",17639,"(+/- 2482 )"
Workers,"Class of Worker","Unpaid family workers",468,"(+/- 277 )",309,"(+/- 235 )",277,"(+/- 251 )"
Housing,"Housing Occupancy","Total housing units",305319,"(+/- 2695 )",314781,"(+/- 1973 )",317876,"(+/- 2182 )"
Housing,"Housing Occupancy","Occupied housing units",272635,"(+/- 3744 )",245944,"(+/- 4418 )",249126,"(+/- 4561 )"
Housing,"Housing Occupancy","Vacant housing units",32684,"(+/- 3222 )",68837,"(+/- 3874 )",68750,"(+/- 3705 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.7,"(+/- 0.6 )",2.7,"(+/- 0.8 )",1.6,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.3,"(+/- 1.5 )",11.2,"(+/- 2.0 )",6.3,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",272635,"(+/- 3744 )",245944,"(+/- 4418 )",249126,"(+/- 4561 )"
Housing,"Housing Tenure",Owner-occupied,174899,"(+/- 4145 )",168835,"(+/- 4108 )",177716,"(+/- 4133 )"
Housing,"Housing Tenure",Renter-occupied,97736,"(+/- 3970 )",77109,"(+/- 3687 )",71410,"(+/- 3959 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.63,"(+/- 0.05 )",2.71,"(+/- 0.06 )",2.83,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.33,"(+/- 0.08 )",2.80,"(+/- 0.11 )",2.54,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",272635,"(+/- 3744 )",245944,"(+/- 4418 )",249126,"(+/- 4561 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",81319,"(+/- 4059 )",67567,"(+/- 4032 )",58138,"(+/- 4078 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",56679,"(+/- 3560 )",47995,"(+/- 3517 )",48656,"(+/- 3090 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",67736,"(+/- 2874 )",60499,"(+/- 2739 )",64759,"(+/- 3076 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",33314,"(+/- 2774 )",31905,"(+/- 2992 )",38375,"(+/- 2790 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",16977,"(+/- 1631 )",18409,"(+/- 2170 )",20073,"(+/- 1904 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",16610,"(+/- 1603 )",19569,"(+/- 2032 )",19125,"(+/- 1688 )"
Housing,Value,"Owner-occupied units",174899,"(+/- 4145 )",168835,"(+/- 4108 )",177716,"(+/- 4133 )"
Housing,Value,"Less than $50,000",10387,"(+/- 1420 )",23026,"(+/- 2189 )",21099,"(+/- 1638 )"
Housing,Value,"$50,000 to $99,999",12560,"(+/- 2346 )",35850,"(+/- 2537 )",18697,"(+/- 1961 )"
Housing,Value,"$100,000 to $149,999",30063,"(+/- 2823 )",36044,"(+/- 3170 )",24227,"(+/- 1973 )"
Housing,Value,"$150,000 to $199,999",37853,"(+/- 2549 )",31127,"(+/- 2263 )",30908,"(+/- 2495 )"
Housing,Value,"$200,000 to $299,999",43198,"(+/- 3654 )",23954,"(+/- 2687 )",40592,"(+/- 3155 )"
Housing,Value,"$300,000 to $499,999",28499,"(+/- 2107 )",14569,"(+/- 1764 )",27496,"(+/- 2027 )"
Housing,Value,"$500,000 to $999,999",10454,"(+/- 1517 )",3370,"(+/- 851 )",9629,"(+/- 1046 )"
Housing,Value,"$1,000,000 or more",1885,"(+/- 617 )",895,"(+/- 526 )",5068,"(+/- 823 )"
Housing,Value,"Median (dollars)",194700,"(+/- 4881 )",133400,"(+/- 5189 )",189500,"(+/- 4499 )"
Housing,"Mortgage Status","Owner-occupied units",174899,"(+/- 4145 )",168835,"(+/- 4108 )",177716,"(+/- 4133 )"
Housing,"Mortgage Status","Housing units with a mortgage",110423,"(+/- 4056 )",77763,"(+/- 4232 )",91460,"(+/- 4230 )"
Housing,"Mortgage Status","Housing units without a mortgage",64476,"(+/- 3502 )",91072,"(+/- 3162 )",86256,"(+/- 3286 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",110423,"(+/- 4056 )",77763,"(+/- 4232 )",91460,"(+/- 4230 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1871,"(+/- 560 )",2366,"(+/- 838 )",2248,"(+/- 832 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",26130,"(+/- 2341 )",31958,"(+/- 2815 )",21982,"(+/- 2126 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",42194,"(+/- 3149 )",27380,"(+/- 2477 )",35449,"(+/- 2922 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",23014,"(+/- 2357 )",9568,"(+/- 1772 )",17624,"(+/- 2149 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",7690,"(+/- 1237 )",3697,"(+/- 1180 )",7853,"(+/- 1353 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4097,"(+/- 930 )",1441,"(+/- 569 )",2875,"(+/- 696 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",5427,"(+/- 1143 )",1353,"(+/- 654 )",3429,"(+/- 626 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1307,"(+/- 31 )",1079,"(+/- 35 )",1308,"(+/- 31 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",64476,"(+/- 3502 )",91072,"(+/- 3162 )",86256,"(+/- 3286 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",9955,"(+/- 1573 )",31011,"(+/- 2974 )",26762,"(+/- 2275 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",23843,"(+/- 2436 )",33923,"(+/- 2743 )",28982,"(+/- 2140 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",18785,"(+/- 1858 )",19498,"(+/- 2023 )",19672,"(+/- 2032 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",7427,"(+/- 1402 )",4973,"(+/- 1215 )",6866,"(+/- 1100 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2393,"(+/- 592 )",942,"(+/- 464 )",2123,"(+/- 685 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2073,"(+/- 734 )",725,"(+/- 562 )",1851,"(+/- 552 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",392,"(+/- 10 )",307,"(+/- 11 )",330,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",93182,"(+/- 4062 )",68405,"(+/- 3637 )",62990,"(+/- 3676 )"
Housing,"Gross Rent","Less than $500",7482,"(+/- 1382 )",13963,"(+/- 2207 )",9886,"(+/- 1549 )"
Housing,"Gross Rent","$500 to $999",53897,"(+/- 3211 )",38542,"(+/- 3483 )",29304,"(+/- 2804 )"
Housing,"Gross Rent","$1,000 to $1,499",26295,"(+/- 2544 )",13114,"(+/- 2143 )",17454,"(+/- 1995 )"
Housing,"Gross Rent","$1,500 to $1,999",3665,"(+/- 890 )",2080,"(+/- 769 )",4597,"(+/- 1101 )"
Housing,"Gross Rent","$2,000 to $2,499",851,"(+/- 560 )",450,"(+/- 387 )",979,"(+/- 420 )"
Housing,"Gross Rent","$2,500 to $2,999",295,"(+/- 239 )",217,"(+/- 254 )",416,"(+/- 301 )"
Housing,"Gross Rent","$3,000 or more",697,"(+/- 385 )",39,"(+/- 67 )",354,"(+/- 286 )"
Housing,"Gross Rent","Median (dollars)",836,"(+/- 22 )",727,"(+/- 33 )",887,"(+/- 31 )"
Housing,"Gross Rent","No rent paid",4554,"(+/- 1079 )",8704,"(+/- 1637 )",8420,"(+/- 1325 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",272635,"(+/- 3744 )",245944,"(+/- 4418 )",249126,"(+/- 4561 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",22439,"(+/- 2893 )",26006,"(+/- 2436 )",25970,"(+/- 2591 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",14853,"(+/- 2551 )",15371,"(+/- 1854 )",14048,"(+/- 1854 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",29701,"(+/- 2839 )",32605,"(+/- 2995 )",26849,"(+/- 2403 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",30857,"(+/- 3065 )",30174,"(+/- 2746 )",29121,"(+/- 2530 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",37943,"(+/- 2778 )",35294,"(+/- 3159 )",33275,"(+/- 2590 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",46681,"(+/- 3791 )",43914,"(+/- 3475 )",42100,"(+/- 3346 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",31468,"(+/- 3177 )",23500,"(+/- 2409 )",28386,"(+/- 2283 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",34317,"(+/- 2799 )",26406,"(+/- 2683 )",28844,"(+/- 2647 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",13726,"(+/- 1844 )",7099,"(+/- 1292 )",10953,"(+/- 1569 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",10650,"(+/- 1570 )",5575,"(+/- 1181 )",9580,"(+/- 1450 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",50159,"(+/- 1674 )",42507,"(+/- 1557 )",47325,"(+/- 2030 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",68454,"(+/- 2123 )",58341,"(+/- 2247 )",66572,"(+/- 2332 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",689647,"(+/- 6980 )",677110,"(+/- 4483 )",687544,"(+/- 6317 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",638848,"(+/- 7352 )",615481,"(+/- 7718 )",612976,"(+/- 6740 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",411083,"(+/- 11671 )",342650,"(+/- 12130 )",364809,"(+/- 9731 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",309603,"(+/- 10348 )",365559,"(+/- 9470 )",336006,"(+/- 9579 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",50799,"(+/- 5804 )",61629,"(+/- 6642 )",74568,"(+/- 5021 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",159318,"(+/- 3693 )",188689,"(+/- 3957 )",174813,"(+/- 3330 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",4304,"(+/- 1494 )",9605,"(+/- 2339 )",12545,"(+/- 2070 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",11.3,"(+/- 1.3 )",17.0,"(+/- 1.5 )",17.1,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",16.6,"(+/- 2.4 )",26.4,"(+/- 2.8 )",25.7,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",15.9,"(+/- 5.3 )",29.5,"(+/- 8.1 )",25.9,"(+/- 6.5 )"
