Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","45 to 54 years",103876,"(+/- 2726 )",95336,"(+/- 4686 )",94673,"(+/- 5624 )",109951,"(+/- 3962 )",114866,"(+/- 4482 )",116429,"(+/- 3861 )",103117,"(+/- 4165 )",106294,"(+/- 3973 )"
People,"Sex and Age","55 to 59 years",56848,"(+/- 2980 )",51069,"(+/- 3695 )",53470,"(+/- 3812 )",51042,"(+/- 3035 )",55727,"(+/- 3255 )",57891,"(+/- 2783 )",48962,"(+/- 3373 )",53476,"(+/- 2885 )"
People,"Sex and Age","60 to 64 years",51813,"(+/- 3176 )",48143,"(+/- 2549 )",48430,"(+/- 3150 )",46429,"(+/- 2754 )",46275,"(+/- 3028 )",44847,"(+/- 2520 )",46590,"(+/- 4000 )",49657,"(+/- 3039 )"
People,"Sex and Age","65 to 74 years",78504,"(+/- 2240 )",61263,"(+/- 3519 )",61273,"(+/- 3597 )",63651,"(+/- 2842 )",64370,"(+/- 2890 )",65400,"(+/- 2814 )",67165,"(+/- 3341 )",71269,"(+/- 2760 )"
People,"Sex and Age","75 to 84 years",41755,"(+/- 2017 )",27223,"(+/- 2384 )",33994,"(+/- 2497 )",29319,"(+/- 2081 )",28211,"(+/- 1941 )",32397,"(+/- 2468 )",30238,"(+/- 1867 )",37476,"(+/- 2500 )"
People,"Sex and Age","85 years and over",14937,"(+/- 1743 )",11353,"(+/- 1820 )",17560,"(+/- 2169 )",10788,"(+/- 1280 )",9913,"(+/- 1280 )",13649,"(+/- 1609 )",14466,"(+/- 1770 )",16412,"(+/- 1706 )"
People,"Sex and Age","Median age (years)",42.6,"(+/- 0.7 )",36.3,"(+/- 0.7 )",37.3,"(+/- 0.7 )",38.1,"(+/- 0.5 )",38.2,"(+/- 0.6 )",38.9,"(+/- 0.5 )",38.9,"(+/- 0.7 )",40.4,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",577806,"(+/- 6515 )",586927,"(+/- 13774 )",604528,"(+/- 15542 )",585780,"(+/- 10309 )",593324,"(+/- 10096 )",601204,"(+/- 8626 )",564731,"(+/- 11696 )",590927,"(+/- 10508 )"
People,"Sex and Age","65 years and over",135196,"(+/- 3075 )",99839,"(+/- 4714 )",112827,"(+/- 4833 )",103758,"(+/- 3359 )",102494,"(+/- 3291 )",111446,"(+/- 3516 )",111869,"(+/- 4056 )",125157,"(+/- 3263 )"
People,Race,"Total population",734002,"(+/- 8764 )",765155,"(+/- 19018 )",763763,"(+/- 21654 )",761353,"(+/- 13202 )",768507,"(+/- 12763 )",779616,"(+/- 11292 )",718158,"(+/- 15199 )",761623,"(+/- 14759 )"
People,Race,"One race",713829,"(+/- 9123 )",735735,"(+/- 19287 )",737515,"(+/- 22146 )",739205,"(+/- 13401 )",738784,"(+/- 13035 )",747504,"(+/- 13343 )",698492,"(+/- 15563 )",735797,"(+/- 15508 )"
People,Race,White,602375,"(+/- 8856 )",401242,"(+/- 13194 )",460835,"(+/- 14448 )",224640,"(+/- 8992 )",371366,"(+/- 6399 )",503747,"(+/- 10815 )",258085,"(+/- 8896 )",500193,"(+/- 11769 )"
People,Race,"Black or African American",88318,"(+/- 4165 )",270602,"(+/- 12369 )",179605,"(+/- 11771 )",391377,"(+/- 11483 )",296695,"(+/- 12097 )",98677,"(+/- 8026 )",378297,"(+/- 12434 )",103102,"(+/- 7243 )"
People,Race,"American Indian and Alaska Native",1398,"(+/- 626 )",1749,"(+/- 703 )",2044,"(+/- 922 )",2881,"(+/- 1644 )",2452,"(+/- 926 )",2429,"(+/- 947 )",3371,"(+/- 1924 )",2607,"(+/- 1047 )"
People,Race,Asian,13549,"(+/- 2363 )",44653,"(+/- 4647 )",67218,"(+/- 6167 )",24735,"(+/- 2846 )",31237,"(+/- 2715 )",92639,"(+/- 5575 )",53264,"(+/- 4757 )",64033,"(+/- 5753 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 203 )",437,"(+/- 479 )",228,"(+/- 290 )",272,"(+/- 254 )",625,"(+/- 481 )",371,"(+/- 200 )",63,"(+/- 104 )",147,"(+/- 189 )"
People,Race,"Some other race",8189,"(+/- 2357 )",17052,"(+/- 5151 )",27585,"(+/- 5777 )",95300,"(+/- 7160 )",36409,"(+/- 6113 )",49641,"(+/- 8581 )",5412,"(+/- 1836 )",65715,"(+/- 8208 )"
People,Race,"Two or more races",20173,"(+/- 2974 )",29420,"(+/- 4585 )",26248,"(+/- 3777 )",22148,"(+/- 3635 )",29723,"(+/- 4246 )",32112,"(+/- 4748 )",19666,"(+/- 3199 )",25826,"(+/- 3530 )"
People,"Hispanic or Latino and Race","Total population",734002,"(+/- 8764 )",765155,"(+/- 19018 )",763763,"(+/- 21654 )",761353,"(+/- 13202 )",768507,"(+/- 12763 )",779616,"(+/- 11292 )",718158,"(+/- 15199 )",761623,"(+/- 14759 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",30289,"(+/- 1921 )",61019,"(+/- 7738 )",65905,"(+/- 7980 )",126595,"(+/- 7397 )",74472,"(+/- 6249 )",117801,"(+/- 8121 )",25334,"(+/- 4608 )",111294,"(+/- 9136 )"
People,"Hispanic or Latino and Race",Mexican,7847,"(+/- 2240 )",14659,"(+/- 4182 )",12471,"(+/- 4109 )",15233,"(+/- 4481 )",15578,"(+/- 3497 )",12998,"(+/- 4578 )",6302,"(+/- 2818 )",11125,"(+/- 2838 )"
People,"Hispanic or Latino and Race","Puerto Rican",6733,"(+/- 2381 )",8216,"(+/- 2127 )",6391,"(+/- 2284 )",4047,"(+/- 1608 )",7637,"(+/- 2018 )",9450,"(+/- 3327 )",4135,"(+/- 1895 )",5419,"(+/- 1757 )"
People,"Hispanic or Latino and Race",Cuban,1783,"(+/- 954 )",2533,"(+/- 1779 )",1601,"(+/- 793 )",990,"(+/- 592 )",2085,"(+/- 1249 )",2310,"(+/- 900 )",980,"(+/- 600 )",3289,"(+/- 1283 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",13926,"(+/- 2239 )",35611,"(+/- 7035 )",45442,"(+/- 7255 )",106325,"(+/- 7788 )",49172,"(+/- 6665 )",93043,"(+/- 8950 )",13917,"(+/- 2835 )",91461,"(+/- 9610 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",703713,"(+/- 8563 )",704136,"(+/- 18540 )",697858,"(+/- 19422 )",634758,"(+/- 13678 )",694035,"(+/- 12374 )",661815,"(+/- 9057 )",692824,"(+/- 15494 )",650329,"(+/- 12044 )"
People,"Place of Birth","Total population",734002,"(+/- 8764 )",765155,"(+/- 19018 )",763763,"(+/- 21654 )",761353,"(+/- 13202 )",768507,"(+/- 12763 )",779616,"(+/- 11292 )",718158,"(+/- 15199 )",761623,"(+/- 14759 )"
People,"Place of Birth",Native,694209,"(+/- 9831 )",669343,"(+/- 18894 )",629168,"(+/- 17991 )",621859,"(+/- 12904 )",668598,"(+/- 11810 )",622342,"(+/- 9856 )",633378,"(+/- 14161 )",585344,"(+/- 11443 )"
People,"Place of Birth","Born in United States",686269,"(+/- 9707 )",658271,"(+/- 18705 )",615282,"(+/- 17536 )",611873,"(+/- 12931 )",655306,"(+/- 11705 )",609552,"(+/- 10027 )",623564,"(+/- 14697 )",573891,"(+/- 11222 )"
People,"Place of Birth","State of residence",465805,"(+/- 10612 )",475159,"(+/- 14643 )",357836,"(+/- 13289 )",237188,"(+/- 8837 )",295088,"(+/- 10249 )",340186,"(+/- 8581 )",433201,"(+/- 14788 )",249447,"(+/- 7471 )"
People,"Place of Birth","Different state",220464,"(+/- 6916 )",183112,"(+/- 10107 )",257446,"(+/- 10959 )",374685,"(+/- 11075 )",360218,"(+/- 12297 )",269366,"(+/- 8306 )",190363,"(+/- 7791 )",324444,"(+/- 9276 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7940,"(+/- 1769 )",11072,"(+/- 1879 )",13886,"(+/- 2154 )",9986,"(+/- 1983 )",13292,"(+/- 2317 )",12790,"(+/- 2077 )",9814,"(+/- 1807 )",11453,"(+/- 1338 )"
People,"Place of Birth","Foreign born",39793,"(+/- 4667 )",95812,"(+/- 8625 )",134595,"(+/- 10076 )",139494,"(+/- 8397 )",99909,"(+/- 6904 )",157274,"(+/- 9109 )",84780,"(+/- 6815 )",176279,"(+/- 8613 )"
People,Ancestry,"Total population",734002,"(+/- 8764 )",765155,"(+/- 19018 )",763763,"(+/- 21654 )",761353,"(+/- 13202 )",768507,"(+/- 12763 )",779616,"(+/- 11292 )",718158,"(+/- 15199 )",761623,"(+/- 14759 )"
People,Ancestry,American,65174,"(+/- 6009 )",29525,"(+/- 4374 )",32348,"(+/- 4043 )",32104,"(+/- 5456 )",35592,"(+/- 4718 )",39112,"(+/- 4751 )",23641,"(+/- 4689 )",37845,"(+/- 3860 )"
People,Ancestry,Arab,2972,"(+/- 1315 )",4171,"(+/- 2122 )",3178,"(+/- 1568 )",1314,"(+/- 758 )",2763,"(+/- 1443 )",5810,"(+/- 1861 )",3935,"(+/- 1536 )",5008,"(+/- 1468 )"
People,Ancestry,Czech,4754,"(+/- 1756 )",2415,"(+/- 795 )",2762,"(+/- 813 )",1068,"(+/- 397 )",1730,"(+/- 713 )",1168,"(+/- 503 )",1903,"(+/- 886 )",1928,"(+/- 856 )"
People,Ancestry,Danish,1333,"(+/- 644 )",1355,"(+/- 752 )",827,"(+/- 455 )",350,"(+/- 270 )",840,"(+/- 342 )",666,"(+/- 379 )",779,"(+/- 397 )",2959,"(+/- 1476 )"
People,Ancestry,Dutch,7324,"(+/- 1359 )",5078,"(+/- 1492 )",5315,"(+/- 1085 )",4448,"(+/- 1631 )",4741,"(+/- 1479 )",7113,"(+/- 1453 )",3021,"(+/- 906 )",5389,"(+/- 1083 )"
People,Ancestry,English,81994,"(+/- 6353 )",44232,"(+/- 4126 )",56411,"(+/- 5004 )",32206,"(+/- 4379 )",55017,"(+/- 5083 )",54913,"(+/- 5062 )",32877,"(+/- 3280 )",56718,"(+/- 4214 )"
People,Ancestry,"French (except Basque)",11246,"(+/- 1617 )",9629,"(+/- 1960 )",13833,"(+/- 3197 )",6830,"(+/- 2006 )",12935,"(+/- 2622 )",11403,"(+/- 2058 )",9013,"(+/- 1842 )",16264,"(+/- 2470 )"
People,Ancestry,"French Canadian",2529,"(+/- 1032 )",1205,"(+/- 501 )",2827,"(+/- 1269 )",1432,"(+/- 618 )",2113,"(+/- 893 )",2944,"(+/- 1152 )",1832,"(+/- 701 )",3217,"(+/- 720 )"
People,Ancestry,German,151421,"(+/- 10132 )",105219,"(+/- 7284 )",107501,"(+/- 7603 )",45279,"(+/- 4968 )",63138,"(+/- 5072 )",114784,"(+/- 5979 )",66786,"(+/- 4639 )",103379,"(+/- 5692 )"
People,Ancestry,Greek,6155,"(+/- 1699 )",3230,"(+/- 1074 )",4688,"(+/- 1338 )",2167,"(+/- 899 )",2673,"(+/- 1258 )",4081,"(+/- 1250 )",3076,"(+/- 1194 )",6320,"(+/- 1966 )"
People,Ancestry,Hungarian,4131,"(+/- 1240 )",2049,"(+/- 1004 )",3030,"(+/- 1105 )",788,"(+/- 413 )",2481,"(+/- 829 )",4189,"(+/- 1289 )",1675,"(+/- 522 )",3439,"(+/- 760 )"
People,Ancestry,Irish,118676,"(+/- 7164 )",83405,"(+/- 7290 )",82155,"(+/- 6925 )",44675,"(+/- 5350 )",66251,"(+/- 6566 )",74098,"(+/- 5070 )",47733,"(+/- 4042 )",83969,"(+/- 5701 )"
People,Ancestry,Italian,57221,"(+/- 5629 )",37772,"(+/- 4108 )",49294,"(+/- 5588 )",24852,"(+/- 4214 )",32155,"(+/- 5016 )",37397,"(+/- 3611 )",26945,"(+/- 3202 )",39846,"(+/- 4077 )"
People,Ancestry,Lithuanian,1942,"(+/- 694 )",1558,"(+/- 715 )",3850,"(+/- 1534 )",1144,"(+/- 743 )",1111,"(+/- 553 )",1314,"(+/- 473 )",1110,"(+/- 388 )",4032,"(+/- 1290 )"
People,Ancestry,Norwegian,4057,"(+/- 1345 )",2169,"(+/- 907 )",2318,"(+/- 934 )",1293,"(+/- 562 )",3531,"(+/- 1267 )",3458,"(+/- 1252 )",2383,"(+/- 652 )",4782,"(+/- 1055 )"
People,Ancestry,Polish,32586,"(+/- 3943 )",29936,"(+/- 3702 )",29437,"(+/- 3215 )",10016,"(+/- 2299 )",12153,"(+/- 2313 )",17170,"(+/- 2413 )",14232,"(+/- 2258 )",24727,"(+/- 3046 )"
People,Ancestry,Portuguese,1328,"(+/- 749 )",855,"(+/- 545 )",1950,"(+/- 1101 )",800,"(+/- 722 )",2033,"(+/- 806 )",2990,"(+/- 1498 )",533,"(+/- 320 )",2748,"(+/- 1196 )"
People,Ancestry,Russian,6003,"(+/- 1596 )",5510,"(+/- 1308 )",16287,"(+/- 2466 )",2639,"(+/- 933 )",3168,"(+/- 909 )",9223,"(+/- 1687 )",5680,"(+/- 1471 )",17222,"(+/- 2621 )"
People,Ancestry,Scotch-Irish,8670,"(+/- 1657 )",3229,"(+/- 919 )",6288,"(+/- 1634 )",2327,"(+/- 861 )",4487,"(+/- 1027 )",6374,"(+/- 1381 )",3803,"(+/- 1222 )",6752,"(+/- 1077 )"
People,Ancestry,Scottish,17849,"(+/- 2997 )",8352,"(+/- 1461 )",13578,"(+/- 2457 )",5866,"(+/- 1677 )",9630,"(+/- 1691 )",15175,"(+/- 2287 )",8450,"(+/- 1801 )",14888,"(+/- 2148 )"
People,Ancestry,Slovak,1743,"(+/- 594 )",1145,"(+/- 721 )",1001,"(+/- 598 )",1321,"(+/- 687 )",1067,"(+/- 576 )",1405,"(+/- 891 )",994,"(+/- 447 )",2684,"(+/- 808 )"
People,Ancestry,"Subsaharan African",7087,"(+/- 2236 )",46299,"(+/- 7704 )",37022,"(+/- 7690 )",46271,"(+/- 7295 )",31871,"(+/- 6574 )",22527,"(+/- 4891 )",44527,"(+/- 8747 )",33157,"(+/- 5228 )"
People,Ancestry,Swedish,5112,"(+/- 1231 )",2030,"(+/- 841 )",4170,"(+/- 1189 )",3012,"(+/- 1094 )",4478,"(+/- 1677 )",4149,"(+/- 946 )",3997,"(+/- 1542 )",6540,"(+/- 1412 )"
People,Ancestry,Swiss,1284,"(+/- 511 )",459,"(+/- 343 )",1538,"(+/- 697 )",428,"(+/- 240 )",1482,"(+/- 800 )",1968,"(+/- 915 )",1775,"(+/- 916 )",3283,"(+/- 998 )"
People,Ancestry,Ukrainian,2991,"(+/- 888 )",2997,"(+/- 1052 )",4597,"(+/- 1333 )",1947,"(+/- 882 )",1898,"(+/- 978 )",2641,"(+/- 868 )",1748,"(+/- 767 )",3574,"(+/- 987 )"
People,Ancestry,Welsh,8200,"(+/- 2412 )",5356,"(+/- 1090 )",3795,"(+/- 1223 )",2356,"(+/- 1032 )",2663,"(+/- 1040 )",5613,"(+/- 1484 )",2888,"(+/- 955 )",5300,"(+/- 1882 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5415,"(+/- 2613 )",12147,"(+/- 3123 )",12487,"(+/- 4361 )",17807,"(+/- 3921 )",15799,"(+/- 4205 )",9094,"(+/- 3300 )",13474,"(+/- 3940 )",9503,"(+/- 1788 )"
People,"Veteran Status","Civilian population 18 years and over",576991,"(+/- 6464 )",580342,"(+/- 14042 )",601882,"(+/- 15638 )",581857,"(+/- 10301 )",586620,"(+/- 10178 )",599663,"(+/- 8687 )",563757,"(+/- 11752 )",588273,"(+/- 10482 )"
People,"Veteran Status","Civilian veterans",51770,"(+/- 3282 )",45196,"(+/- 3210 )",47625,"(+/- 4117 )",45886,"(+/- 3654 )",65746,"(+/- 4169 )",41250,"(+/- 3302 )",36961,"(+/- 2721 )",35411,"(+/- 2677 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",723725,"(+/- 8819 )",743461,"(+/- 19269 )",757472,"(+/- 21819 )",753917,"(+/- 13274 )",756789,"(+/- 12933 )",761503,"(+/- 11524 )",707791,"(+/- 15178 )",753213,"(+/- 14356 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",92327,"(+/- 4460 )",82347,"(+/- 5266 )",81977,"(+/- 4952 )",76267,"(+/- 4639 )",77146,"(+/- 4835 )",83718,"(+/- 4513 )",96930,"(+/- 5908 )",69431,"(+/- 4576 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",155992,"(+/- 3979 )",177868,"(+/- 8576 )",159026,"(+/- 9225 )",175503,"(+/- 6005 )",175083,"(+/- 5110 )",177906,"(+/- 6013 )",152992,"(+/- 6838 )",170616,"(+/- 6986 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7274,"(+/- 1332 )",7402,"(+/- 1615 )",7680,"(+/- 1794 )",4315,"(+/- 1055 )",6723,"(+/- 1631 )",5274,"(+/- 1133 )",6936,"(+/- 1921 )",5403,"(+/- 1121 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",435631,"(+/- 6067 )",469416,"(+/- 12322 )",487914,"(+/- 14523 )",476458,"(+/- 9544 )",481898,"(+/- 9382 )",475837,"(+/- 8059 )",446487,"(+/- 11379 )",460790,"(+/- 10091 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43690,"(+/- 3767 )",45918,"(+/- 3843 )",37849,"(+/- 3193 )",39512,"(+/- 3587 )",40322,"(+/- 3986 )",44571,"(+/- 3749 )",53152,"(+/- 4462 )",30447,"(+/- 3096 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",132102,"(+/- 3101 )",96177,"(+/- 4441 )",110532,"(+/- 4854 )",101956,"(+/- 3256 )",99808,"(+/- 3201 )",107760,"(+/- 3475 )",108312,"(+/- 3915 )",121807,"(+/- 3233 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41363,"(+/- 2627 )",29027,"(+/- 2489 )",36448,"(+/- 3056 )",32440,"(+/- 2224 )",30101,"(+/- 2223 )",33873,"(+/- 2404 )",36842,"(+/- 2574 )",33581,"(+/- 2625 )"
People,"Residence 1 Year Ago","Population 1 year and over",727437,"(+/- 8496 )",755684,"(+/- 18865 )",753475,"(+/- 21593 )",753001,"(+/- 13066 )",760614,"(+/- 12646 )",772324,"(+/- 11357 )",712336,"(+/- 15057 )",753136,"(+/- 14456 )"
People,"Residence 1 Year Ago","Same house",641884,"(+/- 11723 )",648476,"(+/- 19273 )",647211,"(+/- 20275 )",643147,"(+/- 14785 )",663297,"(+/- 13404 )",656730,"(+/- 14268 )",624006,"(+/- 14997 )",643599,"(+/- 14699 )"
People,"Residence 1 Year Ago","Different house in the U.S.",83848,"(+/- 7284 )",102198,"(+/- 9642 )",98529,"(+/- 8908 )",104078,"(+/- 8840 )",91349,"(+/- 7674 )",109050,"(+/- 8240 )",85980,"(+/- 8519 )",96507,"(+/- 8174 )"
People,"Residence 1 Year Ago","Same county",49443,"(+/- 5931 )",57047,"(+/- 7882 )",56521,"(+/- 7662 )",59123,"(+/- 6856 )",42680,"(+/- 6903 )",69014,"(+/- 7288 )",52857,"(+/- 6438 )",53888,"(+/- 6931 )"
People,"Residence 1 Year Ago","Different county",34405,"(+/- 4312 )",45151,"(+/- 5083 )",42008,"(+/- 4735 )",44955,"(+/- 6246 )",48669,"(+/- 5525 )",40036,"(+/- 5000 )",33123,"(+/- 4503 )",42619,"(+/- 5043 )"
People,"Residence 1 Year Ago","Same state",22270,"(+/- 3109 )",26003,"(+/- 4013 )",21782,"(+/- 3646 )",15239,"(+/- 3767 )",28376,"(+/- 4048 )",17384,"(+/- 3431 )",20904,"(+/- 4009 )",13354,"(+/- 3270 )"
People,"Residence 1 Year Ago","Different state",12135,"(+/- 2681 )",19148,"(+/- 4052 )",20226,"(+/- 3668 )",29716,"(+/- 4937 )",20293,"(+/- 3845 )",22652,"(+/- 3887 )",12219,"(+/- 2306 )",29265,"(+/- 3591 )"
People,"Residence 1 Year Ago",Abroad,1705,"(+/- 794 )",5010,"(+/- 2185 )",7735,"(+/- 2690 )",5776,"(+/- 1939 )",5968,"(+/- 1927 )",6544,"(+/- 1957 )",2350,"(+/- 792 )",13030,"(+/- 3179 )"
Workers,"Employment Status","Population 16 years and over",597318,"(+/- 7120 )",603020,"(+/- 14570 )",620996,"(+/- 16214 )",604707,"(+/- 10890 )",613857,"(+/- 10506 )",622561,"(+/- 8679 )",584186,"(+/- 12051 )",608729,"(+/- 10704 )"
Workers,"Employment Status","In labor force",388213,"(+/- 8052 )",409659,"(+/- 12547 )",429299,"(+/- 12402 )",438012,"(+/- 9692 )",420400,"(+/- 10180 )",419035,"(+/- 8718 )",364278,"(+/- 10048 )",425547,"(+/- 9700 )"
Workers,"Employment Status","Civilian labor force",387398,"(+/- 7963 )",403074,"(+/- 12733 )",426653,"(+/- 12388 )",434089,"(+/- 9742 )",413696,"(+/- 10298 )",417494,"(+/- 8835 )",363304,"(+/- 10054 )",422893,"(+/- 9672 )"
Workers,"Employment Status",Employed,364053,"(+/- 7297 )",379272,"(+/- 11862 )",408160,"(+/- 11830 )",408307,"(+/- 9383 )",396662,"(+/- 10217 )",396177,"(+/- 8855 )",340919,"(+/- 9763 )",404632,"(+/- 9736 )"
Workers,"Employment Status",Unemployed,23345,"(+/- 2476 )",23802,"(+/- 3425 )",18493,"(+/- 2488 )",25782,"(+/- 2812 )",17034,"(+/- 2400 )",21317,"(+/- 2292 )",22385,"(+/- 2641 )",18261,"(+/- 2698 )"
Workers,"Employment Status","Armed Forces",815,"(+/- 416 )",6585,"(+/- 1496 )",2646,"(+/- 802 )",3923,"(+/- 1145 )",6704,"(+/- 1454 )",1541,"(+/- 651 )",974,"(+/- 494 )",2654,"(+/- 1011 )"
Workers,"Employment Status","Not in labor force",209105,"(+/- 5918 )",193361,"(+/- 8475 )",191697,"(+/- 8133 )",166695,"(+/- 5839 )",193457,"(+/- 6599 )",203526,"(+/- 5808 )",219908,"(+/- 7798 )",183182,"(+/- 5916 )"
Workers,"Employment Status","Civilian labor force",387398,"(+/- 7963 )",403074,"(+/- 12733 )",426653,"(+/- 12388 )",434089,"(+/- 9742 )",413696,"(+/- 10298 )",417494,"(+/- 8835 )",363304,"(+/- 10054 )",422893,"(+/- 9672 )"
Workers,"Employment Status","Unemployment Rate",6.0,"(+/- 0.6 )",5.9,"(+/- 0.8 )",4.3,"(+/- 0.6 )",5.9,"(+/- 0.6 )",4.1,"(+/- 0.6 )",5.1,"(+/- 0.5 )",6.2,"(+/- 0.7 )",4.3,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",358553,"(+/- 7127 )",378213,"(+/- 11469 )",401506,"(+/- 11876 )",403481,"(+/- 9164 )",396275,"(+/- 10247 )",389873,"(+/- 8739 )",334628,"(+/- 9738 )",398911,"(+/- 9600 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",293440,"(+/- 7442 )",285538,"(+/- 10041 )",308283,"(+/- 10261 )",283883,"(+/- 7807 )",303356,"(+/- 8388 )",294536,"(+/- 7746 )",225782,"(+/- 8292 )",262836,"(+/- 8370 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",30872,"(+/- 3358 )",35897,"(+/- 3805 )",31222,"(+/- 3554 )",44096,"(+/- 4488 )",33975,"(+/- 3779 )",41790,"(+/- 3438 )",25952,"(+/- 3229 )",34917,"(+/- 3481 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",3450,"(+/- 1042 )",29441,"(+/- 3385 )",23817,"(+/- 2633 )",49451,"(+/- 3454 )",28971,"(+/- 3183 )",23029,"(+/- 2701 )",44651,"(+/- 4198 )",56594,"(+/- 4332 )"
Workers,"Commuting to Work",Walked,5028,"(+/- 1562 )",7301,"(+/- 1645 )",10296,"(+/- 1532 )",5279,"(+/- 1436 )",7771,"(+/- 1395 )",6462,"(+/- 1355 )",13322,"(+/- 1960 )",10136,"(+/- 1729 )"
Workers,"Commuting to Work","Other means",5457,"(+/- 1746 )",6916,"(+/- 1678 )",8018,"(+/- 1735 )",6175,"(+/- 1423 )",5644,"(+/- 1291 )",3717,"(+/- 1065 )",6192,"(+/- 1246 )",8268,"(+/- 1360 )"
Workers,"Commuting to Work","Worked at home",20306,"(+/- 2141 )",13120,"(+/- 2467 )",19870,"(+/- 2856 )",14597,"(+/- 1750 )",16558,"(+/- 2191 )",20339,"(+/- 2291 )",18729,"(+/- 2720 )",26160,"(+/- 2390 )"
