Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,Race,"Black or African American",65562,"(+/- 2633 )",8640,"(+/- 1463 )",6490,"(+/- 1396 )",11150,"(+/- 1635 )",45490,"(+/- 4017 )",77076,"(+/- 3084 )",15028,"(+/- 2364 )"
People,Race,"American Indian and Alaska Native",8013,"(+/- 1820 )",5239,"(+/- 1758 )",18248,"(+/- 2388 )",4645,"(+/- 1110 )",8137,"(+/- 1919 )",5241,"(+/- 1811 )",7269,"(+/- 1806 )"
People,Race,Asian,29130,"(+/- 1590 )",25229,"(+/- 2134 )",6488,"(+/- 1795 )",18527,"(+/- 2035 )",18823,"(+/- 1798 )",53314,"(+/- 2922 )",27740,"(+/- 2627 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1325,"(+/- 907 )",915,"(+/- 726 )",965,"(+/- 756 )",680,"(+/- 256 )",3077,"(+/- 997 )",1304,"(+/- 256 )",134,"(+/- 159 )"
People,Race,"Some other race",51959,"(+/- 6270 )",8656,"(+/- 2445 )",34778,"(+/- 5179 )",24943,"(+/- 3599 )",32859,"(+/- 6097 )",43708,"(+/- 5468 )",22286,"(+/- 4088 )"
People,Race,"Two or more races",26838,"(+/- 3885 )",21775,"(+/- 3064 )",19135,"(+/- 2594 )",23506,"(+/- 2536 )",43937,"(+/- 4757 )",33162,"(+/- 3942 )",25238,"(+/- 3542 )"
People,"Hispanic or Latino and Race","Total population",826995,"(+/- 4639 )",799734,"(+/- 6345 )",749478,"(+/- 4774 )",817251,"(+/- 5536 )",799622,"(+/- 1989 )",814636,"(+/- 7115 )",799438,"(+/- 5982 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",227156,"(+/- 3363 )",85774,"(+/- 4826 )",183064,"(+/- 3191 )",180845,"(+/- 4579 )",130883,"(+/- 1124 )",164284,"(+/- 5716 )",234718,"(+/- 5658 )"
People,"Hispanic or Latino and Race",Mexican,178424,"(+/- 5666 )",59574,"(+/- 5394 )",121319,"(+/- 6088 )",136147,"(+/- 6350 )",83771,"(+/- 5383 )",116779,"(+/- 7198 )",186818,"(+/- 7017 )"
People,"Hispanic or Latino and Race","Puerto Rican",5406,"(+/- 1860 )",3474,"(+/- 1111 )",3184,"(+/- 1536 )",3190,"(+/- 907 )",12386,"(+/- 2841 )",5770,"(+/- 2219 )",2462,"(+/- 857 )"
People,"Hispanic or Latino and Race",Cuban,3757,"(+/- 1769 )",1815,"(+/- 856 )",1646,"(+/- 983 )",956,"(+/- 534 )",2286,"(+/- 1543 )",2108,"(+/- 1344 )",3299,"(+/- 2201 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",39569,"(+/- 4532 )",20911,"(+/- 3510 )",56915,"(+/- 5383 )",40552,"(+/- 5616 )",32440,"(+/- 5029 )",39627,"(+/- 5647 )",42139,"(+/- 5747 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",599839,"(+/- 4580 )",713960,"(+/- 7671 )",566414,"(+/- 3891 )",636406,"(+/- 6116 )",668739,"(+/- 2274 )",650352,"(+/- 7486 )",564720,"(+/- 6749 )"
People,"Place of Birth","Total population",826995,"(+/- 4639 )",799734,"(+/- 6345 )",749478,"(+/- 4774 )",817251,"(+/- 5536 )",799622,"(+/- 1989 )",814636,"(+/- 7115 )",799438,"(+/- 5982 )"
People,"Place of Birth",Native,714545,"(+/- 8069 )",741560,"(+/- 7583 )",702374,"(+/- 5818 )",748492,"(+/- 6643 )",749943,"(+/- 4520 )",684928,"(+/- 9615 )",714544,"(+/- 7867 )"
People,"Place of Birth","Born in United States",702169,"(+/- 8394 )",729501,"(+/- 7565 )",695313,"(+/- 5691 )",737012,"(+/- 7124 )",722959,"(+/- 5557 )",673673,"(+/- 9467 )",705849,"(+/- 7708 )"
People,"Place of Birth","State of residence",333038,"(+/- 8909 )",280719,"(+/- 7495 )",366622,"(+/- 8435 )",391082,"(+/- 9986 )",258189,"(+/- 8430 )",334742,"(+/- 8959 )",395830,"(+/- 10650 )"
People,"Place of Birth","Different state",369131,"(+/- 9209 )",448782,"(+/- 9007 )",328691,"(+/- 8817 )",345930,"(+/- 8771 )",464770,"(+/- 9673 )",338931,"(+/- 9171 )",310019,"(+/- 8440 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",12376,"(+/- 2377 )",12059,"(+/- 1583 )",7061,"(+/- 1359 )",11480,"(+/- 2471 )",26984,"(+/- 3104 )",11255,"(+/- 1925 )",8695,"(+/- 1688 )"
People,"Place of Birth","Foreign born",112450,"(+/- 6395 )",58174,"(+/- 4329 )",47104,"(+/- 4476 )",68759,"(+/- 4812 )",49679,"(+/- 4234 )",129708,"(+/- 6416 )",84894,"(+/- 7041 )"
People,Ancestry,"Total population",826995,"(+/- 4639 )",799734,"(+/- 6345 )",749478,"(+/- 4774 )",817251,"(+/- 5536 )",799622,"(+/- 1989 )",814636,"(+/- 7115 )",799438,"(+/- 5982 )"
People,Ancestry,American,24230,"(+/- 3258 )",26014,"(+/- 3240 )",35367,"(+/- 3864 )",36999,"(+/- 4389 )",35580,"(+/- 4236 )",32901,"(+/- 4072 )",24622,"(+/- 3288 )"
People,Ancestry,Arab,3736,"(+/- 1588 )",4392,"(+/- 1839 )",1692,"(+/- 744 )",1820,"(+/- 998 )",3461,"(+/- 1223 )",7690,"(+/- 2849 )",4735,"(+/- 2028 )"
People,Ancestry,Czech,6040,"(+/- 1423 )",7236,"(+/- 1467 )",4040,"(+/- 1280 )",5525,"(+/- 1683 )",3701,"(+/- 1100 )",3862,"(+/- 1003 )",3792,"(+/- 1146 )"
People,Ancestry,Danish,4367,"(+/- 1226 )",7273,"(+/- 1503 )",6173,"(+/- 1355 )",7707,"(+/- 2090 )",5531,"(+/- 1413 )",5174,"(+/- 1145 )",5936,"(+/- 1453 )"
People,Ancestry,Dutch,11526,"(+/- 1839 )",19171,"(+/- 3330 )",10282,"(+/- 1836 )",14449,"(+/- 2412 )",13612,"(+/- 2614 )",10296,"(+/- 2172 )",9014,"(+/- 1418 )"
People,Ancestry,English,68186,"(+/- 4119 )",110244,"(+/- 7880 )",80605,"(+/- 6689 )",80237,"(+/- 4970 )",74707,"(+/- 4953 )",72232,"(+/- 4245 )",71125,"(+/- 5386 )"
People,Ancestry,"French (except Basque)",22241,"(+/- 3503 )",22281,"(+/- 3166 )",19355,"(+/- 2650 )",21900,"(+/- 3529 )",25904,"(+/- 5018 )",16816,"(+/- 2221 )",19705,"(+/- 2939 )"
People,Ancestry,"French Canadian",3393,"(+/- 895 )",4669,"(+/- 1375 )",3693,"(+/- 1165 )",2414,"(+/- 642 )",4797,"(+/- 1379 )",2836,"(+/- 718 )",4675,"(+/- 1656 )"
People,Ancestry,German,130352,"(+/- 7105 )",183993,"(+/- 8030 )",129310,"(+/- 6802 )",174696,"(+/- 7950 )",148832,"(+/- 7275 )",133374,"(+/- 6384 )",147650,"(+/- 6398 )"
People,Ancestry,Greek,4059,"(+/- 1397 )",2958,"(+/- 871 )",1895,"(+/- 848 )",3293,"(+/- 1212 )",4531,"(+/- 1803 )",3242,"(+/- 2051 )",2549,"(+/- 921 )"
People,Ancestry,Hungarian,3920,"(+/- 1251 )",5776,"(+/- 1248 )",1582,"(+/- 705 )",2709,"(+/- 1096 )",2726,"(+/- 820 )",2461,"(+/- 891 )",2128,"(+/- 694 )"
People,Ancestry,Irish,83107,"(+/- 5459 )",104151,"(+/- 6750 )",80573,"(+/- 5719 )",99504,"(+/- 6288 )",86676,"(+/- 6226 )",81766,"(+/- 5786 )",82723,"(+/- 5275 )"
People,Ancestry,Italian,36811,"(+/- 4259 )",47056,"(+/- 4530 )",40284,"(+/- 4889 )",38128,"(+/- 4053 )",37531,"(+/- 4794 )",33354,"(+/- 3573 )",37947,"(+/- 3895 )"
People,Ancestry,Lithuanian,1992,"(+/- 912 )",2058,"(+/- 828 )",1579,"(+/- 1183 )",1101,"(+/- 754 )",847,"(+/- 476 )",1740,"(+/- 700 )",1533,"(+/- 696 )"
People,Ancestry,Norwegian,16906,"(+/- 2732 )",21089,"(+/- 2647 )",13008,"(+/- 2233 )",20348,"(+/- 2805 )",20252,"(+/- 3207 )",16052,"(+/- 2554 )",14427,"(+/- 2271 )"
People,Ancestry,Polish,22572,"(+/- 2645 )",24247,"(+/- 2882 )",12372,"(+/- 1935 )",23234,"(+/- 5733 )",17769,"(+/- 2754 )",16154,"(+/- 2416 )",22463,"(+/- 2583 )"
People,Ancestry,Portuguese,2778,"(+/- 1139 )",1288,"(+/- 591 )",1384,"(+/- 727 )",1691,"(+/- 794 )",1982,"(+/- 962 )",1307,"(+/- 597 )",1038,"(+/- 457 )"
People,Ancestry,Russian,10830,"(+/- 2240 )",9879,"(+/- 1878 )",6309,"(+/- 1591 )",7524,"(+/- 1831 )",5483,"(+/- 1201 )",9254,"(+/- 1916 )",6489,"(+/- 1402 )"
People,Ancestry,Scotch-Irish,8581,"(+/- 1601 )",13080,"(+/- 2261 )",11140,"(+/- 2089 )",9363,"(+/- 2066 )",11191,"(+/- 2484 )",8696,"(+/- 1738 )",6418,"(+/- 1532 )"
People,Ancestry,Scottish,18889,"(+/- 2328 )",25269,"(+/- 2978 )",20838,"(+/- 3101 )",20062,"(+/- 2678 )",21029,"(+/- 2688 )",20118,"(+/- 2908 )",15705,"(+/- 2559 )"
People,Ancestry,Slovak,1302,"(+/- 586 )",1757,"(+/- 616 )",486,"(+/- 330 )",403,"(+/- 219 )",1909,"(+/- 799 )",953,"(+/- 448 )",1665,"(+/- 801 )"
People,Ancestry,"Subsaharan African",12865,"(+/- 3605 )",2572,"(+/- 729 )",2401,"(+/- 1146 )",4561,"(+/- 1703 )",5339,"(+/- 1915 )",20789,"(+/- 4331 )",2973,"(+/- 1115 )"
People,Ancestry,Swedish,17164,"(+/- 2124 )",23927,"(+/- 2813 )",14105,"(+/- 1939 )",20487,"(+/- 2854 )",15566,"(+/- 2825 )",16120,"(+/- 2210 )",15285,"(+/- 2142 )"
People,Ancestry,Swiss,3531,"(+/- 1023 )",5521,"(+/- 1269 )",3084,"(+/- 1393 )",2222,"(+/- 545 )",2312,"(+/- 579 )",2914,"(+/- 938 )",4119,"(+/- 1361 )"
People,Ancestry,Ukrainian,2789,"(+/- 942 )",2564,"(+/- 757 )",880,"(+/- 541 )",1200,"(+/- 635 )",2277,"(+/- 1018 )",3707,"(+/- 1288 )",1855,"(+/- 1020 )"
People,Ancestry,Welsh,4768,"(+/- 1108 )",9929,"(+/- 2020 )",6747,"(+/- 1593 )",7197,"(+/- 2106 )",6961,"(+/- 1711 )",6656,"(+/- 1494 )",6774,"(+/- 1815 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",902,"(+/- 622 )",1827,"(+/- 1334 )",1418,"(+/- 794 )",650,"(+/- 506 )",2531,"(+/- 1111 )",4742,"(+/- 2221 )",917,"(+/- 541 )"
People,"Veteran Status","Civilian population 18 years and over",660768,"(+/- 3549 )",648641,"(+/- 5969 )",585937,"(+/- 3756 )",608148,"(+/- 4619 )",581780,"(+/- 3532 )",609765,"(+/- 5948 )",615020,"(+/- 4647 )"
People,"Veteran Status","Civilian veterans",33689,"(+/- 3049 )",47210,"(+/- 3043 )",53045,"(+/- 2911 )",46396,"(+/- 3121 )",97762,"(+/- 4311 )",45883,"(+/- 2716 )",48872,"(+/- 3077 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",820892,"(+/- 4672 )",794613,"(+/- 6924 )",740410,"(+/- 5150 )",805639,"(+/- 5933 )",753658,"(+/- 4241 )",806746,"(+/- 7428 )",792112,"(+/- 6028 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",84859,"(+/- 5145 )",70390,"(+/- 4605 )",110118,"(+/- 5258 )",82239,"(+/- 4186 )",100049,"(+/- 5564 )",66964,"(+/- 4116 )",88985,"(+/- 5186 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",165531,"(+/- 2581 )",150758,"(+/- 3946 )",162615,"(+/- 2739 )",207475,"(+/- 4057 )",187197,"(+/- 1531 )",202970,"(+/- 4604 )",183532,"(+/- 4094 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6529,"(+/- 1570 )",4316,"(+/- 911 )",7464,"(+/- 1487 )",5724,"(+/- 1184 )",8944,"(+/- 1691 )",6523,"(+/- 1560 )",7448,"(+/- 1696 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",557521,"(+/- 3619 )",524001,"(+/- 5577 )",447833,"(+/- 4031 )",493200,"(+/- 4360 )",460424,"(+/- 4167 )",507955,"(+/- 5614 )",504287,"(+/- 4622 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44626,"(+/- 4027 )",33861,"(+/- 3404 )",56855,"(+/- 4059 )",41588,"(+/- 3107 )",54450,"(+/- 4464 )",33808,"(+/- 3084 )",46261,"(+/- 3861 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",97840,"(+/- 2110 )",119854,"(+/- 3021 )",129962,"(+/- 2249 )",104964,"(+/- 2506 )",106037,"(+/- 1431 )",95821,"(+/- 2415 )",104293,"(+/- 2585 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33704,"(+/- 2602 )",32213,"(+/- 2675 )",45799,"(+/- 2638 )",34927,"(+/- 2072 )",36655,"(+/- 2680 )",26633,"(+/- 2078 )",35276,"(+/- 2125 )"
People,"Residence 1 Year Ago","Population 1 year and over",818203,"(+/- 4820 )",791670,"(+/- 6392 )",742278,"(+/- 4607 )",806508,"(+/- 5536 )",788997,"(+/- 3029 )",806428,"(+/- 6868 )",788198,"(+/- 6070 )"
People,"Residence 1 Year Ago","Same house",654704,"(+/- 10137 )",635619,"(+/- 9964 )",630391,"(+/- 8565 )",674103,"(+/- 10252 )",620196,"(+/- 11044 )",672431,"(+/- 8812 )",659285,"(+/- 10780 )"
People,"Residence 1 Year Ago","Different house in the U.S.",158420,"(+/- 10020 )",150166,"(+/- 8293 )",110302,"(+/- 7475 )",129056,"(+/- 8682 )",162683,"(+/- 10320 )",125640,"(+/- 7289 )",124848,"(+/- 8502 )"
People,"Residence 1 Year Ago","Same county",68007,"(+/- 6105 )",68386,"(+/- 5126 )",60508,"(+/- 5959 )",54124,"(+/- 5798 )",89087,"(+/- 8276 )",56384,"(+/- 5697 )",60254,"(+/- 5984 )"
People,"Residence 1 Year Ago","Different county",90413,"(+/- 8740 )",81780,"(+/- 6297 )",49794,"(+/- 4701 )",74932,"(+/- 5905 )",73596,"(+/- 6409 )",69256,"(+/- 5665 )",64594,"(+/- 6055 )"
People,"Residence 1 Year Ago","Same state",53207,"(+/- 6193 )",43345,"(+/- 3747 )",27496,"(+/- 3405 )",47179,"(+/- 4596 )",20538,"(+/- 4008 )",45138,"(+/- 4947 )",40529,"(+/- 4609 )"
People,"Residence 1 Year Ago","Different state",37206,"(+/- 5722 )",38435,"(+/- 5079 )",22298,"(+/- 3488 )",27753,"(+/- 4225 )",53058,"(+/- 6552 )",24118,"(+/- 3005 )",24065,"(+/- 3934 )"
People,"Residence 1 Year Ago",Abroad,5079,"(+/- 1768 )",5885,"(+/- 1910 )",1585,"(+/- 622 )",3349,"(+/- 1072 )",6118,"(+/- 1763 )",8357,"(+/- 2716 )",4065,"(+/- 1550 )"
Workers,"Employment Status","Population 16 years and over",677672,"(+/- 3739 )",666832,"(+/- 6049 )",606019,"(+/- 3926 )",632853,"(+/- 4613 )",633443,"(+/- 2417 )",634497,"(+/- 5807 )",637497,"(+/- 5340 )"
Workers,"Employment Status","In labor force",487534,"(+/- 5898 )",455321,"(+/- 6275 )",376585,"(+/- 6708 )",431177,"(+/- 6487 )",412121,"(+/- 5650 )",453610,"(+/- 6536 )",445573,"(+/- 6820 )"
Workers,"Employment Status","Civilian labor force",487098,"(+/- 5928 )",455085,"(+/- 6293 )",375873,"(+/- 6622 )",430314,"(+/- 6492 )",381843,"(+/- 7029 )",451813,"(+/- 6404 )",445159,"(+/- 6807 )"
Workers,"Employment Status",Employed,472153,"(+/- 6057 )",436457,"(+/- 6303 )",353056,"(+/- 6338 )",413355,"(+/- 6366 )",360364,"(+/- 7468 )",434186,"(+/- 6410 )",430355,"(+/- 6852 )"
Workers,"Employment Status",Unemployed,14945,"(+/- 2526 )",18628,"(+/- 2730 )",22817,"(+/- 3151 )",16959,"(+/- 1967 )",21479,"(+/- 2664 )",17627,"(+/- 2023 )",14804,"(+/- 1881 )"
Workers,"Employment Status","Armed Forces",436,"(+/- 326 )",236,"(+/- 151 )",712,"(+/- 611 )",863,"(+/- 428 )",30278,"(+/- 2898 )",1797,"(+/- 697 )",414,"(+/- 270 )"
Workers,"Employment Status","Not in labor force",190138,"(+/- 5368 )",211511,"(+/- 5775 )",229434,"(+/- 6797 )",201676,"(+/- 5865 )",221322,"(+/- 5562 )",180887,"(+/- 5109 )",191924,"(+/- 7202 )"
Workers,"Employment Status","Civilian labor force",487098,"(+/- 5928 )",455085,"(+/- 6293 )",375873,"(+/- 6622 )",430314,"(+/- 6492 )",381843,"(+/- 7029 )",451813,"(+/- 6404 )",445159,"(+/- 6807 )"
Workers,"Employment Status","Unemployment Rate",3.1,"(+/- 0.5 )",4.1,"(+/- 0.6 )",6.1,"(+/- 0.8 )",3.9,"(+/- 0.4 )",5.6,"(+/- 0.7 )",3.9,"(+/- 0.4 )",3.3,"(+/- 0.4 )"
Workers,"Commuting to Work","Workers 16 years and over",464573,"(+/- 5799 )",428573,"(+/- 6350 )",347405,"(+/- 6348 )",407583,"(+/- 6537 )",384369,"(+/- 6191 )",430922,"(+/- 6608 )",423553,"(+/- 6957 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",323397,"(+/- 7493 )",303179,"(+/- 6447 )",262985,"(+/- 7200 )",315357,"(+/- 8030 )",292267,"(+/- 6165 )",331206,"(+/- 6953 )",333279,"(+/- 7990 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",35856,"(+/- 3366 )",28642,"(+/- 2969 )",31050,"(+/- 3117 )",39687,"(+/- 3566 )",40944,"(+/- 4261 )",34926,"(+/- 3590 )",35742,"(+/- 3921 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",29068,"(+/- 3267 )",12841,"(+/- 2350 )",6596,"(+/- 2020 )",4849,"(+/- 1222 )",3999,"(+/- 1502 )",18333,"(+/- 2277 )",17192,"(+/- 2713 )"
Workers,"Commuting to Work",Walked,18860,"(+/- 2529 )",14019,"(+/- 2315 )",14151,"(+/- 2305 )",6343,"(+/- 1330 )",13969,"(+/- 1987 )",5153,"(+/- 1251 )",4755,"(+/- 1316 )"
Workers,"Commuting to Work","Other means",15503,"(+/- 2220 )",19575,"(+/- 2359 )",6345,"(+/- 1305 )",6000,"(+/- 1405 )",5607,"(+/- 1321 )",6549,"(+/- 1479 )",4651,"(+/- 992 )"
Workers,"Commuting to Work","Worked at home",41889,"(+/- 4452 )",50317,"(+/- 3025 )",26278,"(+/- 3131 )",35347,"(+/- 2725 )",27583,"(+/- 2926 )",34755,"(+/- 3422 )",27934,"(+/- 2793 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.3,"(+/- 0.6 )",25.2,"(+/- 0.6 )",21.0,"(+/- 0.6 )",26.8,"(+/- 0.6 )",24.3,"(+/- 0.6 )",28.4,"(+/- 0.6 )",28.1,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",472153,"(+/- 6057 )",436457,"(+/- 6303 )",353056,"(+/- 6338 )",413355,"(+/- 6366 )",360364,"(+/- 7468 )",434186,"(+/- 6410 )",430355,"(+/- 6852 )"
Workers,Occupation,"Management, business, science, and arts occupations",221990,"(+/- 6055 )",216465,"(+/- 5925 )",122467,"(+/- 5721 )",165356,"(+/- 4950 )",145298,"(+/- 4956 )",182173,"(+/- 5429 )",162642,"(+/- 6103 )"
Workers,Occupation,"Service occupations",73435,"(+/- 4285 )",64716,"(+/- 4936 )",71166,"(+/- 3761 )",66359,"(+/- 4136 )",66445,"(+/- 4256 )",73747,"(+/- 4549 )",76459,"(+/- 5176 )"
Workers,Occupation,"Sales and office occupations",102370,"(+/- 4826 )",89285,"(+/- 4813 )",77196,"(+/- 4585 )",93349,"(+/- 4761 )",80795,"(+/- 4869 )",104653,"(+/- 5077 )",101831,"(+/- 4849 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",40020,"(+/- 3095 )",30609,"(+/- 2745 )",46849,"(+/- 3822 )",44763,"(+/- 3231 )",33805,"(+/- 3539 )",32896,"(+/- 2925 )",44201,"(+/- 3626 )"
Workers,Occupation,"Production, transportation, and material moving occupations",34338,"(+/- 3634 )",35382,"(+/- 3747 )",35378,"(+/- 3535 )",43528,"(+/- 2881 )",34021,"(+/- 3238 )",40717,"(+/- 3393 )",45222,"(+/- 3652 )"
Workers,Industry,"Civilian employed population 16 years and over",472153,"(+/- 6057 )",436457,"(+/- 6303 )",353056,"(+/- 6338 )",413355,"(+/- 6366 )",360364,"(+/- 7468 )",434186,"(+/- 6410 )",430355,"(+/- 6852 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",5210,"(+/- 1344 )",6947,"(+/- 1791 )",16978,"(+/- 2694 )",20112,"(+/- 2207 )",5563,"(+/- 1421 )",4978,"(+/- 1095 )",5310,"(+/- 1191 )"
Workers,Industry,Construction,37266,"(+/- 3107 )",26603,"(+/- 2913 )",39441,"(+/- 3750 )",36371,"(+/- 3197 )",26592,"(+/- 3057 )",33266,"(+/- 3120 )",43003,"(+/- 3047 )"
Workers,Industry,Manufacturing,28228,"(+/- 2726 )",37810,"(+/- 3063 )",15535,"(+/- 2307 )",35924,"(+/- 3498 )",20060,"(+/- 2236 )",27329,"(+/- 2572 )",34606,"(+/- 3212 )"
Workers,Industry,"Wholesale trade",11350,"(+/- 2040 )",7365,"(+/- 1244 )",7162,"(+/- 1436 )",10528,"(+/- 1481 )",5381,"(+/- 986 )",12849,"(+/- 1919 )",10783,"(+/- 1659 )"
Workers,Industry,"Retail trade",39850,"(+/- 3174 )",47112,"(+/- 4235 )",38908,"(+/- 2797 )",47011,"(+/- 3787 )",39350,"(+/- 2768 )",43299,"(+/- 3222 )",48749,"(+/- 3013 )"
