Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,Race,"Black or African American",18097,"(+/- 1849 )",63758,"(+/- 2472 )",7097,"(+/- 1263 )"
People,Race,"American Indian and Alaska Native",7246,"(+/- 1137 )",2743,"(+/- 809 )",5630,"(+/- 1052 )"
People,Race,Asian,18141,"(+/- 1520 )",25037,"(+/- 1959 )",3940,"(+/- 743 )"
People,Race,"Native Hawaiian and Other Pacific Islander",625,"(+/- 400 )",392,"(+/- 151 )",227,"(+/- 293 )"
People,Race,"Some other race",13102,"(+/- 2605 )",10090,"(+/- 1980 )",15631,"(+/- 3146 )"
People,Race,"Two or more races",17732,"(+/- 2259 )",21550,"(+/- 2725 )",11946,"(+/- 1685 )"
People,"Hispanic or Latino and Race","Total population",648060,"(+/- 4436 )",668800,"(+/- 3128 )",603216,"(+/- 2966 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",60138,"(+/- 2766 )",77299,"(+/- 2377 )",72480,"(+/- 1802 )"
People,"Hispanic or Latino and Race",Mexican,41092,"(+/- 3434 )",56548,"(+/- 3671 )",53764,"(+/- 4247 )"
People,"Hispanic or Latino and Race","Puerto Rican",2755,"(+/- 1072 )",3708,"(+/- 1611 )",1302,"(+/- 754 )"
People,"Hispanic or Latino and Race",Cuban,2302,"(+/- 1313 )",1309,"(+/- 736 )",1594,"(+/- 933 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",13989,"(+/- 3159 )",15734,"(+/- 3188 )",15820,"(+/- 3830 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",587922,"(+/- 4632 )",591501,"(+/- 3888 )",530736,"(+/- 2425 )"
People,"Place of Birth","Total population",648060,"(+/- 4436 )",668800,"(+/- 3128 )",603216,"(+/- 2966 )"
People,"Place of Birth",Native,600061,"(+/- 6141 )",606302,"(+/- 5599 )",570382,"(+/- 3689 )"
People,"Place of Birth","Born in United States",594693,"(+/- 5767 )",600314,"(+/- 5577 )",567063,"(+/- 3751 )"
People,"Place of Birth","State of residence",425866,"(+/- 7441 )",397324,"(+/- 6817 )",415527,"(+/- 5118 )"
People,"Place of Birth","Different state",168827,"(+/- 6463 )",202990,"(+/- 7431 )",151536,"(+/- 5353 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5368,"(+/- 1109 )",5988,"(+/- 1276 )",3319,"(+/- 939 )"
People,"Place of Birth","Foreign born",47999,"(+/- 4213 )",62498,"(+/- 4481 )",32834,"(+/- 2650 )"
People,Ancestry,"Total population",648060,"(+/- 4436 )",668800,"(+/- 3128 )",603216,"(+/- 2966 )"
People,Ancestry,American,21064,"(+/- 2861 )",19590,"(+/- 2640 )",22808,"(+/- 2870 )"
People,Ancestry,Arab,4061,"(+/- 1659 )",2907,"(+/- 1621 )",148,"(+/- 150 )"
People,Ancestry,Czech,36715,"(+/- 3255 )",23205,"(+/- 2745 )",22622,"(+/- 2646 )"
People,Ancestry,Danish,14182,"(+/- 1840 )",13833,"(+/- 2034 )",11511,"(+/- 1520 )"
People,Ancestry,Dutch,15409,"(+/- 2304 )",13078,"(+/- 1986 )",10701,"(+/- 1723 )"
People,Ancestry,English,48081,"(+/- 4110 )",49265,"(+/- 4177 )",44546,"(+/- 3420 )"
People,Ancestry,"French (except Basque)",12074,"(+/- 2562 )",15093,"(+/- 1974 )",10062,"(+/- 1281 )"
People,Ancestry,"French Canadian",1742,"(+/- 575 )",2126,"(+/- 705 )",2375,"(+/- 817 )"
People,Ancestry,German,234455,"(+/- 7898 )",189586,"(+/- 7624 )",215756,"(+/- 5983 )"
People,Ancestry,Greek,1160,"(+/- 518 )",2495,"(+/- 987 )",968,"(+/- 579 )"
People,Ancestry,Hungarian,630,"(+/- 350 )",1707,"(+/- 670 )",509,"(+/- 377 )"
People,Ancestry,Irish,76611,"(+/- 5107 )",86114,"(+/- 4965 )",63300,"(+/- 4470 )"
People,Ancestry,Italian,13697,"(+/- 2857 )",30121,"(+/- 3188 )",8153,"(+/- 1358 )"
People,Ancestry,Lithuanian,219,"(+/- 158 )",1717,"(+/- 626 )",195,"(+/- 143 )"
People,Ancestry,Norwegian,12099,"(+/- 1765 )",13754,"(+/- 2127 )",9408,"(+/- 1835 )"
People,Ancestry,Polish,20122,"(+/- 1984 )",26547,"(+/- 3111 )",19355,"(+/- 3229 )"
People,Ancestry,Portuguese,309,"(+/- 224 )",651,"(+/- 309 )",497,"(+/- 327 )"
People,Ancestry,Russian,3441,"(+/- 1005 )",3750,"(+/- 1175 )",3709,"(+/- 1015 )"
People,Ancestry,Scotch-Irish,4408,"(+/- 1052 )",5189,"(+/- 1207 )",4559,"(+/- 994 )"
People,Ancestry,Scottish,8619,"(+/- 1690 )",9577,"(+/- 1637 )",9579,"(+/- 2426 )"
People,Ancestry,Slovak,33,"(+/- 56 )",224,"(+/- 165 )",114,"(+/- 166 )"
People,Ancestry,"Subsaharan African",4620,"(+/- 1637 )",11503,"(+/- 3492 )",1630,"(+/- 685 )"
People,Ancestry,Swedish,27103,"(+/- 2807 )",21687,"(+/- 2692 )",25401,"(+/- 2723 )"
People,Ancestry,Swiss,3798,"(+/- 1055 )",1924,"(+/- 670 )",1787,"(+/- 542 )"
People,Ancestry,Ukrainian,1110,"(+/- 677 )",812,"(+/- 387 )",380,"(+/- 305 )"
People,Ancestry,Welsh,3609,"(+/- 874 )",3356,"(+/- 1094 )",2761,"(+/- 652 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1339,"(+/- 996 )",683,"(+/- 509 )",106,"(+/- 152 )"
People,"Veteran Status","Civilian population 18 years and over",490217,"(+/- 2971 )",492197,"(+/- 2098 )",458386,"(+/- 2404 )"
People,"Veteran Status","Civilian veterans",42564,"(+/- 2445 )",36696,"(+/- 2368 )",37788,"(+/- 2041 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",637600,"(+/- 4416 )",660799,"(+/- 3314 )",593054,"(+/- 2956 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",71994,"(+/- 3541 )",72530,"(+/- 4164 )",82976,"(+/- 3641 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",154705,"(+/- 2759 )",174410,"(+/- 2243 )",144269,"(+/- 1859 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6194,"(+/- 1141 )",5987,"(+/- 1188 )",5977,"(+/- 852 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",389420,"(+/- 3272 )",406447,"(+/- 2371 )",339905,"(+/- 2159 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",35999,"(+/- 2751 )",39205,"(+/- 3427 )",37214,"(+/- 2600 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",93475,"(+/- 1784 )",79942,"(+/- 1296 )",108880,"(+/- 1350 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",29801,"(+/- 1797 )",27338,"(+/- 1915 )",39785,"(+/- 1776 )"
People,"Residence 1 Year Ago","Population 1 year and over",640220,"(+/- 4292 )",658885,"(+/- 3142 )",595112,"(+/- 3097 )"
People,"Residence 1 Year Ago","Same house",524792,"(+/- 7957 )",549296,"(+/- 7961 )",512641,"(+/- 5290 )"
People,"Residence 1 Year Ago","Different house in the U.S.",111452,"(+/- 6866 )",103616,"(+/- 7335 )",81231,"(+/- 5213 )"
People,"Residence 1 Year Ago","Same county",61417,"(+/- 5429 )",66707,"(+/- 7559 )",46546,"(+/- 4423 )"
People,"Residence 1 Year Ago","Different county",50035,"(+/- 5300 )",36909,"(+/- 3975 )",34685,"(+/- 2753 )"
People,"Residence 1 Year Ago","Same state",27704,"(+/- 3507 )",18512,"(+/- 3306 )",22906,"(+/- 2356 )"
People,"Residence 1 Year Ago","Different state",22331,"(+/- 3823 )",18397,"(+/- 2666 )",11779,"(+/- 1983 )"
People,"Residence 1 Year Ago",Abroad,3976,"(+/- 1347 )",5973,"(+/- 2038 )",1240,"(+/- 677 )"
Workers,"Employment Status","Population 16 years and over",509100,"(+/- 3312 )",513648,"(+/- 2560 )",474003,"(+/- 2418 )"
Workers,"Employment Status","In labor force",360869,"(+/- 4685 )",369639,"(+/- 4423 )",318090,"(+/- 3601 )"
Workers,"Employment Status","Civilian labor force",357870,"(+/- 4696 )",368320,"(+/- 4371 )",317729,"(+/- 3632 )"
Workers,"Employment Status",Employed,344852,"(+/- 4981 )",355115,"(+/- 5020 )",308985,"(+/- 3840 )"
Workers,"Employment Status",Unemployed,13018,"(+/- 1992 )",13205,"(+/- 2067 )",8744,"(+/- 1399 )"
Workers,"Employment Status","Armed Forces",2999,"(+/- 734 )",1319,"(+/- 439 )",361,"(+/- 332 )"
Workers,"Employment Status","Not in labor force",148231,"(+/- 4777 )",144009,"(+/- 4035 )",155913,"(+/- 3785 )"
Workers,"Employment Status","Civilian labor force",357870,"(+/- 4696 )",368320,"(+/- 4371 )",317729,"(+/- 3632 )"
Workers,"Employment Status","Unemployment Rate",3.6,"(+/- 0.6 )",3.6,"(+/- 0.6 )",2.8,"(+/- 0.4 )"
Workers,"Commuting to Work","Workers 16 years and over",342155,"(+/- 4985 )",351978,"(+/- 5046 )",302506,"(+/- 3946 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",281343,"(+/- 5276 )",291946,"(+/- 5466 )",240965,"(+/- 4643 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",31346,"(+/- 2784 )",30593,"(+/- 2871 )",28541,"(+/- 2897 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2486,"(+/- 1046 )",3522,"(+/- 1061 )",859,"(+/- 494 )"
Workers,"Commuting to Work",Walked,9362,"(+/- 1223 )",6682,"(+/- 1444 )",11227,"(+/- 1304 )"
Workers,"Commuting to Work","Other means",2974,"(+/- 867 )",4092,"(+/- 1138 )",3825,"(+/- 835 )"
Workers,"Commuting to Work","Worked at home",14644,"(+/- 1653 )",15143,"(+/- 1875 )",17089,"(+/- 1744 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.5,"(+/- 0.5 )",19.3,"(+/- 0.4 )",16.5,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",344852,"(+/- 4981 )",355115,"(+/- 5020 )",308985,"(+/- 3840 )"
Workers,Occupation,"Management, business, science, and arts occupations",132193,"(+/- 4279 )",149203,"(+/- 4376 )",98875,"(+/- 4127 )"
Workers,Occupation,"Service occupations",55189,"(+/- 3292 )",55926,"(+/- 3729 )",50853,"(+/- 2973 )"
Workers,Occupation,"Sales and office occupations",80212,"(+/- 4029 )",86954,"(+/- 4176 )",63929,"(+/- 3336 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31011,"(+/- 2379 )",26906,"(+/- 2305 )",41405,"(+/- 2399 )"
Workers,Occupation,"Production, transportation, and material moving occupations",46247,"(+/- 2834 )",36126,"(+/- 2959 )",53923,"(+/- 3095 )"
Workers,Industry,"Civilian employed population 16 years and over",344852,"(+/- 4981 )",355115,"(+/- 5020 )",308985,"(+/- 3840 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9740,"(+/- 1212 )",2087,"(+/- 651 )",29520,"(+/- 2082 )"
Workers,Industry,Construction,22571,"(+/- 1969 )",22575,"(+/- 2129 )",21300,"(+/- 1725 )"
Workers,Industry,Manufacturing,39122,"(+/- 3275 )",27179,"(+/- 2674 )",38517,"(+/- 2258 )"
Workers,Industry,"Wholesale trade",9795,"(+/- 1498 )",9466,"(+/- 1686 )",10377,"(+/- 1296 )"
Workers,Industry,"Retail trade",38707,"(+/- 2565 )",41710,"(+/- 2679 )",35280,"(+/- 2089 )"
Workers,Industry,"Transportation and warehousing, and utilities",16826,"(+/- 1791 )",18400,"(+/- 1916 )",22107,"(+/- 1710 )"
Workers,Industry,Information,6152,"(+/- 1241 )",8515,"(+/- 1390 )",4909,"(+/- 829 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23525,"(+/- 2047 )",38667,"(+/- 2616 )",13127,"(+/- 1409 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",31663,"(+/- 2683 )",42827,"(+/- 2853 )",14917,"(+/- 1730 )"
Workers,Industry,"Educational services, and health care and social assistance",88782,"(+/- 3754 )",85343,"(+/- 3962 )",73723,"(+/- 2958 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",26428,"(+/- 2559 )",30409,"(+/- 2905 )",19386,"(+/- 1944 )"
Workers,Industry,"Other services, except public administration",14809,"(+/- 1681 )",16470,"(+/- 2205 )",13281,"(+/- 1392 )"
Workers,Industry,"Public administration",16732,"(+/- 1883 )",11467,"(+/- 1659 )",12541,"(+/- 1567 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",344852,"(+/- 4981 )",355115,"(+/- 5020 )",308985,"(+/- 3840 )"
Workers,"Class of Worker","Private wage and salary workers",272577,"(+/- 4430 )",302832,"(+/- 5429 )",236733,"(+/- 4343 )"
Workers,"Class of Worker","Government workers",53648,"(+/- 3342 )",37409,"(+/- 2451 )",44177,"(+/- 2725 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17866,"(+/- 1935 )",14559,"(+/- 2185 )",27339,"(+/- 2082 )"
Workers,"Class of Worker","Unpaid family workers",761,"(+/- 488 )",315,"(+/- 206 )",736,"(+/- 299 )"
Housing,"Housing Occupancy","Total housing units",275347,"(+/- 1850 )",273651,"(+/- 1402 )",288542,"(+/- 1340 )"
Housing,"Housing Occupancy","Occupied housing units",253963,"(+/- 2626 )",256532,"(+/- 2740 )",243995,"(+/- 2923 )"
Housing,"Housing Occupancy","Vacant housing units",21384,"(+/- 2315 )",17119,"(+/- 2196 )",44547,"(+/- 2657 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,"(+/- 0.4 )",0.9,"(+/- 0.4 )",1.4,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.9,"(+/- 1.4 )",7.2,"(+/- 1.4 )",6.7,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",253963,"(+/- 2626 )",256532,"(+/- 2740 )",243995,"(+/- 2923 )"
Housing,"Housing Tenure",Owner-occupied,165589,"(+/- 3595 )",161192,"(+/- 3650 )",173305,"(+/- 3873 )"
Housing,"Housing Tenure",Renter-occupied,88374,"(+/- 3642 )",95340,"(+/- 3831 )",70690,"(+/- 3040 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.60,"(+/- 0.04 )",2.73,"(+/- 0.04 )",2.48,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.24,"(+/- 0.07 )",2.27,"(+/- 0.06 )",2.19,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",253963,"(+/- 2626 )",256532,"(+/- 2740 )",243995,"(+/- 2923 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",76641,"(+/- 3317 )",84548,"(+/- 3365 )",59739,"(+/- 2847 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",58392,"(+/- 2841 )",61358,"(+/- 3625 )",53407,"(+/- 2224 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",57562,"(+/- 2856 )",59411,"(+/- 3062 )",58085,"(+/- 2442 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",30374,"(+/- 2045 )",27724,"(+/- 1892 )",33607,"(+/- 2320 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",14161,"(+/- 1569 )",11152,"(+/- 1253 )",16582,"(+/- 1615 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",16833,"(+/- 1425 )",12339,"(+/- 1133 )",22575,"(+/- 1496 )"
Housing,Value,"Owner-occupied units",165589,"(+/- 3595 )",161192,"(+/- 3650 )",173305,"(+/- 3873 )"
Housing,Value,"Less than $50,000",8630,"(+/- 1231 )",5512,"(+/- 864 )",26843,"(+/- 1970 )"
Housing,Value,"$50,000 to $99,999",20048,"(+/- 1379 )",17269,"(+/- 1555 )",47034,"(+/- 2249 )"
Housing,Value,"$100,000 to $149,999",40744,"(+/- 2187 )",36720,"(+/- 2318 )",33959,"(+/- 2412 )"
Housing,Value,"$150,000 to $199,999",34430,"(+/- 2312 )",34948,"(+/- 2054 )",26271,"(+/- 1837 )"
Housing,Value,"$200,000 to $299,999",35079,"(+/- 2024 )",37468,"(+/- 2364 )",23255,"(+/- 1595 )"
Housing,Value,"$300,000 to $499,999",20443,"(+/- 1832 )",22909,"(+/- 1759 )",11058,"(+/- 1290 )"
Housing,Value,"$500,000 to $999,999",4937,"(+/- 736 )",5567,"(+/- 1007 )",3706,"(+/- 795 )"
Housing,Value,"$1,000,000 or more",1278,"(+/- 477 )",799,"(+/- 311 )",1179,"(+/- 447 )"
Housing,Value,"Median (dollars)",166700,"(+/- 3000 )",174900,"(+/- 3456 )",117100,"(+/- 3170 )"
Housing,"Mortgage Status","Owner-occupied units",165589,"(+/- 3595 )",161192,"(+/- 3650 )",173305,"(+/- 3873 )"
Housing,"Mortgage Status","Housing units with a mortgage",103160,"(+/- 3373 )",116609,"(+/- 3323 )",85059,"(+/- 3034 )"
Housing,"Mortgage Status","Housing units without a mortgage",62429,"(+/- 2645 )",44583,"(+/- 2211 )",88246,"(+/- 3137 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",103160,"(+/- 3373 )",116609,"(+/- 3323 )",85059,"(+/- 3034 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1120,"(+/- 451 )",669,"(+/- 341 )",1779,"(+/- 361 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",23070,"(+/- 2009 )",14580,"(+/- 1603 )",32357,"(+/- 2209 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",40111,"(+/- 2681 )",43737,"(+/- 2705 )",31519,"(+/- 2188 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",22164,"(+/- 2046 )",29858,"(+/- 2232 )",11664,"(+/- 1209 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",10084,"(+/- 1280 )",14543,"(+/- 1428 )",4359,"(+/- 675 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",3973,"(+/- 797 )",6249,"(+/- 1108 )",1330,"(+/- 395 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2638,"(+/- 594 )",6973,"(+/- 994 )",2051,"(+/- 701 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1322,"(+/- 28 )",1493,"(+/- 24 )",1109,"(+/- 20 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",62429,"(+/- 2645 )",44583,"(+/- 2211 )",88246,"(+/- 3137 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",5288,"(+/- 1000 )",1974,"(+/- 505 )",9417,"(+/- 1021 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",12449,"(+/- 1219 )",6560,"(+/- 982 )",24459,"(+/- 2005 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",23546,"(+/- 1881 )",14334,"(+/- 1465 )",33767,"(+/- 2076 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",12576,"(+/- 1558 )",11073,"(+/- 1136 )",13363,"(+/- 1240 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",4558,"(+/- 887 )",6302,"(+/- 1047 )",4236,"(+/- 633 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4012,"(+/- 728 )",4340,"(+/- 778 )",3004,"(+/- 641 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",511,"(+/- 13 )",592,"(+/- 19 )",455,"(+/- 8 )"
Housing,"Gross Rent","Occupied units paying rent",83726,"(+/- 3651 )",93043,"(+/- 3699 )",62667,"(+/- 2992 )"
Housing,"Gross Rent","Less than $500",11998,"(+/- 1607 )",6934,"(+/- 1139 )",15777,"(+/- 1793 )"
Housing,"Gross Rent","$500 to $999",51138,"(+/- 3017 )",49987,"(+/- 3025 )",39990,"(+/- 2532 )"
Housing,"Gross Rent","$1,000 to $1,499",15609,"(+/- 2105 )",29086,"(+/- 2489 )",5324,"(+/- 1025 )"
Housing,"Gross Rent","$1,500 to $1,999",3478,"(+/- 992 )",4476,"(+/- 988 )",927,"(+/- 506 )"
Housing,"Gross Rent","$2,000 to $2,499",1060,"(+/- 500 )",1272,"(+/- 507 )",237,"(+/- 158 )"
Housing,"Gross Rent","$2,500 to $2,999",220,"(+/- 154 )",497,"(+/- 248 )",24,"(+/- 39 )"
Housing,"Gross Rent","$3,000 or more",223,"(+/- 213 )",791,"(+/- 415 )",388,"(+/- 269 )"
Housing,"Gross Rent","Median (dollars)",794,"(+/- 22 )",915,"(+/- 20 )",665,"(+/- 23 )"
Housing,"Gross Rent","No rent paid",4648,"(+/- 905 )",2297,"(+/- 755 )",8023,"(+/- 1005 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",253963,"(+/- 2626 )",256532,"(+/- 2740 )",243995,"(+/- 2923 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",12492,"(+/- 1736 )",13980,"(+/- 1636 )",12842,"(+/- 1445 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",8283,"(+/- 1103 )",8385,"(+/- 1126 )",11752,"(+/- 1501 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",22281,"(+/- 1883 )",19442,"(+/- 1815 )",28041,"(+/- 1767 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",24740,"(+/- 2096 )",19192,"(+/- 2220 )",25026,"(+/- 1938 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",36616,"(+/- 2309 )",33650,"(+/- 2828 )",37335,"(+/- 2306 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",52249,"(+/- 2970 )",49630,"(+/- 3253 )",49442,"(+/- 2725 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",34566,"(+/- 2522 )",35593,"(+/- 2784 )",35721,"(+/- 2349 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",39909,"(+/- 2721 )",42420,"(+/- 2367 )",28854,"(+/- 1943 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",12786,"(+/- 1446 )",17942,"(+/- 1947 )",8328,"(+/- 972 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",10041,"(+/- 1450 )",16298,"(+/- 1638 )",6654,"(+/- 951 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",60341,"(+/- 1353 )",66390,"(+/- 1799 )",52434,"(+/- 1359 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",76541,"(+/- 1918 )",87571,"(+/- 2419 )",67090,"(+/- 1573 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",637600,"(+/- 4416 )",660799,"(+/- 3314 )",593054,"(+/- 2956 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",586513,"(+/- 5629 )",604955,"(+/- 6342 )",543201,"(+/- 4253 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",495984,"(+/- 7661 )",497743,"(+/- 8879 )",441708,"(+/- 8542 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",168251,"(+/- 5172 )",167916,"(+/- 5599 )",188731,"(+/- 6933 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",51087,"(+/- 4149 )",55844,"(+/- 5155 )",49853,"(+/- 3788 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",165815,"(+/- 3099 )",182045,"(+/- 2465 )",152144,"(+/- 2217 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",8474,"(+/- 1978 )",8921,"(+/- 2491 )",8320,"(+/- 1561 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",7.3,"(+/- 1.1 )",6.8,"(+/- 1.0 )",7.6,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",12.0,"(+/- 2.0 )",10.7,"(+/- 1.7 )",13.3,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",14.6,"(+/- 5.1 )",4.8,"(+/- 2.5 )",16.0,"(+/- 5.4 )"
