Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Place of Birth","Born in United States",713288,"(+/- 6657 )",760105,"(+/- 4698 )",713809,"(+/- 9066 )",753433,"(+/- 5200 )",737925,"(+/- 6840 )"
People,"Place of Birth","State of residence",370216,"(+/- 8927 )",361762,"(+/- 9323 )",368151,"(+/- 10540 )",372747,"(+/- 9726 )",434496,"(+/- 9491 )"
People,"Place of Birth","Different state",343072,"(+/- 11242 )",398343,"(+/- 9733 )",345658,"(+/- 8764 )",380686,"(+/- 9805 )",303429,"(+/- 9065 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11183,"(+/- 2654 )",8081,"(+/- 1607 )",16084,"(+/- 2987 )",8679,"(+/- 1817 )",11471,"(+/- 2471 )"
People,"Place of Birth","Foreign born",119704,"(+/- 5116 )",52943,"(+/- 4000 )",112265,"(+/- 6676 )",41499,"(+/- 3194 )",82307,"(+/- 5475 )"
People,Ancestry,"Total population",844175,"(+/- 4572 )",821129,"(+/- 3316 )",842158,"(+/- 8561 )",803611,"(+/- 4026 )",831703,"(+/- 6598 )"
People,Ancestry,American,32207,"(+/- 3208 )",42674,"(+/- 5639 )",42480,"(+/- 5102 )",32580,"(+/- 4034 )",42390,"(+/- 5809 )"
People,Ancestry,Arab,6012,"(+/- 2924 )",520,"(+/- 433 )",5942,"(+/- 2103 )",2125,"(+/- 888 )",3541,"(+/- 1488 )"
People,Ancestry,Czech,4745,"(+/- 1169 )",2043,"(+/- 897 )",5175,"(+/- 1418 )",5572,"(+/- 1478 )",3353,"(+/- 911 )"
People,Ancestry,Danish,8424,"(+/- 2122 )",7535,"(+/- 1805 )",7477,"(+/- 1308 )",8314,"(+/- 1751 )",7229,"(+/- 1660 )"
People,Ancestry,Dutch,20505,"(+/- 2726 )",18675,"(+/- 3211 )",14117,"(+/- 2373 )",14601,"(+/- 2425 )",14321,"(+/- 2292 )"
People,Ancestry,English,85224,"(+/- 5343 )",91349,"(+/- 6268 )",80839,"(+/- 5825 )",98604,"(+/- 6265 )",84647,"(+/- 6344 )"
People,Ancestry,"French (except Basque)",25310,"(+/- 3358 )",24098,"(+/- 3089 )",25228,"(+/- 3441 )",24804,"(+/- 3209 )",23137,"(+/- 2730 )"
People,Ancestry,"French Canadian",5134,"(+/- 2336 )",4375,"(+/- 1331 )",7459,"(+/- 1396 )",5451,"(+/- 1699 )",4645,"(+/- 1345 )"
People,Ancestry,German,136212,"(+/- 6890 )",150906,"(+/- 9666 )",124602,"(+/- 5745 )",154727,"(+/- 9079 )",146117,"(+/- 8565 )"
People,Ancestry,Greek,4931,"(+/- 1987 )",1666,"(+/- 649 )",3537,"(+/- 1076 )",1805,"(+/- 814 )",2339,"(+/- 871 )"
People,Ancestry,Hungarian,2851,"(+/- 890 )",2448,"(+/- 955 )",2808,"(+/- 1079 )",2810,"(+/- 913 )",3248,"(+/- 1064 )"
People,Ancestry,Irish,85007,"(+/- 5320 )",90189,"(+/- 6176 )",89990,"(+/- 6072 )",103262,"(+/- 6588 )",78093,"(+/- 5815 )"
People,Ancestry,Italian,34125,"(+/- 4330 )",31764,"(+/- 4556 )",35534,"(+/- 4038 )",28654,"(+/- 3993 )",25706,"(+/- 3926 )"
People,Ancestry,Lithuanian,1520,"(+/- 684 )",1377,"(+/- 683 )",2137,"(+/- 721 )",811,"(+/- 633 )",663,"(+/- 460 )"
People,Ancestry,Norwegian,31759,"(+/- 4412 )",28487,"(+/- 4749 )",24932,"(+/- 3049 )",25518,"(+/- 3225 )",29359,"(+/- 3430 )"
People,Ancestry,Polish,15818,"(+/- 3438 )",11272,"(+/- 2087 )",17786,"(+/- 2704 )",13397,"(+/- 2421 )",12845,"(+/- 2334 )"
People,Ancestry,Portuguese,2925,"(+/- 839 )",4554,"(+/- 1395 )",2622,"(+/- 933 )",5776,"(+/- 1507 )",2740,"(+/- 877 )"
People,Ancestry,Russian,7296,"(+/- 1581 )",5244,"(+/- 1363 )",14532,"(+/- 3468 )",7994,"(+/- 1943 )",14192,"(+/- 4346 )"
People,Ancestry,Scotch-Irish,8752,"(+/- 1753 )",10852,"(+/- 1619 )",9069,"(+/- 1691 )",11325,"(+/- 2143 )",8539,"(+/- 1415 )"
People,Ancestry,Scottish,23520,"(+/- 3447 )",25158,"(+/- 3576 )",21602,"(+/- 2722 )",23974,"(+/- 2986 )",22136,"(+/- 2757 )"
People,Ancestry,Slovak,719,"(+/- 375 )",227,"(+/- 223 )",879,"(+/- 596 )",265,"(+/- 332 )",984,"(+/- 569 )"
People,Ancestry,"Subsaharan African",5506,"(+/- 1708 )",2853,"(+/- 1068 )",14390,"(+/- 4469 )",3260,"(+/- 1629 )",2792,"(+/- 1366 )"
People,Ancestry,Swedish,24950,"(+/- 3308 )",17106,"(+/- 2304 )",18988,"(+/- 2203 )",19750,"(+/- 2819 )",18115,"(+/- 2524 )"
People,Ancestry,Swiss,6008,"(+/- 1936 )",2833,"(+/- 792 )",4754,"(+/- 1208 )",5165,"(+/- 1379 )",6057,"(+/- 1320 )"
People,Ancestry,Ukrainian,3840,"(+/- 1589 )",1993,"(+/- 995 )",8597,"(+/- 3107 )",1714,"(+/- 691 )",3997,"(+/- 1987 )"
People,Ancestry,Welsh,9582,"(+/- 2129 )",5971,"(+/- 1450 )",9855,"(+/- 2176 )",7855,"(+/- 2086 )",7743,"(+/- 1691 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1161,"(+/- 639 )",725,"(+/- 656 )",556,"(+/- 405 )",525,"(+/- 359 )",1251,"(+/- 750 )"
People,"Veteran Status","Civilian population 18 years and over",654197,"(+/- 3566 )",642396,"(+/- 3434 )",678447,"(+/- 6162 )",650523,"(+/- 3798 )",640508,"(+/- 4705 )"
People,"Veteran Status","Civilian veterans",47788,"(+/- 2559 )",63423,"(+/- 3530 )",39652,"(+/- 2679 )",68671,"(+/- 4140 )",56746,"(+/- 3019 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",837168,"(+/- 4882 )",806941,"(+/- 3716 )",837121,"(+/- 8572 )",799024,"(+/- 3994 )",822647,"(+/- 6773 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",95853,"(+/- 4053 )",126043,"(+/- 5889 )",100038,"(+/- 5191 )",140532,"(+/- 6531 )",110450,"(+/- 5605 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",188909,"(+/- 2237 )",177537,"(+/- 1904 )",163082,"(+/- 4255 )",152011,"(+/- 1864 )",190412,"(+/- 3788 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7238,"(+/- 1571 )",6594,"(+/- 1521 )",7375,"(+/- 1790 )",8723,"(+/- 1692 )",9065,"(+/- 1951 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",528240,"(+/- 3798 )",465457,"(+/- 3827 )",564999,"(+/- 6110 )",485374,"(+/- 3558 )",489232,"(+/- 4904 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",49337,"(+/- 3553 )",62406,"(+/- 4698 )",55393,"(+/- 3992 )",68333,"(+/- 4501 )",53024,"(+/- 4096 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",120019,"(+/- 1622 )",163947,"(+/- 2376 )",109040,"(+/- 2520 )",161639,"(+/- 2386 )",143003,"(+/- 2767 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39278,"(+/- 2135 )",57043,"(+/- 3309 )",37270,"(+/- 2604 )",63476,"(+/- 2925 )",48361,"(+/- 3157 )"
People,"Residence 1 Year Ago","Population 1 year and over",836551,"(+/- 4521 )",812861,"(+/- 3502 )",833150,"(+/- 8486 )",796588,"(+/- 4153 )",822898,"(+/- 6914 )"
People,"Residence 1 Year Ago","Same house",698518,"(+/- 10541 )",672647,"(+/- 10744 )",689350,"(+/- 11322 )",643236,"(+/- 11313 )",702033,"(+/- 9895 )"
People,"Residence 1 Year Ago","Different house in the U.S.",131487,"(+/- 10015 )",136998,"(+/- 9134 )",136181,"(+/- 8714 )",148497,"(+/- 10795 )",117097,"(+/- 7534 )"
People,"Residence 1 Year Ago","Same county",77925,"(+/- 8984 )",83155,"(+/- 7525 )",80008,"(+/- 7169 )",81973,"(+/- 7690 )",57626,"(+/- 6141 )"
People,"Residence 1 Year Ago","Different county",53562,"(+/- 6110 )",53843,"(+/- 5294 )",56173,"(+/- 5230 )",66524,"(+/- 7069 )",59471,"(+/- 5842 )"
People,"Residence 1 Year Ago","Same state",26831,"(+/- 4271 )",22975,"(+/- 2831 )",25682,"(+/- 4771 )",27850,"(+/- 4139 )",36722,"(+/- 5014 )"
People,"Residence 1 Year Ago","Different state",26731,"(+/- 4016 )",30868,"(+/- 4580 )",30491,"(+/- 3238 )",38674,"(+/- 5479 )",22749,"(+/- 3652 )"
People,"Residence 1 Year Ago",Abroad,6546,"(+/- 2036 )",3216,"(+/- 1550 )",7619,"(+/- 2056 )",4855,"(+/- 1748 )",3768,"(+/- 1060 )"
Workers,"Employment Status","Population 16 years and over",675677,"(+/- 3694 )",664202,"(+/- 3570 )",696620,"(+/- 6552 )",671454,"(+/- 4007 )",662842,"(+/- 5459 )"
Workers,"Employment Status","In labor force",453475,"(+/- 6377 )",380718,"(+/- 5734 )",481122,"(+/- 7506 )",382406,"(+/- 6110 )",405209,"(+/- 7547 )"
Workers,"Employment Status","Civilian labor force",452659,"(+/- 6475 )",379936,"(+/- 5863 )",480792,"(+/- 7459 )",381606,"(+/- 6114 )",405006,"(+/- 7564 )"
Workers,"Employment Status",Employed,432340,"(+/- 7072 )",358175,"(+/- 6299 )",458301,"(+/- 8119 )",356598,"(+/- 6521 )",387485,"(+/- 7416 )"
Workers,"Employment Status",Unemployed,20319,"(+/- 2919 )",21761,"(+/- 3043 )",22491,"(+/- 2360 )",25008,"(+/- 2721 )",17521,"(+/- 2497 )"
Workers,"Employment Status","Armed Forces",816,"(+/- 655 )",782,"(+/- 522 )",330,"(+/- 345 )",800,"(+/- 393 )",203,"(+/- 158 )"
Workers,"Employment Status","Not in labor force",222202,"(+/- 5894 )",283484,"(+/- 5715 )",215498,"(+/- 7231 )",289048,"(+/- 6600 )",257633,"(+/- 6595 )"
Workers,"Employment Status","Civilian labor force",452659,"(+/- 6475 )",379936,"(+/- 5863 )",480792,"(+/- 7459 )",381606,"(+/- 6114 )",405006,"(+/- 7564 )"
Workers,"Employment Status","Unemployment Rate",4.5,"(+/- 0.6 )",5.7,"(+/- 0.8 )",4.7,"(+/- 0.5 )",6.6,"(+/- 0.7 )",4.3,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",425216,"(+/- 7092 )",350090,"(+/- 6030 )",449217,"(+/- 8280 )",348961,"(+/- 6573 )",379571,"(+/- 7269 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",308752,"(+/- 7270 )",267394,"(+/- 6842 )",278052,"(+/- 8858 )",255330,"(+/- 7104 )",290438,"(+/- 7265 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",40386,"(+/- 4372 )",33992,"(+/- 3637 )",41960,"(+/- 4063 )",37505,"(+/- 3570 )",35903,"(+/- 3645 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",21529,"(+/- 2910 )",1525,"(+/- 739 )",46980,"(+/- 4129 )",7858,"(+/- 1742 )",9208,"(+/- 2061 )"
Workers,"Commuting to Work",Walked,17027,"(+/- 2410 )",11591,"(+/- 1883 )",19185,"(+/- 2367 )",15108,"(+/- 2013 )",9648,"(+/- 1735 )"
Workers,"Commuting to Work","Other means",8462,"(+/- 1431 )",5582,"(+/- 1395 )",27331,"(+/- 2464 )",11554,"(+/- 2292 )",7048,"(+/- 1385 )"
Workers,"Commuting to Work","Worked at home",29060,"(+/- 3187 )",30006,"(+/- 2972 )",35709,"(+/- 3150 )",21606,"(+/- 2401 )",27326,"(+/- 2852 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.1,"(+/- 0.7 )",18.7,"(+/- 0.5 )",28.8,"(+/- 0.7 )",20.6,"(+/- 0.7 )",25.7,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",432340,"(+/- 7072 )",358175,"(+/- 6299 )",458301,"(+/- 8119 )",356598,"(+/- 6521 )",387485,"(+/- 7416 )"
Workers,Occupation,"Management, business, science, and arts occupations",191989,"(+/- 5905 )",121029,"(+/- 5870 )",198146,"(+/- 7462 )",125886,"(+/- 5329 )",137861,"(+/- 6869 )"
Workers,Occupation,"Service occupations",68112,"(+/- 4619 )",70013,"(+/- 4429 )",80648,"(+/- 4818 )",71071,"(+/- 3728 )",64465,"(+/- 4746 )"
Workers,Occupation,"Sales and office occupations",91080,"(+/- 5026 )",79700,"(+/- 4793 )",96755,"(+/- 5439 )",79205,"(+/- 4289 )",95762,"(+/- 5935 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",33059,"(+/- 3780 )",44721,"(+/- 3771 )",31025,"(+/- 3366 )",32878,"(+/- 3199 )",43292,"(+/- 3681 )"
Workers,Occupation,"Production, transportation, and material moving occupations",48100,"(+/- 3454 )",42712,"(+/- 3574 )",51727,"(+/- 3960 )",47558,"(+/- 3625 )",46105,"(+/- 3614 )"
Workers,Industry,"Civilian employed population 16 years and over",432340,"(+/- 7072 )",358175,"(+/- 6299 )",458301,"(+/- 8119 )",356598,"(+/- 6521 )",387485,"(+/- 7416 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9553,"(+/- 2335 )",23871,"(+/- 2950 )",4043,"(+/- 1422 )",13181,"(+/- 1980 )",15326,"(+/- 2429 )"
Workers,Industry,Construction,24424,"(+/- 3137 )",27770,"(+/- 3371 )",24854,"(+/- 3089 )",19600,"(+/- 2590 )",29326,"(+/- 3000 )"
Workers,Industry,Manufacturing,69062,"(+/- 4165 )",33126,"(+/- 3547 )",43212,"(+/- 3770 )",40616,"(+/- 3415 )",42535,"(+/- 4071 )"
Workers,Industry,"Wholesale trade",12852,"(+/- 1841 )",7422,"(+/- 1705 )",16082,"(+/- 2236 )",7672,"(+/- 1805 )",11927,"(+/- 2168 )"
Workers,Industry,"Retail trade",49531,"(+/- 4357 )",43838,"(+/- 3965 )",49298,"(+/- 3410 )",43965,"(+/- 3620 )",45709,"(+/- 3610 )"
Workers,Industry,"Transportation and warehousing, and utilities",18044,"(+/- 2212 )",17483,"(+/- 2692 )",23581,"(+/- 2751 )",15012,"(+/- 1740 )",16035,"(+/- 2487 )"
Workers,Industry,Information,7872,"(+/- 1484 )",6847,"(+/- 1536 )",11185,"(+/- 1875 )",3828,"(+/- 823 )",5784,"(+/- 1474 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",31902,"(+/- 3562 )",15667,"(+/- 2137 )",26503,"(+/- 2736 )",15668,"(+/- 2312 )",21928,"(+/- 2166 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",55060,"(+/- 3872 )",31660,"(+/- 2737 )",57507,"(+/- 3762 )",33050,"(+/- 3262 )",38107,"(+/- 3402 )"
Workers,Industry,"Educational services, and health care and social assistance",87289,"(+/- 4877 )",78928,"(+/- 5172 )",109786,"(+/- 5378 )",96176,"(+/- 4437 )",84627,"(+/- 4301 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36923,"(+/- 3789 )",35958,"(+/- 3617 )",50183,"(+/- 4056 )",35966,"(+/- 3431 )",31926,"(+/- 3740 )"
Workers,Industry,"Other services, except public administration",15833,"(+/- 2028 )",17508,"(+/- 2509 )",24953,"(+/- 2666 )",16443,"(+/- 2293 )",18213,"(+/- 1942 )"
Workers,Industry,"Public administration",13995,"(+/- 2035 )",18097,"(+/- 1979 )",17114,"(+/- 2544 )",15421,"(+/- 2434 )",26042,"(+/- 2697 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",432340,"(+/- 7072 )",358175,"(+/- 6299 )",458301,"(+/- 8119 )",356598,"(+/- 6521 )",387485,"(+/- 7416 )"
Workers,"Class of Worker","Private wage and salary workers",362343,"(+/- 7511 )",275882,"(+/- 6637 )",371600,"(+/- 7658 )",273105,"(+/- 6740 )",302581,"(+/- 7222 )"
Workers,"Class of Worker","Government workers",42241,"(+/- 3322 )",47589,"(+/- 3620 )",53954,"(+/- 3883 )",55668,"(+/- 4212 )",57481,"(+/- 4115 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",27189,"(+/- 2478 )",34183,"(+/- 3360 )",31525,"(+/- 2881 )",27039,"(+/- 2780 )",27119,"(+/- 2941 )"
Workers,"Class of Worker","Unpaid family workers",567,"(+/- 284 )",521,"(+/- 294 )",1222,"(+/- 566 )",786,"(+/- 324 )",304,"(+/- 226 )"
Housing,"Housing Occupancy","Total housing units",344672,"(+/- 2023 )",372943,"(+/- 2027 )",352862,"(+/- 2692 )",355470,"(+/- 2061 )",342635,"(+/- 2227 )"
Housing,"Housing Occupancy","Occupied housing units",319240,"(+/- 3572 )",325181,"(+/- 4038 )",329586,"(+/- 3279 )",324338,"(+/- 3358 )",305290,"(+/- 4182 )"
Housing,"Housing Occupancy","Vacant housing units",25432,"(+/- 3247 )",47762,"(+/- 4092 )",23276,"(+/- 2639 )",31132,"(+/- 3410 )",37345,"(+/- 3357 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,"(+/- 0.4 )",2.0,"(+/- 0.7 )",1.0,"(+/- 0.5 )",0.8,"(+/- 0.4 )",1.5,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.8,"(+/- 1.3 )",2.8,"(+/- 0.9 )",3.1,"(+/- 1.0 )",4.0,"(+/- 1.1 )",5.5,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",319240,"(+/- 3572 )",325181,"(+/- 4038 )",329586,"(+/- 3279 )",324338,"(+/- 3358 )",305290,"(+/- 4182 )"
Housing,"Housing Tenure",Owner-occupied,203160,"(+/- 3880 )",210912,"(+/- 4825 )",193702,"(+/- 3978 )",201155,"(+/- 4575 )",198086,"(+/- 4441 )"
Housing,"Housing Tenure",Renter-occupied,116080,"(+/- 4488 )",114269,"(+/- 4974 )",135884,"(+/- 3909 )",123183,"(+/- 4316 )",107204,"(+/- 4225 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.73,"(+/- 0.04 )",2.51,"(+/- 0.04 )",2.67,"(+/- 0.05 )",2.52,"(+/- 0.04 )",2.70,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.38,"(+/- 0.08 )",2.36,"(+/- 0.07 )",2.25,"(+/- 0.06 )",2.25,"(+/- 0.06 )",2.62,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",319240,"(+/- 3572 )",325181,"(+/- 4038 )",329586,"(+/- 3279 )",324338,"(+/- 3358 )",305290,"(+/- 4182 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",103076,"(+/- 4164 )",96976,"(+/- 4522 )",107486,"(+/- 3995 )",105977,"(+/- 4383 )",89499,"(+/- 4360 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",75296,"(+/- 3749 )",83162,"(+/- 4615 )",79759,"(+/- 4465 )",71863,"(+/- 4706 )",71303,"(+/- 3690 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",76384,"(+/- 3582 )",81716,"(+/- 4377 )",78244,"(+/- 3651 )",73036,"(+/- 3644 )",78401,"(+/- 4166 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",36537,"(+/- 2357 )",35505,"(+/- 2901 )",32237,"(+/- 2429 )",37622,"(+/- 2881 )",35654,"(+/- 2513 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",14994,"(+/- 1729 )",14536,"(+/- 1591 )",15691,"(+/- 1611 )",17492,"(+/- 1585 )",15858,"(+/- 1833 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",12953,"(+/- 1583 )",13286,"(+/- 1627 )",16169,"(+/- 1558 )",18348,"(+/- 1731 )",14575,"(+/- 1544 )"
Housing,Value,"Owner-occupied units",203160,"(+/- 3880 )",210912,"(+/- 4825 )",193702,"(+/- 3978 )",201155,"(+/- 4575 )",198086,"(+/- 4441 )"
Housing,Value,"Less than $50,000",6404,"(+/- 1083 )",14089,"(+/- 1791 )",5207,"(+/- 1117 )",14212,"(+/- 1843 )",8931,"(+/- 1357 )"
Housing,Value,"$50,000 to $99,999",3861,"(+/- 784 )",14795,"(+/- 1704 )",2215,"(+/- 745 )",7904,"(+/- 1235 )",4575,"(+/- 1020 )"
Housing,Value,"$100,000 to $149,999",4783,"(+/- 916 )",19445,"(+/- 2119 )",2222,"(+/- 650 )",16789,"(+/- 1642 )",9629,"(+/- 1772 )"
Housing,Value,"$150,000 to $199,999",7502,"(+/- 1244 )",25691,"(+/- 2238 )",6359,"(+/- 1080 )",31121,"(+/- 2759 )",22462,"(+/- 2167 )"
