Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Median age (years)",38.3,"(+/- 0.7 )",36.6,"(+/- 0.5 )",36.1,"(+/- 0.3 )",37.1,"(+/- 0.4 )",37.5,"(+/- 0.5 )",35.6,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",621964,"(+/- 7505 )",617161,"(+/- 8914 )",591446,"(+/- 2295 )",573043,"(+/- 3157 )",562042,"(+/- 5393 )",609435,"(+/- 8777 )"
People,"Sex and Age","65 years and over",127751,"(+/- 3037 )",112528,"(+/- 3603 )",110205,"(+/- 1350 )",121276,"(+/- 1419 )",116655,"(+/- 2293 )",107696,"(+/- 2871 )"
People,Race,"Total population",808968,"(+/- 11488 )",797298,"(+/- 13283 )",788118,"(+/- 2492 )",753143,"(+/- 4546 )",740217,"(+/- 7670 )",796589,"(+/- 11810 )"
People,Race,"One race",790632,"(+/- 11845 )",785984,"(+/- 13293 )",771179,"(+/- 4659 )",735973,"(+/- 6266 )",730407,"(+/- 7754 )",783749,"(+/- 12285 )"
People,Race,White,622417,"(+/- 8200 )",245614,"(+/- 7743 )",552065,"(+/- 4071 )",456657,"(+/- 4356 )",450459,"(+/- 5632 )",563606,"(+/- 7221 )"
People,Race,"Black or African American",119936,"(+/- 8490 )",497648,"(+/- 10437 )",195677,"(+/- 4100 )",257292,"(+/- 5331 )",266475,"(+/- 6556 )",184311,"(+/- 10274 )"
People,Race,"American Indian and Alaska Native",8116,"(+/- 1726 )",1262,"(+/- 612 )",1650,"(+/- 737 )",6077,"(+/- 770 )",2062,"(+/- 582 )",4681,"(+/- 1703 )"
People,Race,Asian,19626,"(+/- 2048 )",19858,"(+/- 2020 )",12654,"(+/- 1033 )",7384,"(+/- 912 )",6443,"(+/- 648 )",18851,"(+/- 1161 )"
People,Race,"Native Hawaiian and Other Pacific Islander",167,"(+/- 188 )",28,"(+/- 48 )",23,"(+/- 33 )",333,"(+/- 314 )",635,"(+/- 587 )",331,"(+/- 476 )"
People,Race,"Some other race",20370,"(+/- 4319 )",21574,"(+/- 4000 )",9110,"(+/- 3193 )",8230,"(+/- 2477 )",4333,"(+/- 1564 )",11969,"(+/- 3316 )"
People,Race,"Two or more races",18336,"(+/- 2881 )",11314,"(+/- 2380 )",16939,"(+/- 4027 )",17170,"(+/- 3817 )",9810,"(+/- 2538 )",12840,"(+/- 2911 )"
People,"Hispanic or Latino and Race","Total population",808968,"(+/- 11488 )",797298,"(+/- 13283 )",788118,"(+/- 2492 )",753143,"(+/- 4546 )",740217,"(+/- 7670 )",796589,"(+/- 11810 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",74913,"(+/- 4663 )",53062,"(+/- 4638 )",31800,"(+/- 468 )",30200,"(+/- 1125 )",17666,"(+/- 1972 )",35979,"(+/- 2324 )"
People,"Hispanic or Latino and Race",Mexican,17348,"(+/- 4209 )",12520,"(+/- 3195 )",18514,"(+/- 3041 )",18045,"(+/- 2005 )",10186,"(+/- 2019 )",12727,"(+/- 2989 )"
People,"Hispanic or Latino and Race","Puerto Rican",2438,"(+/- 1094 )",2608,"(+/- 1407 )",2241,"(+/- 1265 )",2041,"(+/- 940 )",2034,"(+/- 881 )",4747,"(+/- 2125 )"
People,"Hispanic or Latino and Race",Cuban,5671,"(+/- 1359 )",2910,"(+/- 1377 )",1340,"(+/- 836 )",1662,"(+/- 1119 )",1385,"(+/- 1111 )",2187,"(+/- 1312 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",49456,"(+/- 4835 )",35024,"(+/- 4907 )",9705,"(+/- 2945 )",8452,"(+/- 1912 )",4061,"(+/- 1267 )",16318,"(+/- 2831 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",734055,"(+/- 11607 )",744236,"(+/- 13875 )",756318,"(+/- 2525 )",722943,"(+/- 4599 )",722551,"(+/- 8088 )",760610,"(+/- 11699 )"
People,"Place of Birth","Total population",808968,"(+/- 11488 )",797298,"(+/- 13283 )",788118,"(+/- 2492 )",753143,"(+/- 4546 )",740217,"(+/- 7670 )",796589,"(+/- 11810 )"
People,"Place of Birth",Native,749509,"(+/- 12310 )",755069,"(+/- 14030 )",764857,"(+/- 4055 )",735773,"(+/- 4977 )",726980,"(+/- 7832 )",760742,"(+/- 11877 )"
People,"Place of Birth","Born in United States",742366,"(+/- 12276 )",748652,"(+/- 14136 )",760560,"(+/- 4004 )",729075,"(+/- 5311 )",723780,"(+/- 7821 )",755693,"(+/- 11883 )"
People,"Place of Birth","State of residence",592978,"(+/- 13093 )",629771,"(+/- 13577 )",668128,"(+/- 7030 )",558366,"(+/- 8956 )",603699,"(+/- 9703 )",616150,"(+/- 12403 )"
People,"Place of Birth","Different state",149388,"(+/- 7312 )",118881,"(+/- 6581 )",92432,"(+/- 6592 )",170709,"(+/- 6314 )",120081,"(+/- 7230 )",139543,"(+/- 8699 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7143,"(+/- 1728 )",6417,"(+/- 1634 )",4297,"(+/- 1438 )",6698,"(+/- 1348 )",3200,"(+/- 1041 )",5049,"(+/- 1533 )"
People,"Place of Birth","Foreign born",59459,"(+/- 4739 )",42229,"(+/- 3672 )",23261,"(+/- 3251 )",17370,"(+/- 1904 )",13237,"(+/- 2287 )",35847,"(+/- 4119 )"
People,Ancestry,"Total population",808968,"(+/- 11488 )",797298,"(+/- 13283 )",788118,"(+/- 2492 )",753143,"(+/- 4546 )",740217,"(+/- 7670 )",796589,"(+/- 11810 )"
People,Ancestry,American,39381,"(+/- 5169 )",28975,"(+/- 4761 )",52833,"(+/- 6323 )",91788,"(+/- 9007 )",80974,"(+/- 6521 )",71174,"(+/- 7996 )"
People,Ancestry,Arab,5102,"(+/- 2197 )",2704,"(+/- 1566 )",2783,"(+/- 1321 )",1848,"(+/- 1240 )",1469,"(+/- 1000 )",1619,"(+/- 962 )"
People,Ancestry,Czech,1358,"(+/- 731 )",634,"(+/- 344 )",43,"(+/- 79 )",395,"(+/- 265 )",627,"(+/- 593 )",396,"(+/- 414 )"
People,Ancestry,Danish,601,"(+/- 304 )",183,"(+/- 174 )",129,"(+/- 157 )",636,"(+/- 588 )",502,"(+/- 512 )",662,"(+/- 498 )"
People,Ancestry,Dutch,4053,"(+/- 1124 )",1850,"(+/- 658 )",2072,"(+/- 1012 )",1756,"(+/- 688 )",3440,"(+/- 984 )",3687,"(+/- 1981 )"
People,Ancestry,English,49414,"(+/- 4541 )",19488,"(+/- 2336 )",31399,"(+/- 4611 )",40740,"(+/- 4421 )",50415,"(+/- 4810 )",44238,"(+/- 5807 )"
People,Ancestry,"French (except Basque)",135721,"(+/- 8468 )",62217,"(+/- 5953 )",150097,"(+/- 10005 )",61582,"(+/- 5003 )",39891,"(+/- 4623 )",121513,"(+/- 8440 )"
People,Ancestry,"French Canadian",27966,"(+/- 4392 )",5258,"(+/- 1400 )",64804,"(+/- 7548 )",16553,"(+/- 4156 )",13300,"(+/- 3410 )",17418,"(+/- 3161 )"
People,Ancestry,German,105339,"(+/- 6619 )",32553,"(+/- 2895 )",44813,"(+/- 4987 )",33571,"(+/- 3542 )",31744,"(+/- 4459 )",64166,"(+/- 6674 )"
People,Ancestry,Greek,1994,"(+/- 1094 )",548,"(+/- 356 )",420,"(+/- 419 )",526,"(+/- 386 )",194,"(+/- 223 )",629,"(+/- 431 )"
People,Ancestry,Hungarian,3232,"(+/- 1503 )",504,"(+/- 373 )",643,"(+/- 437 )",577,"(+/- 411 )",1107,"(+/- 1134 )",1096,"(+/- 720 )"
People,Ancestry,Irish,82863,"(+/- 7399 )",28201,"(+/- 4006 )",39814,"(+/- 4818 )",43623,"(+/- 4073 )",57633,"(+/- 4735 )",57812,"(+/- 7180 )"
People,Ancestry,Italian,91507,"(+/- 6565 )",25956,"(+/- 3123 )",23275,"(+/- 4016 )",14744,"(+/- 2710 )",20039,"(+/- 4074 )",48219,"(+/- 5550 )"
People,Ancestry,Lithuanian,623,"(+/- 410 )",138,"(+/- 134 )",122,"(+/- 162 )",295,"(+/- 385 )",19,"(+/- 33 )",256,"(+/- 302 )"
People,Ancestry,Norwegian,2827,"(+/- 1126 )",1772,"(+/- 802 )",1695,"(+/- 2050 )",1865,"(+/- 882 )",635,"(+/- 378 )",2213,"(+/- 1337 )"
People,Ancestry,Polish,6018,"(+/- 1488 )",2944,"(+/- 722 )",1351,"(+/- 643 )",3019,"(+/- 998 )",2268,"(+/- 985 )",4926,"(+/- 1986 )"
People,Ancestry,Portuguese,975,"(+/- 491 )",393,"(+/- 344 )",609,"(+/- 374 )",394,"(+/- 361 )",486,"(+/- 412 )",690,"(+/- 550 )"
People,Ancestry,Russian,2694,"(+/- 1041 )",1677,"(+/- 632 )",1012,"(+/- 676 )",1548,"(+/- 941 )",1214,"(+/- 1094 )",1497,"(+/- 975 )"
People,Ancestry,Scotch-Irish,5158,"(+/- 1426 )",2738,"(+/- 692 )",4256,"(+/- 1336 )",8083,"(+/- 1974 )",7341,"(+/- 2267 )",9514,"(+/- 3414 )"
People,Ancestry,Scottish,12394,"(+/- 2505 )",3979,"(+/- 1023 )",6067,"(+/- 1918 )",9400,"(+/- 2474 )",6257,"(+/- 1419 )",10702,"(+/- 2273 )"
People,Ancestry,Slovak,80,"(+/- 99 )",129,"(+/- 146 )",82,"(+/- 129 )",0,"(+/- 214 )",0,"(+/- 214 )",440,"(+/- 393 )"
People,Ancestry,"Subsaharan African",4415,"(+/- 1637 )",36679,"(+/- 5150 )",2631,"(+/- 1315 )",27775,"(+/- 5212 )",4972,"(+/- 2169 )",13532,"(+/- 5127 )"
People,Ancestry,Swedish,6096,"(+/- 3695 )",1406,"(+/- 515 )",1480,"(+/- 834 )",1382,"(+/- 555 )",1151,"(+/- 536 )",2629,"(+/- 1114 )"
People,Ancestry,Swiss,1494,"(+/- 621 )",722,"(+/- 422 )",509,"(+/- 399 )",104,"(+/- 117 )",434,"(+/- 329 )",157,"(+/- 167 )"
People,Ancestry,Ukrainian,1214,"(+/- 765 )",390,"(+/- 242 )",164,"(+/- 189 )",520,"(+/- 557 )",38,"(+/- 66 )",309,"(+/- 221 )"
People,Ancestry,Welsh,2224,"(+/- 1022 )",1163,"(+/- 516 )",837,"(+/- 515 )",2061,"(+/- 919 )",1502,"(+/- 1054 )",1641,"(+/- 798 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2078,"(+/- 1171 )",2794,"(+/- 1031 )",1597,"(+/- 1404 )",1973,"(+/- 1130 )",1281,"(+/- 1422 )",817,"(+/- 642 )"
People,"Veteran Status","Civilian population 18 years and over",620327,"(+/- 7654 )",615897,"(+/- 9034 )",591341,"(+/- 2272 )",562106,"(+/- 3512 )",561052,"(+/- 5384 )",608606,"(+/- 8821 )"
People,"Veteran Status","Civilian veterans",42191,"(+/- 3070 )",30760,"(+/- 2832 )",39199,"(+/- 3498 )",46766,"(+/- 3372 )",40154,"(+/- 2898 )",38602,"(+/- 3677 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",801992,"(+/- 11949 )",783134,"(+/- 13283 )",780149,"(+/- 2943 )",725609,"(+/- 5497 )",698972,"(+/- 8283 )",790402,"(+/- 12121 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",119402,"(+/- 6559 )",128475,"(+/- 5287 )",106790,"(+/- 5576 )",111330,"(+/- 5075 )",111688,"(+/- 5215 )",101838,"(+/- 6204 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",186793,"(+/- 5788 )",179721,"(+/- 6936 )",196559,"(+/- 1572 )",180015,"(+/- 2208 )",177660,"(+/- 3688 )",187042,"(+/- 5657 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10508,"(+/- 2100 )",10336,"(+/- 2041 )",9652,"(+/- 2016 )",8791,"(+/- 1691 )",9550,"(+/- 1646 )",8159,"(+/- 2396 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",489643,"(+/- 7252 )",493180,"(+/- 8615 )",477244,"(+/- 2939 )",429500,"(+/- 3922 )",409837,"(+/- 5654 )",497967,"(+/- 8583 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",61734,"(+/- 5020 )",74025,"(+/- 4331 )",56796,"(+/- 4937 )",55822,"(+/- 3515 )",57347,"(+/- 4240 )",55918,"(+/- 4753 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",125556,"(+/- 3050 )",110233,"(+/- 3468 )",106346,"(+/- 1374 )",116094,"(+/- 1598 )",111475,"(+/- 2445 )",105393,"(+/- 2707 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",47160,"(+/- 3028 )",44114,"(+/- 2552 )",40342,"(+/- 2789 )",46717,"(+/- 2690 )",44791,"(+/- 2724 )",37761,"(+/- 2789 )"
People,"Residence 1 Year Ago","Population 1 year and over",801122,"(+/- 11706 )",788169,"(+/- 13132 )",778120,"(+/- 3104 )",743112,"(+/- 5154 )",731012,"(+/- 7701 )",788427,"(+/- 11737 )"
People,"Residence 1 Year Ago","Same house",696785,"(+/- 13956 )",696795,"(+/- 13811 )",676187,"(+/- 8556 )",651045,"(+/- 8368 )",631602,"(+/- 10250 )",678260,"(+/- 13816 )"
People,"Residence 1 Year Ago","Different house in the U.S.",100993,"(+/- 8988 )",89760,"(+/- 8766 )",98871,"(+/- 8102 )",90103,"(+/- 7441 )",98089,"(+/- 8412 )",108696,"(+/- 9620 )"
People,"Residence 1 Year Ago","Same county",57003,"(+/- 6827 )",57320,"(+/- 7221 )",62217,"(+/- 6832 )",45888,"(+/- 5378 )",59869,"(+/- 6429 )",67077,"(+/- 8244 )"
People,"Residence 1 Year Ago","Different county",43990,"(+/- 5835 )",32440,"(+/- 4466 )",36654,"(+/- 5574 )",44215,"(+/- 5583 )",38220,"(+/- 4523 )",41619,"(+/- 6327 )"
People,"Residence 1 Year Ago","Same state",33293,"(+/- 5406 )",19112,"(+/- 3862 )",28450,"(+/- 5041 )",25125,"(+/- 4452 )",29441,"(+/- 4044 )",28881,"(+/- 5218 )"
People,"Residence 1 Year Ago","Different state",10697,"(+/- 2032 )",13328,"(+/- 2170 )",8204,"(+/- 2177 )",19090,"(+/- 2867 )",8779,"(+/- 2285 )",12738,"(+/- 3874 )"
People,"Residence 1 Year Ago",Abroad,3344,"(+/- 1262 )",1614,"(+/- 774 )",3062,"(+/- 1698 )",1964,"(+/- 755 )",1321,"(+/- 753 )",1471,"(+/- 815 )"
Workers,"Employment Status","Population 16 years and over",641447,"(+/- 7611 )",637396,"(+/- 9256 )",612515,"(+/- 3393 )",592586,"(+/- 3556 )",583885,"(+/- 5604 )",631990,"(+/- 9611 )"
Workers,"Employment Status","In labor force",401587,"(+/- 8097 )",367847,"(+/- 8597 )",375031,"(+/- 7485 )",325725,"(+/- 7291 )",302093,"(+/- 7747 )",407853,"(+/- 9760 )"
Workers,"Employment Status","Civilian labor force",399950,"(+/- 8270 )",366583,"(+/- 8680 )",374926,"(+/- 7482 )",314788,"(+/- 7131 )",301103,"(+/- 7694 )",407024,"(+/- 9719 )"
Workers,"Employment Status",Employed,382618,"(+/- 8620 )",334112,"(+/- 8416 )",350393,"(+/- 7879 )",289375,"(+/- 7301 )",280493,"(+/- 7648 )",385775,"(+/- 9487 )"
Workers,"Employment Status",Unemployed,17332,"(+/- 2091 )",32471,"(+/- 3935 )",24533,"(+/- 2948 )",25413,"(+/- 3055 )",20610,"(+/- 2636 )",21249,"(+/- 3374 )"
Workers,"Employment Status","Armed Forces",1637,"(+/- 739 )",1264,"(+/- 564 )",105,"(+/- 124 )",10937,"(+/- 1437 )",990,"(+/- 493 )",829,"(+/- 482 )"
Workers,"Employment Status","Not in labor force",239860,"(+/- 6622 )",269549,"(+/- 8043 )",237484,"(+/- 7325 )",266861,"(+/- 7059 )",281792,"(+/- 6723 )",224137,"(+/- 7267 )"
Workers,"Employment Status","Civilian labor force",399950,"(+/- 8270 )",366583,"(+/- 8680 )",374926,"(+/- 7482 )",314788,"(+/- 7131 )",301103,"(+/- 7694 )",407024,"(+/- 9719 )"
Workers,"Employment Status","Unemployment Rate",4.3,"(+/- 0.5 )",8.9,"(+/- 1.0 )",6.5,"(+/- 0.8 )",8.1,"(+/- 1.0 )",6.8,"(+/- 0.9 )",5.2,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",377335,"(+/- 8223 )",329433,"(+/- 8171 )",344391,"(+/- 7936 )",295197,"(+/- 7479 )",275545,"(+/- 7600 )",381595,"(+/- 9369 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",302877,"(+/- 8004 )",248352,"(+/- 8330 )",294605,"(+/- 6804 )",252679,"(+/- 7021 )",232994,"(+/- 7586 )",325573,"(+/- 9353 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",40240,"(+/- 5116 )",32760,"(+/- 3191 )",27925,"(+/- 3566 )",25210,"(+/- 2950 )",26886,"(+/- 2838 )",31787,"(+/- 4084 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1283,"(+/- 544 )",13430,"(+/- 2149 )",1748,"(+/- 790 )",1646,"(+/- 706 )",1416,"(+/- 599 )",1899,"(+/- 984 )"
Workers,"Commuting to Work",Walked,5699,"(+/- 1203 )",10454,"(+/- 1788 )",5953,"(+/- 1518 )",3524,"(+/- 929 )",3544,"(+/- 1109 )",4581,"(+/- 1095 )"
Workers,"Commuting to Work","Other means",8421,"(+/- 2161 )",12625,"(+/- 1934 )",3716,"(+/- 1144 )",4260,"(+/- 1311 )",4323,"(+/- 1026 )",6192,"(+/- 1754 )"
Workers,"Commuting to Work","Worked at home",18815,"(+/- 2333 )",11812,"(+/- 1783 )",10444,"(+/- 2082 )",7878,"(+/- 1711 )",6382,"(+/- 1379 )",11563,"(+/- 2359 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.3,"(+/- 0.8 )",25.2,"(+/- 0.6 )",24.0,"(+/- 0.9 )",24.0,"(+/- 0.8 )",23.8,"(+/- 1.0 )",27.6,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",382618,"(+/- 8620 )",334112,"(+/- 8416 )",350393,"(+/- 7879 )",289375,"(+/- 7301 )",280493,"(+/- 7648 )",385775,"(+/- 9487 )"
Workers,Occupation,"Management, business, science, and arts occupations",143139,"(+/- 5443 )",104200,"(+/- 4906 )",110194,"(+/- 5280 )",90919,"(+/- 4787 )",86985,"(+/- 4697 )",140373,"(+/- 6835 )"
Workers,Occupation,"Service occupations",66739,"(+/- 4785 )",79432,"(+/- 5635 )",66674,"(+/- 4634 )",52469,"(+/- 4262 )",61362,"(+/- 4493 )",60658,"(+/- 5823 )"
Workers,Occupation,"Sales and office occupations",90121,"(+/- 4616 )",77625,"(+/- 4826 )",83931,"(+/- 4843 )",69857,"(+/- 4729 )",62426,"(+/- 4391 )",94711,"(+/- 6339 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",42544,"(+/- 3295 )",29854,"(+/- 2929 )",44950,"(+/- 3304 )",36666,"(+/- 2917 )",32736,"(+/- 2978 )",43518,"(+/- 4245 )"
Workers,Occupation,"Production, transportation, and material moving occupations",40075,"(+/- 3670 )",43001,"(+/- 4585 )",44644,"(+/- 4042 )",39464,"(+/- 3619 )",36984,"(+/- 3094 )",46515,"(+/- 4052 )"
Workers,Industry,"Civilian employed population 16 years and over",382618,"(+/- 8620 )",334112,"(+/- 8416 )",350393,"(+/- 7879 )",289375,"(+/- 7301 )",280493,"(+/- 7648 )",385775,"(+/- 9487 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9432,"(+/- 1726 )",4509,"(+/- 1337 )",24167,"(+/- 2794 )",12780,"(+/- 2001 )",10246,"(+/- 1906 )",7050,"(+/- 1721 )"
Workers,Industry,Construction,34287,"(+/- 3447 )",24078,"(+/- 3036 )",26307,"(+/- 2714 )",21028,"(+/- 2522 )",20190,"(+/- 2407 )",37760,"(+/- 3977 )"
Workers,Industry,Manufacturing,24502,"(+/- 3046 )",20874,"(+/- 2812 )",30080,"(+/- 2899 )",23650,"(+/- 2359 )",19183,"(+/- 2321 )",38103,"(+/- 3700 )"
Workers,Industry,"Wholesale trade",11053,"(+/- 1582 )",6262,"(+/- 1419 )",8821,"(+/- 1720 )",6101,"(+/- 1263 )",5327,"(+/- 1239 )",8407,"(+/- 1622 )"
Workers,Industry,"Retail trade",42844,"(+/- 3814 )",39743,"(+/- 3435 )",43133,"(+/- 4143 )",35727,"(+/- 3301 )",33506,"(+/- 3480 )",45078,"(+/- 4559 )"
Workers,Industry,"Transportation and warehousing, and utilities",22816,"(+/- 2519 )",22403,"(+/- 2193 )",18776,"(+/- 2532 )",16584,"(+/- 2539 )",13416,"(+/- 2308 )",21469,"(+/- 2956 )"
Workers,Industry,Information,6444,"(+/- 2187 )",4713,"(+/- 979 )",4010,"(+/- 1151 )",4198,"(+/- 1263 )",6022,"(+/- 1332 )",5751,"(+/- 1396 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",22281,"(+/- 2426 )",17105,"(+/- 1901 )",17374,"(+/- 2626 )",13954,"(+/- 1971 )",14307,"(+/- 1900 )",23907,"(+/- 2719 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",43657,"(+/- 3518 )",32765,"(+/- 2973 )",26515,"(+/- 3714 )",23265,"(+/- 2498 )",19288,"(+/- 2435 )",39211,"(+/- 3492 )"
Workers,Industry,"Educational services, and health care and social assistance",85433,"(+/- 4844 )",76781,"(+/- 4444 )",79444,"(+/- 4496 )",72479,"(+/- 4060 )",78994,"(+/- 4198 )",84040,"(+/- 5455 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",40870,"(+/- 4148 )",49611,"(+/- 3414 )",40596,"(+/- 4634 )",27136,"(+/- 3000 )",25338,"(+/- 3415 )",33217,"(+/- 4607 )"
Workers,Industry,"Other services, except public administration",21832,"(+/- 2565 )",15292,"(+/- 2262 )",17413,"(+/- 2583 )",14965,"(+/- 2217 )",13312,"(+/- 2145 )",18888,"(+/- 2637 )"
Workers,Industry,"Public administration",17167,"(+/- 2487 )",19976,"(+/- 2549 )",13757,"(+/- 2269 )",17508,"(+/- 2645 )",21364,"(+/- 2608 )",22894,"(+/- 3376 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",382618,"(+/- 8620 )",334112,"(+/- 8416 )",350393,"(+/- 7879 )",289375,"(+/- 7301 )",280493,"(+/- 7648 )",385775,"(+/- 9487 )"
Workers,"Class of Worker","Private wage and salary workers",310391,"(+/- 8241 )",264872,"(+/- 8377 )",282603,"(+/- 7799 )",225955,"(+/- 6920 )",211814,"(+/- 7022 )",300896,"(+/- 9015 )"
Workers,"Class of Worker","Government workers",45113,"(+/- 4237 )",48285,"(+/- 3511 )",44269,"(+/- 3267 )",47171,"(+/- 4151 )",52740,"(+/- 3300 )",63234,"(+/- 5116 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",26549,"(+/- 2962 )",20349,"(+/- 2126 )",22783,"(+/- 3008 )",15823,"(+/- 2079 )",15505,"(+/- 2594 )",20946,"(+/- 3599 )"
Workers,"Class of Worker","Unpaid family workers",565,"(+/- 350 )",606,"(+/- 527 )",738,"(+/- 535 )",426,"(+/- 260 )",434,"(+/- 404 )",699,"(+/- 554 )"
Housing,"Housing Occupancy","Total housing units",340790,"(+/- 4223 )",354048,"(+/- 4212 )",343095,"(+/- 1085 )",351759,"(+/- 2056 )",331753,"(+/- 3403 )",340137,"(+/- 4830 )"
Housing,"Housing Occupancy","Occupied housing units",303983,"(+/- 5130 )",293971,"(+/- 5004 )",290886,"(+/- 4762 )",287975,"(+/- 4790 )",266365,"(+/- 5187 )",293943,"(+/- 5774 )"
Housing,"Housing Occupancy","Vacant housing units",36807,"(+/- 3138 )",60077,"(+/- 3649 )",52209,"(+/- 4636 )",63784,"(+/- 4305 )",65388,"(+/- 4888 )",46194,"(+/- 4817 )"
