Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,"Veteran Status","Civilian veterans",55273,"(+/- 3233 )",38254,"(+/- 2893 )",46568,"(+/- 2681 )",52514,"(+/- 3472 )",39860,"(+/- 2842 )",34824,"(+/- 2530 )",41733,"(+/- 3134 )",44281,"(+/- 3491 )",32811,"(+/- 2995 )",27366,"(+/- 2346 )",28629,"(+/- 2377 )",19291,"(+/- 2520 )",23347,"(+/- 2091 )",21940,"(+/- 1955 )",25173,"(+/- 2239 )",23160,"(+/- 2310 )",15272,"(+/- 1643 )",22427,"(+/- 2161 )",21687,"(+/- 2499 )",25952,"(+/- 2283 )",18170,"(+/- 1981 )",31140,"(+/- 2990 )",38496,"(+/- 3672 )",39768,"(+/- 3051 )",29288,"(+/- 2313 )",36794,"(+/- 2393 )",19747,"(+/- 1929 )",14745,"(+/- 1840 )",13662,"(+/- 1473 )",24537,"(+/- 2596 )",28504,"(+/- 2225 )",17104,"(+/- 2032 )",23167,"(+/- 2330 )",12179,"(+/- 1710 )",19148,"(+/- 1967 )",44213,"(+/- 3032 )",19169,"(+/- 2099 )",21454,"(+/- 2293 )",24827,"(+/- 2376 )",7984,"(+/- 1260 )",27472,"(+/- 2606 )",43517,"(+/- 3808 )",23994,"(+/- 3161 )",13160,"(+/- 1740 )",28654,"(+/- 2469 )",14857,"(+/- 1716 )",26671,"(+/- 2173 )",30580,"(+/- 2537 )",46527,"(+/- 3282 )",50671,"(+/- 3596 )",32148,"(+/- 3039 )",46932,"(+/- 4323 )",55272,"(+/- 4629 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",701364,"(+/- 5944 )",707453,"(+/- 4862 )",731409,"(+/- 6355 )",737973,"(+/- 6868 )",727035,"(+/- 7039 )",759673,"(+/- 10170 )",743970,"(+/- 10357 )",702636,"(+/- 11663 )",766209,"(+/- 8402 )",752003,"(+/- 4867 )",759686,"(+/- 7968 )",770655,"(+/- 7566 )",762785,"(+/- 3708 )",752322,"(+/- 9788 )",781189,"(+/- 7854 )",715307,"(+/- 12327 )",767082,"(+/- 9649 )",738929,"(+/- 13488 )",767534,"(+/- 11575 )",726512,"(+/- 6492 )",686691,"(+/- 13611 )",755793,"(+/- 13355 )",729646,"(+/- 13544 )",726641,"(+/- 3447 )",715093,"(+/- 12221 )",725622,"(+/- 4678 )",712575,"(+/- 10572 )",714842,"(+/- 14210 )",709903,"(+/- 22079 )",767506,"(+/- 17435 )",747875,"(+/- 12437 )",721700,"(+/- 10831 )",702689,"(+/- 13573 )",752026,"(+/- 23449 )",723115,"(+/- 11048 )",727859,"(+/- 10670 )",711373,"(+/- 17317 )",714130,"(+/- 12322 )",734676,"(+/- 8146 )",736737,"(+/- 15291 )",761753,"(+/- 7058 )",818688,"(+/- 12564 )",742955,"(+/- 17271 )",711750,"(+/- 15562 )",776102,"(+/- 7319 )",726078,"(+/- 10726 )",720191,"(+/- 11815 )",719478,"(+/- 8104 )",719891,"(+/- 9630 )",746952,"(+/- 11399 )",710075,"(+/- 15539 )",743860,"(+/- 17180 )",760844,"(+/- 19826 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",125083,"(+/- 5682 )",92206,"(+/- 4670 )",96462,"(+/- 5542 )",92648,"(+/- 5217 )",93906,"(+/- 4291 )",86670,"(+/- 5529 )",89357,"(+/- 5270 )",95088,"(+/- 5599 )",103831,"(+/- 6613 )",97169,"(+/- 4332 )",86651,"(+/- 5950 )",75444,"(+/- 5000 )",79784,"(+/- 5148 )",63123,"(+/- 4037 )",60288,"(+/- 3853 )",110188,"(+/- 6393 )",55505,"(+/- 4240 )",58174,"(+/- 4037 )",71376,"(+/- 4631 )",68747,"(+/- 4608 )",66396,"(+/- 5496 )",92794,"(+/- 5646 )",95553,"(+/- 5564 )",73832,"(+/- 4278 )",76811,"(+/- 4504 )",80713,"(+/- 4360 )",63712,"(+/- 4092 )",82191,"(+/- 5368 )",77661,"(+/- 4582 )",73826,"(+/- 4707 )",88960,"(+/- 5967 )",66768,"(+/- 4401 )",58696,"(+/- 3873 )",75183,"(+/- 4488 )",67214,"(+/- 4186 )",107247,"(+/- 6839 )",72092,"(+/- 4892 )",69022,"(+/- 4372 )",64611,"(+/- 4840 )",59725,"(+/- 3863 )",79947,"(+/- 5748 )",85718,"(+/- 5880 )",81747,"(+/- 4402 )",69822,"(+/- 4805 )",61621,"(+/- 4528 )",53091,"(+/- 3582 )",73949,"(+/- 4133 )",68173,"(+/- 3637 )",67604,"(+/- 4656 )",79172,"(+/- 5196 )",83028,"(+/- 5197 )",57044,"(+/- 4090 )",75421,"(+/- 5621 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",142591,"(+/- 2702 )",142762,"(+/- 3195 )",175436,"(+/- 4476 )",155031,"(+/- 3728 )",149054,"(+/- 4747 )",186233,"(+/- 5936 )",171867,"(+/- 5425 )",196594,"(+/- 7852 )",209740,"(+/- 5177 )",201366,"(+/- 3732 )",168741,"(+/- 4564 )",101675,"(+/- 2553 )",145451,"(+/- 4734 )",150175,"(+/- 3448 )",181293,"(+/- 5200 )",212454,"(+/- 7120 )",160040,"(+/- 6570 )",160007,"(+/- 6480 )",179909,"(+/- 6376 )",181089,"(+/- 2664 )",218254,"(+/- 7324 )",223063,"(+/- 7669 )",200976,"(+/- 8536 )",151788,"(+/- 1173 )",188420,"(+/- 7978 )",172055,"(+/- 2874 )",135484,"(+/- 6662 )",106544,"(+/- 5827 )",162230,"(+/- 9039 )",149565,"(+/- 7687 )",198533,"(+/- 7376 )",157491,"(+/- 6846 )",130899,"(+/- 6880 )",155601,"(+/- 9411 )",195242,"(+/- 7134 )",152609,"(+/- 7688 )",131513,"(+/- 7855 )",159381,"(+/- 6166 )",164145,"(+/- 7198 )",215128,"(+/- 8283 )",203213,"(+/- 7770 )",232952,"(+/- 8161 )",177766,"(+/- 9502 )",198028,"(+/- 8473 )",168204,"(+/- 7516 )",178050,"(+/- 7234 )",153182,"(+/- 7953 )",144774,"(+/- 6260 )",168133,"(+/- 7510 )",181797,"(+/- 6944 )",190596,"(+/- 6673 )",148493,"(+/- 7949 )",156988,"(+/- 8659 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7937,"(+/- 1672 )",4969,"(+/- 1198 )",6277,"(+/- 1298 )",4370,"(+/- 1130 )",5469,"(+/- 1590 )",5103,"(+/- 1436 )",7472,"(+/- 1335 )",5196,"(+/- 1237 )",7774,"(+/- 1820 )",8906,"(+/- 1377 )",5648,"(+/- 1919 )",2446,"(+/- 928 )",5582,"(+/- 1767 )",2891,"(+/- 980 )",4004,"(+/- 1154 )",11372,"(+/- 2142 )",2499,"(+/- 753 )",3242,"(+/- 808 )",5246,"(+/- 1369 )",5894,"(+/- 1633 )",4779,"(+/- 1213 )",10904,"(+/- 2404 )",9482,"(+/- 2026 )",5371,"(+/- 1383 )",8774,"(+/- 1745 )",7633,"(+/- 1843 )",2741,"(+/- 790 )",2519,"(+/- 740 )",5846,"(+/- 1280 )",4113,"(+/- 1034 )",7618,"(+/- 1680 )",4167,"(+/- 1131 )",3180,"(+/- 1051 )",4911,"(+/- 1177 )",4124,"(+/- 1038 )",7014,"(+/- 1838 )",2882,"(+/- 1000 )",4312,"(+/- 908 )",4471,"(+/- 970 )",6423,"(+/- 1316 )",7785,"(+/- 1744 )",6776,"(+/- 1882 )",5566,"(+/- 1613 )",6233,"(+/- 1233 )",4914,"(+/- 1570 )",4068,"(+/- 1019 )",5072,"(+/- 1190 )",3870,"(+/- 1084 )",4613,"(+/- 1517 )",5245,"(+/- 1096 )",6601,"(+/- 1680 )",5304,"(+/- 1409 )",5895,"(+/- 1681 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",411271,"(+/- 5184 )",418885,"(+/- 3924 )",453563,"(+/- 5622 )",428815,"(+/- 4918 )",453029,"(+/- 6123 )",480874,"(+/- 7435 )",458882,"(+/- 7681 )",410028,"(+/- 8295 )",462894,"(+/- 7631 )",455007,"(+/- 4557 )",467530,"(+/- 6061 )",554235,"(+/- 6251 )",509509,"(+/- 4245 )",482887,"(+/- 7898 )",501371,"(+/- 6325 )",427718,"(+/- 7574 )",511882,"(+/- 8273 )",468573,"(+/- 10896 )",491666,"(+/- 9656 )",446953,"(+/- 4906 )",407961,"(+/- 8904 )",439884,"(+/- 9238 )",436873,"(+/- 8306 )",453989,"(+/- 3261 )",442727,"(+/- 10443 )",444849,"(+/- 4574 )",454165,"(+/- 8375 )",498248,"(+/- 10968 )",469557,"(+/- 15091 )",506183,"(+/- 14121 )",472593,"(+/- 10194 )",465824,"(+/- 8533 )",447591,"(+/- 10648 )",512522,"(+/- 16454 )",459341,"(+/- 9964 )",414656,"(+/- 7651 )",491384,"(+/- 13635 )",450655,"(+/- 9354 )",463180,"(+/- 8905 )",460559,"(+/- 10247 )",489116,"(+/- 8936 )",488690,"(+/- 10348 )",468379,"(+/- 13402 )",441586,"(+/- 11347 )",498451,"(+/- 8149 )",480994,"(+/- 9486 )",472117,"(+/- 9891 )",442419,"(+/- 7675 )",433649,"(+/- 8957 )",456510,"(+/- 8933 )",434177,"(+/- 10892 )",491538,"(+/- 13636 )",508213,"(+/- 14901 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",61116,"(+/- 4458 )",44654,"(+/- 3514 )",52097,"(+/- 4480 )",41404,"(+/- 3600 )",45972,"(+/- 3556 )",45147,"(+/- 4115 )",43351,"(+/- 3576 )",50922,"(+/- 4409 )",60092,"(+/- 5453 )",46898,"(+/- 3431 )",44826,"(+/- 4044 )",34368,"(+/- 3245 )",40711,"(+/- 3385 )",22057,"(+/- 2469 )",25047,"(+/- 2505 )",61449,"(+/- 5011 )",24074,"(+/- 2678 )",24241,"(+/- 3045 )",31383,"(+/- 3267 )",33674,"(+/- 3465 )",38035,"(+/- 4068 )",42876,"(+/- 4195 )",50094,"(+/- 3874 )",32907,"(+/- 3140 )",38199,"(+/- 2825 )",34596,"(+/- 3104 )",24042,"(+/- 2549 )",34962,"(+/- 3789 )",35752,"(+/- 3114 )",29477,"(+/- 2831 )",47100,"(+/- 4598 )",29595,"(+/- 2786 )",20042,"(+/- 2210 )",37543,"(+/- 2968 )",34715,"(+/- 3291 )",48204,"(+/- 3901 )",36255,"(+/- 3244 )",28729,"(+/- 2600 )",27906,"(+/- 3065 )",29924,"(+/- 2671 )",44804,"(+/- 4007 )",42305,"(+/- 3913 )",41188,"(+/- 3390 )",35545,"(+/- 3228 )",24055,"(+/- 2810 )",26683,"(+/- 2621 )",35481,"(+/- 2767 )",27559,"(+/- 2810 )",29687,"(+/- 3603 )",37957,"(+/- 3481 )",40474,"(+/- 4173 )",24072,"(+/- 2826 )",36431,"(+/- 3417 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",147502,"(+/- 2557 )",145806,"(+/- 2781 )",102410,"(+/- 3307 )",154127,"(+/- 2475 )",124952,"(+/- 4417 )",92566,"(+/- 4048 )",113221,"(+/- 3763 )",96014,"(+/- 4374 )",93575,"(+/- 3565 )",95630,"(+/- 2603 )",123415,"(+/- 3181 )",114745,"(+/- 2613 )",107825,"(+/- 3654 )",119260,"(+/- 3623 )",98525,"(+/- 3737 )",75135,"(+/- 2802 )",95160,"(+/- 3877 )",110349,"(+/- 4515 )",95959,"(+/- 4458 )",98470,"(+/- 1875 )",60476,"(+/- 3706 )",92846,"(+/- 3304 )",91797,"(+/- 3463 )",120864,"(+/- 1104 )",83946,"(+/- 4477 )",108718,"(+/- 2463 )",122926,"(+/- 5451 )",110050,"(+/- 5436 )",78116,"(+/- 4331 )",111758,"(+/- 6170 )",76749,"(+/- 4843 )",98385,"(+/- 5278 )",124199,"(+/- 5425 )",83903,"(+/- 4719 )",68532,"(+/- 3714 )",160594,"(+/- 4605 )",88476,"(+/- 4167 )",104094,"(+/- 5410 )",107351,"(+/- 5782 )",61050,"(+/- 4071 )",69424,"(+/- 3904 )",97046,"(+/- 4696 )",96810,"(+/- 4329 )",72136,"(+/- 4318 )",109447,"(+/- 4784 )",67034,"(+/- 4414 )",94892,"(+/- 5229 )",132285,"(+/- 6148 )",118109,"(+/- 6594 )",108645,"(+/- 5427 )",85302,"(+/- 3530 )",103829,"(+/- 5330 )",95643,"(+/- 4857 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",56030,"(+/- 3083 )",42583,"(+/- 2667 )",38088,"(+/- 2499 )",46874,"(+/- 3309 )",42465,"(+/- 3219 )",36420,"(+/- 3155 )",38534,"(+/- 3128 )",38970,"(+/- 3411 )",35965,"(+/- 2783 )",41365,"(+/- 2617 )",36177,"(+/- 3014 )",38630,"(+/- 3190 )",33491,"(+/- 2878 )",38175,"(+/- 2581 )",31237,"(+/- 2670 )",37367,"(+/- 2439 )",28932,"(+/- 2747 )",30691,"(+/- 2366 )",34747,"(+/- 3028 )",29179,"(+/- 2057 )",23582,"(+/- 2408 )",39014,"(+/- 2884 )",35977,"(+/- 2583 )",35554,"(+/- 2463 )",29838,"(+/- 2999 )",38484,"(+/- 2299 )",36929,"(+/- 2890 )",44710,"(+/- 3741 )",36063,"(+/- 3146 )",40236,"(+/- 3047 )",34242,"(+/- 3133 )",33006,"(+/- 2756 )",35474,"(+/- 3246 )",32729,"(+/- 2550 )",28375,"(+/- 2317 )",52029,"(+/- 3730 )",32955,"(+/- 3324 )",35981,"(+/- 2801 )",32234,"(+/- 3063 )",23378,"(+/- 2287 )",27358,"(+/- 2614 )",36637,"(+/- 3448 )",34993,"(+/- 2718 )",28044,"(+/- 2516 )",32652,"(+/- 2894 )",22340,"(+/- 2272 )",33396,"(+/- 3241 )",36744,"(+/- 2831 )",33304,"(+/- 3188 )",35970,"(+/- 3112 )",35953,"(+/- 2866 )",27668,"(+/- 2656 )",33095,"(+/- 3171 )"
People,"Residence 1 Year Ago","Population 1 year and over",710125,"(+/- 5892 )",711724,"(+/- 4844 )",740309,"(+/- 6058 )",741464,"(+/- 7151 )",725510,"(+/- 7163 )",752464,"(+/- 10067 )",741627,"(+/- 10242 )",710706,"(+/- 10807 )",765059,"(+/- 8085 )",749947,"(+/- 4729 )",756754,"(+/- 8390 )",765673,"(+/- 7728 )",758483,"(+/- 3904 )",749294,"(+/- 9890 )",776068,"(+/- 7696 )",719684,"(+/- 11824 )",762183,"(+/- 9304 )",737004,"(+/- 13263 )",761806,"(+/- 11335 )",735281,"(+/- 6497 )",711745,"(+/- 13295 )",750876,"(+/- 13353 )",735470,"(+/- 13087 )",732723,"(+/- 2631 )",712268,"(+/- 12316 )",722908,"(+/- 4297 )",712117,"(+/- 10360 )",713138,"(+/- 14148 )",705400,"(+/- 21782 )",762929,"(+/- 17158 )",753475,"(+/- 12232 )",719618,"(+/- 10926 )",698802,"(+/- 13733 )",753737,"(+/- 23672 )",737394,"(+/- 11264 )",730263,"(+/- 10481 )",706525,"(+/- 16898 )",710236,"(+/- 11684 )",727992,"(+/- 7617 )",728144,"(+/- 15094 )",754595,"(+/- 7442 )",817760,"(+/- 13222 )",736219,"(+/- 17346 )",707961,"(+/- 15504 )",771399,"(+/- 7202 )",726231,"(+/- 10528 )",715754,"(+/- 12031 )",714067,"(+/- 7895 )",738955,"(+/- 9477 )",744733,"(+/- 11303 )",736561,"(+/- 14662 )",760070,"(+/- 17322 )",764754,"(+/- 19898 )"
People,"Residence 1 Year Ago","Same house",606888,"(+/- 9795 )",605728,"(+/- 8463 )",625343,"(+/- 9895 )",645443,"(+/- 10054 )",627252,"(+/- 8894 )",630160,"(+/- 12105 )",632065,"(+/- 12217 )",606789,"(+/- 14139 )",671756,"(+/- 9875 )",648116,"(+/- 9990 )",659746,"(+/- 9524 )",649068,"(+/- 8762 )",637272,"(+/- 7237 )",658824,"(+/- 11169 )",692864,"(+/- 9858 )",613217,"(+/- 13281 )",639874,"(+/- 10752 )",626663,"(+/- 14200 )",655552,"(+/- 13278 )",636342,"(+/- 9848 )",619137,"(+/- 13771 )",642210,"(+/- 15784 )",627229,"(+/- 13360 )",597670,"(+/- 8275 )",639438,"(+/- 13952 )",632859,"(+/- 9821 )",645263,"(+/- 11751 )",640476,"(+/- 15062 )",654062,"(+/- 20691 )",671108,"(+/- 16661 )",647864,"(+/- 13804 )",665057,"(+/- 12321 )",584339,"(+/- 14951 )",665332,"(+/- 22619 )",659666,"(+/- 12755 )",641648,"(+/- 13456 )",622734,"(+/- 17227 )",658011,"(+/- 13879 )",650309,"(+/- 8799 )",683036,"(+/- 14687 )",658443,"(+/- 13524 )",704325,"(+/- 14455 )",663461,"(+/- 17018 )",653511,"(+/- 15850 )",656044,"(+/- 10696 )",648593,"(+/- 13128 )",634250,"(+/- 13131 )",637568,"(+/- 9374 )",618385,"(+/- 13942 )",637843,"(+/- 14109 )",639894,"(+/- 18902 )",606214,"(+/- 16315 )",634390,"(+/- 19689 )"
People,"Residence 1 Year Ago","Different house in the U.S.",101704,"(+/- 8165 )",101351,"(+/- 7687 )",110645,"(+/- 8106 )",92765,"(+/- 7312 )",93962,"(+/- 8557 )",111845,"(+/- 9703 )",104888,"(+/- 9649 )",101795,"(+/- 12128 )",88157,"(+/- 9045 )",96618,"(+/- 8582 )",89745,"(+/- 8219 )",105748,"(+/- 6825 )",109473,"(+/- 7155 )",81546,"(+/- 6435 )",73663,"(+/- 5960 )",103352,"(+/- 8569 )",102386,"(+/- 7909 )",96041,"(+/- 9044 )",98435,"(+/- 9478 )",91374,"(+/- 7136 )",88679,"(+/- 8226 )",105593,"(+/- 10768 )",106866,"(+/- 11024 )",132124,"(+/- 7407 )",70783,"(+/- 7371 )",85357,"(+/- 8412 )",58806,"(+/- 6465 )",66612,"(+/- 5834 )",47610,"(+/- 5965 )",85705,"(+/- 7342 )",102187,"(+/- 8797 )",51403,"(+/- 5546 )",104202,"(+/- 7666 )",83438,"(+/- 5917 )",75346,"(+/- 6965 )",84436,"(+/- 7209 )",75906,"(+/- 5964 )",49588,"(+/- 6962 )",71289,"(+/- 7658 )",42338,"(+/- 6091 )",93343,"(+/- 11173 )",109885,"(+/- 10820 )",68503,"(+/- 7760 )",52104,"(+/- 5490 )",103227,"(+/- 7587 )",71571,"(+/- 6940 )",76842,"(+/- 6591 )",73698,"(+/- 6203 )",113038,"(+/- 9832 )",102541,"(+/- 9291 )",88782,"(+/- 9081 )",139254,"(+/- 7235 )",121352,"(+/- 10024 )"
People,"Residence 1 Year Ago","Same county",56862,"(+/- 6625 )",55660,"(+/- 6076 )",61675,"(+/- 6672 )",39625,"(+/- 4928 )",54228,"(+/- 6818 )",74013,"(+/- 7928 )",69288,"(+/- 8048 )",66888,"(+/- 9849 )",58094,"(+/- 8227 )",64062,"(+/- 7059 )",49147,"(+/- 5805 )",54638,"(+/- 5355 )",58652,"(+/- 5673 )",40298,"(+/- 4412 )",42256,"(+/- 5062 )",69191,"(+/- 7609 )",66637,"(+/- 6235 )",56989,"(+/- 7664 )",73934,"(+/- 8834 )",49007,"(+/- 5911 )",56741,"(+/- 7329 )",80702,"(+/- 9570 )",73857,"(+/- 8817 )",83332,"(+/- 6915 )",55814,"(+/- 7278 )",57500,"(+/- 6749 )",40729,"(+/- 4940 )",50230,"(+/- 5381 )",39350,"(+/- 5265 )",66689,"(+/- 6853 )",64649,"(+/- 7649 )",40576,"(+/- 4871 )",70912,"(+/- 6762 )",67944,"(+/- 6030 )",42849,"(+/- 5444 )",53659,"(+/- 6034 )",57388,"(+/- 5226 )",39255,"(+/- 6119 )",43560,"(+/- 6112 )",38014,"(+/- 5683 )",58798,"(+/- 8910 )",67060,"(+/- 9101 )",59583,"(+/- 7397 )",44857,"(+/- 5878 )",71033,"(+/- 6990 )",57617,"(+/- 6734 )",52435,"(+/- 5761 )",53268,"(+/- 5559 )",74967,"(+/- 7761 )",77488,"(+/- 8683 )",70228,"(+/- 8031 )",92688,"(+/- 7083 )",89007,"(+/- 8969 )"
People,"Residence 1 Year Ago","Different county",44842,"(+/- 5470 )",45691,"(+/- 5444 )",48970,"(+/- 5012 )",53140,"(+/- 5200 )",39734,"(+/- 5259 )",37832,"(+/- 5701 )",35600,"(+/- 5362 )",34907,"(+/- 5965 )",30063,"(+/- 5410 )",32556,"(+/- 5474 )",40598,"(+/- 5892 )",51110,"(+/- 4626 )",50821,"(+/- 4728 )",41248,"(+/- 4722 )",31407,"(+/- 4137 )",34161,"(+/- 7158 )",35749,"(+/- 4516 )",39052,"(+/- 4056 )",24501,"(+/- 4284 )",42367,"(+/- 3967 )",31938,"(+/- 4153 )",24891,"(+/- 4239 )",33009,"(+/- 6294 )",48792,"(+/- 4599 )",14969,"(+/- 2982 )",27857,"(+/- 4380 )",18077,"(+/- 3975 )",16382,"(+/- 2361 )",8260,"(+/- 2082 )",19016,"(+/- 3242 )",37538,"(+/- 6303 )",10827,"(+/- 2086 )",33290,"(+/- 4610 )",15494,"(+/- 2018 )",32497,"(+/- 4899 )",30777,"(+/- 4152 )",18518,"(+/- 2750 )",10333,"(+/- 2316 )",27729,"(+/- 3434 )",4324,"(+/- 1308 )",34545,"(+/- 5981 )",42825,"(+/- 6571 )",8920,"(+/- 1934 )",7247,"(+/- 2059 )",32194,"(+/- 4028 )",13954,"(+/- 2385 )",24407,"(+/- 3456 )",20430,"(+/- 3106 )",38071,"(+/- 5187 )",25053,"(+/- 4430 )",18554,"(+/- 3117 )",46566,"(+/- 5428 )",32345,"(+/- 5402 )"
People,"Residence 1 Year Ago","Same state",36399,"(+/- 5193 )",31416,"(+/- 3921 )",36920,"(+/- 4312 )",42787,"(+/- 4289 )",32355,"(+/- 5186 )",31408,"(+/- 5197 )",26966,"(+/- 4831 )",19153,"(+/- 4964 )",23108,"(+/- 4750 )",26993,"(+/- 5112 )",32728,"(+/- 5337 )",29062,"(+/- 3693 )",36763,"(+/- 4086 )",31207,"(+/- 4475 )",24255,"(+/- 3500 )",27807,"(+/- 7082 )",17265,"(+/- 2798 )",21689,"(+/- 3012 )",16265,"(+/- 3546 )",29417,"(+/- 3720 )",25776,"(+/- 3578 )",18283,"(+/- 3810 )",22020,"(+/- 4867 )",36072,"(+/- 3963 )",10015,"(+/- 2430 )",17810,"(+/- 2965 )",11167,"(+/- 3365 )",4993,"(+/- 1338 )",5064,"(+/- 1779 )",9917,"(+/- 2165 )",31981,"(+/- 5699 )",7275,"(+/- 1603 )",11704,"(+/- 2373 )",6749,"(+/- 1218 )",28956,"(+/- 4671 )",21971,"(+/- 3696 )",7722,"(+/- 1475 )",6859,"(+/- 1651 )",23458,"(+/- 3317 )",2378,"(+/- 955 )",28279,"(+/- 5425 )",33411,"(+/- 6117 )",4115,"(+/- 1206 )",4941,"(+/- 1821 )",21047,"(+/- 3441 )",9244,"(+/- 1837 )",18404,"(+/- 3256 )",12410,"(+/- 2153 )",15427,"(+/- 3055 )",13782,"(+/- 3410 )",8204,"(+/- 2105 )",17239,"(+/- 2795 )",10211,"(+/- 1951 )"
People,"Residence 1 Year Ago","Different state",8443,"(+/- 1750 )",14275,"(+/- 3813 )",12050,"(+/- 2469 )",10353,"(+/- 2658 )",7379,"(+/- 2014 )",6424,"(+/- 1991 )",8634,"(+/- 2059 )",15754,"(+/- 4002 )",6955,"(+/- 2407 )",5563,"(+/- 2336 )",7870,"(+/- 1946 )",22048,"(+/- 3586 )",14058,"(+/- 2266 )",10041,"(+/- 1803 )",7152,"(+/- 1658 )",6354,"(+/- 2928 )",18484,"(+/- 3679 )",17363,"(+/- 2582 )",8236,"(+/- 2066 )",12950,"(+/- 2445 )",6162,"(+/- 2085 )",6608,"(+/- 1983 )",10989,"(+/- 3263 )",12720,"(+/- 2807 )",4954,"(+/- 1541 )",10047,"(+/- 2535 )",6910,"(+/- 2103 )",11389,"(+/- 2190 )",3196,"(+/- 971 )",9099,"(+/- 2287 )",5557,"(+/- 1958 )",3552,"(+/- 1264 )",21586,"(+/- 3752 )",8745,"(+/- 1535 )",3541,"(+/- 1199 )",8806,"(+/- 2008 )",10796,"(+/- 2274 )",3474,"(+/- 1482 )",4271,"(+/- 1311 )",1946,"(+/- 771 )",6266,"(+/- 2000 )",9414,"(+/- 2746 )",4805,"(+/- 1511 )",2306,"(+/- 762 )",11147,"(+/- 2723 )",4710,"(+/- 1487 )",6003,"(+/- 1535 )",8020,"(+/- 2046 )",22644,"(+/- 3896 )",11271,"(+/- 3038 )",10350,"(+/- 2532 )",29327,"(+/- 4461 )",22134,"(+/- 4643 )"
People,"Residence 1 Year Ago",Abroad,1533,"(+/- 803 )",4645,"(+/- 1635 )",4321,"(+/- 1001 )",3256,"(+/- 1379 )",4296,"(+/- 1274 )",10459,"(+/- 3560 )",4674,"(+/- 1291 )",2122,"(+/- 1511 )",5146,"(+/- 2328 )",5213,"(+/- 2515 )",7263,"(+/- 3020 )",10857,"(+/- 2465 )",11738,"(+/- 2260 )",8924,"(+/- 2425 )",9541,"(+/- 2768 )",3115,"(+/- 1874 )",19923,"(+/- 3320 )",14300,"(+/- 2637 )",7819,"(+/- 2051 )",7565,"(+/- 2287 )",3929,"(+/- 1778 )",3073,"(+/- 1585 )",1375,"(+/- 700 )",2929,"(+/- 911 )",2047,"(+/- 821 )",4692,"(+/- 1838 )",8048,"(+/- 1913 )",6050,"(+/- 1823 )",3728,"(+/- 1146 )",6116,"(+/- 1981 )",3424,"(+/- 1275 )",3158,"(+/- 1125 )",10261,"(+/- 2389 )",4967,"(+/- 1439 )",2382,"(+/- 1308 )",4179,"(+/- 1440 )",7885,"(+/- 2009 )",2637,"(+/- 976 )",6394,"(+/- 1914 )",2770,"(+/- 1107 )",2809,"(+/- 1434 )",3550,"(+/- 1107 )",4255,"(+/- 1397 )",2346,"(+/- 971 )",12128,"(+/- 3900 )",6067,"(+/- 2087 )",4662,"(+/- 1628 )",2801,"(+/- 895 )",7532,"(+/- 2648 )",4349,"(+/- 2723 )",7885,"(+/- 2421 )",14602,"(+/- 3271 )",9012,"(+/- 2984 )"
