Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90333,"(+/- 6493 )",95466,"(+/- 5952 )",120328,"(+/- 5465 )",96264,"(+/- 4636 )",100134,"(+/- 4868 )",102366,"(+/- 5683 )",122810,"(+/- 5142 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",169331,"(+/- 3967 )",162253,"(+/- 4737 )",147382,"(+/- 3103 )",167514,"(+/- 2968 )",164874,"(+/- 2416 )",137322,"(+/- 6397 )",150528,"(+/- 1912 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6801,"(+/- 2093 )",8253,"(+/- 2365 )",9552,"(+/- 1587 )",8037,"(+/- 1770 )",7749,"(+/- 1514 )",7026,"(+/- 1366 )",6854,"(+/- 1332 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",464307,"(+/- 5831 )",421005,"(+/- 8039 )",407214,"(+/- 4121 )",444900,"(+/- 4253 )",423455,"(+/- 4312 )",404421,"(+/- 9513 )",415411,"(+/- 2888 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43532,"(+/- 4610 )",49981,"(+/- 4718 )",60590,"(+/- 4074 )",51149,"(+/- 3559 )",50954,"(+/- 3658 )",55199,"(+/- 4617 )",65484,"(+/- 4304 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",136622,"(+/- 3301 )",110555,"(+/- 2272 )",122721,"(+/- 2045 )",111846,"(+/- 1956 )",118023,"(+/- 2489 )",103002,"(+/- 4147 )",145574,"(+/- 1633 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40000,"(+/- 3251 )",37232,"(+/- 2627 )",50186,"(+/- 3237 )",37078,"(+/- 2373 )",41431,"(+/- 2344 )",40141,"(+/- 2611 )",50472,"(+/- 3046 )"
People,"Residence 1 Year Ago","Population 1 year and over",772155,"(+/- 7698 )",706555,"(+/- 10790 )",681109,"(+/- 5879 )",721582,"(+/- 7008 )",709595,"(+/- 5415 )",663812,"(+/- 14346 )",711403,"(+/- 2932 )"
People,"Residence 1 Year Ago","Same house",652688,"(+/- 11821 )",599249,"(+/- 12005 )",585964,"(+/- 10444 )",609561,"(+/- 9619 )",618105,"(+/- 9920 )",554435,"(+/- 15137 )",628515,"(+/- 8779 )"
People,"Residence 1 Year Ago","Different house in the U.S.",115511,"(+/- 10273 )",103674,"(+/- 8574 )",93990,"(+/- 8416 )",106994,"(+/- 8495 )",88197,"(+/- 7349 )",108088,"(+/- 8741 )",81434,"(+/- 7972 )"
People,"Residence 1 Year Ago","Same county",49977,"(+/- 7863 )",53962,"(+/- 7475 )",46746,"(+/- 5651 )",63016,"(+/- 7474 )",52451,"(+/- 6136 )",56796,"(+/- 7035 )",45486,"(+/- 5511 )"
People,"Residence 1 Year Ago","Different county",65534,"(+/- 6681 )",49712,"(+/- 4699 )",47244,"(+/- 5276 )",43978,"(+/- 4955 )",35746,"(+/- 4749 )",51292,"(+/- 5809 )",35948,"(+/- 5067 )"
People,"Residence 1 Year Ago","Same state",26737,"(+/- 4477 )",19445,"(+/- 2779 )",30636,"(+/- 3702 )",21410,"(+/- 3652 )",16865,"(+/- 3496 )",31587,"(+/- 3974 )",16201,"(+/- 3819 )"
People,"Residence 1 Year Ago","Different state",38797,"(+/- 5069 )",30267,"(+/- 3964 )",16608,"(+/- 3548 )",22568,"(+/- 3393 )",18881,"(+/- 3477 )",19705,"(+/- 3465 )",19747,"(+/- 3285 )"
People,"Residence 1 Year Ago",Abroad,3956,"(+/- 1600 )",3632,"(+/- 2191 )",1155,"(+/- 686 )",5027,"(+/- 1694 )",3293,"(+/- 1255 )",1289,"(+/- 619 )",1454,"(+/- 611 )"
Workers,"Employment Status","Population 16 years and over",631948,"(+/- 5873 )",568632,"(+/- 7912 )",557526,"(+/- 4911 )",582493,"(+/- 5403 )",573314,"(+/- 4532 )",547364,"(+/- 10954 )",588532,"(+/- 3030 )"
Workers,"Employment Status","In labor force",404450,"(+/- 7687 )",363543,"(+/- 8841 )",315983,"(+/- 6594 )",371711,"(+/- 6951 )",344593,"(+/- 7350 )",318991,"(+/- 9388 )",325376,"(+/- 6416 )"
Workers,"Employment Status","Civilian labor force",394785,"(+/- 7431 )",351984,"(+/- 8953 )",315552,"(+/- 6580 )",371380,"(+/- 6952 )",340390,"(+/- 7284 )",313350,"(+/- 9194 )",324781,"(+/- 6242 )"
Workers,"Employment Status",Employed,378919,"(+/- 7690 )",331637,"(+/- 9047 )",298381,"(+/- 6991 )",354514,"(+/- 6663 )",318265,"(+/- 8225 )",290140,"(+/- 9134 )",300619,"(+/- 6948 )"
Workers,"Employment Status",Unemployed,15866,"(+/- 2582 )",20347,"(+/- 3127 )",17171,"(+/- 2580 )",16866,"(+/- 2462 )",22125,"(+/- 3080 )",23210,"(+/- 2902 )",24162,"(+/- 3446 )"
Workers,"Employment Status","Armed Forces",9665,"(+/- 1979 )",11559,"(+/- 1763 )",431,"(+/- 246 )",331,"(+/- 308 )",4203,"(+/- 1328 )",5641,"(+/- 1689 )",595,"(+/- 441 )"
Workers,"Employment Status","Not in labor force",227498,"(+/- 7789 )",205089,"(+/- 5538 )",241543,"(+/- 5986 )",210782,"(+/- 6136 )",228721,"(+/- 6850 )",228373,"(+/- 7482 )",263156,"(+/- 5964 )"
Workers,"Employment Status","Civilian labor force",394785,"(+/- 7431 )",351984,"(+/- 8953 )",315552,"(+/- 6580 )",371380,"(+/- 6952 )",340390,"(+/- 7284 )",313350,"(+/- 9194 )",324781,"(+/- 6242 )"
Workers,"Employment Status","Unemployment Rate",4.0,"(+/- 0.7 )",5.8,"(+/- 0.9 )",5.4,"(+/- 0.8 )",4.5,"(+/- 0.6 )",6.5,"(+/- 0.9 )",7.4,"(+/- 0.9 )",7.4,"(+/- 1.1 )"
Workers,"Commuting to Work","Workers 16 years and over",381494,"(+/- 7887 )",337819,"(+/- 8791 )",292560,"(+/- 7128 )",348189,"(+/- 6606 )",315579,"(+/- 7877 )",289273,"(+/- 9058 )",295022,"(+/- 6901 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",308081,"(+/- 9454 )",268868,"(+/- 8976 )",244695,"(+/- 6684 )",287721,"(+/- 7236 )",267332,"(+/- 7776 )",229546,"(+/- 8657 )",243385,"(+/- 6969 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",30329,"(+/- 3618 )",34029,"(+/- 3767 )",30274,"(+/- 3298 )",33523,"(+/- 3699 )",28711,"(+/- 3580 )",29990,"(+/- 3170 )",27598,"(+/- 3808 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1123,"(+/- 729 )",1253,"(+/- 612 )",801,"(+/- 402 )",1593,"(+/- 743 )",712,"(+/- 376 )",4233,"(+/- 1509 )",1483,"(+/- 701 )"
Workers,"Commuting to Work",Walked,4521,"(+/- 1269 )",15687,"(+/- 2074 )",3977,"(+/- 978 )",5751,"(+/- 1473 )",3207,"(+/- 1048 )",11170,"(+/- 2157 )",3910,"(+/- 1181 )"
Workers,"Commuting to Work","Other means",9316,"(+/- 2156 )",3670,"(+/- 1194 )",2589,"(+/- 816 )",3482,"(+/- 890 )",1908,"(+/- 717 )",5531,"(+/- 1408 )",4515,"(+/- 1153 )"
Workers,"Commuting to Work","Worked at home",28124,"(+/- 3224 )",14312,"(+/- 1769 )",10224,"(+/- 1749 )",16119,"(+/- 2071 )",13709,"(+/- 2127 )",8803,"(+/- 1900 )",14131,"(+/- 2005 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.0,"(+/- 0.7 )",23.9,"(+/- 0.6 )",24.5,"(+/- 0.6 )",22.3,"(+/- 0.5 )",26.6,"(+/- 0.7 )",25.1,"(+/- 0.8 )",23.6,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",378919,"(+/- 7690 )",331637,"(+/- 9047 )",298381,"(+/- 6991 )",354514,"(+/- 6663 )",318265,"(+/- 8225 )",290140,"(+/- 9134 )",300619,"(+/- 6948 )"
Workers,Occupation,"Management, business, science, and arts occupations",154917,"(+/- 7368 )",127016,"(+/- 5625 )",93245,"(+/- 4687 )",129916,"(+/- 4815 )",101918,"(+/- 5336 )",76353,"(+/- 4840 )",88619,"(+/- 4853 )"
Workers,Occupation,"Service occupations",68917,"(+/- 6391 )",54156,"(+/- 4266 )",53765,"(+/- 3915 )",55642,"(+/- 3543 )",48782,"(+/- 3716 )",69038,"(+/- 5145 )",67814,"(+/- 5033 )"
Workers,Occupation,"Sales and office occupations",87412,"(+/- 5989 )",80910,"(+/- 4494 )",64329,"(+/- 3808 )",83819,"(+/- 4098 )",79470,"(+/- 4842 )",68559,"(+/- 4235 )",73212,"(+/- 4448 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",32948,"(+/- 3566 )",27580,"(+/- 2771 )",32102,"(+/- 2619 )",26094,"(+/- 2881 )",31014,"(+/- 3292 )",30217,"(+/- 3534 )",30056,"(+/- 3080 )"
Workers,Occupation,"Production, transportation, and material moving occupations",34725,"(+/- 4159 )",41975,"(+/- 3451 )",54940,"(+/- 3997 )",59043,"(+/- 4629 )",57081,"(+/- 4366 )",45973,"(+/- 4432 )",40918,"(+/- 3998 )"
Workers,Industry,"Civilian employed population 16 years and over",378919,"(+/- 7690 )",331637,"(+/- 9047 )",298381,"(+/- 6991 )",354514,"(+/- 6663 )",318265,"(+/- 8225 )",290140,"(+/- 9134 )",300619,"(+/- 6948 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1517,"(+/- 802 )",3640,"(+/- 1189 )",3383,"(+/- 1118 )",1074,"(+/- 478 )",3415,"(+/- 1159 )",4620,"(+/- 1427 )",3937,"(+/- 901 )"
Workers,Industry,Construction,28810,"(+/- 3060 )",22517,"(+/- 2361 )",20108,"(+/- 2233 )",18954,"(+/- 2453 )",22149,"(+/- 3037 )",20863,"(+/- 3407 )",23970,"(+/- 2894 )"
Workers,Industry,Manufacturing,30023,"(+/- 2894 )",32210,"(+/- 3561 )",62113,"(+/- 4252 )",64601,"(+/- 4185 )",55990,"(+/- 4286 )",29968,"(+/- 3540 )",30568,"(+/- 3765 )"
Workers,Industry,"Wholesale trade",8178,"(+/- 2032 )",8221,"(+/- 1697 )",7663,"(+/- 1596 )",10174,"(+/- 1612 )",10358,"(+/- 1787 )",4981,"(+/- 1272 )",7011,"(+/- 1323 )"
Workers,Industry,"Retail trade",44137,"(+/- 4045 )",39498,"(+/- 3479 )",35785,"(+/- 3084 )",39498,"(+/- 3369 )",34780,"(+/- 3498 )",35090,"(+/- 3380 )",42500,"(+/- 4065 )"
