Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","45 to 54 years",97471,"(+/- 1976 )",102802,"(+/- 3613 )",113476,"(+/- 4532 )",117351,"(+/- 4204 )",103711,"(+/- 4756 )",114316,"(+/- 3716 )",83284,"(+/- 3690 )",104043,"(+/- 4145 )",105940,"(+/- 3901 )"
People,"Sex and Age","55 to 59 years",57723,"(+/- 2877 )",51591,"(+/- 3585 )",57721,"(+/- 3752 )",53738,"(+/- 3406 )",50050,"(+/- 3528 )",61592,"(+/- 3161 )",42826,"(+/- 3306 )",53356,"(+/- 3500 )",57862,"(+/- 3431 )"
People,"Sex and Age","60 to 64 years",48395,"(+/- 2477 )",50888,"(+/- 3249 )",48691,"(+/- 3354 )",49534,"(+/- 3305 )",47292,"(+/- 3531 )",54121,"(+/- 3327 )",38644,"(+/- 2813 )",49765,"(+/- 3933 )",56657,"(+/- 3039 )"
People,"Sex and Age","65 to 74 years",74280,"(+/- 1580 )",70391,"(+/- 2291 )",64980,"(+/- 4583 )",67778,"(+/- 3655 )",63684,"(+/- 3323 )",79227,"(+/- 3103 )",53720,"(+/- 2753 )",69171,"(+/- 3325 )",92805,"(+/- 2646 )"
People,"Sex and Age","75 to 84 years",36964,"(+/- 1929 )",31520,"(+/- 2566 )",30608,"(+/- 3385 )",33172,"(+/- 3114 )",35302,"(+/- 2787 )",38295,"(+/- 2678 )",25437,"(+/- 2316 )",35591,"(+/- 2481 )",46958,"(+/- 2970 )"
People,"Sex and Age","85 years and over",18570,"(+/- 1506 )",16488,"(+/- 1940 )",13951,"(+/- 1640 )",16772,"(+/- 1886 )",17208,"(+/- 1931 )",21538,"(+/- 2346 )",11778,"(+/- 1907 )",18500,"(+/- 1860 )",23136,"(+/- 2346 )"
People,"Sex and Age","Median age (years)",40.8,"(+/- 0.4 )",39.6,"(+/- 0.7 )",39.1,"(+/- 0.9 )",41.1,"(+/- 0.8 )",38.1,"(+/- 0.7 )",42.9,"(+/- 0.6 )",31.7,"(+/- 0.3 )",39.8,"(+/- 0.7 )",46.1,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",586378,"(+/- 5170 )",598564,"(+/- 6929 )",596647,"(+/- 8236 )",587920,"(+/- 7105 )",609217,"(+/- 7913 )",617253,"(+/- 5751 )",673828,"(+/- 7469 )",613460,"(+/- 8402 )",605968,"(+/- 6958 )"
People,"Sex and Age","65 years and over",129814,"(+/- 2196 )",118399,"(+/- 2954 )",109539,"(+/- 5684 )",117722,"(+/- 5611 )",116194,"(+/- 4685 )",139060,"(+/- 3777 )",90935,"(+/- 3522 )",123262,"(+/- 4656 )",162899,"(+/- 3876 )"
People,Race,"Total population",736460,"(+/- 6665 )",744124,"(+/- 8913 )",769115,"(+/- 10306 )",752077,"(+/- 7580 )",766210,"(+/- 8540 )",774450,"(+/- 5361 )",806820,"(+/- 7639 )",762640,"(+/- 10840 )",747923,"(+/- 8814 )"
People,Race,"One race",716681,"(+/- 7610 )",716329,"(+/- 9553 )",745821,"(+/- 10768 )",729379,"(+/- 7394 )",745038,"(+/- 8911 )",755680,"(+/- 6500 )",764091,"(+/- 9496 )",746202,"(+/- 10714 )",730725,"(+/- 9394 )"
People,Race,White,623837,"(+/- 8207 )",616168,"(+/- 8525 )",620262,"(+/- 14646 )",642388,"(+/- 10306 )",580059,"(+/- 12297 )",665700,"(+/- 7638 )",410387,"(+/- 11079 )",568356,"(+/- 12543 )",660254,"(+/- 10198 )"
People,Race,"Black or African American",47737,"(+/- 3066 )",40734,"(+/- 3285 )",26471,"(+/- 4603 )",26409,"(+/- 4362 )",46371,"(+/- 6427 )",30657,"(+/- 4468 )",207585,"(+/- 8356 )",81128,"(+/- 5666 )",24795,"(+/- 3990 )"
People,Race,"American Indian and Alaska Native",2139,"(+/- 1204 )",2782,"(+/- 1261 )",1662,"(+/- 1056 )",328,"(+/- 333 )",1287,"(+/- 856 )",1609,"(+/- 742 )",2147,"(+/- 982 )",1534,"(+/- 674 )",1609,"(+/- 950 )"
People,Race,Asian,18117,"(+/- 2124 )",42773,"(+/- 2422 )",64549,"(+/- 6235 )",44842,"(+/- 4525 )",94637,"(+/- 6960 )",29264,"(+/- 2731 )",84177,"(+/- 5436 )",65229,"(+/- 4708 )",9129,"(+/- 1770 )"
People,Race,"Native Hawaiian and Other Pacific Islander",56,"(+/- 90 )",129,"(+/- 146 )",67,"(+/- 111 )",0,"(+/- 210 )",87,"(+/- 122 )",0,"(+/- 210 )",134,"(+/- 164 )",365,"(+/- 607 )",155,"(+/- 199 )"
People,Race,"Some other race",24795,"(+/- 4464 )",13743,"(+/- 3490 )",32810,"(+/- 5677 )",15412,"(+/- 4177 )",22597,"(+/- 4631 )",28450,"(+/- 4799 )",59661,"(+/- 7538 )",29590,"(+/- 5282 )",34783,"(+/- 4534 )"
People,Race,"Two or more races",19779,"(+/- 3217 )",27795,"(+/- 4287 )",23294,"(+/- 4715 )",22698,"(+/- 3338 )",21172,"(+/- 3681 )",18770,"(+/- 3895 )",42729,"(+/- 6095 )",16438,"(+/- 2811 )",17198,"(+/- 2960 )"
People,"Hispanic or Latino and Race","Total population",736460,"(+/- 6665 )",744124,"(+/- 8913 )",769115,"(+/- 10306 )",752077,"(+/- 7580 )",766210,"(+/- 8540 )",774450,"(+/- 5361 )",806820,"(+/- 7639 )",762640,"(+/- 10840 )",747923,"(+/- 8814 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",133934,"(+/- 2854 )",73699,"(+/- 3642 )",154427,"(+/- 7341 )",40793,"(+/- 5473 )",70824,"(+/- 6269 )",72454,"(+/- 4554 )",181454,"(+/- 6952 )",42014,"(+/- 4921 )",41693,"(+/- 3720 )"
People,"Hispanic or Latino and Race",Mexican,2279,"(+/- 771 )",3114,"(+/- 1013 )",2841,"(+/- 1289 )",3393,"(+/- 1254 )",6967,"(+/- 1749 )",5588,"(+/- 2113 )",9510,"(+/- 1894 )",2305,"(+/- 848 )",3322,"(+/- 1358 )"
People,"Hispanic or Latino and Race","Puerto Rican",109864,"(+/- 4312 )",43572,"(+/- 4593 )",57107,"(+/- 6946 )",14073,"(+/- 3662 )",14145,"(+/- 2905 )",12611,"(+/- 3282 )",48060,"(+/- 6454 )",14847,"(+/- 3817 )",20680,"(+/- 3712 )"
People,"Hispanic or Latino and Race",Cuban,1498,"(+/- 1143 )",2019,"(+/- 919 )",1621,"(+/- 886 )",1628,"(+/- 794 )",2382,"(+/- 1044 )",2124,"(+/- 1455 )",2309,"(+/- 872 )",2360,"(+/- 1330 )",2576,"(+/- 1615 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",20293,"(+/- 4402 )",24994,"(+/- 4167 )",92858,"(+/- 6526 )",21699,"(+/- 3901 )",47330,"(+/- 5754 )",52131,"(+/- 4952 )",121575,"(+/- 7061 )",22502,"(+/- 4220 )",15115,"(+/- 3644 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",602526,"(+/- 5853 )",670425,"(+/- 9039 )",614688,"(+/- 11242 )",711284,"(+/- 9026 )",695386,"(+/- 10047 )",701996,"(+/- 6583 )",625366,"(+/- 9947 )",720626,"(+/- 11065 )",706230,"(+/- 8928 )"
People,"Place of Birth","Total population",736460,"(+/- 6665 )",744124,"(+/- 8913 )",769115,"(+/- 10306 )",752077,"(+/- 7580 )",766210,"(+/- 8540 )",774450,"(+/- 5361 )",806820,"(+/- 7639 )",762640,"(+/- 10840 )",747923,"(+/- 8814 )"
People,"Place of Birth",Native,678425,"(+/- 7343 )",650308,"(+/- 9756 )",629771,"(+/- 12855 )",653412,"(+/- 8681 )",576016,"(+/- 10694 )",672210,"(+/- 8861 )",544553,"(+/- 12210 )",624006,"(+/- 11946 )",674646,"(+/- 8818 )"
People,"Place of Birth","Born in United States",630826,"(+/- 8036 )",624223,"(+/- 9700 )",601122,"(+/- 12488 )",641592,"(+/- 8469 )",558542,"(+/- 10239 )",661906,"(+/- 8946 )",511380,"(+/- 11583 )",606411,"(+/- 12121 )",661884,"(+/- 8686 )"
People,"Place of Birth","State of residence",482869,"(+/- 7470 )",479782,"(+/- 10288 )",461255,"(+/- 13017 )",447700,"(+/- 9466 )",379794,"(+/- 10873 )",532943,"(+/- 9345 )",329332,"(+/- 9902 )",486505,"(+/- 11568 )",525814,"(+/- 10250 )"
People,"Place of Birth","Different state",147957,"(+/- 6228 )",144441,"(+/- 6693 )",139867,"(+/- 6426 )",193892,"(+/- 7303 )",178748,"(+/- 7218 )",128963,"(+/- 6665 )",182048,"(+/- 7573 )",119906,"(+/- 5791 )",136070,"(+/- 5401 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",47599,"(+/- 4009 )",26085,"(+/- 3352 )",28649,"(+/- 3811 )",11820,"(+/- 2041 )",17474,"(+/- 3369 )",10304,"(+/- 2011 )",33173,"(+/- 4047 )",17595,"(+/- 3039 )",12762,"(+/- 2398 )"
People,"Place of Birth","Foreign born",58035,"(+/- 5235 )",93816,"(+/- 5708 )",139344,"(+/- 7611 )",98665,"(+/- 5796 )",190194,"(+/- 8245 )",102240,"(+/- 7409 )",262267,"(+/- 10792 )",138634,"(+/- 6803 )",73277,"(+/- 5490 )"
People,Ancestry,"Total population",736460,"(+/- 6665 )",744124,"(+/- 8913 )",769115,"(+/- 10306 )",752077,"(+/- 7580 )",766210,"(+/- 8540 )",774450,"(+/- 5361 )",806820,"(+/- 7639 )",762640,"(+/- 10840 )",747923,"(+/- 8814 )"
People,Ancestry,American,32687,"(+/- 4446 )",41156,"(+/- 5700 )",29461,"(+/- 5364 )",28957,"(+/- 3559 )",22837,"(+/- 2880 )",26279,"(+/- 3873 )",15810,"(+/- 2498 )",29349,"(+/- 4021 )",26206,"(+/- 4446 )"
People,Ancestry,Arab,3114,"(+/- 1056 )",8064,"(+/- 2624 )",6478,"(+/- 2643 )",9188,"(+/- 2529 )",11156,"(+/- 2724 )",6487,"(+/- 2116 )",13664,"(+/- 3764 )",7304,"(+/- 1984 )",3777,"(+/- 1595 )"
People,Ancestry,Czech,1083,"(+/- 426 )",1437,"(+/- 787 )",1333,"(+/- 592 )",2440,"(+/- 1252 )",1749,"(+/- 666 )",955,"(+/- 575 )",1198,"(+/- 503 )",1429,"(+/- 929 )",1100,"(+/- 501 )"
People,Ancestry,Danish,1366,"(+/- 670 )",1337,"(+/- 525 )",1745,"(+/- 851 )",1245,"(+/- 553 )",1877,"(+/- 781 )",2494,"(+/- 891 )",1543,"(+/- 723 )",1328,"(+/- 679 )",1789,"(+/- 625 )"
People,Ancestry,Dutch,3107,"(+/- 1001 )",5077,"(+/- 1539 )",4486,"(+/- 1275 )",4333,"(+/- 1086 )",3676,"(+/- 1047 )",4142,"(+/- 1181 )",3443,"(+/- 1099 )",2800,"(+/- 755 )",5552,"(+/- 1484 )"
People,Ancestry,English,56631,"(+/- 4120 )",63977,"(+/- 4514 )",67694,"(+/- 5104 )",86015,"(+/- 6769 )",61894,"(+/- 5214 )",81483,"(+/- 5194 )",36500,"(+/- 3481 )",64927,"(+/- 5483 )",107836,"(+/- 7358 )"
People,Ancestry,"French (except Basque)",75777,"(+/- 6446 )",69365,"(+/- 4453 )",51423,"(+/- 4976 )",50117,"(+/- 5321 )",21600,"(+/- 2986 )",38753,"(+/- 4204 )",16134,"(+/- 3019 )",21193,"(+/- 3122 )",50063,"(+/- 4731 )"
People,Ancestry,"French Canadian",43315,"(+/- 4874 )",41404,"(+/- 4463 )",43371,"(+/- 4095 )",28026,"(+/- 2794 )",20313,"(+/- 2880 )",35408,"(+/- 4153 )",9825,"(+/- 1767 )",16765,"(+/- 2125 )",26382,"(+/- 3176 )"
People,Ancestry,German,43571,"(+/- 3869 )",46479,"(+/- 4251 )",39937,"(+/- 3881 )",48042,"(+/- 5106 )",43815,"(+/- 3696 )",48845,"(+/- 4613 )",39592,"(+/- 4804 )",38623,"(+/- 4112 )",45019,"(+/- 4909 )"
People,Ancestry,Greek,4572,"(+/- 1613 )",5853,"(+/- 1715 )",11319,"(+/- 2650 )",9216,"(+/- 2229 )",9590,"(+/- 1952 )",15512,"(+/- 3093 )",4664,"(+/- 1458 )",10951,"(+/- 3190 )",5822,"(+/- 1493 )"
People,Ancestry,Hungarian,2126,"(+/- 996 )",2148,"(+/- 823 )",2504,"(+/- 905 )",3227,"(+/- 1139 )",2100,"(+/- 846 )",1626,"(+/- 777 )",1552,"(+/- 631 )",1962,"(+/- 1166 )",1588,"(+/- 887 )"
People,Ancestry,Irish,115551,"(+/- 7377 )",141607,"(+/- 8528 )",140136,"(+/- 8575 )",155585,"(+/- 8493 )",135942,"(+/- 6980 )",195442,"(+/- 8930 )",88438,"(+/- 6299 )",222278,"(+/- 9516 )",195034,"(+/- 9432 )"
People,Ancestry,Italian,75024,"(+/- 6464 )",86029,"(+/- 5216 )",78008,"(+/- 5541 )",91250,"(+/- 6828 )",106327,"(+/- 7036 )",145789,"(+/- 8403 )",58004,"(+/- 4712 )",95990,"(+/- 8135 )",84004,"(+/- 6538 )"
People,Ancestry,Lithuanian,2515,"(+/- 797 )",10147,"(+/- 2218 )",4840,"(+/- 1332 )",4677,"(+/- 1574 )",3400,"(+/- 1044 )",4205,"(+/- 1110 )",2038,"(+/- 796 )",7679,"(+/- 1794 )",5132,"(+/- 1349 )"
People,Ancestry,Norwegian,3665,"(+/- 1737 )",3153,"(+/- 805 )",4949,"(+/- 1825 )",5921,"(+/- 1928 )",3607,"(+/- 1014 )",3866,"(+/- 1249 )",3185,"(+/- 906 )",3380,"(+/- 996 )",6630,"(+/- 2146 )"
People,Ancestry,Polish,68487,"(+/- 5843 )",52752,"(+/- 4847 )",28788,"(+/- 4001 )",32120,"(+/- 4050 )",24976,"(+/- 3052 )",31329,"(+/- 3908 )",17360,"(+/- 2126 )",21711,"(+/- 3000 )",23619,"(+/- 3509 )"
People,Ancestry,Portuguese,11391,"(+/- 2470 )",10192,"(+/- 2465 )",17085,"(+/- 2957 )",69618,"(+/- 6957 )",13001,"(+/- 2809 )",22624,"(+/- 4068 )",11811,"(+/- 2559 )",13097,"(+/- 2587 )",107851,"(+/- 6574 )"
People,Ancestry,Russian,10175,"(+/- 3573 )",7368,"(+/- 1635 )",6357,"(+/- 2138 )",17252,"(+/- 2893 )",14135,"(+/- 2544 )",10408,"(+/- 1615 )",11661,"(+/- 1838 )",9594,"(+/- 1865 )",6633,"(+/- 1838 )"
People,Ancestry,Scotch-Irish,3415,"(+/- 898 )",5170,"(+/- 1227 )",5990,"(+/- 2026 )",4075,"(+/- 1191 )",5443,"(+/- 1105 )",6132,"(+/- 1651 )",2141,"(+/- 579 )",3761,"(+/- 973 )",5349,"(+/- 1340 )"
People,Ancestry,Scottish,13858,"(+/- 2308 )",17643,"(+/- 2495 )",16008,"(+/- 2337 )",16910,"(+/- 2446 )",13308,"(+/- 1591 )",20787,"(+/- 2199 )",9285,"(+/- 1727 )",15715,"(+/- 2260 )",21530,"(+/- 4072 )"
People,Ancestry,Slovak,389,"(+/- 273 )",1228,"(+/- 757 )",573,"(+/- 332 )",673,"(+/- 404 )",642,"(+/- 399 )",666,"(+/- 354 )",475,"(+/- 329 )",219,"(+/- 176 )",415,"(+/- 307 )"
People,Ancestry,"Subsaharan African",4184,"(+/- 1436 )",17290,"(+/- 3264 )",6424,"(+/- 1705 )",11006,"(+/- 3015 )",19309,"(+/- 5924 )",13045,"(+/- 3316 )",41731,"(+/- 6449 )",39139,"(+/- 6405 )",19532,"(+/- 4061 )"
People,Ancestry,Swedish,8705,"(+/- 2388 )",20624,"(+/- 3135 )",8537,"(+/- 1704 )",12874,"(+/- 2540 )",10152,"(+/- 1988 )",15164,"(+/- 2998 )",4919,"(+/- 1060 )",13549,"(+/- 3900 )",11705,"(+/- 1837 )"
People,Ancestry,Swiss,890,"(+/- 673 )",879,"(+/- 408 )",1456,"(+/- 746 )",913,"(+/- 558 )",819,"(+/- 362 )",1492,"(+/- 517 )",1162,"(+/- 532 )",911,"(+/- 504 )",2619,"(+/- 1447 )"
People,Ancestry,Ukrainian,7667,"(+/- 3103 )",2042,"(+/- 812 )",2869,"(+/- 1079 )",3829,"(+/- 1196 )",3509,"(+/- 1076 )",1686,"(+/- 672 )",2835,"(+/- 933 )",1868,"(+/- 799 )",1729,"(+/- 922 )"
People,Ancestry,Welsh,1920,"(+/- 691 )",2774,"(+/- 841 )",1487,"(+/- 549 )",2326,"(+/- 778 )",4834,"(+/- 1738 )",3371,"(+/- 1318 )",1999,"(+/- 865 )",1967,"(+/- 606 )",2245,"(+/- 701 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5022,"(+/- 2041 )",4612,"(+/- 1906 )",3933,"(+/- 1713 )",6326,"(+/- 2346 )",10700,"(+/- 3430 )",6024,"(+/- 2046 )",63807,"(+/- 7818 )",26897,"(+/- 4113 )",7618,"(+/- 3613 )"
People,"Veteran Status","Civilian population 18 years and over",585749,"(+/- 5225 )",598166,"(+/- 6896 )",596506,"(+/- 8231 )",587572,"(+/- 7115 )",608628,"(+/- 7948 )",616803,"(+/- 5721 )",673318,"(+/- 7495 )",612887,"(+/- 8427 )",604900,"(+/- 6949 )"
People,"Veteran Status","Civilian veterans",43929,"(+/- 2968 )",35337,"(+/- 2502 )",33774,"(+/- 2682 )",32496,"(+/- 2545 )",27592,"(+/- 2607 )",34015,"(+/- 2527 )",16172,"(+/- 2010 )",36068,"(+/- 2906 )",44990,"(+/- 2730 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",728054,"(+/- 6904 )",736207,"(+/- 8848 )",757699,"(+/- 10057 )",743855,"(+/- 7530 )",760558,"(+/- 8562 )",766047,"(+/- 5308 )",802086,"(+/- 7701 )",752373,"(+/- 10889 )",738743,"(+/- 8736 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",124703,"(+/- 6018 )",88984,"(+/- 4461 )",83728,"(+/- 4592 )",73615,"(+/- 4669 )",72433,"(+/- 3882 )",84299,"(+/- 4840 )",98612,"(+/- 5628 )",82012,"(+/- 5328 )",95591,"(+/- 5482 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",149564,"(+/- 2889 )",145162,"(+/- 4371 )",171920,"(+/- 7970 )",163726,"(+/- 5483 )",156470,"(+/- 6220 )",156975,"(+/- 5284 )",132809,"(+/- 4666 )",148863,"(+/- 5863 )",141736,"(+/- 4057 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",11613,"(+/- 2184 )",5148,"(+/- 1133 )",6057,"(+/- 1245 )",6580,"(+/- 1713 )",5514,"(+/- 1138 )",5103,"(+/- 1266 )",7919,"(+/- 2002 )",5087,"(+/- 1521 )",5230,"(+/- 1045 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",452823,"(+/- 5116 )",476784,"(+/- 6642 )",479796,"(+/- 7083 )",466868,"(+/- 7303 )",491639,"(+/- 8044 )",474791,"(+/- 5599 )",580560,"(+/- 6861 )",485136,"(+/- 8143 )",438582,"(+/- 6858 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",67483,"(+/- 4671 )",47388,"(+/- 3285 )",43854,"(+/- 3444 )",34542,"(+/- 3542 )",30891,"(+/- 3207 )",36946,"(+/- 3580 )",51782,"(+/- 3877 )",39946,"(+/- 3587 )",43765,"(+/- 4205 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",125667,"(+/- 2381 )",114261,"(+/- 3013 )",105983,"(+/- 5576 )",113261,"(+/- 5493 )",112449,"(+/- 4608 )",134281,"(+/- 3808 )",88717,"(+/- 3542 )",118374,"(+/- 4349 )",158425,"(+/- 3696 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",45607,"(+/- 3004 )",36448,"(+/- 2246 )",33817,"(+/- 2961 )",32493,"(+/- 2865 )",36028,"(+/- 2574 )",42250,"(+/- 2965 )",38911,"(+/- 2903 )",36979,"(+/- 3032 )",46596,"(+/- 3281 )"
People,"Residence 1 Year Ago","Population 1 year and over",729733,"(+/- 7072 )",736862,"(+/- 8774 )",761144,"(+/- 10699 )",745686,"(+/- 7343 )",755958,"(+/- 8424 )",766938,"(+/- 5610 )",800282,"(+/- 7790 )",752444,"(+/- 10740 )",740751,"(+/- 9002 )"
People,"Residence 1 Year Ago","Same house",627506,"(+/- 9412 )",641938,"(+/- 9220 )",672377,"(+/- 12154 )",659638,"(+/- 9285 )",648971,"(+/- 11126 )",681350,"(+/- 9974 )",639834,"(+/- 11337 )",654098,"(+/- 13121 )",662299,"(+/- 10457 )"
People,"Residence 1 Year Ago","Different house in the U.S.",98356,"(+/- 8391 )",86410,"(+/- 6177 )",81458,"(+/- 6877 )",78702,"(+/- 7130 )",90217,"(+/- 7804 )",80671,"(+/- 7596 )",142326,"(+/- 9900 )",92038,"(+/- 7002 )",73956,"(+/- 6896 )"
People,"Residence 1 Year Ago","Same county",65913,"(+/- 7625 )",52375,"(+/- 5627 )",55907,"(+/- 6222 )",36625,"(+/- 5861 )",51730,"(+/- 5809 )",48022,"(+/- 6125 )",72825,"(+/- 8134 )",49730,"(+/- 5825 )",44707,"(+/- 5667 )"
People,"Residence 1 Year Ago","Different county",32443,"(+/- 4760 )",34035,"(+/- 3716 )",25551,"(+/- 3527 )",42077,"(+/- 4230 )",38487,"(+/- 4823 )",32649,"(+/- 5051 )",69501,"(+/- 5321 )",42308,"(+/- 5025 )",29249,"(+/- 5058 )"
People,"Residence 1 Year Ago","Same state",18222,"(+/- 4463 )",19973,"(+/- 2947 )",13043,"(+/- 2446 )",27290,"(+/- 3215 )",17880,"(+/- 2538 )",22252,"(+/- 4417 )",34997,"(+/- 4445 )",27799,"(+/- 3787 )",18545,"(+/- 3408 )"
People,"Residence 1 Year Ago","Different state",14221,"(+/- 2960 )",14062,"(+/- 2537 )",12508,"(+/- 3059 )",14787,"(+/- 2381 )",20607,"(+/- 3964 )",10397,"(+/- 2170 )",34504,"(+/- 3571 )",14509,"(+/- 3047 )",10704,"(+/- 2988 )"
People,"Residence 1 Year Ago",Abroad,3871,"(+/- 1481 )",8514,"(+/- 2650 )",7309,"(+/- 2371 )",7346,"(+/- 2110 )",16770,"(+/- 3427 )",4917,"(+/- 1775 )",18122,"(+/- 3003 )",6308,"(+/- 1684 )",4496,"(+/- 1491 )"
Workers,"Employment Status","Population 16 years and over",604899,"(+/- 5459 )",618538,"(+/- 7072 )",618038,"(+/- 8369 )",608476,"(+/- 7568 )",627088,"(+/- 8153 )",636784,"(+/- 5651 )",688596,"(+/- 7676 )",632716,"(+/- 9133 )",625596,"(+/- 7299 )"
Workers,"Employment Status","In labor force",370347,"(+/- 6032 )",391946,"(+/- 8009 )",421573,"(+/- 8330 )",422096,"(+/- 6913 )",432555,"(+/- 8447 )",425264,"(+/- 6293 )",479430,"(+/- 8834 )",444916,"(+/- 9086 )",388204,"(+/- 7154 )"
Workers,"Employment Status","Civilian labor force",369718,"(+/- 6103 )",391548,"(+/- 7979 )",421432,"(+/- 8319 )",421748,"(+/- 6926 )",431966,"(+/- 8459 )",424814,"(+/- 6259 )",478920,"(+/- 8809 )",444343,"(+/- 9106 )",387136,"(+/- 7183 )"
Workers,"Employment Status",Employed,349113,"(+/- 5711 )",374239,"(+/- 7951 )",401998,"(+/- 8297 )",404860,"(+/- 7354 )",415563,"(+/- 8114 )",410029,"(+/- 6491 )",448318,"(+/- 9307 )",422874,"(+/- 8656 )",372540,"(+/- 7548 )"
Workers,"Employment Status",Unemployed,20605,"(+/- 2359 )",17309,"(+/- 2045 )",19434,"(+/- 2477 )",16888,"(+/- 2113 )",16403,"(+/- 2020 )",14785,"(+/- 1836 )",30602,"(+/- 3039 )",21469,"(+/- 2701 )",14596,"(+/- 1921 )"
Workers,"Employment Status","Armed Forces",629,"(+/- 367 )",398,"(+/- 298 )",141,"(+/- 135 )",348,"(+/- 237 )",589,"(+/- 267 )",450,"(+/- 497 )",510,"(+/- 567 )",573,"(+/- 301 )",1068,"(+/- 406 )"
