Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Median age (years)",35.6,"(+/- 0.3 )",36.0,"(+/- 0.4 )",38.6,"(+/- 0.7 )",36.4,"(+/- 0.6 )",33.0,"(+/- 0.6 )",37.8,"(+/- 0.6 )",36.1,"(+/- 0.4 )",37.5,"(+/- 0.5 )",41.4,"(+/- 0.6 )",36.4,"(+/- 0.6 )",36.9,"(+/- 0.5 )",35.9,"(+/- 0.5 )",36.1,"(+/- 0.7 )",37.8,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",570384,"(+/- 3484 )",510884,"(+/- 4957 )",562881,"(+/- 6635 )",570672,"(+/- 12238 )",619971,"(+/- 10909 )",574857,"(+/- 8933 )",589441,"(+/- 10927 )",534152,"(+/- 4291 )",584560,"(+/- 4386 )",561882,"(+/- 8659 )",590256,"(+/- 9238 )",551917,"(+/- 4111 )",552345,"(+/- 13462 )",540412,"(+/- 2408 )"
People,"Sex and Age","65 years and over",106160,"(+/- 1755 )",100277,"(+/- 2477 )",108280,"(+/- 2604 )",87925,"(+/- 3433 )",87184,"(+/- 4577 )",94149,"(+/- 4163 )",82407,"(+/- 2350 )",107206,"(+/- 2455 )",137702,"(+/- 2160 )",107863,"(+/- 3218 )",91967,"(+/- 3148 )",102178,"(+/- 1650 )",84986,"(+/- 4382 )",103566,"(+/- 1361 )"
People,Race,"Total population",747334,"(+/- 4518 )",674100,"(+/- 6343 )",738066,"(+/- 9278 )",765854,"(+/- 17030 )",784370,"(+/- 14210 )",756389,"(+/- 12719 )",807492,"(+/- 15520 )",702262,"(+/- 5117 )",755181,"(+/- 6129 )",736838,"(+/- 12848 )",768968,"(+/- 11831 )",722937,"(+/- 5230 )",752631,"(+/- 17839 )",716957,"(+/- 2972 )"
People,Race,"One race",726718,"(+/- 5909 )",657803,"(+/- 7076 )",721162,"(+/- 9520 )",738403,"(+/- 17838 )",761695,"(+/- 13395 )",727801,"(+/- 12514 )",781133,"(+/- 15563 )",687011,"(+/- 6245 )",741798,"(+/- 6447 )",715792,"(+/- 12274 )",745510,"(+/- 11706 )",701863,"(+/- 6696 )",735933,"(+/- 18012 )",700592,"(+/- 4145 )"
People,Race,White,473783,"(+/- 4877 )",285379,"(+/- 6520 )",511544,"(+/- 7111 )",203164,"(+/- 11475 )",250754,"(+/- 8796 )",512219,"(+/- 13183 )",438984,"(+/- 11982 )",438414,"(+/- 5886 )",662950,"(+/- 5956 )",507062,"(+/- 11117 )",573682,"(+/- 10511 )",418046,"(+/- 5958 )",234457,"(+/- 13699 )",612518,"(+/- 4364 )"
People,Race,"Black or African American",218988,"(+/- 5965 )",351267,"(+/- 6272 )",180429,"(+/- 8413 )",461416,"(+/- 15568 )",457063,"(+/- 13807 )",101114,"(+/- 10600 )",165469,"(+/- 13321 )",219698,"(+/- 6023 )",51911,"(+/- 4182 )",181090,"(+/- 8316 )",126476,"(+/- 8569 )",254478,"(+/- 5100 )",455970,"(+/- 17626 )",66692,"(+/- 2415 )"
People,Race,"American Indian and Alaska Native",4410,"(+/- 1359 )",872,"(+/- 468 )",2442,"(+/- 1579 )",3604,"(+/- 1941 )",1593,"(+/- 716 )",10803,"(+/- 3423 )",4063,"(+/- 2388 )",1868,"(+/- 828 )",1349,"(+/- 970 )",870,"(+/- 688 )",1065,"(+/- 669 )",1902,"(+/- 922 )",659,"(+/- 429 )",1355,"(+/- 1132 )"
People,Race,Asian,12369,"(+/- 2143 )",7737,"(+/- 1796 )",15494,"(+/- 2037 )",37825,"(+/- 5655 )",35180,"(+/- 3142 )",85787,"(+/- 5506 )",114191,"(+/- 5298 )",10164,"(+/- 1811 )",11371,"(+/- 2007 )",16644,"(+/- 2680 )",24988,"(+/- 3521 )",11667,"(+/- 1475 )",20456,"(+/- 3898 )",7042,"(+/- 2203 )"
People,Race,"Native Hawaiian and Other Pacific Islander",4757,"(+/- 4426 )",426,"(+/- 312 )",170,"(+/- 155 )",1403,"(+/- 1629 )",51,"(+/- 81 )",51,"(+/- 84 )",176,"(+/- 303 )",268,"(+/- 290 )",52,"(+/- 52 )",40,"(+/- 56 )",226,"(+/- 283 )",259,"(+/- 262 )",515,"(+/- 490 )",200,"(+/- 248 )"
People,Race,"Some other race",12411,"(+/- 3409 )",12122,"(+/- 2508 )",11083,"(+/- 3025 )",30991,"(+/- 6848 )",17054,"(+/- 4360 )",17827,"(+/- 6306 )",58250,"(+/- 9229 )",16599,"(+/- 2902 )",14165,"(+/- 3429 )",10086,"(+/- 2683 )",19073,"(+/- 4425 )",15511,"(+/- 2899 )",23876,"(+/- 5765 )",12785,"(+/- 4068 )"
People,Race,"Two or more races",20616,"(+/- 3604 )",16297,"(+/- 3488 )",16904,"(+/- 3428 )",27451,"(+/- 6340 )",22675,"(+/- 3811 )",28588,"(+/- 5777 )",26359,"(+/- 3713 )",15251,"(+/- 3668 )",13383,"(+/- 2565 )",21046,"(+/- 3633 )",23458,"(+/- 4270 )",21074,"(+/- 4583 )",16698,"(+/- 3483 )",16365,"(+/- 3281 )"
People,"Hispanic or Latino and Race","Total population",747334,"(+/- 4518 )",674100,"(+/- 6343 )",738066,"(+/- 9278 )",765854,"(+/- 17030 )",784370,"(+/- 14210 )",756389,"(+/- 12719 )",807492,"(+/- 15520 )",702262,"(+/- 5117 )",755181,"(+/- 6129 )",736838,"(+/- 12848 )",768968,"(+/- 11831 )",722937,"(+/- 5230 )",752631,"(+/- 17839 )",716957,"(+/- 2972 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",51310,"(+/- 1833 )",36369,"(+/- 3750 )",45367,"(+/- 3596 )",71950,"(+/- 7597 )",51551,"(+/- 6008 )",101063,"(+/- 7533 )",161856,"(+/- 7581 )",44377,"(+/- 2219 )",98669,"(+/- 3136 )",39544,"(+/- 4796 )",86274,"(+/- 5092 )",46033,"(+/- 1369 )",82312,"(+/- 8843 )",84797,"(+/- 438 )"
People,"Hispanic or Latino and Race",Mexican,26393,"(+/- 3988 )",22276,"(+/- 4399 )",23223,"(+/- 4670 )",46839,"(+/- 6798 )",28036,"(+/- 5296 )",55195,"(+/- 6546 )",71889,"(+/- 8550 )",24347,"(+/- 3103 )",69335,"(+/- 5222 )",19911,"(+/- 3560 )",44320,"(+/- 5751 )",27520,"(+/- 3141 )",50416,"(+/- 9174 )",47703,"(+/- 6005 )"
People,"Hispanic or Latino and Race","Puerto Rican",11970,"(+/- 2587 )",5672,"(+/- 1818 )",9355,"(+/- 3104 )",3741,"(+/- 1309 )",4631,"(+/- 1681 )",9190,"(+/- 2708 )",7451,"(+/- 2202 )",4560,"(+/- 1609 )",4173,"(+/- 1831 )",9166,"(+/- 3354 )",8423,"(+/- 2168 )",9145,"(+/- 2573 )",7895,"(+/- 2245 )",6549,"(+/- 2541 )"
People,"Hispanic or Latino and Race",Cuban,1215,"(+/- 548 )",1514,"(+/- 1009 )",2029,"(+/- 1045 )",2085,"(+/- 1133 )",3168,"(+/- 2464 )",3397,"(+/- 1237 )",5389,"(+/- 1997 )",5543,"(+/- 2439 )",2905,"(+/- 1538 )",1612,"(+/- 985 )",3065,"(+/- 1715 )",1127,"(+/- 805 )",762,"(+/- 562 )",1510,"(+/- 998 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",11732,"(+/- 2386 )",6907,"(+/- 1969 )",10760,"(+/- 3537 )",19285,"(+/- 4539 )",15716,"(+/- 3948 )",33281,"(+/- 5566 )",77127,"(+/- 7675 )",9927,"(+/- 2766 )",22256,"(+/- 4420 )",8855,"(+/- 2735 )",30466,"(+/- 5294 )",8241,"(+/- 2455 )",23239,"(+/- 5069 )",29035,"(+/- 5432 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",696024,"(+/- 4290 )",637731,"(+/- 6313 )",692699,"(+/- 8541 )",693904,"(+/- 16706 )",732819,"(+/- 13373 )",655326,"(+/- 12597 )",645636,"(+/- 15092 )",657885,"(+/- 4955 )",656512,"(+/- 5914 )",697294,"(+/- 12468 )",682694,"(+/- 12563 )",676904,"(+/- 5118 )",670319,"(+/- 17843 )",632160,"(+/- 2960 )"
People,"Place of Birth","Total population",747334,"(+/- 4518 )",674100,"(+/- 6343 )",738066,"(+/- 9278 )",765854,"(+/- 17030 )",784370,"(+/- 14210 )",756389,"(+/- 12719 )",807492,"(+/- 15520 )",702262,"(+/- 5117 )",755181,"(+/- 6129 )",736838,"(+/- 12848 )",768968,"(+/- 11831 )",722937,"(+/- 5230 )",752631,"(+/- 17839 )",716957,"(+/- 2972 )"
People,"Place of Birth",Native,710422,"(+/- 5098 )",651994,"(+/- 6407 )",695247,"(+/- 11118 )",637393,"(+/- 14180 )",715469,"(+/- 14319 )",588771,"(+/- 13303 )",599055,"(+/- 14861 )",671316,"(+/- 4999 )",693334,"(+/- 5734 )",698141,"(+/- 12945 )",674361,"(+/- 10603 )",689826,"(+/- 6613 )",669411,"(+/- 16817 )",668671,"(+/- 4254 )"
People,"Place of Birth","Born in United States",696580,"(+/- 5634 )",644969,"(+/- 6638 )",682565,"(+/- 11073 )",627969,"(+/- 14176 )",708405,"(+/- 13998 )",578600,"(+/- 13121 )",585129,"(+/- 15109 )",662716,"(+/- 5026 )",686398,"(+/- 5942 )",687711,"(+/- 12772 )",662734,"(+/- 10924 )",677099,"(+/- 6941 )",659190,"(+/- 16704 )",663781,"(+/- 4676 )"
People,"Place of Birth","State of residence",410933,"(+/- 11901 )",497589,"(+/- 9685 )",449912,"(+/- 11667 )",374442,"(+/- 13089 )",423502,"(+/- 13554 )",249734,"(+/- 9874 )",288602,"(+/- 11241 )",482849,"(+/- 8474 )",458827,"(+/- 9694 )",477256,"(+/- 9689 )",348146,"(+/- 9961 )",487790,"(+/- 10226 )",376653,"(+/- 13713 )",425442,"(+/- 9383 )"
People,"Place of Birth","Different state",285647,"(+/- 11258 )",147380,"(+/- 6670 )",232653,"(+/- 9653 )",253527,"(+/- 12167 )",284903,"(+/- 10655 )",328866,"(+/- 10373 )",296527,"(+/- 11768 )",179867,"(+/- 7680 )",227571,"(+/- 9484 )",210455,"(+/- 10509 )",314588,"(+/- 11162 )",189309,"(+/- 9122 )",282537,"(+/- 13958 )",238339,"(+/- 9380 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13842,"(+/- 2124 )",7025,"(+/- 1620 )",12682,"(+/- 2782 )",9424,"(+/- 2188 )",7064,"(+/- 1533 )",10171,"(+/- 1897 )",13926,"(+/- 2803 )",8600,"(+/- 1703 )",6936,"(+/- 1525 )",10430,"(+/- 2059 )",11627,"(+/- 1975 )",12727,"(+/- 2497 )",10221,"(+/- 2430 )",4890,"(+/- 1526 )"
People,"Place of Birth","Foreign born",36912,"(+/- 3426 )",22106,"(+/- 3400 )",42819,"(+/- 4717 )",128461,"(+/- 10456 )",68901,"(+/- 5582 )",167618,"(+/- 7725 )",208437,"(+/- 7927 )",30946,"(+/- 3426 )",61847,"(+/- 4191 )",38697,"(+/- 4888 )",94607,"(+/- 6380 )",33111,"(+/- 3600 )",83220,"(+/- 6840 )",48286,"(+/- 3301 )"
People,Ancestry,"Total population",747334,"(+/- 4518 )",674100,"(+/- 6343 )",738066,"(+/- 9278 )",765854,"(+/- 17030 )",784370,"(+/- 14210 )",756389,"(+/- 12719 )",807492,"(+/- 15520 )",702262,"(+/- 5117 )",755181,"(+/- 6129 )",736838,"(+/- 12848 )",768968,"(+/- 11831 )",722937,"(+/- 5230 )",752631,"(+/- 17839 )",716957,"(+/- 2972 )"
People,Ancestry,American,61778,"(+/- 7855 )",77022,"(+/- 7058 )",128702,"(+/- 7999 )",41942,"(+/- 5685 )",42936,"(+/- 5322 )",54144,"(+/- 8084 )",53585,"(+/- 6543 )",120474,"(+/- 9806 )",101573,"(+/- 7758 )",98391,"(+/- 8445 )",73939,"(+/- 6848 )",62131,"(+/- 6526 )",46459,"(+/- 6289 )",159017,"(+/- 10505 )"
People,Ancestry,Arab,1484,"(+/- 797 )",1151,"(+/- 744 )",437,"(+/- 288 )",4631,"(+/- 2850 )",2996,"(+/- 931 )",10959,"(+/- 3414 )",4397,"(+/- 1824 )",291,"(+/- 277 )",623,"(+/- 722 )",2633,"(+/- 2312 )",3260,"(+/- 1725 )",398,"(+/- 334 )",823,"(+/- 704 )",918,"(+/- 982 )"
People,Ancestry,Czech,1490,"(+/- 827 )",433,"(+/- 297 )",1537,"(+/- 882 )",594,"(+/- 590 )",1357,"(+/- 694 )",2576,"(+/- 1107 )",1331,"(+/- 658 )",1072,"(+/- 903 )",322,"(+/- 261 )",2036,"(+/- 1843 )",1867,"(+/- 943 )",1177,"(+/- 956 )",48,"(+/- 83 )",290,"(+/- 225 )"
People,Ancestry,Danish,1007,"(+/- 455 )",75,"(+/- 102 )",1274,"(+/- 661 )",167,"(+/- 194 )",1379,"(+/- 624 )",2686,"(+/- 1153 )",1729,"(+/- 1491 )",687,"(+/- 506 )",922,"(+/- 811 )",903,"(+/- 591 )",886,"(+/- 331 )",666,"(+/- 749 )",212,"(+/- 182 )",2321,"(+/- 1395 )"
People,Ancestry,Dutch,5250,"(+/- 1669 )",2059,"(+/- 851 )",4174,"(+/- 1191 )",2226,"(+/- 823 )",3208,"(+/- 1249 )",7105,"(+/- 1516 )",4926,"(+/- 1352 )",2326,"(+/- 926 )",6200,"(+/- 1666 )",4367,"(+/- 1446 )",9453,"(+/- 2321 )",4327,"(+/- 1432 )",3326,"(+/- 1450 )",8086,"(+/- 1963 )"
People,Ancestry,English,49842,"(+/- 6430 )",24536,"(+/- 3439 )",55390,"(+/- 5532 )",25005,"(+/- 2792 )",35112,"(+/- 3208 )",72495,"(+/- 6395 )",51011,"(+/- 4910 )",39951,"(+/- 4626 )",74873,"(+/- 6608 )",56606,"(+/- 5671 )",93560,"(+/- 8172 )",36625,"(+/- 4778 )",27122,"(+/- 3983 )",71983,"(+/- 5856 )"
People,Ancestry,"French (except Basque)",13707,"(+/- 3088 )",6368,"(+/- 1383 )",12053,"(+/- 2541 )",5481,"(+/- 1122 )",8866,"(+/- 1719 )",15947,"(+/- 2544 )",10363,"(+/- 2095 )",6945,"(+/- 1602 )",15261,"(+/- 2782 )",11719,"(+/- 2630 )",14021,"(+/- 2815 )",9099,"(+/- 2467 )",5373,"(+/- 1998 )",9882,"(+/- 2561 )"
People,Ancestry,"French Canadian",2500,"(+/- 1239 )",952,"(+/- 575 )",1793,"(+/- 858 )",839,"(+/- 774 )",1660,"(+/- 887 )",2692,"(+/- 1081 )",2684,"(+/- 1306 )",526,"(+/- 325 )",1526,"(+/- 882 )",2307,"(+/- 921 )",1312,"(+/- 490 )",2342,"(+/- 1506 )",477,"(+/- 307 )",726,"(+/- 509 )"
People,Ancestry,German,60297,"(+/- 5985 )",25518,"(+/- 3452 )",54642,"(+/- 5370 )",25581,"(+/- 3337 )",35672,"(+/- 4508 )",77330,"(+/- 5864 )",55920,"(+/- 5115 )",37300,"(+/- 5200 )",62898,"(+/- 4683 )",53616,"(+/- 6126 )",67806,"(+/- 6586 )",39344,"(+/- 4934 )",26191,"(+/- 4820 )",52765,"(+/- 5449 )"
People,Ancestry,Greek,1834,"(+/- 1006 )",206,"(+/- 187 )",665,"(+/- 449 )",1151,"(+/- 1016 )",3387,"(+/- 1602 )",2666,"(+/- 1037 )",2131,"(+/- 870 )",1350,"(+/- 844 )",1096,"(+/- 615 )",1178,"(+/- 788 )",2415,"(+/- 1041 )",2517,"(+/- 945 )",411,"(+/- 364 )",1928,"(+/- 2014 )"
People,Ancestry,Hungarian,1568,"(+/- 748 )",184,"(+/- 168 )",1026,"(+/- 539 )",429,"(+/- 248 )",1530,"(+/- 673 )",2020,"(+/- 729 )",1775,"(+/- 846 )",1181,"(+/- 1360 )",2284,"(+/- 1241 )",2455,"(+/- 1184 )",2512,"(+/- 1275 )",514,"(+/- 435 )",683,"(+/- 519 )",446,"(+/- 304 )"
People,Ancestry,Irish,73980,"(+/- 5742 )",34422,"(+/- 4124 )",69793,"(+/- 6758 )",20176,"(+/- 3190 )",38468,"(+/- 4554 )",66916,"(+/- 6602 )",46064,"(+/- 4793 )",48204,"(+/- 4989 )",72957,"(+/- 6769 )",53472,"(+/- 5847 )",79172,"(+/- 7952 )",42589,"(+/- 4017 )",23331,"(+/- 3705 )",67304,"(+/- 6799 )"
People,Ancestry,Italian,22815,"(+/- 4614 )",7701,"(+/- 2214 )",15560,"(+/- 3338 )",8324,"(+/- 1986 )",14327,"(+/- 2005 )",29089,"(+/- 3703 )",19277,"(+/- 3156 )",11021,"(+/- 3160 )",18192,"(+/- 2943 )",16265,"(+/- 3061 )",31126,"(+/- 4491 )",14065,"(+/- 3659 )",8503,"(+/- 2857 )",13372,"(+/- 2265 )"
People,Ancestry,Lithuanian,1168,"(+/- 822 )",39,"(+/- 76 )",381,"(+/- 338 )",53,"(+/- 90 )",501,"(+/- 381 )",2109,"(+/- 1118 )",1835,"(+/- 1730 )",488,"(+/- 589 )",304,"(+/- 309 )",593,"(+/- 731 )",913,"(+/- 703 )",0,"(+/- 224 )",74,"(+/- 124 )",0,"(+/- 224 )"
People,Ancestry,Norwegian,2789,"(+/- 828 )",1316,"(+/- 732 )",2779,"(+/- 1139 )",1405,"(+/- 601 )",2804,"(+/- 948 )",4233,"(+/- 1155 )",3895,"(+/- 1120 )",1477,"(+/- 708 )",3905,"(+/- 1781 )",2185,"(+/- 730 )",3896,"(+/- 1026 )",1736,"(+/- 780 )",682,"(+/- 503 )",3487,"(+/- 1474 )"
People,Ancestry,Polish,9510,"(+/- 2263 )",2510,"(+/- 807 )",8477,"(+/- 2087 )",3578,"(+/- 1616 )",6966,"(+/- 1331 )",18146,"(+/- 3390 )",12365,"(+/- 2896 )",5624,"(+/- 2245 )",8513,"(+/- 2015 )",8066,"(+/- 2138 )",14360,"(+/- 3623 )",4225,"(+/- 1722 )",3629,"(+/- 1265 )",3994,"(+/- 1319 )"
People,Ancestry,Portuguese,535,"(+/- 358 )",278,"(+/- 247 )",543,"(+/- 391 )",278,"(+/- 317 )",684,"(+/- 419 )",2662,"(+/- 2173 )",705,"(+/- 619 )",354,"(+/- 339 )",520,"(+/- 393 )",423,"(+/- 420 )",2012,"(+/- 1555 )",427,"(+/- 328 )",636,"(+/- 563 )",151,"(+/- 198 )"
People,Ancestry,Russian,3534,"(+/- 1247 )",654,"(+/- 503 )",1583,"(+/- 841 )",2417,"(+/- 1351 )",4636,"(+/- 1261 )",10983,"(+/- 2810 )",6715,"(+/- 2850 )",561,"(+/- 381 )",2656,"(+/- 1168 )",2148,"(+/- 1012 )",5453,"(+/- 1869 )",860,"(+/- 808 )",799,"(+/- 520 )",878,"(+/- 512 )"
People,Ancestry,Scotch-Irish,9852,"(+/- 2468 )",4515,"(+/- 1167 )",10189,"(+/- 2032 )",5626,"(+/- 1757 )",6697,"(+/- 1612 )",12154,"(+/- 2282 )",7624,"(+/- 1782 )",5227,"(+/- 1157 )",14093,"(+/- 2878 )",8194,"(+/- 1507 )",13589,"(+/- 2528 )",7481,"(+/- 1857 )",3875,"(+/- 1654 )",8470,"(+/- 1737 )"
People,Ancestry,Scottish,12427,"(+/- 2217 )",6296,"(+/- 1466 )",12426,"(+/- 2663 )",7420,"(+/- 1487 )",9910,"(+/- 1445 )",19102,"(+/- 2951 )",14911,"(+/- 3430 )",12033,"(+/- 2667 )",19425,"(+/- 2755 )",14048,"(+/- 2461 )",21145,"(+/- 3701 )",8886,"(+/- 1712 )",7307,"(+/- 2681 )",14940,"(+/- 3567 )"
People,Ancestry,Slovak,846,"(+/- 623 )",29,"(+/- 58 )",351,"(+/- 259 )",206,"(+/- 243 )",352,"(+/- 226 )",1916,"(+/- 1357 )",684,"(+/- 386 )",17,"(+/- 31 )",839,"(+/- 820 )",573,"(+/- 417 )",1573,"(+/- 764 )",0,"(+/- 224 )",227,"(+/- 224 )",0,"(+/- 224 )"
