Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,Race,"Total population",720977,"(+/- 16549 )",702756,"(+/- 14920 )",725538,"(+/- 18639 )",700585,"(+/- 20236 )",729300,"(+/- 16178 )",720542,"(+/- 12939 )",697263,"(+/- 17219 )",713012,"(+/- 11244 )",732614,"(+/- 14773 )",714681,"(+/- 6978 )",721823,"(+/- 10333 )",695178,"(+/- 3368 )",698295,"(+/- 7414 )",746748,"(+/- 9443 )",701482,"(+/- 6537 )",690420,"(+/- 6908 )",689744,"(+/- 7867 )",701065,"(+/- 7076 )"
People,Race,"One race",705198,"(+/- 16487 )",690738,"(+/- 14969 )",709989,"(+/- 18079 )",678122,"(+/- 19420 )",706077,"(+/- 16005 )",699810,"(+/- 13657 )",680514,"(+/- 16807 )",691013,"(+/- 11965 )",706712,"(+/- 14957 )",695294,"(+/- 7490 )",695476,"(+/- 11343 )",673592,"(+/- 3813 )",678617,"(+/- 8024 )",731869,"(+/- 10114 )",688469,"(+/- 6463 )",674381,"(+/- 6895 )",672307,"(+/- 8679 )",688374,"(+/- 7345 )"
People,Race,White,301363,"(+/- 10995 )",255289,"(+/- 11440 )",546187,"(+/- 14538 )",394981,"(+/- 17286 )",583221,"(+/- 13719 )",580295,"(+/- 11678 )",269266,"(+/- 11573 )",467746,"(+/- 14615 )",527107,"(+/- 12673 )",495221,"(+/- 9608 )",473197,"(+/- 11684 )",538586,"(+/- 4553 )",566165,"(+/- 7389 )",646788,"(+/- 9906 )",649324,"(+/- 6896 )",621469,"(+/- 6806 )",568539,"(+/- 6298 )",635168,"(+/- 6899 )"
People,Race,"Black or African American",362478,"(+/- 13773 )",406149,"(+/- 15228 )",34516,"(+/- 5121 )",30889,"(+/- 4676 )",22293,"(+/- 3589 )",22125,"(+/- 4130 )",318963,"(+/- 12901 )",36215,"(+/- 5417 )",65776,"(+/- 8174 )",49553,"(+/- 2930 )",80694,"(+/- 6585 )",117909,"(+/- 3866 )",82290,"(+/- 4074 )",23028,"(+/- 4980 )",28666,"(+/- 2966 )",26924,"(+/- 3245 )",83233,"(+/- 5500 )",27285,"(+/- 3386 )"
People,Race,"American Indian and Alaska Native",1439,"(+/- 981 )",992,"(+/- 641 )",1718,"(+/- 1131 )",2816,"(+/- 1237 )",1265,"(+/- 756 )",1081,"(+/- 935 )",1095,"(+/- 757 )",3741,"(+/- 2738 )",1897,"(+/- 1248 )",2749,"(+/- 1410 )",2294,"(+/- 1410 )",813,"(+/- 587 )",1331,"(+/- 531 )",664,"(+/- 526 )",1569,"(+/- 682 )",1005,"(+/- 483 )",1603,"(+/- 749 )",1838,"(+/- 733 )"
People,Race,Asian,14470,"(+/- 2663 )",4318,"(+/- 1314 )",37522,"(+/- 4845 )",28650,"(+/- 4151 )",55582,"(+/- 4872 )",74468,"(+/- 7742 )",44049,"(+/- 4817 )",92745,"(+/- 7752 )",90794,"(+/- 7374 )",78644,"(+/- 5595 )",58068,"(+/- 6184 )",7033,"(+/- 1101 )",26125,"(+/- 2153 )",36103,"(+/- 4501 )",5823,"(+/- 1518 )",9308,"(+/- 1640 )",9895,"(+/- 1999 )",21371,"(+/- 1609 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 190 )",31,"(+/- 56 )",168,"(+/- 231 )",90,"(+/- 151 )",270,"(+/- 404 )",5,"(+/- 11 )",0,"(+/- 190 )",272,"(+/- 315 )",519,"(+/- 452 )",629,"(+/- 471 )",1126,"(+/- 1568 )",85,"(+/- 91 )",264,"(+/- 232 )",239,"(+/- 324 )",291,"(+/- 214 )",185,"(+/- 225 )",537,"(+/- 424 )",149,"(+/- 177 )"
People,Race,"Some other race",25448,"(+/- 5654 )",23959,"(+/- 4213 )",89878,"(+/- 12590 )",220696,"(+/- 14095 )",43446,"(+/- 6836 )",21836,"(+/- 5888 )",47141,"(+/- 8961 )",90294,"(+/- 11510 )",20619,"(+/- 4564 )",68498,"(+/- 7061 )",80097,"(+/- 8439 )",9166,"(+/- 2421 )",2442,"(+/- 1040 )",25047,"(+/- 6350 )",2796,"(+/- 1065 )",15490,"(+/- 3341 )",8500,"(+/- 2590 )",2563,"(+/- 1221 )"
People,Race,"Two or more races",15779,"(+/- 4058 )",12018,"(+/- 2772 )",15549,"(+/- 3414 )",22463,"(+/- 3756 )",23223,"(+/- 3267 )",20732,"(+/- 3361 )",16749,"(+/- 3536 )",21999,"(+/- 3162 )",25902,"(+/- 4222 )",19387,"(+/- 3491 )",26347,"(+/- 4296 )",21586,"(+/- 2512 )",19678,"(+/- 2499 )",14879,"(+/- 3122 )",13013,"(+/- 2370 )",16039,"(+/- 2191 )",17437,"(+/- 3434 )",12691,"(+/- 2213 )"
People,"Hispanic or Latino and Race","Total population",720977,"(+/- 16549 )",702756,"(+/- 14920 )",725538,"(+/- 18639 )",700585,"(+/- 20236 )",729300,"(+/- 16178 )",720542,"(+/- 12939 )",697263,"(+/- 17219 )",713012,"(+/- 11244 )",732614,"(+/- 14773 )",714681,"(+/- 6978 )",721823,"(+/- 10333 )",695178,"(+/- 3368 )",698295,"(+/- 7414 )",746748,"(+/- 9443 )",701482,"(+/- 6537 )",690420,"(+/- 6908 )",689744,"(+/- 7867 )",701065,"(+/- 7076 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",78353,"(+/- 8194 )",104940,"(+/- 10816 )",233258,"(+/- 14632 )",479290,"(+/- 18163 )",141748,"(+/- 9426 )",77197,"(+/- 8042 )",107676,"(+/- 10265 )",211473,"(+/- 12062 )",92834,"(+/- 10320 )",165276,"(+/- 7082 )",199897,"(+/- 9752 )",25800,"(+/- 1329 )",22936,"(+/- 1988 )",93655,"(+/- 9090 )",19588,"(+/- 2013 )",68620,"(+/- 3560 )",64174,"(+/- 3405 )",20212,"(+/- 2389 )"
People,"Hispanic or Latino and Race",Mexican,68097,"(+/- 7660 )",91514,"(+/- 10543 )",211827,"(+/- 15059 )",364584,"(+/- 17810 )",78720,"(+/- 8094 )",56147,"(+/- 7074 )",77813,"(+/- 9141 )",174180,"(+/- 10859 )",63093,"(+/- 9357 )",135527,"(+/- 7663 )",175417,"(+/- 9614 )",17984,"(+/- 2036 )",16631,"(+/- 2133 )",74870,"(+/- 8685 )",14390,"(+/- 2075 )",59992,"(+/- 3981 )",52568,"(+/- 3619 )",13171,"(+/- 2514 )"
People,"Hispanic or Latino and Race","Puerto Rican",4297,"(+/- 1440 )",6325,"(+/- 2490 )",10008,"(+/- 2672 )",57522,"(+/- 6922 )",28965,"(+/- 5115 )",8493,"(+/- 2187 )",14725,"(+/- 3188 )",13423,"(+/- 3000 )",10360,"(+/- 2817 )",7628,"(+/- 2406 )",8296,"(+/- 2708 )",1907,"(+/- 976 )",2359,"(+/- 1039 )",6514,"(+/- 1982 )",1827,"(+/- 588 )",4667,"(+/- 1534 )",5879,"(+/- 2332 )",1851,"(+/- 620 )"
People,"Hispanic or Latino and Race",Cuban,527,"(+/- 407 )",598,"(+/- 371 )",734,"(+/- 490 )",2520,"(+/- 931 )",3891,"(+/- 1223 )",1993,"(+/- 1298 )",2739,"(+/- 1842 )",794,"(+/- 513 )",2876,"(+/- 973 )",1367,"(+/- 697 )",849,"(+/- 653 )",1024,"(+/- 746 )",333,"(+/- 363 )",1884,"(+/- 1013 )",429,"(+/- 235 )",673,"(+/- 404 )",429,"(+/- 320 )",240,"(+/- 236 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5432,"(+/- 1545 )",6503,"(+/- 2630 )",10689,"(+/- 2947 )",54664,"(+/- 7646 )",30172,"(+/- 4690 )",10564,"(+/- 2746 )",12399,"(+/- 2669 )",23076,"(+/- 6065 )",16505,"(+/- 2892 )",20754,"(+/- 4426 )",15335,"(+/- 4440 )",4885,"(+/- 1662 )",3613,"(+/- 1312 )",10387,"(+/- 2943 )",2942,"(+/- 1204 )",3288,"(+/- 958 )",5298,"(+/- 1960 )",4950,"(+/- 1606 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",642624,"(+/- 15512 )",597816,"(+/- 15890 )",492280,"(+/- 12656 )",221295,"(+/- 10325 )",587552,"(+/- 13869 )",643345,"(+/- 11049 )",589587,"(+/- 16286 )",501539,"(+/- 13197 )",639780,"(+/- 16211 )",549405,"(+/- 8624 )",521926,"(+/- 11641 )",669378,"(+/- 3263 )",675359,"(+/- 7289 )",653093,"(+/- 9822 )",681894,"(+/- 6554 )",621800,"(+/- 6944 )",625570,"(+/- 7694 )",680853,"(+/- 6842 )"
People,"Place of Birth","Total population",720977,"(+/- 16549 )",702756,"(+/- 14920 )",725538,"(+/- 18639 )",700585,"(+/- 20236 )",729300,"(+/- 16178 )",720542,"(+/- 12939 )",697263,"(+/- 17219 )",713012,"(+/- 11244 )",732614,"(+/- 14773 )",714681,"(+/- 6978 )",721823,"(+/- 10333 )",695178,"(+/- 3368 )",698295,"(+/- 7414 )",746748,"(+/- 9443 )",701482,"(+/- 6537 )",690420,"(+/- 6908 )",689744,"(+/- 7867 )",701065,"(+/- 7076 )"
People,"Place of Birth",Native,668500,"(+/- 15751 )",659084,"(+/- 14235 )",574442,"(+/- 17972 )",461156,"(+/- 14904 )",572613,"(+/- 14796 )",607627,"(+/- 11061 )",601691,"(+/- 15245 )",504291,"(+/- 11223 )",534049,"(+/- 11696 )",538460,"(+/- 8794 )",569479,"(+/- 10489 )",676965,"(+/- 4475 )",660017,"(+/- 7503 )",673431,"(+/- 9390 )",690519,"(+/- 6711 )",653671,"(+/- 7315 )",651459,"(+/- 7509 )",672148,"(+/- 6941 )"
People,"Place of Birth","Born in United States",663334,"(+/- 15746 )",655650,"(+/- 14319 )",565483,"(+/- 18161 )",433988,"(+/- 14412 )",557841,"(+/- 14479 )",599466,"(+/- 11248 )",593896,"(+/- 15330 )",493610,"(+/- 11132 )",523832,"(+/- 11558 )",527930,"(+/- 8543 )",563031,"(+/- 10307 )",670284,"(+/- 4366 )",654937,"(+/- 7759 )",668116,"(+/- 9535 )",686596,"(+/- 6909 )",648945,"(+/- 7631 )",646058,"(+/- 7432 )",668791,"(+/- 6946 )"
People,"Place of Birth","State of residence",562807,"(+/- 16522 )",538811,"(+/- 12934 )",507905,"(+/- 17013 )",363215,"(+/- 13213 )",406313,"(+/- 12266 )",469018,"(+/- 12907 )",434534,"(+/- 13862 )",419539,"(+/- 9900 )",382346,"(+/- 12396 )",401606,"(+/- 7965 )",459978,"(+/- 10919 )",477298,"(+/- 8270 )",523299,"(+/- 7535 )",522989,"(+/- 10442 )",534794,"(+/- 7548 )",526779,"(+/- 7875 )",489733,"(+/- 9707 )",549261,"(+/- 8514 )"
People,"Place of Birth","Different state",100527,"(+/- 5871 )",116839,"(+/- 7002 )",57578,"(+/- 3725 )",70773,"(+/- 4541 )",151528,"(+/- 7291 )",130448,"(+/- 6584 )",159362,"(+/- 6768 )",74071,"(+/- 4716 )",141486,"(+/- 6473 )",126324,"(+/- 6516 )",103053,"(+/- 5945 )",192986,"(+/- 8454 )",131638,"(+/- 5890 )",145127,"(+/- 7862 )",151802,"(+/- 6080 )",122166,"(+/- 5692 )",156325,"(+/- 6959 )",119530,"(+/- 6347 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5166,"(+/- 1405 )",3434,"(+/- 1143 )",8959,"(+/- 1700 )",27168,"(+/- 3826 )",14772,"(+/- 2485 )",8161,"(+/- 1580 )",7795,"(+/- 1289 )",10681,"(+/- 2302 )",10217,"(+/- 2344 )",10530,"(+/- 1705 )",6448,"(+/- 1436 )",6681,"(+/- 1658 )",5080,"(+/- 1239 )",5315,"(+/- 1304 )",3923,"(+/- 912 )",4726,"(+/- 1210 )",5401,"(+/- 1482 )",3357,"(+/- 861 )"
People,"Place of Birth","Foreign born",52477,"(+/- 5746 )",43672,"(+/- 4160 )",151096,"(+/- 7963 )",239429,"(+/- 9726 )",156687,"(+/- 7731 )",112915,"(+/- 9002 )",95572,"(+/- 6363 )",208721,"(+/- 9547 )",198565,"(+/- 10300 )",176221,"(+/- 7567 )",152344,"(+/- 7281 )",18213,"(+/- 2099 )",38278,"(+/- 3532 )",73317,"(+/- 6731 )",10963,"(+/- 1945 )",36749,"(+/- 5020 )",38285,"(+/- 4251 )",28917,"(+/- 2717 )"
People,Ancestry,"Total population",720977,"(+/- 16549 )",702756,"(+/- 14920 )",725538,"(+/- 18639 )",700585,"(+/- 20236 )",729300,"(+/- 16178 )",720542,"(+/- 12939 )",697263,"(+/- 17219 )",713012,"(+/- 11244 )",732614,"(+/- 14773 )",714681,"(+/- 6978 )",721823,"(+/- 10333 )",695178,"(+/- 3368 )",698295,"(+/- 7414 )",746748,"(+/- 9443 )",701482,"(+/- 6537 )",690420,"(+/- 6908 )",689744,"(+/- 7867 )",701065,"(+/- 7076 )"
People,Ancestry,American,11231,"(+/- 2185 )",12159,"(+/- 2582 )",19493,"(+/- 3209 )",10750,"(+/- 2322 )",20586,"(+/- 3574 )",21595,"(+/- 3247 )",11026,"(+/- 2537 )",16828,"(+/- 2986 )",20715,"(+/- 2274 )",23525,"(+/- 3289 )",13014,"(+/- 2685 )",41987,"(+/- 4400 )",37036,"(+/- 3539 )",20478,"(+/- 4526 )",65188,"(+/- 5331 )",30877,"(+/- 3499 )",41935,"(+/- 3951 )",50610,"(+/- 4129 )"
People,Ancestry,Arab,8390,"(+/- 3987 )",1232,"(+/- 1017 )",23569,"(+/- 4980 )",5153,"(+/- 3286 )",12924,"(+/- 4424 )",5090,"(+/- 2110 )",6611,"(+/- 2423 )",3703,"(+/- 1252 )",12631,"(+/- 4516 )",3029,"(+/- 1208 )",6462,"(+/- 2628 )",1983,"(+/- 1504 )",2579,"(+/- 1196 )",2426,"(+/- 1828 )",293,"(+/- 270 )",4631,"(+/- 2508 )",3096,"(+/- 1384 )",2922,"(+/- 1682 )"
People,Ancestry,Czech,4097,"(+/- 1541 )",2104,"(+/- 1031 )",11905,"(+/- 2845 )",5297,"(+/- 1241 )",8039,"(+/- 1584 )",12153,"(+/- 1654 )",3826,"(+/- 1335 )",7886,"(+/- 2386 )",4487,"(+/- 1132 )",5184,"(+/- 1773 )",9116,"(+/- 1599 )",2054,"(+/- 685 )",2891,"(+/- 1146 )",12617,"(+/- 3240 )",1635,"(+/- 724 )",5413,"(+/- 1643 )",2608,"(+/- 911 )",4023,"(+/- 1632 )"
People,Ancestry,Danish,820,"(+/- 442 )",2145,"(+/- 847 )",2369,"(+/- 997 )",686,"(+/- 357 )",2462,"(+/- 1022 )",4004,"(+/- 1033 )",1495,"(+/- 1162 )",2639,"(+/- 781 )",3107,"(+/- 1168 )",2950,"(+/- 967 )",1478,"(+/- 499 )",711,"(+/- 337 )",1419,"(+/- 553 )",6552,"(+/- 1692 )",1243,"(+/- 658 )",4626,"(+/- 978 )",3029,"(+/- 859 )",2624,"(+/- 844 )"
People,Ancestry,Dutch,10575,"(+/- 2243 )",8719,"(+/- 1673 )",6025,"(+/- 1294 )",1581,"(+/- 553 )",6404,"(+/- 1333 )",9489,"(+/- 1999 )",3825,"(+/- 1301 )",6071,"(+/- 1658 )",6782,"(+/- 1622 )",4945,"(+/- 1365 )",7235,"(+/- 1764 )",8060,"(+/- 1936 )",8783,"(+/- 1618 )",13073,"(+/- 3319 )",12369,"(+/- 2303 )",11119,"(+/- 1800 )",14734,"(+/- 1777 )",10511,"(+/- 1536 )"
People,Ancestry,English,16060,"(+/- 2427 )",14944,"(+/- 2218 )",20587,"(+/- 3551 )",9655,"(+/- 1451 )",32785,"(+/- 3184 )",51080,"(+/- 4681 )",21518,"(+/- 3135 )",24121,"(+/- 2936 )",34001,"(+/- 3024 )",33167,"(+/- 4183 )",26690,"(+/- 2869 )",51677,"(+/- 4208 )",52823,"(+/- 4775 )",55384,"(+/- 5160 )",59011,"(+/- 3967 )",51329,"(+/- 3732 )",51472,"(+/- 3915 )",68275,"(+/- 4838 )"
