Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Ancestry,"Total population",539250,"(+/- 7218 )",520389,"(+/- 7218 )"
People,Ancestry,American,15536,"(+/- 2272 )",17220,"(+/- 3327 )"
People,Ancestry,Arab,6360,"(+/- 2682 )",2659,"(+/- 1384 )"
People,Ancestry,Czech,702,"(+/- 396 )",386,"(+/- 260 )"
People,Ancestry,Danish,589,"(+/- 626 )",525,"(+/- 347 )"
People,Ancestry,Dutch,2582,"(+/- 1005 )",2144,"(+/- 1027 )"
People,Ancestry,English,45884,"(+/- 3999 )",63303,"(+/- 5328 )"
People,Ancestry,"French (except Basque)",47308,"(+/- 4918 )",46380,"(+/- 4969 )"
People,Ancestry,"French Canadian",29378,"(+/- 3523 )",28038,"(+/- 4099 )"
People,Ancestry,German,25420,"(+/- 2998 )",27754,"(+/- 3471 )"
People,Ancestry,Greek,2251,"(+/- 842 )",3413,"(+/- 1124 )"
People,Ancestry,Hungarian,1252,"(+/- 597 )",1119,"(+/- 480 )"
People,Ancestry,Irish,78609,"(+/- 6227 )",108794,"(+/- 7179 )"
People,Ancestry,Italian,68965,"(+/- 7187 )",112296,"(+/- 7181 )"
People,Ancestry,Lithuanian,2040,"(+/- 901 )",1753,"(+/- 1110 )"
People,Ancestry,Norwegian,1301,"(+/- 668 )",1362,"(+/- 581 )"
People,Ancestry,Polish,18143,"(+/- 2549 )",18564,"(+/- 3354 )"
People,Ancestry,Portuguese,58436,"(+/- 5610 )",31331,"(+/- 4244 )"
People,Ancestry,Russian,4467,"(+/- 1148 )",3781,"(+/- 1349 )"
People,Ancestry,Scotch-Irish,3667,"(+/- 1113 )",2679,"(+/- 987 )"
People,Ancestry,Scottish,8070,"(+/- 1482 )",10149,"(+/- 1845 )"
People,Ancestry,Slovak,569,"(+/- 469 )",304,"(+/- 381 )"
People,Ancestry,"Subsaharan African",26989,"(+/- 4787 )",4498,"(+/- 1669 )"
People,Ancestry,Swedish,7004,"(+/- 2250 )",9073,"(+/- 1915 )"
People,Ancestry,Swiss,469,"(+/- 335 )",547,"(+/- 289 )"
People,Ancestry,Ukrainian,2762,"(+/- 2005 )",2882,"(+/- 1476 )"
People,Ancestry,Welsh,1582,"(+/- 600 )",1209,"(+/- 554 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5682,"(+/- 2339 )",3324,"(+/- 1771 )"
People,"Veteran Status","Civilian population 18 years and over",428108,"(+/- 5289 )",421063,"(+/- 5239 )"
People,"Veteran Status","Civilian veterans",27668,"(+/- 2312 )",24593,"(+/- 2633 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",530386,"(+/- 6974 )",513725,"(+/- 7044 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",72639,"(+/- 4577 )",68304,"(+/- 4158 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",107908,"(+/- 3710 )",98762,"(+/- 3804 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5199,"(+/- 1318 )",5524,"(+/- 1321 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",339411,"(+/- 4780 )",327972,"(+/- 4986 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41421,"(+/- 3866 )",34385,"(+/- 3024 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",83067,"(+/- 2793 )",86991,"(+/- 2851 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",26019,"(+/- 2321 )",28395,"(+/- 2519 )"
People,"Residence 1 Year Ago","Population 1 year and over",533714,"(+/- 6899 )",514835,"(+/- 7174 )"
People,"Residence 1 Year Ago","Same house",465569,"(+/- 8739 )",456641,"(+/- 8979 )"
People,"Residence 1 Year Ago","Different house in the U.S.",63531,"(+/- 5879 )",56759,"(+/- 6904 )"
People,"Residence 1 Year Ago","Same county",37565,"(+/- 4779 )",29021,"(+/- 4839 )"
People,"Residence 1 Year Ago","Different county",25966,"(+/- 3602 )",27738,"(+/- 3750 )"
People,"Residence 1 Year Ago","Same state",5511,"(+/- 2164 )",11343,"(+/- 2242 )"
People,"Residence 1 Year Ago","Different state",20455,"(+/- 3142 )",16395,"(+/- 3100 )"
People,"Residence 1 Year Ago",Abroad,4614,"(+/- 1627 )",1435,"(+/- 840 )"
Workers,"Employment Status","Population 16 years and over",444189,"(+/- 5290 )",433770,"(+/- 5546 )"
Workers,"Employment Status","In labor force",289590,"(+/- 6289 )",284571,"(+/- 6383 )"
Workers,"Employment Status","Civilian labor force",286473,"(+/- 6282 )",284192,"(+/- 6391 )"
Workers,"Employment Status",Employed,270154,"(+/- 6542 )",267760,"(+/- 6315 )"
Workers,"Employment Status",Unemployed,16319,"(+/- 2302 )",16432,"(+/- 2589 )"
Workers,"Employment Status","Armed Forces",3117,"(+/- 783 )",379,"(+/- 283 )"
Workers,"Employment Status","Not in labor force",154599,"(+/- 6104 )",149199,"(+/- 5596 )"
Workers,"Employment Status","Civilian labor force",286473,"(+/- 6282 )",284192,"(+/- 6391 )"
Workers,"Employment Status","Unemployment Rate",5.7,"(+/- 0.8 )",5.8,"(+/- 0.9 )"
Workers,"Commuting to Work","Workers 16 years and over",262705,"(+/- 6620 )",259509,"(+/- 6055 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",201350,"(+/- 5817 )",213105,"(+/- 5331 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",28320,"(+/- 4068 )",20985,"(+/- 2974 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6772,"(+/- 1250 )",4680,"(+/- 1234 )"
Workers,"Commuting to Work",Walked,11672,"(+/- 1588 )",6883,"(+/- 1134 )"
Workers,"Commuting to Work","Other means",2985,"(+/- 1264 )",1808,"(+/- 729 )"
Workers,"Commuting to Work","Worked at home",11606,"(+/- 1642 )",12048,"(+/- 2003 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.2,"(+/- 0.7 )",26.0,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",270154,"(+/- 6542 )",267760,"(+/- 6315 )"
Workers,Occupation,"Management, business, science, and arts occupations",99373,"(+/- 4713 )",107334,"(+/- 4736 )"
Workers,Occupation,"Service occupations",54571,"(+/- 3876 )",51742,"(+/- 4015 )"
Workers,Occupation,"Sales and office occupations",63510,"(+/- 5225 )",61422,"(+/- 4623 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",16973,"(+/- 1959 )",22637,"(+/- 2660 )"
Workers,Occupation,"Production, transportation, and material moving occupations",35727,"(+/- 2943 )",24625,"(+/- 2957 )"
Workers,Industry,"Civilian employed population 16 years and over",270154,"(+/- 6542 )",267760,"(+/- 6315 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1261,"(+/- 709 )",985,"(+/- 472 )"
Workers,Industry,Construction,13882,"(+/- 1894 )",17233,"(+/- 2283 )"
Workers,Industry,Manufacturing,27464,"(+/- 3161 )",27202,"(+/- 3040 )"
Workers,Industry,"Wholesale trade",5533,"(+/- 1335 )",6274,"(+/- 1311 )"
Workers,Industry,"Retail trade",35456,"(+/- 3897 )",31017,"(+/- 3543 )"
Workers,Industry,"Transportation and warehousing, and utilities",11941,"(+/- 1950 )",11210,"(+/- 1843 )"
Workers,Industry,Information,4633,"(+/- 1359 )",4678,"(+/- 1325 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",17180,"(+/- 2251 )",20057,"(+/- 2175 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",27782,"(+/- 2794 )",29369,"(+/- 3275 )"
Workers,Industry,"Educational services, and health care and social assistance",72359,"(+/- 4533 )",70570,"(+/- 4006 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",28833,"(+/- 3074 )",27961,"(+/- 3109 )"
Workers,Industry,"Other services, except public administration",13806,"(+/- 1899 )",10491,"(+/- 1865 )"
Workers,Industry,"Public administration",10024,"(+/- 1638 )",10713,"(+/- 1464 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",270154,"(+/- 6542 )",267760,"(+/- 6315 )"
Workers,"Class of Worker","Private wage and salary workers",225708,"(+/- 6259 )",215099,"(+/- 6149 )"
Workers,"Class of Worker","Government workers",30763,"(+/- 3055 )",36874,"(+/- 3102 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",13565,"(+/- 1941 )",15643,"(+/- 2287 )"
Workers,"Class of Worker","Unpaid family workers",118,"(+/- 148 )",144,"(+/- 152 )"
Housing,"Housing Occupancy","Total housing units",234267,"(+/- 2855 )",233999,"(+/- 2846 )"
Housing,"Housing Occupancy","Occupied housing units",207523,"(+/- 3380 )",201225,"(+/- 3841 )"
Housing,"Housing Occupancy","Vacant housing units",26744,"(+/- 2830 )",32774,"(+/- 3137 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.5,"(+/- 0.7 )",1.8,"(+/- 0.8 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.0,"(+/- 1.2 )",6.1,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",207523,"(+/- 3380 )",201225,"(+/- 3841 )"
Housing,"Housing Tenure",Owner-occupied,112813,"(+/- 3562 )",135910,"(+/- 4190 )"
Housing,"Housing Tenure",Renter-occupied,94710,"(+/- 3927 )",65315,"(+/- 3721 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.65,"(+/- 0.07 )",2.65,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.30,"(+/- 0.08 )",2.15,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",207523,"(+/- 3380 )",201225,"(+/- 3841 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",56513,"(+/- 3709 )",49092,"(+/- 3369 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",51750,"(+/- 3618 )",44894,"(+/- 3670 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",42239,"(+/- 2749 )",45258,"(+/- 3097 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",25248,"(+/- 2264 )",29079,"(+/- 2850 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",13835,"(+/- 1797 )",15894,"(+/- 1774 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",17938,"(+/- 1838 )",17008,"(+/- 1573 )"
Housing,Value,"Owner-occupied units",112813,"(+/- 3562 )",135910,"(+/- 4190 )"
Housing,Value,"Less than $50,000",2096,"(+/- 578 )",2977,"(+/- 881 )"
Housing,Value,"$50,000 to $99,999",2421,"(+/- 729 )",2594,"(+/- 699 )"
Housing,Value,"$100,000 to $149,999",8635,"(+/- 1631 )",7811,"(+/- 1241 )"
Housing,Value,"$150,000 to $199,999",20146,"(+/- 2184 )",23351,"(+/- 2210 )"
Housing,Value,"$200,000 to $299,999",32774,"(+/- 2178 )",49312,"(+/- 3436 )"
Housing,Value,"$300,000 to $499,999",30767,"(+/- 2245 )",37666,"(+/- 2964 )"
Housing,Value,"$500,000 to $999,999",12647,"(+/- 1528 )",10486,"(+/- 1474 )"
Housing,Value,"$1,000,000 or more",3327,"(+/- 764 )",1713,"(+/- 589 )"
Housing,Value,"Median (dollars)",260200,"(+/- 8389 )",256400,"(+/- 6999 )"
Housing,"Mortgage Status","Owner-occupied units",112813,"(+/- 3562 )",135910,"(+/- 4190 )"
Housing,"Mortgage Status","Housing units with a mortgage",76785,"(+/- 3147 )",95590,"(+/- 4212 )"
Housing,"Mortgage Status","Housing units without a mortgage",36028,"(+/- 2414 )",40320,"(+/- 2921 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",76785,"(+/- 3147 )",95590,"(+/- 4212 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",256,"(+/- 204 )",198,"(+/- 226 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",5320,"(+/- 1136 )",6979,"(+/- 1201 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",17158,"(+/- 1964 )",21301,"(+/- 2560 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",25754,"(+/- 2393 )",34394,"(+/- 3046 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",14676,"(+/- 1645 )",18305,"(+/- 2364 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",6249,"(+/- 1200 )",7794,"(+/- 1441 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7372,"(+/- 1091 )",6619,"(+/- 1130 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1806,"(+/- 39 )",1762,"(+/- 39 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",36028,"(+/- 2414 )",40320,"(+/- 2921 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",812,"(+/- 534 )",1541,"(+/- 841 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",1474,"(+/- 476 )",3181,"(+/- 774 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",10946,"(+/- 1297 )",9794,"(+/- 1573 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",9048,"(+/- 1202 )",12937,"(+/- 1754 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5903,"(+/- 1181 )",7278,"(+/- 1219 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",7845,"(+/- 1335 )",5589,"(+/- 1130 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",694,"(+/- 26 )",693,"(+/- 24 )"
Housing,"Gross Rent","Occupied units paying rent",92690,"(+/- 3922 )",62135,"(+/- 3616 )"
Housing,"Gross Rent","Less than $500",17664,"(+/- 2292 )",13228,"(+/- 2243 )"
Housing,"Gross Rent","$500 to $999",36181,"(+/- 2983 )",20714,"(+/- 2476 )"
Housing,"Gross Rent","$1,000 to $1,499",28599,"(+/- 2983 )",17728,"(+/- 2117 )"
Housing,"Gross Rent","$1,500 to $1,999",7908,"(+/- 1815 )",7507,"(+/- 1447 )"
Housing,"Gross Rent","$2,000 to $2,499",1260,"(+/- 536 )",1671,"(+/- 687 )"
Housing,"Gross Rent","$2,500 to $2,999",366,"(+/- 267 )",731,"(+/- 453 )"
Housing,"Gross Rent","$3,000 or more",712,"(+/- 507 )",556,"(+/- 393 )"
Housing,"Gross Rent","Median (dollars)",930,"(+/- 25 )",958,"(+/- 31 )"
Housing,"Gross Rent","No rent paid",2020,"(+/- 686 )",3180,"(+/- 1057 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",207523,"(+/- 3380 )",201225,"(+/- 3841 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",15231,"(+/- 2199 )",10111,"(+/- 1756 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",11485,"(+/- 1948 )",10475,"(+/- 1546 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",21595,"(+/- 2297 )",18860,"(+/- 2437 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",18900,"(+/- 2465 )",13744,"(+/- 1954 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",25113,"(+/- 2771 )",20179,"(+/- 2197 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",32841,"(+/- 2557 )",34026,"(+/- 2964 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",25665,"(+/- 2186 )",27967,"(+/- 2763 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",30089,"(+/- 2716 )",37202,"(+/- 2307 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",12961,"(+/- 1629 )",15041,"(+/- 1878 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",13643,"(+/- 1665 )",13620,"(+/- 1520 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",59193,"(+/- 3420 )",69702,"(+/- 3137 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",82657,"(+/- 3188 )",87982,"(+/- 2531 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",530386,"(+/- 6974 )",513725,"(+/- 7044 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",500867,"(+/- 7786 )",495054,"(+/- 6413 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",350545,"(+/- 9212 )",376264,"(+/- 9066 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",213114,"(+/- 8172 )",183815,"(+/- 10543 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",29519,"(+/- 3949 )",18671,"(+/- 2740 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",117186,"(+/- 3791 )",106822,"(+/- 3856 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",3373,"(+/- 1267 )",1260,"(+/- 552 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",9.2,"(+/- 1.4 )",6.6,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",16.3,"(+/- 2.9 )",11.2,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",14.0,"(+/- 6.2 )",7.7,"(+/- 4.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.4,"(+/- 0.9 )",3.0,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.7,"(+/- 1.8 )",4.4,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.0,"(+/- 4.1 )",3.0,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",26.3,"(+/- 5.4 )",22.4,"(+/- 6.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",40.8,"(+/- 7.4 )",32.6,"(+/- 9.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",48.0,"(+/- 18.4 )",31.0,"(+/- 21.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",13.2,"(+/- 1.2 )",10.0,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",20.1,"(+/- 3.3 )",12.9,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",19.8,"(+/- 3.3 )",12.7,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",20.5,"(+/- 4.5 )",14.0,"(+/- 5.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",19.5,"(+/- 3.8 )",12.3,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",11.4,"(+/- 1.0 )",9.4,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.8,"(+/- 1.7 )",8.2,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",10.2,"(+/- 1.6 )",7.1,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.0,"(+/- 2.1 )",21.4,"(+/- 2.3 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",134178,"(+/- 5193 )",126716,"(+/- 5100 )"
Education,"School Enrollment","Nursery school, preschool",6710,"(+/- 1568 )",5957,"(+/- 1204 )"
Education,"School Enrollment",Kindergarten,5857,"(+/- 1314 )",3627,"(+/- 836 )"
Education,"School Enrollment","Elementary school (grades 1-8)",50318,"(+/- 2958 )",44229,"(+/- 3090 )"
Education,"School Enrollment","High school (grades 9-12)",23843,"(+/- 1982 )",23113,"(+/- 2301 )"
Education,"School Enrollment","College or graduate school",47450,"(+/- 3554 )",49790,"(+/- 3591 )"
Education,"Educational Attainment","Population 25 years and over",372523,"(+/- 4924 )",364446,"(+/- 4614 )"
Education,"Educational Attainment","Less than 9th grade",24331,"(+/- 3184 )",12970,"(+/- 2346 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",27558,"(+/- 2772 )",21433,"(+/- 2569 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",111916,"(+/- 4973 )",108697,"(+/- 5051 )"
Education,"Educational Attainment","Some college, no degree",60510,"(+/- 3842 )",64154,"(+/- 4899 )"
Education,"Educational Attainment","Associate's degree",25376,"(+/- 2595 )",33500,"(+/- 3197 )"
Education,"Educational Attainment","Bachelor's degree",74343,"(+/- 4510 )",75356,"(+/- 4149 )"
Education,"Educational Attainment","Graduate or professional degree",48489,"(+/- 3781 )",48336,"(+/- 3613 )"
Education,"Educational Attainment","Percent high school graduate or higher",86.1,"(+/- 1.0 )",90.6,"(+/- 0.9 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",33.0,"(+/- 1.2 )",33.9,"(+/- 1.4 )"

"Source: 2017 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",207536,G,222144,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",37,H,111,J
