Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",42563,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",500579,H
Business,"Annual payroll ($1,000)",Utilities,265017,G
Business,"Annual payroll ($1,000)",Construction,1315895,G
Business,"Annual payroll ($1,000)",Manufacturing,877199,G
Business,"Annual payroll ($1,000)","Wholesale trade",842636,G
Business,"Annual payroll ($1,000)","Retail trade",1603726,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",646749,G
Business,"Annual payroll ($1,000)",Information,427690,G
Business,"Annual payroll ($1,000)","Finance and insurance",977447,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",201908,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",974882,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",308423,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",751133,H
Business,"Annual payroll ($1,000)","Educational services",146122,G
Business,"Annual payroll ($1,000)","Health care and social assistance",3112267,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",191901,G
Business,"Annual payroll ($1,000)","Accommodation and food services",888343,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",466097,G
Business,"Annual payroll ($1,000)","Industries not classified",2189,G
Business,"Total Establishments","Total for all sectors",37626,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",354,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",355,X
Business,"Total Establishments",Utilities,210,X
Business,"Total Establishments",Construction,5326,X
Business,"Total Establishments",Manufacturing,1291,X
Business,"Total Establishments","Wholesale trade",1594,X
Business,"Total Establishments","Retail trade",4769,X
Business,"Total Establishments","Transportation and warehousing",1353,X
Business,"Total Establishments",Information,663,X
Business,"Total Establishments","Finance and insurance",1979,X
Business,"Total Establishments","Real estate and rental and leasing",1982,X
Business,"Total Establishments","Professional, scientific, and technical services",3748,X
Business,"Total Establishments","Management of companies and enterprises",144,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1797,X
Business,"Total Establishments","Educational services",395,X
Business,"Total Establishments","Health care and social assistance",3671,X
Business,"Total Establishments","Arts, entertainment, and recreation",1201,X
Business,"Total Establishments","Accommodation and food services",3524,X
Business,"Total Establishments","Other services (except public administration)",3195,X
Business,"Total Establishments","Industries not classified",75,X

"Source: 2016 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
